time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.25,7.25,7.25,7.25,0,,
2020-01-03,7.25,7.25,7.25,7.25,0,,
2020-01-06,7.25,7.25,7.25,7.25,0,,
2020-01-07,7.25,7.25,7.25,7.25,0,,
2020-01-08,8.14,8.14,8.14,8.14,100,,
2020-01-09,9.23,9.23,6.95,6.95,800,,
2020-01-10,7.25,6.95,6.95,6.95,0,,
2020-01-13,7.25,6.95,6.95,6.95,0,,
2020-01-14,6.26,6.26,6.26,6.26,100,,
2020-01-15,5.36,5.36,5.36,5.36,100,,
2020-01-16,5.36,5.36,5.36,5.36,0,,
2020-01-17,4.57,4.57,4.57,4.57,100,,
2020-01-20,4.57,4.57,4.57,4.57,0,,
2020-01-21,4.57,4.57,4.57,4.57,0,,
2020-01-22,4.57,4.57,4.57,4.57,0,,
2020-01-30,4.57,4.57,4.57,4.57,0,,
2020-01-31,4.57,4.57,4.57,4.57,0,,
2020-02-03,4.57,4.57,4.57,4.57,0,,
2020-02-04,4.57,4.57,4.57,4.57,0,,
2020-02-05,4.57,4.57,4.57,4.57,0,5.805,5.4836
2020-02-06,4.57,4.57,4.57,4.57,0,5.671,5.3966
2020-02-07,4.57,4.57,4.57,4.57,0,5.537,5.3179
2020-02-10,4.57,4.57,4.57,4.57,0,5.403,5.2467
2020-02-11,5.16,5.16,5.16,5.16,100,5.2985,5.2384
2020-02-12,5.16,5.16,5.16,5.16,0,5.1495,5.2309
2020-02-13,5.16,5.16,5.16,5.16,0,5.06,5.2242
2020-02-14,5.16,5.16,5.16,5.16,0,4.9705,5.2181
2020-02-17,5.16,5.16,5.16,5.16,0,4.881,5.2125
2020-02-18,5.16,5.16,5.16,5.16,0,4.826,5.2075
2020-02-19,5.16,5.16,5.16,5.16,0,4.816,5.203
2020-02-20,5.16,5.16,5.16,5.16,0,4.806,5.1989
2020-02-21,5.16,5.16,5.16,5.16,0,4.8355,5.1952
2020-02-24,5.16,5.16,5.16,5.16,0,4.865,5.1919
2020-02-25,5.16,5.16,5.16,5.16,0,4.8945,5.1888
2020-02-26,5.16,5.16,5.16,5.16,0,4.924,5.1861
2020-02-27,5.16,5.16,5.16,5.16,0,4.9535,5.1836
2020-02-28,5.16,5.16,5.16,5.16,0,4.983,5.1813
2020-03-02,5.16,5.16,5.16,5.16,0,5.0125,5.1793
2020-03-03,5.16,5.16,5.16,5.16,0,5.042,5.1775
2020-03-04,5.16,5.16,5.16,5.16,0,5.0715,5.1758
2020-03-05,5.16,5.16,5.16,5.16,0,5.101,5.1743
2020-03-06,5.16,5.16,5.16,5.16,0,5.1305,5.1729
2020-03-09,5.16,5.16,5.16,5.16,0,5.16,5.1717
2020-03-10,4.47,4.47,4.47,4.47,100,5.1255,5.1049
2020-03-11,4.47,4.47,4.47,4.47,0,5.091,5.0444
2020-03-12,4.47,4.47,4.47,4.47,0,5.0565,4.9897
2020-03-13,4.07,4.07,4.07,4.07,100,5.002,4.9021
2020-03-16,4.07,4.07,4.07,4.07,0,4.9475,4.8229
2020-03-17,4.07,4.07,4.07,4.07,0,4.893,4.7512
2020-03-18,4.07,4.07,4.07,4.07,0,4.8385,4.6863
2020-03-19,4.07,4.07,4.07,4.07,0,4.784,4.6276
2020-03-20,4.07,4.07,4.07,4.07,0,4.7295,4.5745
2020-03-23,4.07,4.07,4.07,4.07,0,4.675,4.5264
2020-03-24,4.07,4.07,4.07,4.07,0,4.6205,4.483
2020-03-25,4.07,4.07,4.07,4.07,0,4.566,4.4436
2020-03-26,4.07,4.07,4.07,4.07,0,4.5115,4.4081
2020-03-27,4.07,4.07,4.07,4.07,0,4.457,4.3759
2020-03-30,4.07,4.07,4.07,4.07,0,4.4025,4.3467
2020-03-31,4.07,4.07,4.07,4.07,0,4.348,4.3204
2020-04-01,4.07,4.07,4.07,4.07,0,4.2935,4.2965
2020-04-03,4.07,4.07,4.07,4.07,0,4.239,4.275
2020-04-06,4.07,4.07,4.07,4.07,0,4.1845,4.2554
2020-04-07,4.07,4.07,4.07,4.07,0,4.13,4.2378
2020-04-08,4.07,4.07,4.07,4.07,0,4.11,4.2218
2020-04-09,4.07,4.07,4.07,4.07,0,4.09,4.2073
2020-04-10,4.07,4.07,4.07,4.07,0,4.07,4.1943
2020-04-13,4.07,4.07,4.07,4.07,0,4.07,4.1824
2020-04-14,4.07,4.07,4.07,4.07,0,4.07,4.1717
2020-04-15,4.07,4.07,4.07,4.07,0,4.07,4.162
2020-04-16,4.07,4.07,4.07,4.07,0,4.07,4.1533
2020-04-17,4.07,4.07,4.07,4.07,0,4.07,4.1453
2020-04-20,4.07,4.07,4.07,4.07,0,4.07,4.1382
2020-04-21,4.07,4.07,4.07,4.07,0,4.07,4.1317
2020-04-22,4.07,4.07,4.07,4.07,0,4.07,4.1258
2020-04-23,4.07,4.07,4.07,4.07,0,4.07,4.1205
2020-04-24,4.07,4.07,4.07,4.07,0,4.07,4.1157
2020-04-27,4.07,4.07,4.07,4.07,0,4.07,4.1113
2020-04-28,4.07,4.07,4.07,4.07,0,4.07,4.1074
2020-04-29,4.07,4.07,4.07,4.07,0,4.07,4.1038
2020-05-04,4.07,4.07,4.07,4.07,0,4.07,4.1006
2020-05-05,4.07,4.07,4.07,4.07,0,4.07,4.0977
2020-05-06,4.07,4.07,4.07,4.07,0,4.07,4.0951
2020-05-07,4.07,4.07,4.07,4.07,0,4.07,4.0927
2020-05-08,4.07,4.07,4.07,4.07,0,4.07,4.0905
2020-05-11,5.66,5.66,5.66,5.66,100,4.1495,4.24
2020-05-12,6.45,6.45,6.45,6.45,100,4.2685,4.4505
2020-05-13,7.35,7.35,7.35,7.35,200,4.4325,4.7266
2020-05-14,7.35,7.35,7.35,7.35,400,4.5965,4.9765
2020-05-15,7.35,7.35,7.35,7.35,0,4.7605,5.2025
2020-05-18,7.35,7.35,7.35,7.35,100,4.9245,5.407
2020-05-19,7.35,7.35,7.35,7.35,0,5.0885,5.5921
2020-05-20,8.44,8.44,8.44,8.44,1100,5.307,5.8633
2020-05-21,9.63,9.63,9.63,9.63,100,5.585,6.222
2020-05-22,9.63,9.63,9.63,9.63,0,5.863,6.5466
