time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,26.47,26.47,26.47,26.47,2,,
2020-01-03,26.47,26.47,26.47,26.47,0,,
2020-01-06,26.47,26.47,26.47,26.47,0,,
2020-01-07,26.47,26.47,26.47,26.47,0,,
2020-01-08,29.08,29.08,29.08,29.08,100,,
2020-01-09,29.08,29.08,29.08,29.08,0,,
2020-01-10,29.08,29.08,29.08,29.08,0,,
2020-01-13,29.08,29.08,29.08,29.08,0,,
2020-01-14,29.08,29.08,29.08,29.08,0,,
2020-01-15,31.99,31.99,31.99,31.99,100,,
2020-01-16,31.99,31.99,31.99,31.99,0,,
2020-01-17,31.99,31.99,31.99,31.99,0,,
2020-01-20,31.99,31.99,31.99,31.99,0,,
2020-01-21,31.99,31.99,31.99,31.99,0,,
2020-01-22,31.99,31.99,31.99,31.99,0,,
2020-01-30,31.99,31.99,31.99,31.99,0,,
2020-01-31,31.99,31.99,31.99,31.99,0,,
2020-02-03,31.99,31.99,31.99,31.99,0,,
2020-02-04,31.99,31.99,31.99,31.99,0,,
2020-02-05,31.99,31.99,31.99,31.99,0,30.1585,30.496
2020-02-06,31.99,31.99,31.99,31.99,0,30.4345,30.6383
2020-02-07,28.86,28.86,28.86,28.86,100,30.554,30.4689
2020-02-10,26.03,26.03,26.03,26.03,100,30.532,30.0462
2020-02-11,26.03,26.03,26.03,26.03,0,30.51,29.6637
2020-02-12,28.56,28.56,26.03,28.49,700,30.4805,29.5519
2020-02-13,25.65,25.65,25.65,25.65,103,30.309,29.1803
2020-02-14,25.65,25.65,25.65,25.65,0,30.1375,28.8441
2020-02-17,23.12,23.12,23.12,23.12,100,29.8395,28.2989
2020-02-18,23.12,23.12,23.12,23.12,0,29.5415,27.8057
2020-02-19,23.12,23.12,23.12,23.12,0,29.098,27.3594
2020-02-20,23.12,23.12,23.12,23.12,0,28.6545,26.9557
2020-02-21,20.81,20.81,20.81,20.81,100,28.0955,26.3704
2020-02-24,20.81,20.81,20.81,20.81,50,27.5365,25.8408
2020-02-25,20.81,20.81,20.81,20.81,0,26.9775,25.3617
2020-02-26,20.81,20.81,20.81,20.81,0,26.4185,24.9282
2020-02-27,22.74,22.74,22.74,22.74,500,25.956,24.7198
2020-02-28,22.74,22.74,22.74,22.74,0,25.4935,24.5312
2020-03-02,22.74,22.74,22.74,22.74,0,25.031,24.3606
2020-03-03,22.74,22.74,22.74,22.74,0,24.5685,24.2063
2020-03-04,24.91,24.91,24.91,24.91,105,24.2145,24.2733
2020-03-05,27.29,27.29,27.29,27.29,100,23.9795,24.5606
2020-03-06,27.29,27.29,27.29,27.29,6,23.901,24.8206
2020-03-09,27.29,27.29,27.29,27.29,0,23.964,25.0557
2020-03-10,29.75,29.75,24.61,29.53,1700,24.139,25.4819
2020-03-11,29.53,29.53,29.53,29.53,0,24.191,25.8674
2020-03-12,29.75,29.75,29.75,29.75,100,24.396,26.2372
2020-03-13,29.75,29.75,29.75,29.75,0,24.601,26.5717
2020-03-16,29.75,29.75,29.75,29.75,8,24.9325,26.8744
2020-03-17,29.75,29.75,29.75,29.75,0,25.264,27.1483
2020-03-18,29.75,29.75,29.75,29.75,5,25.5955,27.3961
2020-03-19,29.75,29.75,29.75,29.75,0,25.927,27.6203
2020-03-20,29.75,29.75,29.75,29.75,0,26.374,27.8231
2020-03-23,29.75,29.75,29.75,29.75,0,26.821,28.0066
2020-03-24,26.85,26.85,26.85,26.85,100,27.123,27.8964
2020-03-25,24.16,29.38,24.16,24.16,2000,27.2905,27.5406
2020-03-26,26.55,26.55,21.77,26.55,500,27.481,27.4463
2020-03-27,26.55,26.55,26.55,26.55,0,27.6715,27.3609
2020-03-30,26.55,26.55,26.55,26.55,0,27.862,27.2837
2020-03-31,26.55,26.55,26.55,26.55,0,28.0525,27.2138
2020-04-01,26.55,26.55,26.55,26.55,0,28.1345,27.1506
2020-04-03,26.55,26.55,26.55,26.55,0,28.0975,27.0934
2020-04-06,26.55,26.55,26.55,26.55,0,28.0605,27.0416
2020-04-07,26.55,26.55,26.55,26.55,0,28.0235,26.9948
2020-04-08,26.55,26.55,26.55,26.55,0,27.8745,26.9524
2020-04-09,26.55,26.55,26.55,26.55,0,27.7255,26.9141
2020-04-10,26.55,26.55,26.55,26.55,0,27.5655,26.8794
2020-04-13,26.55,26.55,26.55,26.55,0,27.4055,26.8481
2020-04-14,26.55,26.55,26.55,26.55,0,27.2455,26.8197
2020-04-15,29.08,29.08,29.08,29.08,500,27.212,27.0349
2020-04-16,29.08,29.08,29.08,29.08,0,27.1785,27.2297
2020-04-17,26.17,26.17,26.17,26.17,100,26.9995,27.1288
2020-04-20,23.56,26.1,23.56,26.1,300,26.817,27.0308
2020-04-21,26.1,26.1,26.1,26.1,0,26.6345,26.9422
