time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,24.39,24.39,24.39,24.39,5000,,
2020-01-03,24.39,24.39,24.39,24.39,0,,
2020-01-06,24.39,24.39,24.39,24.39,0,,
2020-01-07,24.39,24.39,24.39,24.39,0,,
2020-01-08,24.39,24.39,24.39,24.39,0,,
2020-01-09,24.39,24.39,24.39,24.39,0,,
2020-01-10,24.39,24.39,24.39,24.39,0,,
2020-01-13,24.39,24.39,24.39,24.39,0,,
2020-01-14,24.39,24.39,24.39,24.39,0,,
2020-01-15,24.39,24.39,24.39,24.39,0,,
2020-01-16,24.39,24.39,24.39,24.39,0,,
2020-01-17,24.39,24.39,24.39,24.39,0,,
2020-01-20,24.39,24.39,24.39,24.39,0,,
2020-01-21,24.39,24.39,24.39,24.39,0,,
2020-01-22,24.39,24.39,24.39,24.39,0,,
2020-01-30,24.39,24.39,24.39,24.39,0,,
2020-01-31,24.39,24.39,24.39,24.39,0,,
2020-02-03,24.39,24.39,24.39,24.39,0,,
2020-02-04,24.39,24.39,24.39,24.39,0,,
2020-02-05,24.39,24.39,24.39,24.39,0,24.39,24.39
2020-02-06,24.39,24.39,24.39,24.39,0,24.39,24.39
2020-02-07,24.39,24.39,24.39,24.39,0,24.39,24.39
2020-02-10,24.39,24.39,24.39,24.39,0,24.39,24.39
2020-02-11,24.39,24.39,24.39,24.39,0,24.39,24.39
2020-02-12,25.38,25.38,25.38,25.38,1000,24.4395,24.4843
2020-02-13,25.38,25.38,25.38,25.38,26,24.489,24.5696
2020-02-14,25.38,25.38,25.38,25.38,0,24.5385,24.6468
2020-02-17,25.38,25.38,25.38,25.38,0,24.588,24.7166
2020-02-18,25.38,25.38,25.38,25.38,0,24.6375,24.7798
2020-02-19,25.38,25.38,25.38,25.38,1,24.687,24.8369
2020-02-20,25.38,25.38,25.38,25.38,0,24.7365,24.8887
2020-02-21,25.38,25.38,25.38,25.38,0,24.786,24.9355
2020-02-24,25.38,25.38,25.38,25.38,10,24.8355,24.9778
2020-02-25,25.38,25.38,25.38,25.38,0,24.885,25.0161
2020-02-26,25.38,25.38,25.38,25.38,6,24.9345,25.0508
2020-02-27,25.38,25.38,25.38,25.38,10,24.984,25.0821
2020-02-28,25.38,25.38,25.38,25.38,0,25.0335,25.1105
2020-03-02,25.38,25.38,25.38,25.38,0,25.083,25.1362
