time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.81,7.81,7.81,7.81,0,,
2020-01-03,7.81,7.81,7.81,7.81,0,,
2020-01-06,6.7,6.7,6.7,6.7,100,,
2020-01-07,5.77,5.77,5.77,5.77,200,,
2020-01-08,4.92,4.92,4.92,4.92,500,,
2020-01-09,4.67,4.67,4.24,4.24,600,,
2020-01-10,5.01,5.01,5.01,5.01,200,,
2020-01-13,4.84,4.84,4.84,4.84,200,,
2020-01-14,4.84,4.84,4.84,4.84,200,,
2020-01-15,4.75,4.75,4.75,4.75,300,,
2020-01-16,5.43,5.43,5.01,5.01,300,,
2020-01-17,4.84,4.84,4.84,4.84,200,,
2020-01-20,4.84,4.84,4.84,4.84,0,,
2020-01-21,4.84,4.84,4.84,4.84,0,,
2020-01-22,5.51,5.51,5.51,5.51,100,,
2020-01-30,4.92,4.92,4.84,4.84,500,,
2020-01-31,4.84,4.84,4.67,4.67,300,,
2020-02-03,4.75,4.75,4.67,4.67,400,,
2020-02-04,4.67,4.67,4.67,4.67,200,,
2020-02-05,4.67,4.67,4.67,4.67,500,5.2625,5.3584
2020-02-06,4.67,4.67,4.58,4.58,1200,5.101,5.2843
2020-02-07,4.67,4.67,4.58,4.58,800,4.9395,5.2172
2020-02-10,4.58,4.58,4.58,4.58,0,4.8335,5.1565
2020-02-11,4.58,4.58,4.58,4.58,200,4.774,5.1016
2020-02-12,4.58,4.58,4.58,4.58,200,4.757,5.0519
2020-02-13,4.58,4.58,4.58,4.58,200,4.774,5.007
2020-02-14,4.5,4.5,4.5,4.5,300,4.7485,4.9587
2020-02-17,4.5,4.5,4.5,4.5,0,4.7315,4.915
2020-02-18,4.67,4.67,4.58,4.58,700,4.7185,4.8831
2020-02-19,4.58,4.58,4.58,4.58,300,4.71,4.8543
2020-02-20,4.58,4.58,4.58,4.58,0,4.6885,4.8281
2020-02-21,4.58,4.58,4.58,4.58,0,4.6755,4.8045
2020-02-24,5.26,5.26,5.26,5.26,100,4.6965,4.8479
2020-02-25,5.26,5.26,5.26,5.26,0,4.7175,4.8871
2020-02-26,6.02,6.02,6.02,6.02,100,4.743,4.995
2020-02-27,6.02,6.02,6.02,6.02,0,4.802,5.0926
2020-02-28,6.02,6.02,6.02,6.02,0,4.8695,5.181
2020-03-02,6.02,6.02,6.02,6.02,0,4.937,5.2609
2020-03-03,6.02,6.02,6.02,6.02,0,5.0045,5.3332
2020-03-04,6.02,6.02,6.02,6.02,0,5.072,5.3986
2020-03-05,5.18,5.18,5.18,5.18,100,5.102,5.3778
2020-03-06,5.18,5.18,5.18,5.18,0,5.132,5.3589
2020-03-09,5.94,5.94,5.51,5.94,1100,5.2,5.4143
2020-03-10,4.92,4.92,4.92,4.92,100,5.217,5.3672
2020-03-11,4.5,4.5,4.33,4.33,1700,5.2045,5.2684
2020-03-12,4.41,4.33,4.33,4.33,0,5.192,5.179
2020-03-13,4.92,4.92,4.67,4.67,700,5.2005,5.1306
2020-03-16,4.67,4.67,4.67,4.67,100,5.209,5.0867
2020-03-17,5.34,5.34,5.34,5.34,100,5.247,5.1108
2020-03-18,5.34,5.34,5.34,5.34,0,5.285,5.1326
2020-03-19,5.34,5.34,5.34,5.34,0,5.323,5.1524
2020-03-20,5.34,5.34,5.34,5.34,0,5.361,5.1703
2020-03-23,5.34,5.34,5.34,5.34,0,5.365,5.1864
2020-03-24,5.34,5.34,5.34,5.34,0,5.369,5.2011
2020-03-25,5.34,5.34,5.34,5.34,0,5.335,5.2143
2020-03-26,5.34,5.34,5.34,5.34,0,5.301,5.2263
2020-03-27,5.34,5.34,5.34,5.34,0,5.267,5.2371
2020-03-30,5.34,5.34,5.34,5.34,0,5.233,5.2469
2020-03-31,5.34,5.34,5.34,5.34,0,5.199,5.2558
