time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.96,7.96,7.96,7.96,0,,
2020-01-03,8.09,8.09,8.09,8.09,18000,,
2020-01-06,8.09,8.09,8.09,8.09,0,,
2020-01-07,8.09,8.09,8.09,8.09,5600,,
2020-01-08,8.09,8.09,8.09,8.09,0,,
2020-01-09,8.16,8.16,8.16,8.16,3000,,
2020-01-10,8.22,8.22,8.22,8.22,10000,,
2020-01-13,8.29,8.29,8.29,8.29,8000,,
2020-01-14,8.29,8.29,8.29,8.29,0,,
2020-01-15,8.29,8.29,8.29,8.29,10,,
2020-01-16,8.29,8.35,8.29,8.35,11000,,
2020-01-17,8.35,8.35,8.35,8.35,10000,,
2020-01-20,8.42,8.42,8.42,8.42,2000,,
2020-01-21,8.42,8.42,8.42,8.42,0,,
2020-01-22,8.49,8.49,8.49,8.49,5100,,
2020-01-30,8.49,8.49,8.49,8.49,6000,,
2020-01-31,8.35,8.35,8.35,8.35,4000,,
2020-02-03,8.35,8.35,8.35,8.35,0,,
2020-02-04,8.35,8.35,8.35,8.35,0,,
2020-02-05,8.35,8.35,8.35,8.35,0,8.2745,8.2831
2020-02-06,8.35,8.35,8.35,8.35,7000,8.294,8.2895
2020-02-07,8.35,8.35,8.35,8.35,5000,8.307,8.2952
2020-02-10,8.22,8.22,8.22,8.22,20000,8.3135,8.2881
2020-02-11,8.16,8.16,8.03,8.03,14000,8.3105,8.2635
2020-02-12,8.03,8.03,7.9,7.9,12000,8.301,8.2289
2020-02-13,7.9,7.9,7.83,7.83,12000,8.2845,8.1909
2020-02-14,7.77,7.77,7.7,7.7,10000,8.2585,8.1441
2020-02-17,7.7,7.7,7.7,7.7,100,8.229,8.1018
2020-02-18,7.7,7.7,7.7,7.7,0,8.1995,8.0636
2020-02-19,7.64,7.64,7.64,7.64,10000,8.167,8.0232
2020-02-20,7.57,7.57,7.57,7.57,10000,8.128,7.9801
2020-02-21,7.18,7.57,7.18,7.51,8175,8.086,7.9353
2020-02-24,7.51,7.51,7.51,7.51,3000,8.0405,7.8948
