time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,26.39,26.39,26.39,26.39,0,,
2020-01-03,26.39,26.39,26.39,26.39,0,,
2020-01-06,26.39,26.39,26.39,26.39,0,,
2020-01-07,23.81,23.81,23.81,23.81,1600,,
2020-01-08,25.71,25.71,25.71,25.71,100,,
2020-01-09,24.27,24.27,24.27,24.27,1802,,
2020-01-10,24.27,24.27,24.27,24.27,0,,
2020-01-13,24.27,24.27,24.27,24.27,0,,
2020-01-14,26.69,26.69,23.51,23.51,400,,
2020-01-15,25.86,25.86,23.51,23.51,2600,,
2020-01-16,23.51,23.51,23.51,23.51,2600,,
2020-01-17,23.51,23.51,23.51,23.51,0,,
2020-01-20,23.51,23.51,23.51,23.51,0,,
2020-01-21,25.78,25.78,25.78,25.78,100,,
2020-01-22,28.14,28.14,28.14,28.14,100,,
2020-01-30,25.33,25.33,25.33,25.33,100,,
2020-01-31,25.33,25.33,25.33,25.33,0,,
2020-02-03,25.33,25.33,25.33,25.33,0,,
2020-02-04,25.33,25.33,25.33,25.33,0,,
2020-02-05,25.33,25.33,25.33,25.33,0,24.981,25.2497
2020-02-06,25.33,25.33,25.33,25.33,0,24.928,25.2573
2020-02-07,25.33,25.33,25.33,25.33,0,24.875,25.2642
2020-02-10,25.33,25.33,25.33,25.33,0,24.822,25.2705
2020-02-11,24.27,24.27,24.27,24.27,700,24.845,25.1752
2020-02-12,24.27,24.27,24.27,24.27,0,24.773,25.089
2020-02-13,24.27,24.27,24.27,24.27,0,24.773,25.011
2020-02-14,24.27,24.27,24.27,24.27,2580,24.773,24.9404
2020-02-17,24.27,24.27,24.27,24.27,0,24.773,24.8766
2020-02-18,24.27,24.27,24.27,24.27,0,24.811,24.8188
2020-02-19,24.27,24.27,24.27,24.27,0,24.849,24.7665
2020-02-20,24.27,24.27,24.27,24.27,0,24.887,24.7192
2020-02-21,24.27,24.27,24.27,24.27,0,24.925,24.6765
2020-02-24,24.27,24.27,24.27,24.27,0,24.963,24.6378
2020-02-25,24.27,24.27,24.27,24.27,0,24.8875,24.6027
2020-02-26,24.27,24.27,24.27,24.27,0,24.694,24.571
2020-02-27,24.27,24.27,24.27,24.27,0,24.641,24.5424
2020-02-28,24.27,24.27,24.27,24.27,0,24.588,24.5164
2020-03-02,24.27,24.27,24.27,24.27,0,24.535,24.493
2020-03-03,24.27,24.27,24.27,24.27,0,24.482,24.4717
2020-03-04,24.27,24.27,24.27,24.27,0,24.429,24.4525
2020-03-05,24.27,24.27,24.27,24.27,2,24.376,24.4351
2020-03-06,24.27,24.27,24.27,24.27,0,24.323,24.4194
2020-03-09,24.27,24.27,24.27,24.27,0,24.27,24.4052
2020-03-10,24.27,24.27,24.27,24.27,0,24.27,24.3923
2020-03-11,24.27,24.27,24.27,24.27,0,24.27,24.3807
2020-03-12,24.27,24.27,24.27,24.27,2,24.27,24.3701
2020-03-13,24.27,24.27,24.27,24.27,0,24.27,24.3606
2020-03-16,24.27,24.27,24.27,24.27,0,24.27,24.352
2020-03-17,24.27,24.27,24.27,24.27,0,24.27,24.3441
2020-03-18,24.27,24.27,24.27,24.27,210,24.27,24.3371
2020-03-19,24.27,24.27,24.27,24.27,0,24.27,24.3307
2020-03-20,24.27,24.27,24.27,24.27,0,24.27,24.3249
2020-03-23,24.27,24.27,24.27,24.27,0,24.27,24.3197
2020-03-24,24.27,24.27,24.27,24.27,0,24.27,24.315
2020-03-25,24.27,24.27,24.27,24.27,0,24.27,24.3107
2020-03-26,26.69,26.69,26.69,26.69,100,24.391,24.5373
2020-03-27,26.69,26.69,26.69,26.69,0,24.512,24.7423
2020-03-30,26.69,26.69,26.69,26.69,0,24.633,24.9278
2020-03-31,26.69,26.69,26.69,26.69,0,24.754,25.0956
2020-04-01,26.69,26.69,26.69,26.69,0,24.875,25.2475
2020-04-03,26.69,26.69,26.69,26.69,0,24.996,25.3849
2020-04-06,26.69,26.69,26.69,26.69,0,25.117,25.5092
2020-04-07,26.69,26.69,26.69,26.69,0,25.238,25.6216
2020-04-08,26.69,26.69,26.69,26.69,0,25.359,25.7234
2020-04-09,26.69,26.69,26.69,26.69,0,25.48,25.8154
2020-04-10,24.27,24.27,24.04,24.04,2100,25.4685,25.6463
2020-04-13,26.32,26.32,24.04,24.04,3000,25.457,25.4934
2020-04-14,21.77,21.77,21.77,21.77,276,25.332,25.1387
2020-04-15,22.88,22.88,22.88,22.88,0,25.2625,24.9236
2020-04-16,22.88,22.88,22.88,22.88,0,25.193,24.729
2020-04-17,23.12,23.52,23.12,23.52,2447,25.1555,24.6139
2020-04-20,23.12,23.12,23.12,23.12,330,25.098,24.4716
2020-04-21,25.43,25.43,25.43,25.43,100,25.156,24.5629
2020-04-22,27.9,27.9,27.9,27.9,100,25.3375,24.8807
2020-04-23,27.9,27.9,27.9,27.9,0,25.519,25.1682
2020-04-24,27.9,27.9,27.9,27.9,0,25.5795,25.4284
2020-04-27,27.9,27.9,27.9,27.9,0,25.64,25.6638
2020-04-28,27.9,27.9,27.9,27.9,0,25.7005,25.8768
2020-04-29,27.9,27.9,27.9,27.9,0,25.761,26.0695
2020-05-04,27.67,27.67,27.67,27.67,800,25.81,26.2219
2020-05-05,27.67,27.67,27.67,27.67,443,25.859,26.3598
2020-05-06,27.67,27.67,27.67,27.67,0,25.908,26.4846
2020-05-07,27.67,27.67,27.67,27.67,0,25.957,26.5975
2020-05-08,27.67,27.67,27.67,27.67,0,26.006,26.6996
2020-05-11,27.67,27.67,27.67,27.67,0,26.055,26.792
2020-05-12,27.67,27.67,27.67,27.67,0,26.2365,26.8757
2020-05-13,27.67,27.67,27.67,27.67,0,26.418,26.9513
2020-05-14,27.67,27.67,27.67,27.67,0,26.713,27.0198
2020-05-15,27.67,27.67,27.67,27.67,0,26.9525,27.0817
2020-05-18,27.67,27.67,27.67,27.67,0,27.192,27.1377
2020-05-19,27.67,27.67,27.67,27.67,0,27.3995,27.1884
2020-05-20,27.67,27.67,27.67,27.67,0,27.627,27.2343
2020-05-21,27.67,27.67,27.67,27.67,0,27.739,27.2758
2020-05-22,27.67,27.67,27.67,27.67,0,27.7275,27.3133
2020-05-25,27.67,27.67,27.67,27.67,10,27.716,27.3473
2020-05-26,27.67,27.67,27.67,27.67,0,27.7045,27.378
2020-05-27,27.67,27.67,27.67,27.67,0,27.693,27.4058
2020-05-28,27.67,27.67,27.67,27.67,2,27.6815,27.431
2020-05-29,27.67,27.67,27.67,27.67,0,27.67,27.4538
2020-06-01,27.67,27.67,27.67,27.67,0,27.67,27.4743
2020-06-02,27.67,27.67,27.67,27.67,0,27.67,27.493
2020-06-03,27.67,27.67,27.67,27.67,0,27.67,27.5098
2020-06-04,27.67,27.67,27.67,27.67,0,27.67,27.5251
2020-06-05,27.11,27.11,27.11,27.11,2300,27.642,27.4856
2020-06-08,27.11,27.11,27.11,27.11,0,27.614,27.4498
2020-06-09,27.11,27.11,27.11,27.11,0,27.586,27.4174
2020-06-10,24.4,27.35,24.4,27.35,200,27.57,27.411
2020-06-11,27.35,27.35,27.35,27.35,0,27.554,27.4052
2020-06-12,27.35,27.35,27.35,27.35,0,27.538,27.3999
2020-06-15,27.35,27.35,27.35,27.35,0,27.522,27.3952
2020-06-16,24.64,24.64,24.64,24.64,100,27.3705,27.1328
2020-06-17,22.24,22.32,22.24,22.32,600,27.103,26.6744
2020-06-18,22.48,23.12,22.32,23.12,3000,26.8755,26.3359
2020-06-19,23.92,23.92,22.72,22.72,1800,26.628,25.9915
2020-06-22,22.72,22.72,22.32,22.32,500,26.3605,25.6419
2020-06-23,22.48,22.48,22.32,22.32,2600,26.093,25.3255
