time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.8,8.9,8.8,8.9,3300,,
2020-01-03,9.0,9.0,8.5,8.7,9500,,
2020-01-06,8.5,8.6,8.2,8.2,8100,,
2020-01-07,8.9,8.9,8.6,8.6,26850,,
2020-01-08,8.8,8.8,8.3,8.3,3800,,
2020-01-09,8.8,8.8,8.4,8.4,37649,,
2020-01-10,8.0,8.3,8.0,8.2,2600,,
2020-01-13,8.9,8.9,8.2,8.2,2000,,
2020-01-14,8.7,8.7,8.6,8.6,11220,,
2020-01-15,8.7,8.7,8.7,8.7,111,,
2020-01-16,8.2,8.2,7.9,8.1,20000,,
2020-01-17,8.5,8.5,8.0,8.0,16419,,
2020-01-20,8.0,8.0,7.7,8.0,11700,,
2020-01-21,8.1,8.1,7.9,7.9,14710,,
2020-01-22,8.0,8.0,8.0,8.0,16600,,
2020-01-30,7.9,8.4,7.8,8.0,5700,,
2020-01-31,8.1,8.1,7.0,7.0,18820,,
2020-02-03,7.0,7.3,6.9,7.0,15900,,
2020-02-04,7.0,7.2,7.0,7.0,39500,,
2020-02-05,8.0,8.0,7.0,7.4,33400,8.06,7.9374
2020-02-06,7.4,7.8,7.4,7.8,7100,8.005,7.9243
2020-02-07,7.9,8.0,7.6,8.0,4900,7.97,7.9315
2020-02-10,8.0,8.0,8.0,8.0,6500,7.96,7.9381
2020-02-11,7.2,7.2,7.1,7.1,4000,7.885,7.8582
2020-02-12,7.1,7.1,7.1,7.1,0,7.825,7.786
2020-02-13,7.9,8.0,7.8,8.0,3500,7.805,7.8064
2020-02-14,7.9,8.2,7.9,8.1,11615,7.8,7.8344
2020-02-17,9.2,9.2,8.4,8.5,3100,7.815,7.8978
2020-02-18,9.4,9.4,8.7,8.8,4900,7.825,7.9837
2020-02-19,9.4,9.4,9.4,9.4,1500,7.86,8.1186
2020-02-20,9.9,9.9,8.0,8.8,41900,7.895,8.1835
2020-02-21,9.1,9.1,8.3,8.5,16000,7.92,8.2136
2020-02-24,8.2,8.2,8.0,8.1,5000,7.925,8.2028
2020-02-25,8.4,8.8,8.1,8.1,2100,7.935,8.193
2020-02-26,8.1,8.1,8.1,8.1,3500,7.94,8.1841
2020-02-27,8.2,8.4,8.1,8.4,9101,7.96,8.2047
2020-02-28,8.2,8.2,8.0,8.0,6601,8.01,8.1852
2020-03-02,7.8,8.2,7.7,8.1,7419,8.065,8.1771
2020-03-03,8.1,8.1,8.1,8.1,8100,8.12,8.1698
2020-03-04,8.0,8.3,8.0,8.3,2100,8.165,8.1822
2020-03-05,8.6,8.6,8.2,8.2,4000,8.185,8.1839
2020-03-06,8.3,8.2,8.2,8.2,0,8.195,8.1854
2020-03-09,8.0,8.5,7.7,8.0,14300,8.195,8.1677
2020-03-10,8.3,8.3,7.9,7.9,2400,8.235,8.1422
2020-03-11,8.3,8.3,7.9,7.9,3600,8.275,8.1192
2020-03-12,8.0,7.9,7.9,7.9,0,8.27,8.0983
2020-03-13,8.2,8.2,7.2,8.1,8500,8.27,8.0985
2020-03-16,8.1,8.1,8.1,8.1,2100,8.25,8.0986
2020-03-17,8.1,8.1,8.1,8.1,12,8.215,8.0987
2020-03-18,7.1,8.0,7.1,7.9,2202,8.14,8.0798
2020-03-19,7.7,8.0,7.0,7.9,3400,8.095,8.0627
2020-03-20,7.0,7.6,7.0,7.6,2100,8.05,8.0186
2020-03-23,6.6,7.1,6.3,6.3,1612,7.96,7.8549
2020-03-24,5.7,7.0,5.7,7.0,3600,7.905,7.7735
