time,open,high,low,close,volume,SMA_20,EMA_20
2022-11-28,9.71,10.44,9.21,9.49,681600,,
2022-11-29,9.44,9.49,8.99,9.03,463300,,
2022-11-30,9.03,9.31,8.58,8.62,145600,,
2022-12-01,8.62,8.62,8.03,8.17,373900,,
2022-12-02,7.99,8.17,7.6,8.17,182700,,
2022-12-05,8.17,8.49,8.17,8.33,235000,,
2022-12-06,8.33,8.35,8.03,8.15,141800,,
2022-12-07,8.14,8.22,7.99,8.16,257600,,
2022-12-08,8.16,8.35,8.12,8.35,325300,,
2022-12-09,8.35,8.35,8.1,8.26,530200,,
2022-12-12,8.26,8.35,8.22,8.26,173600,,
2022-12-13,8.26,8.28,8.08,8.17,168400,,
2022-12-14,8.17,8.28,8.17,8.21,115400,,
2022-12-15,8.21,8.24,8.12,8.2,72300,,
2022-12-16,8.2,8.22,8.17,8.22,20400,,
2022-12-19,8.22,8.22,8.08,8.17,28500,,
2022-12-20,8.12,8.16,7.86,8.16,21800,,
2022-12-21,8.16,8.16,7.9,8.16,21300,,
2022-12-22,8.12,8.12,7.81,8.12,12700,,
2022-12-23,8.12,8.12,7.92,8.12,6700,8.326,8.3995
2022-12-26,8.08,8.12,7.88,8.12,15200,8.2575,8.3729
2022-12-27,8.12,8.12,7.99,8.12,7300,8.212,8.3488
2022-12-28,8.12,8.12,8.1,8.12,3800,8.187,8.327
2022-12-29,8.1,8.13,7.72,8.13,13000,8.185,8.3083
2022-12-30,8.13,8.17,8.12,8.17,8500,8.185,8.2951
2023-01-03,8.17,8.17,8.14,8.14,3300,8.1755,8.2803
2023-01-04,8.13,8.14,7.99,8.13,18700,8.1745,8.266
2023-01-05,8.13,8.14,8.13,8.14,13000,8.1735,8.254
2023-01-06,8.13,8.13,8.13,8.13,600,8.1625,8.2422
2023-01-09,8.13,8.13,8.12,8.12,300,8.1555,8.2306
2023-01-10,8.12,8.12,7.82,8.12,18800,8.1485,8.22
2023-01-11,8.08,8.13,8.03,8.12,13600,8.146,8.2105
2023-01-12,8.08,8.12,8.03,8.12,2800,8.1415,8.2019
2023-01-13,8.13,8.13,8.12,8.12,2800,8.1375,8.1941
2023-01-16,8.08,8.13,8.03,8.13,21900,8.133,8.188
2023-01-17,8.08,8.14,8.08,8.13,31900,8.131,8.1825
2023-01-18,8.13,8.13,8.13,8.13,800,8.1295,8.1775
2023-01-19,8.08,8.14,8.08,8.14,2500,8.1285,8.1739
2023-01-27,8.11,8.14,8.11,8.14,3200,8.1295,8.1707
2023-01-30,8.14,8.19,8.14,8.17,42600,8.132,8.1706
2023-01-31,8.17,8.17,8.12,8.16,36000,8.134,8.1696
2023-02-01,8.14,8.14,8.08,8.14,28100,8.135,8.1668
2023-02-02,8.12,8.16,7.9,7.9,45500,8.124,8.1414
2023-02-03,7.99,8.12,7.99,8.12,20400,8.1235,8.1393
2023-02-06,8.08,8.12,7.99,8.12,31800,8.121,8.1375
2023-02-07,8.08,8.13,8.08,8.13,11800,8.1205,8.1368
2023-02-08,8.13,8.15,7.62,7.9,44600,8.109,8.1142
2023-02-09,7.9,8.07,7.85,7.99,24600,8.1015,8.1024
2023-02-10,7.99,8.12,7.99,8.12,40700,8.101,8.1041
2023-02-13,8.12,8.15,7.99,8.12,36000,8.101,8.1056
2023-02-14,8.12,8.12,7.91,7.91,16800,8.0905,8.087
2023-02-15,7.99,8.13,7.9,8.12,35800,8.0905,8.0901
2023-02-16,8.12,8.12,8.05,8.12,26800,8.0905,8.093
2023-02-17,8.12,8.12,7.99,8.12,22500,8.0905,8.0955
2023-02-20,8.08,8.12,8.08,8.12,23100,8.09,8.0979
2023-02-21,8.1,8.11,8.1,8.11,10400,8.089,8.099
2023-02-22,8.01,8.11,7.99,8.11,59200,8.088,8.1001
2023-02-23,8.03,8.06,7.86,8.06,13200,8.084,8.0962
2023-02-24,8.06,8.13,8.06,8.13,41000,8.0835,8.0995
2023-02-27,8.03,8.13,7.99,8.11,65500,8.0805,8.1005
2023-02-28,8.12,8.12,8.12,8.12,35200,8.0785,8.1023
2023-03-01,8.12,8.12,8.11,8.11,2800,8.077,8.1031
2023-03-02,8.02,8.11,8.02,8.11,1700,8.0875,8.1037
2023-03-03,8.11,8.12,8.04,8.11,80400,8.087,8.1043
2023-03-06,8.03,8.11,8.03,8.11,6000,8.0865,8.1049
2023-03-07,8.11,8.12,8.11,8.12,21400,8.086,8.1063
2023-03-08,8.12,8.12,8.12,8.12,3800,8.097,8.1076
2023-03-09,8.12,8.12,8.12,8.12,6300,8.1035,8.1088
2023-03-10,7.99,8.12,7.99,8.12,8500,8.1035,8.1099
2023-03-13,8.12,8.12,8.08,8.08,6900,8.1015,8.107
2023-03-14,8.0,8.1,8.0,8.1,3200,8.111,8.1063
2023-03-15,8.08,8.08,8.08,8.08,1200,8.109,8.1038
2023-03-16,8.08,8.08,8.07,8.08,2400,8.107,8.1016
2023-03-17,8.07,8.07,7.97,8.05,6400,8.1035,8.0967
2023-03-20,8.05,8.05,8.0,8.0,5900,8.0975,8.0874
2023-03-21,8.0,8.01,8.0,8.01,1400,8.0925,8.0801
2023-03-22,8.01,8.01,7.98,7.98,5800,8.086,8.0705
2023-03-23,7.98,8.02,7.98,8.02,7300,8.084,8.0657
2023-03-24,8.02,8.02,7.99,7.99,2900,8.077,8.0585
2023-03-27,7.99,7.99,7.85,7.85,9300,8.064,8.0387
2023-03-28,7.85,7.85,7.85,7.85,4600,8.0505,8.0207
2023-03-29,7.86,7.94,7.86,7.93,7000,8.0415,8.0121
2023-03-30,7.93,7.93,7.92,7.92,2500,8.032,8.0033
2023-03-31,7.92,7.92,7.86,7.86,5300,8.0195,7.9896
2023-04-03,7.82,7.82,7.81,7.81,3100,8.0045,7.9725
2023-04-04,7.39,7.81,7.39,7.81,300,7.989,7.9571
2023-04-05,7.53,7.74,7.53,7.74,2300,7.97,7.9364
2023-04-06,7.72,7.72,7.61,7.61,6100,7.9445,7.9053
2023-04-07,7.71,7.8,7.71,7.8,300,7.9285,7.8953
2023-04-10,7.71,7.72,7.71,7.72,300,7.9105,7.8786
2023-04-11,7.72,7.72,7.72,7.72,0,7.8915,7.8635
2023-04-12,7.7,7.7,7.7,7.7,300,7.8725,7.8479
2023-04-13,7.89,7.89,7.89,7.89,100,7.863,7.8519
2023-04-14,7.89,7.89,7.89,7.89,0,7.855,7.8555
2023-04-17,7.89,7.89,7.89,7.89,0,7.8495,7.8588
2023-04-18,7.38,7.53,7.38,7.53,1000,7.8255,7.8275
2023-04-19,7.53,7.53,7.53,7.53,0,7.803,7.7992
2023-04-20,7.53,7.53,7.53,7.53,0,7.7785,7.7735
2023-04-21,7.53,7.53,7.53,7.53,0,7.7555,7.7503
2023-04-24,7.53,7.53,7.53,7.53,100,7.7395,7.7294
2023-04-25,7.53,7.53,7.53,7.53,0,7.7235,7.7104
2023-04-26,7.53,7.53,7.53,7.53,0,7.7035,7.6932
2023-04-27,7.44,7.44,7.44,7.44,100,7.6795,7.6691
2023-04-28,7.44,7.44,7.06,7.11,1000,7.642,7.6158
2023-05-04,6.84,6.84,6.72,6.81,1300,7.592,7.5391
2023-05-05,6.81,6.81,6.35,6.35,12400,7.519,7.4258
2023-05-08,6.17,6.35,6.13,6.35,600,7.4495,7.3234
2023-05-09,6.35,6.35,6.35,6.35,0,7.3865,7.2307
2023-05-10,6.35,6.45,6.35,6.35,1300,7.314,7.1468
2023-05-11,6.17,6.17,6.17,6.17,1200,7.2365,7.0538
2023-05-12,6.15,6.53,5.9,6.52,25900,7.1765,7.0029
2023-05-15,6.52,6.52,6.51,6.51,300,7.117,6.956
2023-05-16,6.52,6.66,6.49,6.52,600,7.0485,6.9145
2023-05-17,6.56,6.59,6.31,6.35,2900,6.9715,6.8607
2023-05-18,6.35,6.61,6.17,6.17,1100,6.8855,6.7949
2023-05-19,6.26,6.32,6.18,6.32,1410,6.825,6.7497
2023-05-22,6.42,6.42,6.17,6.4,700,6.7685,6.7164
2023-05-23,6.4,6.45,6.27,6.27,3900,6.7055,6.6739
2023-05-24,6.4,6.4,6.26,6.37,4800,6.6475,6.6449
2023-05-25,6.39,6.39,6.36,6.36,1200,6.589,6.6178
2023-05-26,5.95,6.39,5.95,6.39,3100,6.532,6.5961
2023-05-29,6.39,6.45,6.39,6.45,2700,6.478,6.5822
2023-05-30,6.47,6.47,6.47,6.47,200,6.4295,6.5715
2023-05-31,6.47,6.48,6.26,6.48,1600,6.398,6.5628
2023-06-01,6.55,6.56,6.55,6.55,900,6.385,6.5616
2023-06-02,6.59,6.59,6.45,6.57,11550,6.396,6.5624
2023-06-05,6.57,6.57,6.57,6.57,0,6.407,6.5631
2023-06-06,6.57,6.57,6.57,6.57,0,6.418,6.5638
2023-06-07,6.38,6.56,6.38,6.5,2300,6.4255,6.5577
2023-06-08,6.21,6.47,6.2,6.36,4100,6.435,6.5389
2023-06-09,6.36,6.5,6.36,6.47,400,6.4325,6.5323
2023-06-12,6.49,6.54,6.47,6.49,3400,6.4315,6.5283
2023-06-13,6.54,6.54,6.4,6.48,300,6.4295,6.5237
2023-06-14,6.45,6.51,6.36,6.49,7200,6.4365,6.5205
2023-06-15,6.54,6.54,6.49,6.5,1700,6.453,6.5185
2023-06-16,6.53,6.53,6.35,6.47,4800,6.4605,6.5139
2023-06-19,6.52,6.52,6.4,6.4,1800,6.4605,6.5031
2023-06-20,6.44,6.52,6.35,6.52,3700,6.473,6.5047
2023-06-21,6.8,6.8,6.62,6.62,603,6.4855,6.5156
2023-06-22,6.62,6.62,6.62,6.62,0,6.4985,6.5256
2023-06-23,6.68,6.68,6.68,6.68,401,6.513,6.5403
2023-06-26,6.66,6.68,6.66,6.68,12600,6.5245,6.5536
2023-06-27,6.72,6.72,6.72,6.72,100,6.537,6.5694
2023-06-28,6.67,7.17,6.67,7.14,47036,6.57,6.6238
2023-06-29,7.23,7.23,7.23,7.23,100,6.604,6.6815
2023-06-30,7.22,7.53,7.22,7.26,65600,6.6385,6.7366
2023-07-03,7.26,7.26,7.26,7.26,0,6.673,6.7865
2023-07-04,7.26,7.26,6.77,6.77,2336,6.683,6.7849
2023-07-05,7.09,7.13,7.09,7.13,900,6.7145,6.8178
2023-07-06,7.18,7.18,7.13,7.13,4100,6.753,6.8475
2023-07-07,7.23,7.23,7.2,7.2,1201,6.7895,6.8811
2023-07-10,7.2,7.2,7.2,7.2,535,6.825,6.9114
2023-07-11,7.08,7.08,6.9,6.9,2500,6.846,6.9104
2023-07-12,7.25,7.25,7.17,7.17,200,6.88,6.9351
2023-07-13,6.82,7.06,6.81,7.06,1400,6.908,6.947
2023-07-14,6.81,7.05,6.81,7.05,5400,6.937,6.9568
2023-07-17,6.9,7.17,6.57,6.57,33100,6.9455,6.92
2023-07-18,6.89,6.89,6.89,6.89,200,6.964,6.9171
2023-07-19,6.81,6.81,6.8,6.81,7400,6.9735,6.9069
2023-07-20,7.07,7.08,7.07,7.08,11000,6.9965,6.9234
2023-07-21,7.08,7.22,6.9,7.21,11400,7.023,6.9507
2023-07-24,7.56,7.56,7.26,7.26,3000,7.052,6.9801
2023-07-25,7.17,7.22,7.17,7.22,1100,7.077,7.003
