time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.51,11.51,11.51,11.51,100,,
2020-01-03,11.51,11.51,11.51,11.51,0,,
2020-01-06,11.51,11.51,11.51,11.51,0,,
2020-01-07,11.51,11.51,11.51,11.51,0,,
2020-01-08,11.51,11.51,11.51,11.51,0,,
2020-01-09,11.51,11.51,11.51,11.51,0,,
2020-01-10,11.51,11.51,11.51,11.51,0,,
2020-01-13,11.51,11.51,11.51,11.51,0,,
2020-01-14,9.84,9.84,9.84,9.84,400,,
2020-01-15,9.28,9.28,9.1,9.1,1700,,
2020-01-16,9.28,9.28,9.28,9.28,2000,,
2020-01-17,10.12,10.12,9.1,9.1,1500,,
2020-01-20,9.47,9.47,9.47,9.47,500,,
2020-01-21,9.28,9.28,9.28,9.28,100,,
2020-01-22,9.28,9.28,9.28,9.28,0,,
2020-01-30,8.35,8.35,8.35,8.35,900,,
2020-01-31,8.35,8.35,8.35,8.35,0,,
2020-02-03,8.35,8.35,8.35,8.35,0,,
2020-02-04,9.47,9.47,9.47,9.47,300,,
2020-02-05,9.28,9.28,9.28,9.28,400,10.0615,9.7826
2020-02-06,9.28,9.28,9.28,9.28,0,9.95,9.7348
2020-02-07,9.93,9.93,9.93,9.93,200,9.871,9.7534
2020-02-10,9.28,9.28,9.28,9.28,1600,9.7595,9.7083
2020-02-11,10.02,10.02,9.28,9.28,800,9.648,9.6675
2020-02-12,9.56,9.28,9.28,9.28,0,9.5365,9.6306
2020-02-13,10.21,10.21,10.21,10.21,300,9.4715,9.6858
2020-02-14,10.21,10.21,10.21,10.21,0,9.4065,9.7357
2020-02-17,9.75,9.75,9.75,9.75,100,9.3185,9.7371
2020-02-18,9.75,9.75,9.75,9.75,0,9.314,9.7383
2020-02-19,9.75,9.75,9.75,9.75,0,9.3465,9.7394
2020-02-20,9.75,9.75,9.75,9.75,0,9.37,9.7404
2020-02-21,9.75,9.75,9.75,9.75,0,9.4025,9.7413
2020-02-24,9.75,9.75,9.75,9.75,0,9.4165,9.7422
2020-02-25,10.67,10.67,10.67,10.67,300,9.486,9.8305
2020-02-26,10.67,10.67,10.67,10.67,0,9.5555,9.9105
2020-02-27,10.67,10.67,10.67,10.67,0,9.6715,9.9828
2020-02-28,9.1,9.1,9.1,9.1,1000,9.709,9.8987
2020-03-02,9.1,9.1,9.1,9.1,0,9.7465,9.8227
2020-03-03,9.1,9.1,9.1,9.1,0,9.728,9.7538
2020-03-04,9.1,9.1,9.1,9.1,0,9.719,9.6916
2020-03-05,9.1,9.1,9.1,9.1,0,9.71,9.6352
2020-03-06,9.1,9.1,9.1,9.1,0,9.6685,9.5843
2020-03-09,9.1,9.1,9.1,9.1,0,9.6595,9.5381
2020-03-10,9.1,9.1,9.1,9.1,0,9.6505,9.4964
2020-03-11,9.1,9.1,9.1,9.1,0,9.6415,9.4587
2020-03-12,9.1,9.1,9.1,9.1,0,9.586,9.4245
