time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.8,1.8,1.8,1.8,8600,,
2020-01-03,1.8,1.9,1.8,1.8,8400,,
2020-01-06,1.8,1.9,1.8,1.9,91900,,
2020-01-07,2.0,2.0,1.9,1.9,98500,,
2020-01-08,1.9,2.0,1.8,1.8,60600,,
2020-01-09,1.9,1.9,1.7,1.9,35600,,
2020-01-10,1.8,1.9,1.8,1.9,10100,,
2020-01-13,1.9,1.9,1.9,1.9,300,,
2020-01-14,1.8,1.9,1.8,1.9,10300,,
2020-01-15,1.8,1.8,1.8,1.8,7000,,
2020-01-16,1.8,1.8,1.7,1.7,114700,,
2020-01-17,1.7,1.8,1.7,1.7,51800,,
2020-01-20,1.7,1.8,1.6,1.6,43700,,
2020-01-21,1.7,1.7,1.7,1.7,33020,,
2020-01-22,1.6,1.7,1.6,1.7,100800,,
2020-01-30,1.7,1.8,1.7,1.7,42000,,
2020-01-31,1.7,1.8,1.6,1.7,84400,,
2020-02-03,1.7,1.7,1.6,1.6,86000,,
2020-02-04,1.5,1.6,1.5,1.6,61200,,
2020-02-05,1.6,1.6,1.5,1.5,45600,1.755,1.7112
2020-02-06,1.5,1.6,1.5,1.6,34800,1.745,1.7006
2020-02-07,1.6,1.6,1.5,1.6,94000,1.735,1.691
2020-02-10,1.5,1.6,1.5,1.5,106510,1.715,1.6728
2020-02-11,1.5,1.6,1.5,1.6,16000,1.7,1.6659
2020-02-12,1.6,1.6,1.5,1.5,18700,1.685,1.6501
2020-02-13,1.5,1.6,1.5,1.5,85800,1.665,1.6358
2020-02-14,1.5,1.5,1.4,1.4,39100,1.64,1.6133
2020-02-17,1.5,1.5,1.5,1.5,43100,1.62,1.6026
2020-02-18,1.4,1.5,1.4,1.5,63900,1.6,1.5928
2020-02-19,1.4,1.5,1.4,1.5,26000,1.585,1.5839
2020-02-20,1.5,1.6,1.5,1.6,200,1.58,1.5855
2020-02-21,1.6,1.6,1.5,1.6,10100,1.575,1.5869
2020-02-24,1.5,1.6,1.5,1.6,90300,1.575,1.5881
2020-02-25,1.5,1.6,1.5,1.5,29600,1.565,1.5797
2020-02-26,1.5,1.5,1.5,1.5,1000,1.555,1.5721
2020-02-27,1.4,1.5,1.4,1.5,27000,1.545,1.5653
2020-02-28,1.4,1.5,1.4,1.5,20200,1.535,1.559
2020-03-02,1.5,1.5,1.5,1.5,700,1.53,1.5534
2020-03-03,1.5,1.5,1.5,1.5,9600,1.525,1.5483
2020-03-04,1.5,1.6,1.5,1.6,41400,1.53,1.5533
2020-03-05,1.5,1.6,1.5,1.6,300,1.53,1.5577
2020-03-06,1.5,1.6,1.5,1.6,20400,1.53,1.5617
2020-03-09,1.5,1.5,1.5,1.5,700,1.53,1.5559
2020-03-10,1.5,1.5,1.4,1.5,40000,1.525,1.5505
2020-03-11,1.4,1.4,1.4,1.4,50000,1.52,1.5362
2020-03-12,1.3,1.3,1.3,1.3,10000,1.51,1.5137
2020-03-13,1.2,1.3,1.2,1.3,61000,1.505,1.4934
2020-03-16,1.2,1.3,1.2,1.2,19400,1.49,1.4654
2020-03-17,1.3,1.3,1.2,1.3,8900,1.48,1.4497
2020-03-18,1.3,1.4,1.3,1.3,17310,1.47,1.4354
2020-03-19,1.3,1.3,1.2,1.3,26000,1.455,1.4225
2020-03-20,1.3,1.4,1.3,1.4,57130,1.445,1.4204
2020-03-23,1.3,1.3,1.3,1.3,18400,1.43,1.4089
2020-03-24,1.2,1.3,1.2,1.3,44700,1.42,1.3985
2020-03-25,1.2,1.2,1.2,1.2,11900,1.405,1.3796
2020-03-26,1.3,1.3,1.2,1.3,5200,1.395,1.372
2020-03-27,1.3,1.3,1.3,1.3,100,1.385,1.3652
2020-03-30,1.2,1.2,1.2,1.2,6200,1.37,1.3494
2020-03-31,1.1,1.2,1.1,1.1,43700,1.35,1.3257
2020-04-01,1.2,1.2,1.0,1.2,4500,1.33,1.3137
2020-04-03,1.2,1.3,1.2,1.3,14920,1.315,1.3124
2020-04-06,1.3,1.4,1.3,1.4,20400,1.305,1.3208
2020-04-07,1.4,1.4,1.3,1.3,15200,1.295,1.3188
2020-04-08,1.2,1.3,1.2,1.3,1300,1.285,1.317
2020-04-09,1.3,1.3,1.2,1.3,13130,1.28,1.3154
2020-04-10,1.2,1.3,1.2,1.3,34600,1.28,1.3139
2020-04-13,1.3,1.3,1.3,1.3,200,1.28,1.3126
2020-04-14,1.3,1.3,1.2,1.3,3100,1.285,1.3114
2020-04-15,1.2,1.3,1.2,1.3,11020,1.285,1.3103
2020-04-16,1.3,1.3,1.3,1.3,3200,1.285,1.3093
2020-04-17,1.3,1.3,1.2,1.3,1600,1.285,1.3084
2020-04-20,1.3,1.4,1.3,1.4,14600,1.285,1.3172
2020-04-21,1.4,1.4,1.3,1.3,605,1.285,1.3155
2020-04-22,1.3,1.3,1.2,1.3,21905,1.285,1.314
2020-04-23,1.3,1.4,1.2,1.3,14500,1.29,1.3127
