time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,17.5,17.5,17.5,17.5,36000,,
2020-01-03,17.5,17.5,17.5,17.5,10000,,
2020-01-06,17.5,17.5,17.5,17.5,1000,,
2020-01-07,17.68,17.68,17.68,17.68,100,,
2020-01-08,17.5,17.5,17.5,17.5,2000,,
2020-01-09,17.38,17.38,17.38,17.38,1200,,
2020-01-10,17.62,17.8,17.2,17.5,15200,,
2020-01-13,17.74,17.74,17.68,17.68,2300,,
2020-01-14,17.68,17.68,17.68,17.68,0,,
2020-01-15,17.68,17.68,17.68,17.68,0,,
2020-01-16,17.5,17.62,17.5,17.62,4000,,
2020-01-17,17.74,17.8,17.74,17.74,17400,,
2020-01-20,17.5,17.5,17.5,17.5,800,,
2020-01-21,18.33,18.33,18.33,18.33,5000,,
2020-01-22,18.33,18.33,18.33,18.33,0,,
2020-01-30,18.33,18.33,18.33,18.33,0,,
2020-01-31,18.33,18.33,18.33,18.33,0,,
2020-02-03,17.97,17.97,17.8,17.8,10600,,
2020-02-04,17.8,17.8,17.8,17.8,3100,,
2020-02-05,17.8,17.8,17.8,17.8,0,17.759,17.8133
2020-02-06,19.46,19.46,19.46,19.46,100,17.857,17.9701
2020-02-07,19.46,19.46,19.46,19.46,0,17.955,18.112
2020-02-10,19.46,19.46,19.46,19.46,0,18.053,18.2404
2020-02-11,17.8,17.8,17.8,17.8,500,18.059,18.1985
2020-02-12,17.8,19.34,17.8,19.34,10100,18.151,18.3072
2020-02-13,17.91,17.91,17.91,17.91,100,18.1775,18.2694
2020-02-14,17.91,17.91,17.91,17.91,0,18.198,18.2351
2020-02-17,18.39,18.39,17.91,17.91,10540,18.2095,18.2042
2020-02-18,18.03,18.69,18.03,18.69,1100,18.26,18.2504
2020-02-19,18.39,18.39,17.8,18.39,21000,18.2955,18.2637
2020-02-20,18.09,18.09,18.09,18.09,500,18.319,18.2472
2020-02-21,17.97,17.97,17.8,17.8,4000,18.322,18.2046
2020-02-24,17.8,17.8,17.8,17.8,0,18.337,18.1661
2020-02-25,17.85,18.03,17.85,18.03,3700,18.322,18.1531
2020-02-26,18.03,18.03,18.03,18.03,0,18.307,18.1414
2020-02-27,18.03,18.03,18.03,18.03,0,18.292,18.1308
2020-02-28,18.03,18.03,18.03,18.03,0,18.277,18.1212
2020-03-02,18.03,18.03,18.03,18.03,0,18.2885,18.1125
2020-03-03,18.03,18.03,18.03,18.03,0,18.3,18.1046
2020-03-04,18.39,18.39,18.39,18.39,1000,18.3295,18.1318
2020-03-05,18.39,18.69,18.39,18.69,7500,18.291,18.185
2020-03-06,19.43,19.43,19.43,19.43,0,18.2895,18.3035
2020-03-09,19.43,19.43,19.43,19.43,0,18.288,18.4108
2020-03-10,19.43,19.43,19.43,19.43,0,18.3695,18.5079
2020-03-11,19.43,19.43,19.43,19.43,0,18.374,18.5957
2020-03-12,18.19,18.75,18.19,18.75,1100,18.416,18.6104
2020-03-13,19.12,19.12,18.5,18.81,700,18.461,18.6294
2020-03-16,18.81,18.81,18.81,18.81,0,18.506,18.6466
2020-03-17,18.81,18.81,18.81,18.81,0,18.512,18.6622
2020-03-18,20.35,20.35,20.35,20.35,100,18.61,18.8229
2020-03-19,20.35,20.35,20.35,20.35,0,18.723,18.9684
2020-03-20,20.35,20.35,20.35,20.35,0,18.8505,19.0999
