time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,13.33,13.33,12.96,13.17,16587,,
2020-01-03,13.59,13.59,13.38,13.38,3507,,
2020-01-06,13.38,13.38,13.38,13.38,2549,,
2020-01-07,13.17,13.34,13.04,13.34,9600,,
2020-01-08,13.0,13.3,12.79,13.3,19027,,
2020-01-09,13.0,13.04,12.96,13.04,10402,,
2020-01-10,13.42,13.42,13.0,13.13,14260,,
2020-01-13,13.17,13.3,13.08,13.3,5781,,
2020-01-14,13.3,13.3,13.13,13.13,2010,,
2020-01-15,13.04,13.04,12.96,12.96,8500,,
2020-01-16,13.17,13.17,13.04,13.04,17621,,
2020-01-17,13.04,13.17,13.04,13.08,36340,,
2020-01-20,13.0,13.55,13.0,13.55,12048,,
2020-01-21,13.47,13.51,13.38,13.51,45646,,
2020-01-22,13.25,13.51,13.25,13.51,2607,,
2020-01-30,13.3,13.59,13.17,13.59,16528,,
2020-01-31,13.38,13.38,12.87,12.87,57605,,
2020-02-03,12.74,12.74,12.02,12.11,107520,,
2020-02-04,12.11,12.28,12.06,12.11,63920,,
2020-02-05,12.11,12.32,12.11,12.11,62662,13.0805,12.9512
2020-02-06,12.11,12.32,12.11,12.32,71060,13.038,12.8911
2020-02-07,12.32,12.36,12.32,12.32,94671,12.985,12.8367
2020-02-10,12.32,12.45,12.28,12.32,74700,12.932,12.7875
2020-02-11,12.32,12.36,12.32,12.32,70372,12.881,12.743
2020-02-12,12.36,12.36,12.32,12.32,77260,12.832,12.7027
2020-02-13,12.32,12.32,12.28,12.32,84930,12.796,12.6662
2020-02-14,12.32,12.32,12.28,12.32,65400,12.7555,12.6333
2020-02-17,12.32,12.4,12.28,12.32,153640,12.7065,12.6034
2020-02-18,12.32,13.38,12.32,13.17,519553,12.7085,12.6574
2020-02-19,13.17,13.38,12.96,13.17,24620,12.719,12.7062
2020-02-20,13.38,13.38,13.17,13.17,17400,12.7255,12.7504
2020-02-21,12.96,13.13,12.53,12.87,61545,12.715,12.7618
2020-02-24,12.32,12.36,12.11,12.19,12540,12.647,12.7073
2020-02-25,12.19,12.45,12.19,12.36,16830,12.5895,12.6742
2020-02-26,12.4,12.4,12.23,12.32,27900,12.53,12.6405
2020-02-27,12.32,12.32,12.28,12.28,46345,12.4645,12.6062
2020-02-28,12.15,12.28,12.11,12.19,20605,12.4305,12.5665
2020-03-02,12.19,12.23,12.11,12.11,46940,12.4305,12.5231
2020-03-03,12.11,12.28,12.06,12.11,86700,12.4305,12.4837
2020-03-04,12.11,12.11,12.06,12.11,157529,12.4305,12.4481
2020-03-05,12.23,13.3,12.23,12.83,37510,12.456,12.4845
2020-03-06,12.4,12.4,12.4,12.4,1400,12.46,12.4764
2020-03-09,12.11,12.11,11.89,11.89,167310,12.4385,12.4206
2020-03-10,11.89,12.06,11.81,12.02,58000,12.4235,12.3824
2020-03-11,12.06,12.06,11.89,11.98,19669,12.4065,12.3441
2020-03-12,11.85,11.89,11.38,11.89,23800,12.385,12.3009
2020-03-13,11.47,11.47,11.17,11.47,26820,12.3425,12.2217
2020-03-16,11.47,11.47,11.47,11.47,19820,12.3,12.1501
2020-03-17,11.47,11.55,11.43,11.55,58370,12.219,12.093
2020-03-18,12.28,12.28,11.6,11.94,22670,12.1575,12.0784
2020-03-19,11.77,11.89,11.68,11.89,20900,12.0935,12.0605
2020-03-20,11.98,11.98,11.85,11.85,11830,12.0425,12.0404
2020-03-23,11.89,11.89,11.38,11.47,72964,12.0065,11.9861
2020-03-24,11.47,11.51,11.47,11.47,63723,11.962,11.9369
