time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,32.66,32.72,31.49,31.99,276470,,
2020-01-03,31.88,32.05,31.16,31.16,265990,,
2020-01-06,30.99,31.16,30.82,31.05,269800,,
2020-01-07,30.82,31.38,30.82,31.33,311040,,
2020-01-08,30.88,31.05,29.99,30.05,440790,,
2020-01-09,30.88,30.94,30.05,30.94,257670,,
2020-01-10,30.82,31.16,30.82,31.05,234100,,
2020-01-13,30.82,31.1,30.44,30.6,342540,,
2020-01-14,30.44,30.94,30.44,30.82,226900,,
2020-01-15,30.6,30.88,30.32,30.6,212400,,
2020-01-16,30.6,31.16,30.6,31.16,336550,,
2020-01-17,30.88,31.27,30.66,31.16,271200,,
2020-01-20,31.1,31.21,30.88,31.16,282740,,
2020-01-21,31.05,31.27,30.55,31.16,468120,,
2020-01-22,31.05,31.16,30.88,31.16,292410,,
2020-01-30,30.88,31.16,30.1,30.66,413700,,
2020-01-31,30.55,30.88,30.05,30.66,734180,,
2020-02-03,30.6,31.33,30.32,31.16,587350,,
2020-02-04,31.05,31.33,30.21,30.6,573950,,
2020-02-05,30.6,31.27,29.88,30.05,529660,30.926,30.9862
2020-02-06,29.77,30.49,29.38,29.49,1352200,30.801,30.8437
2020-02-07,29.77,30.32,29.49,30.1,367780,30.748,30.7728
2020-02-10,30.16,30.16,29.6,30.1,335600,30.7005,30.7088
2020-02-11,30.16,30.6,29.49,30.16,422890,30.642,30.6565
2020-02-12,30.21,30.38,29.6,30.27,481440,30.653,30.6197
2020-02-13,30.21,30.32,29.71,30.32,455910,30.622,30.5911
2020-02-14,30.21,30.27,29.66,30.16,592440,30.5775,30.5501
2020-02-17,30.05,30.21,29.6,30.21,502660,30.558,30.5177
2020-02-18,30.21,30.27,29.54,30.05,780110,30.5195,30.4732
2020-02-19,30.1,30.1,29.49,30.1,767180,30.4945,30.4376
2020-02-20,30.16,30.6,30.1,30.32,429000,30.4525,30.4264
2020-02-21,30.32,30.32,29.88,30.05,250410,30.397,30.3906
2020-02-24,30.05,30.05,29.6,29.82,338570,30.33,30.3362
2020-02-25,29.77,29.88,29.49,29.88,579540,30.266,30.2928
2020-02-26,29.82,29.93,29.66,29.93,376460,30.2045,30.2582
2020-02-27,29.93,29.99,29.54,29.99,316500,30.171,30.2327
2020-02-28,29.66,29.82,29.38,29.77,858160,30.1265,30.1886
2020-03-02,29.66,29.88,29.54,29.82,524050,30.0595,30.1535
2020-03-03,29.66,30.1,29.66,29.88,721830,30.0235,30.1275
2020-03-04,29.88,30.27,29.49,29.93,586250,30.0175,30.1087
2020-03-05,29.93,30.32,29.6,29.99,639330,30.0425,30.0974
2020-03-06,29.77,30.05,29.49,30.05,581020,30.04,30.0928
2020-03-09,29.49,30.05,28.77,29.49,612380,30.0095,30.0354
2020-03-10,28.93,29.71,28.93,29.49,692090,29.976,29.9835
2020-03-11,29.49,29.54,28.82,29.49,777760,29.937,29.9365
2020-03-12,29.49,29.49,28.71,29.38,425390,29.89,29.8835
2020-03-13,29.04,29.49,28.49,29.49,357570,29.8565,29.846
2020-03-16,29.38,29.38,28.43,28.71,405920,29.7815,29.7378
2020-03-17,28.65,28.71,28.27,28.65,306060,29.7115,29.6342
2020-03-18,28.54,28.65,27.82,28.38,464360,29.6255,29.5148
2020-03-19,28.38,28.38,27.88,28.38,709880,29.5285,29.4067
2020-03-20,28.38,28.38,27.32,28.38,2921160,29.445,29.3089
2020-03-23,28.1,28.93,27.49,28.93,915750,29.4005,29.2728
2020-03-24,28.65,29.21,28.6,28.93,418880,29.353,29.2402
2020-03-25,28.93,29.04,28.54,28.99,316070,29.306,29.2164
2020-03-26,28.65,28.93,28.38,28.82,225930,29.2475,29.1786
2020-03-27,28.93,28.93,28.38,28.93,729270,29.2055,29.1549
2020-03-30,28.71,28.93,28.43,28.88,239260,29.1585,29.1287
2020-03-31,28.71,28.93,28.71,28.88,452830,29.1085,29.1051
2020-04-01,28.88,28.93,28.77,28.82,462500,29.053,29.0779
2020-04-03,28.82,28.88,28.49,28.88,376190,28.9975,29.0591
2020-04-06,28.88,28.93,28.6,28.93,244740,28.9415,29.0468
2020-04-07,28.93,28.99,28.27,28.77,589840,28.9055,29.0204
2020-04-08,28.77,28.93,28.49,28.93,281500,28.8775,29.0118
2020-04-09,28.99,29.49,28.82,28.93,532050,28.8495,29.004
2020-04-10,28.93,28.93,28.6,28.93,232060,28.827,28.997
2020-04-13,28.88,28.99,28.6,28.93,291630,28.799,28.9906
2020-04-14,28.82,28.88,28.54,28.88,409520,28.8075,28.9801
2020-04-15,28.82,28.93,28.49,28.88,446900,28.819,28.9705
2020-04-16,28.77,28.88,28.6,28.88,455280,28.844,28.9619
2020-04-17,28.99,29.49,28.88,29.32,640160,28.891,28.996
2020-04-20,29.32,29.49,28.49,29.32,886650,28.938,29.0269
2020-04-21,28.93,29.38,28.65,29.21,653990,28.952,29.0443
2020-04-22,28.99,29.21,28.49,29.21,738970,28.966,29.0601
2020-04-23,29.21,29.88,28.65,29.27,1156010,28.98,29.0801
2020-04-24,29.21,29.77,28.65,29.49,1107560,29.0135,29.1191
2020-04-27,29.49,29.82,28.77,29.38,853170,29.036,29.144
