time,open,high,low,close,volume,SMA_20,EMA_20
2022-01-10,50.4,50.4,50.4,50.4,100,,
2022-01-11,57.9,57.9,57.9,57.9,500,,
2022-01-12,66.5,66.5,66.5,66.5,1800,,
2022-01-13,76.4,76.4,76.4,76.4,79900,,
2022-01-14,87.8,87.8,76.4,76.8,122700,,
2022-01-17,76.8,79.5,72.5,73.5,70700,,
2022-01-18,72.8,72.8,65.5,66.5,80600,,
2022-01-19,60.0,65.0,58.4,60.2,96400,,
2022-01-20,59.9,62.8,59.2,62.5,66600,,
2022-01-21,60.4,64.1,60.4,62.2,100600,,
2022-01-24,62.9,63.3,59.2,59.6,76000,,
2022-01-25,60.0,60.6,58.8,60.6,55400,,
2022-01-26,60.0,62.5,60.0,62.5,47000,,
2022-01-27,60.5,60.5,59.1,59.8,65800,,
2022-01-28,60.3,60.3,58.7,59.8,35800,,
2022-02-07,59.8,60.8,59.8,60.0,70700,,
2022-02-08,59.9,62.0,59.9,61.0,55200,,
2022-02-09,60.5,65.0,60.5,64.8,106000,,
2022-02-10,63.6,65.9,63.6,65.3,71000,,
2022-02-11,65.3,65.5,62.8,64.0,60000,63.515,61.3537
2022-02-14,64.8,64.8,61.0,61.0,97000,64.045,61.32
2022-02-15,60.5,61.0,59.1,59.6,80500,64.13,61.1562
2022-02-16,60.2,60.5,57.0,58.0,99700,63.705,60.8556
2022-02-17,58.3,59.1,57.1,57.1,67300,62.74,60.4979
2022-02-18,57.5,58.0,57.4,57.7,51400,61.785,60.2315
2022-02-21,57.8,62.5,57.3,60.0,133900,61.11,60.2094
2022-02-22,59.8,60.3,58.6,58.8,60200,60.725,60.0752
2022-02-23,58.8,58.9,57.5,58.2,48400,60.625,59.8966
2022-02-24,58.0,58.2,56.0,56.2,80900,60.31,59.5445
2022-02-25,56.2,57.6,55.5,55.6,93700,59.98,59.1689
2022-02-28,56.3,56.5,55.8,56.0,70500,59.8,58.8671
2022-03-01,56.1,56.1,55.2,55.5,60300,59.545,58.5464
2022-03-02,56.0,57.5,55.3,57.5,152000,59.295,58.4467
2022-03-03,55.8,61.0,55.8,58.0,105300,59.205,58.4042
2022-03-04,58.7,58.7,57.0,57.8,53500,59.105,58.3467
2022-03-07,57.6,60.6,57.3,57.9,86600,59.0,58.3041
2022-03-08,57.9,57.9,56.5,57.8,111000,58.84,58.2561
2022-03-09,57.4,58.0,56.9,58.0,73000,58.5,58.2317
2022-03-10,57.4,59.2,57.4,58.5,90000,58.16,58.2573
2022-03-11,58.0,59.2,58.0,58.5,101000,57.885,58.2804
2022-03-14,58.4,58.4,56.8,57.0,77200,57.685,58.1584
2022-03-15,57.5,57.5,57.0,57.5,68000,57.58,58.0957
2022-03-16,57.8,60.1,57.8,60.0,85600,57.68,58.2771
2022-03-17,59.1,60.1,59.0,59.0,104200,57.775,58.3459
2022-03-18,59.4,59.4,57.5,57.8,81700,57.78,58.2939
2022-03-21,57.8,58.5,57.1,57.7,58500,57.665,58.2374
2022-03-22,57.6,57.8,56.8,57.2,125200,57.585,58.1386
2022-03-23,57.8,58.5,56.2,56.3,108300,57.49,57.9635
2022-03-24,57.2,57.2,56.6,56.9,60400,57.525,57.8622
2022-03-25,56.6,57.0,56.1,56.6,75500,57.575,57.742
2022-03-28,57.0,57.2,56.0,56.3,60400,57.59,57.6047
2022-03-29,56.4,56.7,56.0,56.0,56000,57.615,57.4518
2022-03-30,56.5,56.5,55.6,56.4,85600,57.56,57.3517
2022-03-31,56.3,56.3,55.8,56.0,65600,57.46,57.2229
2022-04-01,56.5,57.2,56.1,56.8,45600,57.41,57.1826
2022-04-04,56.6,57.8,56.0,57.8,105900,57.405,57.2414
2022-04-05,56.6,57.9,56.6,57.5,125400,57.39,57.2661
2022-04-06,57.7,57.7,56.5,56.5,64100,57.315,57.1931
2022-04-07,57.4,57.4,56.0,56.8,88800,57.23,57.1557
2022-04-08,56.3,56.7,56.0,56.4,56800,57.125,57.0837
2022-04-12,56.1,57.0,56.1,56.5,107700,57.1,57.0281
2022-04-13,56.8,56.8,53.8,54.4,99600,56.945,56.7778
2022-04-14,54.2,55.0,53.5,53.8,75200,56.635,56.4942
2022-04-15,54.2,54.5,52.0,52.8,110301,56.325,56.1424
2022-04-18,52.8,53.2,50.3,51.2,90900,55.995,55.6717
2022-04-19,51.0,52.0,49.3,49.3,80400,55.575,55.0649
2022-04-20,51.3,51.3,48.4,48.6,67300,55.145,54.4492
2022-04-21,49.1,50.5,47.7,50.5,129200,54.855,54.073
2022-04-22,50.9,51.6,48.8,49.5,80800,54.485,53.6375
2022-04-25,49.7,49.8,46.0,47.0,66000,54.005,53.0054
2022-04-26,48.5,50.5,46.9,50.5,99900,53.715,52.7668
2022-04-27,48.5,52.8,48.5,52.5,121000,53.54,52.7414
2022-04-28,51.5,54.4,51.5,53.0,70000,53.37,52.766
2022-04-29,52.9,56.1,52.9,56.0,40800,53.37,53.074
2022-05-04,54.3,55.5,54.1,54.1,76200,53.235,53.1717
2022-05-05,54.3,54.3,52.8,53.0,95200,52.995,53.1554
2022-05-06,53.6,53.6,51.5,51.5,85200,52.695,52.9977
2022-05-09,52.5,52.5,50.0,50.0,59400,52.37,52.7122
2022-05-10,51.0,51.0,48.8,50.1,96700,52.035,52.4634
2022-05-11,49.5,50.3,49.0,50.3,84500,51.73,52.2574
2022-05-12,49.8,49.8,48.0,48.3,69800,51.32,51.8805
2022-05-13,48.8,50.8,44.8,44.8,97800,50.84,51.2062
2022-05-16,49.1,49.6,47.0,47.5,78800,50.525,50.8532
2022-05-17,48.1,49.2,46.7,49.2,106200,50.345,50.6957
2022-05-18,48.0,48.0,46.7,47.0,77700,50.135,50.3438
2022-05-19,47.4,47.4,44.0,44.0,131200,49.87,49.7396
2022-05-20,46.3,46.3,42.8,42.8,100600,49.58,49.0787
2022-05-23,45.4,45.8,43.7,43.8,79400,49.245,48.576
2022-05-24,44.3,44.8,42.0,42.0,125100,48.87,47.9497
2022-05-25,43.9,47.5,43.9,47.3,106000,48.885,47.8878
2022-05-26,46.0,47.5,46.0,46.5,86000,48.685,47.7556
2022-05-27,46.9,46.9,46.0,46.6,74100,48.39,47.6456
2022-05-30,46.0,47.9,46.0,47.9,98700,48.135,47.6698
2022-05-31,46.9,47.2,45.6,46.8,83800,47.675,47.587
2022-06-01,46.3,47.5,46.3,47.5,62000,47.345,47.5787
2022-06-02,46.3,49.8,46.0,48.8,150100,47.135,47.695
2022-06-03,48.9,49.9,48.3,49.5,90500,47.035,47.8669
2022-06-06,49.3,49.9,48.5,48.6,70800,46.965,47.9367
2022-06-07,48.8,49.0,46.8,49.0,125200,46.91,48.038
2022-06-08,47.9,49.8,47.6,49.3,106000,46.86,48.1582
2022-06-09,48.6,49.2,47.0,47.0,85500,46.795,48.0479
