time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.74,7.74,7.47,7.56,144650,,
2020-01-03,7.47,7.65,7.47,7.56,163800,,
2020-01-06,7.65,7.74,7.56,7.74,466153,,
2020-01-07,7.74,7.74,7.56,7.65,67300,,
2020-01-08,7.65,7.74,7.56,7.56,205079,,
2020-01-09,7.56,7.56,7.37,7.37,281813,,
2020-01-10,7.37,7.37,7.19,7.19,180900,,
2020-01-13,7.37,7.37,7.28,7.28,98100,,
2020-01-14,7.37,7.37,7.19,7.28,87920,,
2020-01-15,7.19,7.19,7.1,7.1,78340,,
2020-01-16,7.1,7.28,7.1,7.28,64804,,
2020-01-17,7.19,7.19,7.1,7.19,60310,,
2020-01-20,7.19,7.47,7.19,7.47,216150,,
2020-01-21,7.56,7.65,7.47,7.56,199437,,
2020-01-22,7.65,7.65,7.37,7.47,353010,,
2020-01-30,7.56,7.56,7.19,7.19,178655,,
2020-01-31,7.1,7.1,6.64,6.64,265840,,
2020-02-03,6.64,6.73,5.99,6.45,575900,,
2020-02-04,6.36,6.64,6.27,6.45,230620,,
2020-02-05,6.45,6.64,6.36,6.45,233200,7.222,7.1053
2020-02-06,6.54,6.54,6.45,6.54,233005,7.171,7.0515
2020-02-07,6.45,6.54,6.45,6.54,341500,7.12,7.0028
2020-02-10,6.45,6.45,6.36,6.45,310374,7.0555,6.9501
2020-02-11,6.45,6.54,6.36,6.45,389700,6.9955,6.9025
2020-02-12,6.54,6.73,6.45,6.73,371410,6.954,6.8861
2020-02-13,6.73,6.82,6.54,6.64,390240,6.9175,6.8626
2020-02-14,6.64,6.64,6.54,6.54,165000,6.885,6.8319
2020-02-17,6.45,6.64,6.45,6.45,249810,6.8435,6.7955
2020-02-18,6.54,6.54,6.45,6.45,198400,6.802,6.7626
2020-02-19,6.45,6.64,6.45,6.64,109900,6.779,6.7509
2020-02-20,6.64,6.64,6.54,6.64,483820,6.747,6.7404
2020-02-21,6.64,6.64,6.45,6.54,257400,6.7145,6.7213
2020-02-24,6.45,6.45,6.27,6.45,223574,6.6635,6.6955
2020-02-25,6.27,6.36,6.08,6.36,479950,6.6035,6.6635
2020-02-26,6.27,6.36,6.18,6.36,139600,6.548,6.6346
2020-02-27,6.27,6.36,6.27,6.36,152700,6.5065,6.6084
2020-02-28,6.27,6.27,6.08,6.27,224110,6.488,6.5762
2020-03-02,6.08,6.27,6.08,6.27,149850,6.479,6.5471
2020-03-03,6.27,6.54,6.27,6.36,748150,6.4745,6.5292
2020-03-04,6.45,6.45,6.27,6.36,239700,6.47,6.5131
2020-03-05,6.36,6.54,6.36,6.45,411545,6.4655,6.5071
2020-03-06,6.36,6.54,6.27,6.54,937500,6.4655,6.5102
2020-03-09,6.36,6.36,5.71,5.81,910800,6.4335,6.4436
2020-03-10,5.81,6.18,5.71,6.18,341680,6.42,6.4185
2020-03-11,6.18,6.18,5.81,5.99,285100,6.383,6.3776
2020-03-12,5.81,5.81,5.53,5.71,728100,6.3365,6.3141
2020-03-13,5.62,5.81,5.16,5.81,419720,6.3,6.2661
2020-03-16,5.53,5.81,5.53,5.71,269250,6.263,6.2131
2020-03-17,5.53,5.81,5.44,5.81,186370,6.231,6.1747
2020-03-18,5.71,5.99,5.71,5.9,482415,6.194,6.1485
2020-03-19,5.53,5.99,5.53,5.99,340100,6.1615,6.1334
2020-03-20,5.9,6.08,5.9,5.99,407660,6.134,6.1198
2020-03-23,5.9,5.99,5.62,5.71,784400,6.097,6.0808
2020-03-24,5.71,5.99,5.71,5.99,696890,6.0785,6.0721
2020-03-25,5.9,6.18,5.9,5.99,331810,6.06,6.0643
2020-03-26,6.08,6.08,5.81,5.9,353200,6.037,6.0486
2020-03-27,5.99,5.99,5.81,5.9,188000,6.0185,6.0345
2020-03-30,5.9,5.9,5.44,5.62,548051,5.986,5.995
2020-03-31,5.53,5.62,5.44,5.53,404501,5.9445,5.9507
2020-04-01,5.35,5.71,5.35,5.62,338939,5.9075,5.9192
2020-04-03,5.71,5.99,5.71,5.81,415400,5.8755,5.9088
2020-04-06,5.99,6.08,5.71,5.9,495238,5.8435,5.908
2020-04-07,5.99,6.08,5.71,5.9,500950,5.848,5.9072
2020-04-08,5.71,5.81,5.71,5.71,754000,5.8245,5.8884
2020-04-09,5.71,5.99,5.71,5.99,906711,5.8245,5.8981
2020-04-10,6.08,6.36,5.9,5.99,1072099,5.8385,5.9069
2020-04-13,6.08,6.08,5.9,6.08,608245,5.852,5.9234
2020-04-14,5.99,6.08,5.81,5.99,817720,5.866,5.9297
2020-04-15,5.9,5.99,5.71,5.9,991930,5.8705,5.9269
2020-04-16,5.9,6.08,5.81,6.08,1241790,5.8795,5.9415
2020-04-17,6.08,6.82,6.08,6.82,3075995,5.921,6.0251
2020-04-20,6.91,7.47,6.91,7.47,3880253,5.995,6.1627
2020-04-21,7.37,7.47,6.45,6.64,2375270,6.0415,6.2082
2020-04-22,6.45,6.73,6.08,6.64,1562895,6.074,6.2493
2020-04-23,6.73,7.28,6.64,7.1,2186098,6.1295,6.3303
2020-04-24,7.19,7.28,6.91,7.1,896458,6.1895,6.4036
2020-04-27,7.1,7.1,6.64,6.73,1187535,6.231,6.4347
2020-04-28,6.73,6.73,6.18,6.54,1334614,6.277,6.4447
2020-04-29,6.54,7.01,6.45,6.91,820916,6.346,6.4891
2020-05-04,7.01,7.19,6.64,6.91,836860,6.4105,6.5291
2020-05-05,6.91,7.01,6.73,6.82,445736,6.461,6.5568
2020-05-06,7.01,7.19,7.01,7.19,1200331,6.5255,6.6171
2020-05-07,7.1,7.19,7.01,7.1,705392,6.5855,6.6631
2020-05-08,7.1,7.65,7.1,7.37,2119718,6.6685,6.7305
2020-05-11,7.47,7.65,7.37,7.56,962232,6.747,6.8095
2020-05-12,7.56,7.56,7.37,7.56,870862,6.8255,6.8809
2020-05-13,7.65,7.65,7.47,7.65,1132423,6.904,6.9542
2020-05-14,7.56,7.65,7.37,7.56,629003,6.9825,7.0119
2020-05-15,7.65,7.74,7.37,7.37,1184131,7.056,7.046
2020-05-18,7.37,7.65,7.37,7.47,442479,7.1255,7.0864
2020-05-19,7.56,7.74,7.47,7.56,1004489,7.1625,7.1315
2020-05-20,7.56,7.56,7.37,7.47,503433,7.1625,7.1637
2020-05-21,7.56,7.56,7.37,7.47,603756,7.204,7.1929
2020-05-22,7.47,7.47,7.19,7.37,1073504,7.2405,7.2098
2020-05-25,7.37,7.37,7.19,7.37,357223,7.254,7.225
2020-05-26,7.28,7.47,7.28,7.47,652374,7.2725,7.2483
2020-05-27,7.47,7.47,7.28,7.37,845115,7.3045,7.2599
2020-05-28,7.37,7.37,7.19,7.28,437610,7.3415,7.2618
2020-05-29,7.37,7.37,7.19,7.28,306010,7.36,7.2636
2020-06-01,7.37,7.37,7.19,7.37,652613,7.383,7.2737
2020-06-02,7.28,7.74,7.19,7.37,3370920,7.4105,7.2829
2020-06-03,7.37,7.65,7.37,7.56,1387571,7.429,7.3093
2020-06-04,7.56,7.65,7.47,7.65,1382105,7.4565,7.3417
2020-06-05,7.56,7.65,7.37,7.56,871929,7.466,7.3625
2020-06-08,7.65,8.11,7.56,8.02,3493171,7.489,7.4251
2020-06-09,8.02,8.39,7.93,8.3,2824245,7.526,7.5084
2020-06-10,8.3,8.94,8.11,8.57,3120608,7.572,7.6095
2020-06-11,8.57,8.66,7.74,7.93,3468237,7.5905,7.6401
2020-06-12,7.83,8.02,7.47,8.02,1803584,7.623,7.6763
2020-06-15,7.93,8.02,7.56,7.65,2505491,7.632,7.6738
2020-06-16,7.83,8.02,7.74,7.93,794897,7.6505,7.6982
2020-06-17,7.93,7.93,7.74,7.83,611985,7.6685,7.7107
2020-06-18,7.83,7.83,7.74,7.83,402583,7.6865,7.7221
2020-06-19,7.83,8.02,7.83,8.02,910191,7.719,7.7504
2020-06-22,8.2,8.3,7.93,8.11,621814,7.756,7.7847
2020-06-23,8.11,8.11,7.93,8.02,368373,7.7835,7.8071
2020-06-24,8.02,8.02,7.74,7.74,1063382,7.802,7.8007
2020-06-25,7.74,7.83,7.65,7.83,364496,7.8295,7.8035
2020-06-26,7.74,7.83,7.56,7.56,477773,7.8435,7.7803
2020-06-29,7.65,7.65,7.1,7.28,1197965,7.839,7.7327
2020-06-30,7.37,7.47,7.19,7.37,482601,7.839,7.6981
2020-07-01,7.37,7.47,7.28,7.47,350890,7.8345,7.6764
2020-07-02,7.56,7.56,7.37,7.47,200600,7.8255,7.6567
2020-07-03,7.47,7.56,7.37,7.47,199730,7.821,7.639
2020-07-06,7.37,7.56,7.37,7.56,508626,7.798,7.6314
2020-07-07,7.56,7.56,7.47,7.47,272480,7.7565,7.6161
2020-07-08,7.56,7.56,7.47,7.56,317670,7.706,7.6107
2020-07-09,7.47,7.74,7.47,7.56,554856,7.6875,7.6059
2020-07-10,7.56,7.56,7.37,7.47,513336,7.66,7.5929
2020-07-13,7.47,7.56,7.37,7.37,189000,7.646,7.5717
2020-07-14,7.37,7.47,7.37,7.47,279537,7.623,7.562
2020-07-15,7.47,7.56,7.37,7.47,261206,7.605,7.5533
2020-07-16,7.47,7.56,7.47,7.56,212989,7.5915,7.5539
2020-07-17,7.47,7.56,7.37,7.47,287811,7.564,7.5459
2020-07-20,7.56,7.56,7.28,7.28,392486,7.5225,7.5206
2020-07-21,7.47,7.47,7.28,7.37,269740,7.49,7.5062
2020-07-22,7.37,7.47,7.28,7.37,208488,7.4715,7.4933
2020-07-23,7.28,7.37,7.19,7.28,156892,7.444,7.473
2020-07-24,7.28,7.28,6.54,6.73,1595111,7.4025,7.4022
2020-07-27,6.73,6.73,6.08,6.27,800156,7.352,7.2944
2020-07-28,6.27,6.64,6.27,6.64,520090,7.3155,7.2321
2020-07-29,6.45,6.54,6.27,6.54,597363,7.269,7.1661
2020-07-30,6.45,6.64,6.45,6.54,257300,7.2225,7.1065
2020-07-31,6.45,6.54,6.36,6.36,226100,7.167,7.0354
2020-08-03,6.45,6.64,6.45,6.64,292176,7.121,6.9978
2020-08-04,6.54,6.73,6.54,6.73,260100,7.084,6.9723
2020-08-05,6.73,6.91,6.64,6.91,379315,7.0515,6.9663
2020-08-06,6.91,6.91,6.82,6.91,285192,7.019,6.961
2020-08-07,6.91,7.01,6.82,6.91,188484,6.991,6.9561
2020-08-10,6.91,7.01,6.91,7.01,287590,6.973,6.9612
2020-08-11,7.01,7.1,6.82,6.91,147730,6.945,6.9564
2020-08-12,7.01,7.1,6.91,7.1,547889,6.9265,6.97
2020-08-13,7.01,7.19,7.01,7.1,188599,6.9035,6.9824
2020-08-14,7.1,7.19,7.01,7.1,225157,6.885,6.9936
2020-08-17,7.01,7.19,7.01,7.1,187371,6.876,7.0037
2020-08-18,7.1,7.19,7.01,7.1,333849,6.8625,7.0129
2020-08-19,7.01,7.01,6.91,7.01,129697,6.8445,7.0126
2020-08-20,7.01,7.19,6.91,7.01,207180,6.831,7.0124
2020-08-21,7.01,7.1,6.91,7.01,249649,6.845,7.0122
2020-08-24,7.1,7.1,7.01,7.1,354235,6.8865,7.0205
2020-08-25,7.1,7.1,7.01,7.1,287914,6.9095,7.0281
2020-08-26,7.1,7.47,7.01,7.47,1079490,6.956,7.0702
2020-08-27,7.47,7.47,7.28,7.37,324256,6.9975,7.0987
2020-08-28,7.37,7.47,7.28,7.28,306292,7.0435,7.116
2020-08-31,7.28,7.37,7.1,7.19,381898,7.071,7.123
2020-09-01,7.19,7.28,7.1,7.28,287898,7.0985,7.138
2020-09-03,7.28,7.47,7.19,7.37,844696,7.1215,7.1601
2020-09-04,7.37,7.37,7.19,7.37,239955,7.1445,7.1801
2020-09-07,7.37,7.37,7.1,7.19,290436,7.1585,7.181
2020-09-08,7.19,7.19,7.1,7.19,395350,7.1675,7.1819
2020-09-09,7.1,7.19,7.01,7.1,336500,7.177,7.1741
2020-09-10,7.19,7.28,7.19,7.28,290122,7.186,7.1842
2020-09-11,7.28,7.28,7.1,7.19,289563,7.1905,7.1847
2020-09-14,7.19,7.28,7.1,7.19,174610,7.195,7.1852
2020-09-15,7.19,7.28,7.19,7.19,302458,7.1995,7.1857
2020-09-16,7.19,7.37,7.19,7.37,1261224,7.213,7.2032
2020-09-17,7.37,7.47,7.28,7.37,496598,7.231,7.2191
2020-09-18,7.37,7.37,7.28,7.37,117338,7.249,7.2335
2020-09-21,7.37,7.37,7.28,7.37,316770,7.267,7.2465
2020-09-22,7.28,7.37,7.19,7.37,555430,7.2805,7.2583
2020-09-23,7.37,7.47,7.28,7.47,873160,7.299,7.2784
2020-09-24,7.37,7.47,7.28,7.37,451996,7.294,7.2871
2020-09-25,7.37,7.47,7.28,7.37,166515,7.294,7.295
2020-09-28,7.37,7.56,7.37,7.56,922072,7.308,7.3203
2020-09-29,7.56,8.02,7.56,7.83,2107662,7.34,7.3688
2020-09-30,7.83,7.83,7.56,7.65,521871,7.3585,7.3956
2020-10-01,7.65,7.83,7.65,7.74,402527,7.377,7.4284
2020-10-02,7.74,7.74,7.37,7.56,912539,7.3865,7.4409
2020-10-05,7.56,7.83,7.56,7.74,611600,7.414,7.4694
2020-10-06,7.83,7.83,7.65,7.74,522500,7.4415,7.4952
2020-10-07,7.74,7.83,7.56,7.74,637300,7.4735,7.5185
2020-10-08,7.83,7.93,7.65,7.74,786200,7.4965,7.5396
2020-10-09,7.83,7.93,7.74,7.83,538900,7.5285,7.5673
2020-10-12,8.02,8.02,7.74,7.74,556300,7.556,7.5837
2020-10-13,7.83,7.83,7.74,7.74,365300,7.5835,7.5986
2020-10-14,7.74,7.74,7.65,7.74,345400,7.602,7.6121
2020-10-15,7.74,7.74,7.65,7.65,402100,7.616,7.6157
2020-10-16,7.74,7.74,7.65,7.65,493700,7.63,7.6189
2020-10-19,7.65,7.74,7.56,7.56,149400,7.6395,7.6133
2020-10-20,7.65,7.65,7.47,7.56,460900,7.649,7.6082
2020-10-21,7.65,7.65,7.47,7.56,301000,7.6535,7.6037
2020-10-22,7.56,7.65,7.47,7.47,288100,7.6585,7.5909
2020-10-23,7.47,7.65,7.47,7.65,210100,7.6725,7.5965
2020-10-26,7.56,7.74,7.56,7.56,631700,7.6725,7.5931
2020-10-27,7.65,7.65,7.56,7.65,384700,7.6635,7.5985
2020-10-28,7.65,7.65,7.47,7.56,519000,7.659,7.5948
2020-10-29,7.47,7.47,7.28,7.37,656700,7.6405,7.5734
2020-10-30,7.28,7.37,7.28,7.37,284000,7.631,7.554
2020-11-02,7.37,7.47,7.37,7.47,174700,7.6175,7.546
2020-11-03,7.47,7.56,7.47,7.56,239500,7.6085,7.5474
2020-11-04,7.56,7.56,7.47,7.56,192800,7.5995,7.5486
2020-11-05,7.56,7.56,7.37,7.47,275900,7.586,7.5411
2020-11-06,7.37,7.56,7.37,7.47,304400,7.568,7.5343
2020-11-09,7.47,7.47,7.37,7.47,83300,7.5545,7.5282
2020-11-10,7.56,7.65,7.47,7.56,419700,7.5455,7.5312
2020-11-11,7.65,7.65,7.47,7.56,316200,7.5365,7.534
2020-11-12,7.47,7.56,7.37,7.47,195100,7.5275,7.5279
2020-11-13,7.47,7.47,7.37,7.47,232600,7.5185,7.5224
2020-11-16,7.47,7.47,7.37,7.37,237200,7.509,7.5078
2020-11-17,7.47,7.65,7.37,7.56,513200,7.509,7.5128
2020-11-18,7.47,7.74,7.47,7.74,676600,7.518,7.5345
2020-11-19,7.74,8.02,7.74,7.83,938000,7.536,7.5626
2020-11-20,7.93,7.93,7.65,7.74,348800,7.5405,7.5795
2020-11-23,7.83,7.83,7.65,7.83,523800,7.554,7.6034
2020-11-24,7.83,7.93,7.74,7.83,632200,7.563,7.6249
2020-11-25,7.83,8.2,7.83,8.02,724800,7.586,7.6626
2020-11-26,7.93,8.02,7.83,7.93,390200,7.614,7.688
2020-11-27,7.83,7.83,7.74,7.83,228600,7.637,7.7016
2020-11-30,7.83,7.93,7.65,7.65,561600,7.646,7.6966
2020-12-01,7.65,7.74,7.56,7.65,682400,7.6505,7.6922
2020-12-02,7.65,7.74,7.56,7.74,344600,7.6595,7.6968
2020-12-03,7.74,8.11,7.65,7.83,1038600,7.6775,7.7094
2020-12-04,8.02,8.11,7.83,7.93,912800,7.7005,7.7304
2020-12-07,7.93,8.11,7.83,8.11,706700,7.7325,7.7666
2020-12-08,8.02,8.02,7.93,8.02,330800,7.7555,7.7907
2020-12-09,8.02,8.48,7.93,8.39,3925200,7.797,7.8478
2020-12-10,8.39,8.48,8.11,8.11,2067800,7.829,7.8728
2020-12-11,8.3,8.39,8.2,8.3,722690,7.8705,7.9135
2020-12-14,8.3,8.48,8.2,8.39,1354172,7.9215,7.9588
2020-12-15,8.39,8.48,8.2,8.3,1775751,7.9585,7.9913
2020-12-16,8.3,8.39,8.2,8.39,858244,7.991,8.0293
2020-12-17,8.39,8.39,8.11,8.11,1527400,8.005,8.037
2020-12-18,8.3,8.39,8.2,8.39,2040198,8.0375,8.0706
2020-12-21,8.39,9.49,8.3,9.49,4881230,8.1205,8.2058
2020-12-22,9.31,10.42,9.31,10.32,3235091,8.245,8.4071
2020-12-23,10.14,10.42,9.77,9.86,1683719,8.337,8.5455
2020-12-24,9.77,10.32,9.03,9.68,3187400,8.4245,8.6536
2020-12-25,9.86,10.05,9.49,9.95,1455504,8.5305,8.777
2020-12-28,10.05,10.78,9.95,10.69,3483076,8.6825,8.9592
2020-12-29,10.69,11.43,10.6,11.15,2866418,8.8575,9.1679
2020-12-30,11.06,11.15,10.69,10.78,1161299,9.0095,9.3214
2020-12-31,10.78,11.15,10.6,11.06,2344900,9.171,9.487
2021-01-04,11.06,11.43,11.06,11.25,1456295,9.337,9.6549
2021-01-05,11.15,11.25,10.88,10.97,1719866,9.48,9.7801
2021-01-06,11.15,11.43,10.88,11.06,2323658,9.632,9.902
2021-01-07,11.34,11.34,10.88,11.06,2185831,9.7655,10.0123
2021-01-08,11.25,11.71,11.06,11.52,3996146,9.936,10.1559
2021-01-11,11.61,11.98,11.52,11.89,2911275,10.1155,10.3211
2021-01-12,11.8,12.17,11.61,11.98,1888256,10.295,10.479
2021-01-13,11.98,12.17,11.43,11.61,2230473,10.4605,10.5868
2021-01-14,11.61,11.61,11.15,11.52,1209118,10.617,10.6756
2021-01-15,11.43,11.8,11.43,11.61,1832785,10.792,10.7646
2021-01-18,11.52,12.07,11.43,11.8,3594312,10.9625,10.8632
2021-01-19,11.89,11.89,10.14,10.88,2865798,11.032,10.8648
2021-01-20,10.88,11.25,10.14,11.06,1441130,11.069,10.8834
2021-01-21,11.06,11.43,10.88,11.34,779539,11.143,10.9269
2021-01-22,11.34,11.34,10.97,10.88,1331643,11.203,10.9224
2021-01-25,10.88,10.97,10.51,10.6,1629638,11.2355,10.8917
2021-01-26,10.69,10.69,9.77,9.95,1503813,11.1985,10.802
2021-01-27,9.68,10.14,9.03,9.22,1992171,11.102,10.6514
2021-01-28,9.22,9.22,8.2,8.2,3006296,10.973,10.4179
2021-01-29,7.93,9.13,7.47,8.85,1708800,10.8625,10.2686
2021-02-01,8.76,8.85,8.11,8.3,986000,10.715,10.0811
2021-02-02,8.3,8.94,8.3,8.94,1396405,10.6135,9.9724
2021-02-03,8.94,9.86,8.94,9.77,2287531,10.549,9.9531
2021-02-04,10.05,10.23,9.77,9.86,970861,10.489,9.9443
2021-02-05,9.95,10.14,9.86,10.14,785612,10.42,9.9629
2021-02-08,10.14,10.23,9.22,9.77,1399760,10.314,9.9445
2021-02-09,9.86,10.14,9.77,10.14,1044503,10.222,9.9632
2021-02-17,10.14,11.06,10.14,10.97,1409804,10.19,10.059
2021-02-18,11.06,11.34,10.78,10.97,2198610,10.1625,10.1458
2021-02-19,10.97,10.97,10.32,10.6,1367933,10.112,10.1891
2021-02-22,10.69,10.78,10.51,10.6,948868,10.052,10.2282
2021-02-23,10.6,10.97,10.6,10.88,1382840,10.052,10.2903
2021-02-24,10.6,10.88,10.42,10.6,1124703,10.029,10.3198
2021-02-25,10.78,10.97,10.51,10.78,690011,10.001,10.3636
2021-02-26,10.69,10.78,10.51,10.78,965743,9.996,10.4033
2021-03-01,10.69,11.61,10.69,11.52,3675647,10.042,10.5096
2021-03-02,11.52,11.61,11.15,11.34,1637816,10.1115,10.5887
2021-03-03,11.34,11.52,11.25,11.43,1203958,10.222,10.6688
2021-03-04,11.43,13.09,11.43,13.09,10592230,10.4665,10.8994
2021-03-05,13.09,14.01,12.9,13.83,5391103,10.7155,11.1785
2021-03-08,14.01,15.21,14.01,14.47,3741150,11.024,11.492
2021-03-09,14.38,14.56,13.0,13.37,6460953,11.2455,11.6708
2021-03-10,13.37,13.83,13.09,13.83,2420533,11.4485,11.8765
2021-03-11,13.83,14.2,13.64,13.83,2475282,11.647,12.0625
2021-03-12,14.01,14.29,13.64,13.83,2139008,11.8315,12.2309
2021-03-15,13.83,13.92,13.46,13.64,1534970,12.025,12.3651
2021-03-16,13.64,13.73,12.81,13.18,4512099,12.177,12.4427
2021-03-17,13.18,13.64,12.9,13.55,1553972,12.306,12.5481
2021-03-18,13.55,13.83,13.27,13.46,1244304,12.4305,12.635
