time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.91,2.91,2.91,2.91,0,,
2020-01-03,2.99,2.99,2.99,2.99,11000,,
2020-01-06,2.99,2.99,2.99,2.99,21000,,
2020-01-07,2.99,2.99,2.99,2.99,11300,,
2020-01-08,2.99,2.99,2.99,2.99,2000,,
2020-01-09,2.99,2.99,2.99,2.99,0,,
2020-01-10,2.91,2.91,2.91,2.91,6600,,
2020-01-13,3.08,3.08,3.08,3.08,1200,,
2020-01-14,3.08,3.16,3.08,3.16,8800,,
2020-01-15,2.99,2.99,2.99,2.99,2019,,
2020-01-16,2.99,2.99,2.99,2.99,0,,
2020-01-17,2.99,2.99,2.99,2.99,0,,
2020-01-20,2.99,2.99,2.99,2.99,0,,
2020-01-21,2.99,2.99,2.99,2.99,3009,,
2020-01-22,2.99,2.99,2.99,2.99,0,,
2020-01-30,2.99,2.99,2.99,2.99,0,,
2020-01-31,2.99,2.99,2.99,2.99,10,,
2020-02-03,2.91,2.91,2.82,2.82,5200,,
2020-02-04,2.82,2.91,2.82,2.91,20100,,
2020-02-05,2.91,2.91,2.91,2.91,9000,2.9785,2.9562
2020-02-06,2.91,2.99,2.91,2.99,9100,2.9825,2.9594
2020-02-07,2.99,2.99,2.99,2.99,0,2.9825,2.9623
2020-02-10,2.91,2.91,2.91,2.91,3600,2.9785,2.9573
2020-02-11,2.91,2.99,2.91,2.99,6400,2.9785,2.9604
2020-02-12,2.91,2.91,2.91,2.91,28500,2.9745,2.9556
2020-02-13,2.91,3.08,2.91,3.08,17000,2.979,2.9675
2020-02-14,3.08,3.08,3.08,3.08,100,2.9875,2.9782
2020-02-17,2.91,2.99,2.91,2.91,24300,2.979,2.9717
2020-02-18,2.99,2.99,2.99,2.99,100,2.9705,2.9734
2020-02-19,2.99,2.99,2.99,2.99,2020,2.9705,2.975
2020-02-20,2.99,2.99,2.99,2.99,0,2.9705,2.9764
2020-02-21,2.99,2.99,2.91,2.99,6000,2.9705,2.9777
2020-02-24,2.99,2.99,2.99,2.99,50010,2.9705,2.9789
2020-02-25,2.99,2.99,2.99,2.99,0,2.9705,2.98
2020-02-26,2.99,2.99,2.99,2.99,10,2.9705,2.9809
2020-02-27,2.99,2.99,2.99,2.99,0,2.9705,2.9818
2020-02-28,2.99,2.99,2.99,2.99,0,2.9705,2.9826
2020-03-02,2.82,2.82,2.82,2.82,500,2.9705,2.9671
2020-03-03,2.91,2.91,2.91,2.91,500,2.9705,2.9616
2020-03-04,2.91,2.91,2.91,2.91,24110,2.9705,2.9567
2020-03-05,2.91,2.91,2.91,2.91,200,2.9665,2.9523
2020-03-06,2.91,2.91,2.91,2.91,0,2.9625,2.9483
2020-03-09,2.82,2.82,2.82,2.82,13300,2.958,2.936
2020-03-10,2.74,2.91,2.74,2.91,500,2.954,2.9336
2020-03-11,2.74,2.82,2.74,2.82,300,2.9495,2.9227
2020-03-12,2.74,2.74,2.56,2.65,28700,2.928,2.8968
2020-03-13,2.56,2.56,2.48,2.56,5200,2.902,2.8647
2020-03-16,2.82,2.82,2.39,2.39,300,2.876,2.8195
2020-03-17,2.39,2.56,2.39,2.56,300,2.8545,2.7948
2020-03-18,2.56,2.65,2.56,2.56,30110,2.833,2.7724
2020-03-19,2.48,2.65,2.39,2.65,50200,2.816,2.7608
2020-03-20,2.56,2.65,2.48,2.65,8100,2.799,2.7502
2020-03-23,2.48,2.65,2.39,2.65,6500,2.782,2.7407
2020-03-24,2.56,2.65,2.56,2.56,35000,2.7605,2.7235
2020-03-25,2.65,2.65,2.65,2.65,100,2.7435,2.7165
2020-03-26,2.56,2.56,2.56,2.56,100,2.722,2.7016
2020-03-27,2.56,2.56,2.56,2.56,13,2.7005,2.6881
2020-03-30,2.39,2.39,2.39,2.39,1100,2.679,2.6597
2020-03-31,2.48,2.48,2.48,2.48,173,2.6575,2.6426
2020-04-01,2.56,2.56,2.56,2.56,100,2.64,2.6347
2020-04-03,2.48,2.56,2.48,2.56,6418,2.6225,2.6276
2020-04-06,2.56,2.56,2.56,2.56,100,2.605,2.6212
2020-04-07,2.56,2.56,2.56,2.56,1000,2.592,2.6153
2020-04-08,2.56,2.56,2.48,2.48,9000,2.5705,2.6024
2020-04-09,2.56,2.56,2.31,2.31,6100,2.545,2.5746
2020-04-10,2.48,2.48,2.48,2.48,9700,2.5365,2.5656
2020-04-13,2.56,2.56,2.56,2.56,100,2.5365,2.5651
2020-04-14,2.56,2.56,2.56,2.56,20946,2.545,2.5646
2020-04-15,2.56,2.56,2.56,2.56,4500,2.545,2.5641
2020-04-16,2.48,2.48,2.39,2.39,703,2.5365,2.5476
2020-04-17,2.56,2.56,2.56,2.56,1241,2.532,2.5487
2020-04-20,2.56,2.56,2.56,2.56,3700,2.5275,2.5498
2020-04-21,2.56,2.56,2.48,2.48,5700,2.519,2.5432
2020-04-22,2.48,2.56,2.48,2.48,7710,2.515,2.5371
2020-04-23,2.56,2.65,2.56,2.56,18272,2.5105,2.5393
2020-04-24,2.56,2.82,2.56,2.82,14910,2.5235,2.5661
2020-04-27,2.65,2.65,2.56,2.56,33840,2.5235,2.5655
2020-04-28,2.56,2.56,2.56,2.56,1300,2.532,2.565
2020-04-29,2.56,2.65,2.56,2.65,10900,2.5405,2.5731
2020-05-04,2.56,2.65,2.56,2.56,3600,2.5405,2.5718
2020-05-05,2.48,2.48,2.48,2.48,2400,2.5365,2.5631
2020-05-06,2.56,2.65,2.56,2.56,30472,2.5365,2.5628
2020-05-07,2.56,2.56,2.56,2.56,0,2.5365,2.5625
2020-05-08,2.56,2.65,2.56,2.65,23200,2.545,2.5708
2020-05-11,2.65,2.65,2.65,2.65,5900,2.562,2.5784
2020-05-12,2.56,2.65,2.56,2.65,700,2.5705,2.5852
2020-05-13,2.65,2.65,2.65,2.65,19,2.575,2.5914
2020-05-14,2.56,2.65,2.56,2.65,24500,2.5795,2.597
2020-05-15,2.56,2.65,2.56,2.65,19000,2.584,2.602
2020-05-18,2.65,2.74,2.65,2.74,25800,2.6015,2.6152
2020-05-19,2.74,2.82,2.74,2.74,21100,2.6105,2.627
2020-05-20,2.74,2.74,2.74,2.74,5460,2.6195,2.6378
