time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,20.5,20.5,20.5,20.5,0,,
2020-01-03,18.5,20.0,18.5,20.0,340,,
2020-01-06,20.0,20.0,20.0,20.0,0,,
2020-01-07,20.0,20.0,20.0,20.0,0,,
2020-01-08,20.0,20.0,20.0,20.0,0,,
2020-01-09,20.0,20.0,20.0,20.0,0,,
2020-01-10,20.0,20.0,20.0,20.0,0,,
2020-01-13,20.0,20.0,20.0,20.0,0,,
2020-01-14,20.0,20.0,20.0,20.0,0,,
2020-01-15,20.0,20.0,20.0,20.0,0,,
2020-01-16,20.0,20.0,20.0,20.0,0,,
2020-01-17,18.0,18.0,18.0,18.0,200,,
2020-01-20,16.3,16.3,16.3,16.3,300,,
2020-01-21,14.8,14.8,14.8,14.8,200,,
2020-01-22,13.6,13.6,13.6,13.6,200,,
2020-01-30,13.6,13.6,13.6,13.6,0,,
2020-01-31,13.6,13.6,13.6,13.6,0,,
2020-02-03,13.6,13.6,13.6,13.6,0,,
2020-02-04,13.6,13.6,13.6,13.6,0,,
2020-02-05,13.6,13.6,13.6,13.6,0,17.56,16.6532
2020-02-06,13.6,13.6,13.6,13.6,0,17.215,16.3624
2020-02-07,13.6,13.6,13.6,13.6,0,16.895,16.0994
2020-02-10,13.6,13.6,13.6,13.6,0,16.575,15.8613
2020-02-11,13.6,13.6,13.6,13.6,0,16.255,15.646
2020-02-12,12.3,12.3,12.3,12.3,10000,15.87,15.3273
2020-02-13,12.3,12.3,12.3,12.3,0,15.485,15.039
2020-02-14,12.3,12.3,12.3,12.3,0,15.1,14.7781
2020-02-17,12.3,12.3,12.3,12.3,0,14.715,14.5421
2020-02-18,12.3,12.3,12.3,12.3,0,14.33,14.3286
2020-02-19,12.3,12.3,12.3,12.3,0,13.945,14.1354
2020-02-20,11.2,11.2,11.2,11.2,200,13.505,13.8558
2020-02-21,11.2,11.2,11.2,11.2,0,13.165,13.6029
2020-02-24,11.2,11.2,11.2,11.2,0,12.91,13.374
2020-02-25,11.2,11.2,11.2,11.2,0,12.73,13.167
2020-02-26,11.2,11.2,11.2,11.2,0,12.61,12.9797
2020-02-27,10.2,10.2,10.2,10.2,200,12.44,12.7149
2020-02-28,10.2,10.2,10.2,10.2,0,12.27,12.4754
2020-03-02,10.2,10.2,10.2,10.2,0,12.1,12.2587
2020-03-03,10.2,10.2,10.2,10.2,0,11.93,12.0626
2020-03-04,9.3,9.3,9.2,9.2,700,11.71,11.79
2020-03-05,9.2,9.2,9.2,9.2,0,11.49,11.5433
2020-03-06,8.3,8.3,8.3,8.3,2200,11.225,11.2344
2020-03-09,7.5,7.5,7.5,7.5,17100,10.92,10.8788
2020-03-10,7.5,7.5,7.5,7.5,0,10.615,10.557
2020-03-11,6.8,6.8,6.8,6.8,5000,10.34,10.1992
