time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.18,16.18,16.18,16.18,3760,,
2020-01-03,16.18,16.23,16.18,16.23,4040,,
2020-01-06,16.27,16.27,16.18,16.18,10630,,
2020-01-07,16.18,16.23,16.18,16.23,4030,,
2020-01-08,16.23,16.23,16.09,16.09,6380,,
2020-01-09,16.14,16.14,16.14,16.14,4520,,
2020-01-10,16.18,16.18,16.14,16.18,3780,,
2020-01-13,16.18,16.18,16.18,16.18,4370,,
2020-01-14,16.18,16.23,16.18,16.23,14970,,
2020-01-15,16.18,16.23,16.18,16.18,4760,,
2020-01-16,16.18,16.27,16.18,16.18,5890,,
2020-01-17,15.86,16.18,15.86,16.18,3940,,
2020-01-20,16.18,16.18,16.14,16.14,10430,,
2020-01-21,16.14,16.14,16.05,16.05,3660,,
2020-01-22,16.09,16.09,15.91,15.91,4860,,
2020-01-30,15.91,15.95,15.91,15.91,5190,,
2020-01-31,15.91,15.91,15.91,15.91,4070,,
2020-02-03,15.91,15.91,15.82,15.82,4940,,
2020-02-04,15.82,15.86,15.82,15.86,4020,,
2020-02-05,15.86,15.86,15.86,15.86,4600,16.082,16.0338
2020-02-06,15.86,15.86,15.82,15.82,5980,16.064,16.0135
2020-02-07,15.82,15.86,15.82,15.86,5490,16.0455,15.9988
2020-02-10,15.86,15.91,15.82,15.86,23720,16.0295,15.9856
2020-02-11,15.91,15.91,15.91,15.91,5380,16.0135,15.9784
2020-02-12,15.82,15.95,15.82,15.82,5860,16.0,15.9633
2020-02-13,15.86,15.86,15.77,15.82,5450,15.984,15.9497
2020-02-14,15.82,15.82,15.77,15.77,4660,15.9635,15.9326
2020-02-17,15.77,15.91,15.77,15.86,35010,15.9475,15.9257
2020-02-18,15.86,15.91,15.86,15.91,4870,15.9315,15.9242
2020-02-19,15.91,15.95,15.86,15.86,4210,15.9155,15.9181
2020-02-20,15.86,15.86,15.86,15.86,19910,15.8995,15.9125
2020-02-21,15.86,15.91,15.86,15.91,4670,15.886,15.9123
2020-02-24,15.86,15.91,15.86,15.91,9510,15.8745,15.9121
2020-02-25,15.55,15.91,15.55,15.86,6710,15.865,15.9071
2020-02-26,15.86,15.86,15.73,15.73,5110,15.856,15.8902
2020-02-27,15.77,15.82,15.36,15.73,8220,15.847,15.875
2020-02-28,15.73,15.73,15.73,15.73,4190,15.838,15.8612
2020-03-02,15.73,15.77,15.73,15.77,4420,15.8355,15.8525
2020-03-03,15.77,15.77,15.73,15.73,4590,15.829,15.8408
2020-03-04,15.73,15.77,15.73,15.77,9210,15.8245,15.8341
2020-03-05,15.77,15.82,15.77,15.82,4460,15.8245,15.8327
2020-03-06,15.82,15.82,15.77,15.77,4210,15.82,15.8268
2020-03-09,15.77,15.77,15.73,15.73,4170,15.8135,15.8175
2020-03-10,15.73,15.73,15.64,15.64,14030,15.8,15.8006
2020-03-11,15.64,15.64,15.59,15.59,4440,15.7885,15.7806
2020-03-12,15.64,15.64,14.5,14.5,4250,15.7225,15.6586
2020-03-13,14.5,14.5,14.27,14.27,2560,15.6475,15.5264
2020-03-16,14.32,14.32,14.05,14.05,3310,15.557,15.3858
2020-03-17,14.05,14.05,13.95,13.95,4120,15.459,15.249
2020-03-18,14.05,14.05,13.0,13.0,7150,15.316,15.0348
2020-03-19,13.05,13.05,13.05,13.05,3320,15.1755,14.8458
2020-03-20,13.14,13.14,13.14,13.14,3310,15.037,14.6833
2020-03-23,13.14,13.14,12.77,12.77,2110,14.88,14.5011
2020-03-24,12.82,12.82,12.36,12.36,3510,14.705,14.2972
2020-03-25,12.36,12.59,12.36,12.59,7590,14.548,14.1346
2020-03-26,12.64,12.82,12.64,12.82,3790,14.4025,14.0094
