time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.22,5.22,5.13,5.13,6230,,
2020-01-03,5.22,5.22,4.94,5.22,15790,,
2020-01-06,5.26,5.26,5.15,5.15,290,,
2020-01-07,5.26,5.26,5.16,5.22,6980,,
2020-01-08,5.22,5.26,5.13,5.22,10250,,
2020-01-09,5.22,5.25,5.22,5.25,4550,,
2020-01-10,5.26,5.26,5.22,5.22,2940,,
2020-01-13,5.39,5.39,5.27,5.27,130,,
2020-01-14,5.27,5.27,5.17,5.22,3900,,
2020-01-15,5.22,5.22,4.86,5.22,610,,
2020-01-16,5.22,5.58,5.22,5.58,20,,
2020-01-17,5.9,5.9,5.9,5.9,20,,
2020-01-20,5.49,5.49,5.49,5.49,10,,
2020-01-21,5.11,5.49,5.11,5.49,2030,,
2020-01-22,5.4,5.4,5.4,5.4,800,,
2020-01-30,5.4,5.4,5.03,5.03,2690,,
2020-01-31,4.7,4.81,4.7,4.71,16270,,
2020-02-03,4.75,4.9,4.4,4.9,14700,,
2020-02-04,4.6,5.0,4.57,5.0,6080,,
2020-02-05,5.0,5.0,4.65,4.8,3060,5.221,5.1557
2020-02-06,4.9,4.9,4.75,4.8,16380,5.2045,5.1219
2020-02-07,4.99,4.99,4.8,4.81,7380,5.184,5.0922
2020-02-10,4.84,4.84,4.55,4.83,1640,5.168,5.0672
2020-02-11,4.99,4.99,4.6,4.82,2490,5.148,5.0437
2020-02-12,4.82,4.99,4.65,4.96,9490,5.135,5.0357
2020-02-13,4.8,5.0,4.65,4.9,4030,5.1175,5.0228
2020-02-14,4.95,4.95,4.65,4.65,8040,5.089,4.9873
2020-02-17,4.97,4.97,4.61,4.88,5120,5.0695,4.977
2020-02-18,4.8,4.8,4.7,4.7,2680,5.0435,4.9507
2020-02-19,4.4,4.78,4.4,4.52,17380,5.0085,4.9096
2020-02-20,4.51,4.7,4.5,4.65,8390,4.962,4.8849
2020-02-21,4.79,4.83,4.66,4.66,12230,4.9,4.8635
2020-02-24,4.9,4.9,4.36,4.7,11480,4.8605,4.8479
2020-02-25,4.7,4.78,4.65,4.73,4510,4.8225,4.8367
2020-02-26,4.65,4.68,4.62,4.62,5550,4.7835,4.8161
2020-02-27,4.62,4.89,4.62,4.75,2800,4.7695,4.8098
2020-02-28,4.89,4.89,4.75,4.75,70,4.7715,4.8041
2020-03-02,4.75,4.75,4.65,4.65,2620,4.759,4.7894
2020-03-03,4.61,4.8,4.61,4.75,10430,4.7465,4.7856
2020-03-04,4.75,4.9,4.75,4.9,4390,4.7515,4.7965
2020-03-05,4.9,4.9,4.65,4.9,18620,4.7565,4.8064
2020-03-06,4.88,4.88,4.7,4.88,6420,4.76,4.8134
2020-03-09,4.65,4.9,4.54,4.54,4460,4.7455,4.7874
2020-03-10,4.23,4.78,4.23,4.74,17200,4.7415,4.7829
2020-03-11,4.9,4.9,4.41,4.8,20620,4.7335,4.7845
2020-03-12,4.47,4.65,4.47,4.47,10840,4.712,4.7545
2020-03-13,4.16,4.78,4.16,4.78,9890,4.7185,4.757
2020-03-16,4.45,4.8,4.45,4.45,16430,4.697,4.7277
2020-03-17,4.15,4.75,4.14,4.44,15390,4.684,4.7003
2020-03-18,4.74,4.74,4.13,4.68,970,4.692,4.6984
2020-03-19,4.38,4.71,4.36,4.36,14070,4.6775,4.6662
2020-03-20,4.06,4.54,4.06,4.47,4670,4.668,4.6475
