time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.97,11.35,10.92,11.35,1569270,,
2020-01-03,11.35,11.45,11.11,11.16,1245410,,
2020-01-06,11.11,11.16,10.83,10.83,2064670,,
2020-01-07,10.87,10.92,10.68,10.73,1893960,,
2020-01-08,10.68,10.68,10.02,10.25,5339280,,
2020-01-09,10.35,10.59,10.3,10.4,2226540,,
2020-01-10,10.45,10.64,10.3,10.59,1461150,,
2020-01-13,10.59,10.59,10.49,10.49,1298370,,
2020-01-14,10.59,10.59,10.4,10.4,1438620,,
2020-01-15,10.4,10.4,10.3,10.4,1119580,,
2020-01-16,10.49,10.54,10.4,10.49,1479520,,
2020-01-17,10.54,10.54,10.3,10.3,1629430,,
2020-01-20,10.3,10.4,10.16,10.21,1136080,,
2020-01-21,10.4,10.68,10.4,10.4,2980510,,
2020-01-22,10.49,10.64,10.45,10.59,1844340,,
2020-01-30,10.49,10.83,10.49,10.59,3263130,,
2020-01-31,10.59,10.68,10.02,10.02,2556250,,
2020-02-03,9.44,9.73,9.32,9.53,3839880,,
2020-02-04,9.63,9.73,9.06,9.06,3640180,,
2020-02-05,9.16,9.25,9.03,9.13,2301300,10.346,10.2542
2020-02-06,9.17,9.59,9.12,9.59,2202420,10.258,10.191
2020-02-07,9.59,9.63,9.43,9.45,1520380,10.1725,10.1204
2020-02-10,9.25,9.35,9.21,9.23,1441160,10.0925,10.0356
2020-02-11,9.27,9.5,9.25,9.41,1775070,10.0265,9.976
2020-02-12,9.48,10.06,9.44,10.06,3050250,10.017,9.984
2020-02-13,10.21,10.45,9.87,10.06,3076810,10.0,9.9912
2020-02-14,10.02,10.06,9.83,9.92,1156570,9.9665,9.9845
2020-02-17,9.87,9.97,9.78,9.87,2084770,9.9355,9.9736
2020-02-18,9.92,9.97,9.83,9.87,1786200,9.909,9.9637
2020-02-19,9.92,10.11,9.87,9.97,1982300,9.8875,9.9643
2020-02-20,10.02,10.45,10.02,10.4,4728350,9.883,10.0058
2020-02-21,10.4,10.45,10.16,10.25,1762570,9.8805,10.0291
2020-02-24,9.92,9.97,9.54,9.54,3312940,9.847,9.9825
2020-02-25,9.18,9.52,9.18,9.49,3369430,9.8015,9.9356
2020-02-26,9.25,9.92,9.25,9.73,2278130,9.7585,9.916
2020-02-27,9.73,9.87,9.54,9.63,1045640,9.7105,9.8888
2020-02-28,9.44,9.52,9.3,9.4,2284820,9.6795,9.8422
2020-03-02,9.4,9.53,9.33,9.52,1786920,9.679,9.8115
2020-03-03,9.73,9.78,9.47,9.47,2539230,9.6995,9.779
2020-03-04,9.49,9.63,9.44,9.5,2680650,9.718,9.7524
2020-03-05,9.68,9.92,9.63,9.73,3579000,9.725,9.7503
2020-03-06,9.68,9.78,9.54,9.63,2292720,9.734,9.7388
2020-03-09,8.97,9.35,8.97,8.97,4943410,9.721,9.6656
2020-03-10,8.78,9.15,8.59,9.06,2871290,9.7035,9.6079
2020-03-11,9.13,9.21,8.56,8.6,5177740,9.6305,9.5119
2020-03-12,8.11,8.25,8.0,8.0,5361200,9.5275,9.3679
2020-03-13,7.46,8.49,7.45,8.49,4570810,9.456,9.2843
2020-03-16,8.39,8.47,7.93,8.47,3241750,9.386,9.2068
2020-03-17,8.02,8.96,8.02,8.44,3061070,9.3145,9.1338
2020-03-18,8.49,8.54,8.22,8.36,1935700,9.234,9.0601
2020-03-19,8.12,8.29,8.01,8.08,2633250,9.118,8.9667
2020-03-20,8.11,8.3,8.02,8.07,1980340,9.009,8.8813
2020-03-23,7.77,8.07,7.51,7.51,4628880,8.9075,8.7507
2020-03-24,7.16,7.44,7.12,7.18,5979090,8.792,8.6011
2020-03-25,7.52,7.55,7.41,7.49,2458770,8.68,8.4953
2020-03-26,7.44,7.44,7.25,7.25,2129230,8.561,8.3767
2020-03-27,7.2,7.62,7.2,7.27,3296170,8.4545,8.2713
2020-03-30,6.87,7.15,6.76,6.81,6321180,8.319,8.1321
