time,open,high,low,close,volume,SMA_20,EMA_20
2022-06-17,9.07,9.07,9.07,9.07,1500,,
2022-06-20,10.43,10.43,10.43,10.43,5700,,
2022-06-21,11.96,11.96,11.96,11.96,19600,,
2022-06-22,13.73,13.73,13.73,13.73,11200,,
2022-06-23,15.73,15.73,15.26,15.32,193900,,
2022-06-24,15.32,16.14,15.32,15.79,168500,,
2022-06-27,15.79,16.14,15.5,15.73,146900,,
2022-06-28,15.73,15.73,15.32,15.61,78900,,
2022-06-29,15.61,15.61,15.44,15.44,104100,,
2022-06-30,15.44,15.97,15.44,15.67,127200,,
2022-07-01,15.67,15.85,15.56,15.79,118200,,
2022-07-04,15.79,15.97,15.73,15.91,111000,,
2022-07-05,15.91,16.2,15.5,15.73,139600,,
2022-07-06,15.73,15.79,15.61,15.73,40000,,
2022-07-07,15.73,15.79,15.61,15.79,92800,,
2022-07-08,15.79,15.85,15.73,15.79,49900,,
2022-07-11,15.79,15.91,15.79,15.91,44200,,
2022-07-12,15.91,16.2,15.67,16.2,302800,,
2022-07-13,16.2,16.2,15.85,16.03,170500,,
2022-07-14,16.03,16.2,16.03,16.2,69600,14.8915,14.6635
2022-07-15,16.2,16.5,16.03,16.26,104400,15.251,14.8155
2022-07-18,16.26,16.26,15.97,16.09,84500,15.534,14.9369
2022-07-19,16.09,16.2,16.09,16.14,62900,15.743,15.0515
2022-07-20,15.91,16.26,15.85,16.03,100900,15.858,15.1447
2022-07-21,16.03,16.26,15.85,16.14,70300,15.899,15.2395
2022-07-22,16.14,16.2,16.03,16.14,90300,15.9165,15.3252
2022-07-25,16.14,16.26,16.03,16.26,149700,15.943,15.4143
2022-07-26,16.26,16.26,16.09,16.2,95500,15.9725,15.4891
2022-07-27,16.2,16.2,15.91,16.2,54700,16.0105,15.5568
2022-07-28,16.2,16.62,15.97,16.62,112500,16.058,15.6581
2022-07-29,16.62,16.73,16.56,16.56,49900,16.0965,15.744
2022-08-01,16.56,16.79,16.14,16.79,71100,16.1405,15.8436
2022-08-02,16.79,16.85,16.5,16.67,48200,16.1875,15.9223
2022-08-03,16.67,16.97,16.56,16.97,56100,16.2495,16.0221
2022-08-04,16.97,17.09,16.79,16.91,39100,16.3055,16.1066
2022-08-05,16.91,17.03,16.62,16.67,44000,16.3495,16.1603
2022-08-08,16.67,16.67,16.26,16.44,70300,16.376,16.1869
2022-08-09,16.44,16.5,16.26,16.5,51900,16.391,16.2167
2022-08-10,16.5,16.73,16.2,16.73,45900,16.426,16.2656
2022-08-11,16.73,16.79,16.56,16.56,43600,16.444,16.2937
2022-08-12,16.56,16.91,16.56,16.62,60300,16.462,16.3247
2022-08-15,16.62,16.62,16.44,16.5,33300,16.4825,16.3414
2022-08-16,16.5,16.85,16.26,16.79,57900,16.515,16.3842
2022-08-17,16.79,17.03,16.67,17.03,37500,16.565,16.4457
2022-08-18,17.03,17.21,16.97,17.15,35600,16.6155,16.5127
2022-08-19,17.15,17.15,16.79,16.91,50500,16.654,16.5506
2022-08-22,16.91,17.26,16.91,17.09,69900,16.6955,16.6019
2022-08-23,17.09,17.09,16.91,16.97,28600,16.734,16.637
2022-08-24,16.97,17.15,16.73,17.15,53200,16.7815,16.6859
2022-08-25,17.15,17.32,17.09,17.32,29900,16.8165,16.7463
2022-08-26,17.32,17.38,17.15,17.15,37900,16.846,16.7847
2022-08-29,17.15,17.32,17.03,17.09,52500,16.861,16.8138
2022-08-30,17.09,17.15,16.97,17.15,35500,16.885,16.8458
2022-08-31,17.15,17.15,16.85,16.91,43600,16.882,16.8519
2022-09-05,16.91,16.91,16.62,16.79,64700,16.876,16.846
2022-09-06,16.79,16.85,16.73,16.79,32200,16.882,16.8407
2022-09-07,16.79,17.15,16.79,16.97,50400,16.9085,16.853
2022-09-08,16.97,16.97,16.85,16.91,36500,16.929,16.8584
2022-09-09,16.91,16.91,16.79,16.85,45400,16.935,16.8576
2022-09-12,16.85,17.03,16.85,16.91,42700,16.9525,16.8626
2022-09-13,16.91,16.91,16.79,16.85,30200,16.964,16.8614
2022-09-14,16.85,16.85,16.73,16.79,43900,16.9785,16.8546
2022-09-15,16.79,16.85,16.73,16.79,54100,16.9785,16.8485
2022-09-16,16.79,16.79,16.67,16.73,29800,16.9635,16.8372
2022-09-19,16.73,16.73,16.5,16.67,38200,16.9395,16.8213
2022-09-20,16.67,16.73,16.56,16.56,58700,16.922,16.7964
2022-09-21,16.56,16.56,16.44,16.5,27800,16.8925,16.7681
2022-09-22,16.83,17.51,16.5,17.51,57800,16.9195,16.8388
2022-09-23,17.51,17.76,17.51,17.76,34000,16.95,16.9265
2022-09-26,17.76,18.27,17.68,18.27,96800,16.9975,17.0545
2022-09-27,18.27,18.94,18.27,18.94,38700,17.087,17.2341
2022-09-28,18.94,18.94,18.69,18.94,37800,17.1795,17.3965
2022-09-29,18.94,19.11,18.94,19.02,50200,17.273,17.5511
2022-09-30,19.02,19.02,18.43,18.94,36200,17.3745,17.6834
2022-10-03,18.94,18.94,18.52,18.85,30200,17.4775,17.7945
2022-10-04,18.85,18.94,18.69,18.77,49700,17.5765,17.8874
2022-10-05,18.77,18.94,18.69,18.85,29800,17.6705,17.9791
2022-10-06,18.85,19.11,18.85,18.94,41700,17.772,18.0706
2022-10-07,18.94,18.94,18.77,18.85,28100,17.872,18.1448
2022-10-10,18.85,18.85,18.69,18.85,49300,17.969,18.212
2022-10-11,18.85,18.85,18.43,18.77,33000,18.065,18.2651
2022-10-12,18.77,18.77,18.43,18.6,41000,18.1555,18.297
2022-10-13,18.6,18.94,18.18,18.94,30200,18.263,18.3583
2022-10-14,18.94,18.94,18.52,18.6,20800,18.3565,18.3813
2022-10-17,18.6,18.6,18.35,18.52,18800,18.449,18.3945
2022-10-18,18.52,18.52,18.27,18.43,31200,18.5425,18.3979
2022-10-19,18.43,18.69,18.18,18.43,29700,18.639,18.4009
2022-10-20,18.43,18.43,18.27,18.35,28400,18.681,18.3961
2022-10-21,18.35,18.35,18.18,18.35,23500,18.7105,18.3917
2022-10-24,18.35,18.35,18.1,18.27,47500,18.7105,18.3801
2022-10-25,18.27,18.35,17.76,18.35,50700,18.681,18.3772
2022-10-26,18.35,18.35,18.1,18.27,12000,18.6475,18.367
2022-10-27,18.27,18.35,18.18,18.27,15300,18.61,18.3578
2022-10-28,18.27,18.27,18.01,18.18,15600,18.572,18.3409
2022-10-31,18.18,18.18,17.84,18.01,24000,18.53,18.3093
2022-11-01,18.01,18.52,18.01,18.01,18400,18.492,18.2808
2022-11-02,18.01,18.1,17.93,18.01,17000,18.45,18.255
2022-11-03,18.01,18.18,17.84,17.93,16800,18.3995,18.2241
2022-11-04,17.93,18.1,17.68,17.93,20200,18.3535,18.1961
2022-11-07,17.93,17.93,17.51,17.84,20200,18.303,18.1622
2022-11-08,17.84,17.84,17.51,17.59,21700,18.244,18.1077
2022-11-09,17.59,17.68,17.51,17.59,31600,18.1935,18.0584
2022-11-10,17.59,18.1,17.59,17.76,24100,18.1345,18.03
2022-11-11,17.76,17.76,17.26,17.34,28800,18.0715,17.9642
2022-11-14,17.34,17.51,17.34,17.42,27400,18.0165,17.9124
2022-11-15,17.42,17.51,17.26,17.42,24800,17.966,17.8655
2022-11-16,17.42,17.51,17.34,17.51,33100,17.92,17.8317
2022-11-17,17.51,17.59,17.42,17.42,26400,17.8735,17.7925
2022-11-18,17.42,17.59,17.42,17.59,13000,17.8355,17.7732
2022-11-21,17.59,17.59,17.34,17.51,29000,17.7975,17.7481
2022-11-22,17.51,17.51,17.34,17.42,17200,17.751,17.7169
2022-11-23,17.42,17.42,17.26,17.34,29300,17.7045,17.681
2022-11-24,17.34,17.34,17.17,17.34,25000,17.658,17.6485
2022-11-25,17.34,17.68,17.09,17.68,13900,17.633,17.6515
2022-11-28,17.68,17.76,17.51,17.59,18300,17.612,17.6456
2022-11-29,17.59,17.68,17.59,17.68,21800,17.5955,17.6489
2022-11-30,17.68,17.93,17.68,17.93,17700,17.5915,17.6757
2022-12-01,17.93,18.01,17.76,17.84,12400,17.587,17.6913
2022-12-02,17.84,17.93,17.68,17.84,20300,17.5825,17.7055
2022-12-05,17.84,17.84,17.68,17.76,17400,17.5785,17.7107
2022-12-06,17.76,17.76,17.59,17.68,178100,17.583,17.7078
2022-12-07,17.68,17.68,17.51,17.59,15800,17.583,17.6965
2022-12-08,17.59,18.1,17.59,18.1,15700,17.6,17.735
2022-12-09,18.1,18.1,17.93,18.01,19800,17.6335,17.7612
2022-12-12,18.01,18.01,17.93,18.01,16500,17.663,17.7849
2022-12-13,18.01,18.18,17.84,18.18,30100,17.701,17.8225
