time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.75,9.75,9.75,9.75,0,,
2020-01-03,9.75,9.75,9.75,9.75,0,,
2020-01-06,9.75,9.75,9.75,9.75,0,,
2020-01-07,9.75,9.75,9.75,9.75,0,,
2020-01-08,9.1,10.4,9.1,10.4,200,,
2020-01-09,10.76,10.76,10.76,10.76,100,,
2020-01-10,11.77,11.77,11.77,11.77,100,,
2020-01-13,10.61,12.2,10.61,12.2,236,,
2020-01-14,13.0,13.0,13.0,13.0,100,,
2020-01-15,12.93,12.93,12.93,12.93,100,,
2020-01-16,12.85,12.85,12.85,12.85,100,,
2020-01-17,12.56,12.56,12.56,12.56,100,,
2020-01-20,12.93,12.93,12.93,12.93,200,,
2020-01-21,12.93,12.93,12.93,12.93,100,,
2020-01-22,14.15,14.15,14.15,14.15,100,,
2020-01-30,15.53,15.53,15.53,15.53,100,,
2020-01-31,15.53,15.53,15.53,15.53,0,,
2020-02-03,16.9,16.9,16.9,16.9,100,,
2020-02-04,18.34,18.34,18.34,18.34,100,,
2020-02-05,18.34,18.34,18.34,18.34,0,13.006,13.8272
2020-02-06,18.34,18.34,16.54,16.54,200,13.3455,14.0856
2020-02-07,14.95,14.95,14.95,14.95,100,13.6055,14.1679
2020-02-10,13.5,13.5,13.5,13.5,100,13.793,14.1043
2020-02-11,12.2,12.2,12.2,12.2,110,13.9155,13.9229
2020-02-12,12.2,12.2,12.2,12.2,30,14.0055,13.7588
2020-02-13,12.2,12.2,12.2,12.2,12,14.0775,13.6104
2020-02-14,11.19,11.19,11.19,11.19,100,14.0485,13.3799
2020-02-17,10.47,10.47,10.47,10.47,1001,13.962,13.1027
2020-02-18,10.47,10.47,10.47,10.47,10,13.8355,12.852
2020-02-19,10.47,10.47,10.47,10.47,49,13.7125,12.6251
2020-02-20,10.47,10.47,10.47,10.47,0,13.5935,12.4199
2020-02-21,10.47,10.47,10.47,10.47,0,13.489,12.2342
2020-02-24,10.47,10.47,10.47,10.47,10,13.366,12.0662
2020-02-25,9.75,9.75,9.75,9.75,520,13.207,11.8456
2020-02-26,9.75,9.75,9.75,9.75,0,12.987,11.646
2020-02-27,9.75,9.75,9.75,9.75,0,12.698,11.4654
2020-02-28,9.75,9.75,9.75,9.75,36,12.409,11.3021
2020-03-02,9.75,9.75,9.75,9.75,0,12.0515,11.1542
2020-03-03,9.75,9.75,9.75,9.75,0,11.622,11.0205
2020-03-04,9.75,9.75,9.75,9.75,28,11.1925,10.8995
2020-03-05,9.75,9.75,9.75,9.75,0,10.853,10.79
2020-03-06,9.75,9.75,9.75,9.75,0,10.593,10.691
2020-03-09,9.75,9.75,9.39,9.39,3500,10.3875,10.5671
