time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.44,3.44,3.44,3.44,0,,
2020-01-03,3.44,3.44,3.44,3.44,0,,
2020-01-06,3.44,3.44,3.44,3.44,0,,
2020-01-07,3.44,3.44,3.44,3.44,0,,
2020-01-08,3.44,3.44,3.44,3.44,0,,
2020-01-09,3.44,3.44,3.44,3.44,0,,
2020-01-10,3.44,3.44,3.44,3.44,0,,
2020-01-13,3.44,3.44,3.44,3.44,0,,
2020-01-14,3.44,3.44,3.44,3.44,0,,
2020-01-15,3.44,3.44,3.44,3.44,0,,
2020-01-16,3.44,3.44,3.44,3.44,0,,
2020-01-17,3.44,3.44,3.44,3.44,0,,
2020-01-20,3.44,3.44,3.44,3.44,0,,
2020-01-21,3.44,3.44,3.44,3.44,0,,
2020-01-22,3.44,3.44,3.44,3.44,0,,
2020-01-30,3.44,3.44,3.44,3.44,0,,
2020-01-31,3.2,3.2,3.2,3.2,40,,
2020-02-03,3.2,3.2,3.2,3.2,0,,
2020-02-04,3.2,3.2,3.2,3.2,0,,
2020-02-05,2.98,2.98,2.98,2.98,460,3.381,3.3399
2020-02-06,2.84,2.84,2.84,2.84,420,3.351,3.2923
2020-02-07,2.84,2.84,2.79,2.79,1750,3.3185,3.2444
2020-02-10,2.98,2.98,2.98,2.98,10,3.2955,3.2192
2020-02-11,2.78,2.78,2.78,2.78,800,3.2625,3.1774
2020-02-12,2.78,2.78,2.61,2.63,3010,3.222,3.1253
2020-02-13,2.81,2.81,2.81,2.81,20,3.1905,3.0953
2020-02-14,2.63,2.67,2.63,2.64,2500,3.1505,3.0519
2020-02-17,2.47,2.47,2.47,2.47,10,3.102,2.9965
2020-02-18,2.63,2.64,2.63,2.64,30,3.062,2.9625
2020-02-19,2.64,2.82,2.64,2.82,760,3.031,2.949
2020-02-20,2.82,2.82,2.82,2.82,5000,3.0,2.9367
2020-02-21,2.82,2.82,2.82,2.82,0,2.969,2.9256
2020-02-24,2.82,2.82,2.82,2.82,0,2.938,2.9155
2020-02-25,2.82,2.82,2.82,2.82,0,2.907,2.9064
2020-02-26,3.01,3.01,3.01,3.01,10,2.8855,2.9163
2020-02-27,2.8,2.8,2.8,2.8,1570,2.8535,2.9052
2020-02-28,2.81,2.82,2.81,2.82,13280,2.8345,2.8971
2020-03-02,2.62,2.62,2.62,2.62,10,2.8055,2.8707
2020-03-03,2.46,2.81,2.46,2.81,20,2.786,2.8649
2020-03-04,2.62,2.94,2.62,2.94,3360,2.784,2.8721
2020-03-05,2.73,2.73,2.73,2.73,50,2.7785,2.8585
2020-03-06,2.73,2.73,2.73,2.73,0,2.7755,2.8463
2020-03-09,2.78,2.78,2.55,2.55,1110,2.754,2.8181
2020-03-10,2.55,2.55,2.37,2.55,3170,2.7425,2.7925
2020-03-11,2.69,2.69,2.69,2.69,10,2.7455,2.7828
2020-03-12,2.51,2.87,2.51,2.83,2780,2.7465,2.7873
2020-03-13,2.64,2.64,2.64,2.64,100,2.7465,2.7733
2020-03-16,2.64,2.64,2.64,2.64,0,2.755,2.7606
2020-03-17,2.46,2.5,2.46,2.46,2380,2.746,2.7319
2020-03-18,2.46,2.46,2.29,2.46,126670,2.728,2.706
2020-03-19,2.33,2.49,2.29,2.33,4160,2.7035,2.6702
2020-03-20,2.33,2.33,2.33,2.33,0,2.679,2.6378
2020-03-23,2.39,2.49,2.17,2.17,27580,2.6465,2.5933
2020-03-24,2.32,2.32,2.32,2.32,10,2.6215,2.5672
2020-03-25,2.48,2.48,2.48,2.48,750,2.595,2.5589
2020-03-26,2.56,2.56,2.56,2.56,60,2.583,2.559
2020-03-27,2.56,2.56,2.56,2.56,0,2.57,2.5591
2020-03-30,2.56,2.56,2.56,2.56,0,2.567,2.5592
2020-03-31,2.56,2.56,2.56,2.56,0,2.5545,2.5593
2020-04-01,2.38,2.38,2.38,2.38,2810,2.5265,2.5422
2020-04-03,2.53,2.53,2.53,2.53,10,2.5165,2.541
2020-04-06,2.53,2.53,2.53,2.53,180,2.5065,2.54
2020-04-07,2.53,2.69,2.53,2.69,420,2.5135,2.5543
2020-04-08,2.78,2.78,2.7,2.71,630,2.5215,2.5691
