time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.18,7.68,7.68,7.68,0,,
2020-01-03,7.18,7.68,7.68,7.68,0,,
2020-01-06,7.18,7.68,7.68,7.68,0,,
2020-01-07,7.18,7.68,7.68,7.68,0,,
2020-01-08,7.18,7.68,7.68,7.68,0,,
2020-01-09,7.18,7.68,7.68,7.68,0,,
2020-01-10,7.18,7.68,7.68,7.68,0,,
2020-01-13,7.18,7.68,7.68,7.68,0,,
2020-01-14,7.18,7.68,7.68,7.68,0,,
2020-01-15,7.18,7.68,7.68,7.68,0,,
2020-01-16,7.18,7.68,7.68,7.68,0,,
2020-01-17,7.18,7.68,7.68,7.68,0,,
2020-01-20,7.18,7.68,7.68,7.68,0,,
2020-01-21,7.18,7.68,7.68,7.68,0,,
2020-01-22,7.18,7.68,7.68,7.68,0,,
2020-01-30,7.18,7.68,7.68,7.68,0,,
2020-01-31,7.18,7.68,7.68,7.68,0,,
2020-02-03,7.18,7.68,7.68,7.68,0,,
2020-02-04,7.18,7.68,7.68,7.68,0,,
2020-02-05,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-06,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-07,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-10,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-11,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-12,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-13,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-14,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-17,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-18,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-19,7.18,7.68,7.68,7.68,0,7.68,7.68
2020-02-20,6.29,6.29,6.29,6.29,1100,7.6105,7.5476
2020-02-21,6.29,6.29,6.29,6.29,0,7.541,7.4278
2020-02-24,6.29,6.29,6.29,6.29,0,7.4715,7.3195
2020-02-25,6.29,6.29,6.29,6.29,0,7.402,7.2214
2020-02-26,6.29,6.29,6.29,6.29,0,7.3325,7.1327
2020-02-27,6.29,6.29,6.29,6.29,0,7.263,7.0525
2020-02-28,6.29,6.29,6.29,6.29,0,7.1935,6.9799
2020-03-02,6.29,6.29,6.29,6.29,0,7.124,6.9142
2020-03-03,6.29,6.29,6.29,6.29,0,7.0545,6.8547
2020-03-04,6.92,6.92,6.92,6.92,4379,7.0165,6.8609
2020-03-05,6.92,6.92,6.92,6.92,0,6.9785,6.8666
2020-03-06,7.93,7.93,7.93,7.93,100,6.991,6.9678
2020-03-09,7.93,7.93,7.93,7.93,0,7.0035,7.0595
2020-03-10,6.92,6.92,6.92,6.92,6000,6.9655,7.0462
2020-03-11,7.93,7.93,7.93,7.93,100,6.978,7.1304
2020-03-12,7.93,7.93,7.93,7.93,0,6.9905,7.2065
2020-03-13,7.93,7.93,7.93,7.93,0,7.003,7.2754
2020-03-16,7.93,7.93,7.93,7.93,0,7.0155,7.3378
2020-03-17,7.93,7.93,7.93,7.93,0,7.028,7.3942
2020-03-18,7.93,7.93,7.93,7.93,0,7.0405,7.4452
2020-03-19,7.93,7.93,7.93,7.93,0,7.1225,7.4914
2020-03-20,7.93,7.93,7.93,7.93,0,7.2045,7.5331
2020-03-23,7.93,7.93,7.93,7.93,0,7.2865,7.5709
2020-03-24,7.93,7.93,7.93,7.93,0,7.3685,7.6051
2020-03-25,7.93,7.93,7.93,7.93,0,7.4505,7.6361
2020-03-26,7.93,7.93,7.93,7.93,0,7.5325,7.6641
2020-03-27,6.92,6.92,6.92,6.92,6000,7.564,7.5932
2020-03-30,6.92,6.92,6.92,6.92,6000,7.5955,7.5291
2020-03-31,6.92,6.92,6.92,6.92,0,7.627,7.4711
2020-04-01,6.92,6.92,6.92,6.92,0,7.627,7.4186
2020-04-03,6.92,6.92,6.92,6.92,0,7.627,7.3711
2020-04-06,6.92,6.92,6.92,6.92,0,7.5765,7.3281
2020-04-07,7.93,7.93,7.93,7.93,1000,7.5765,7.3855
2020-04-08,7.93,7.93,7.93,7.93,0,7.627,7.4373
2020-04-09,7.93,7.93,7.93,7.93,0,7.627,7.4842
2020-04-10,7.93,7.93,7.93,7.93,0,7.627,7.5267
2020-04-13,7.93,7.93,7.93,7.93,0,7.627,7.5651
2020-04-14,7.93,7.93,7.93,7.93,0,7.627,7.5999
2020-04-15,7.93,7.93,7.93,7.93,0,7.627,7.6313
2020-04-16,7.93,7.93,7.93,7.93,0,7.627,7.6598
2020-04-17,7.93,7.93,7.93,7.93,0,7.627,7.6855
2020-04-20,7.93,7.93,7.93,7.93,0,7.627,7.7088
2020-04-21,7.93,7.93,7.93,7.93,0,7.627,7.7298
2020-04-22,7.93,7.93,7.93,7.93,0,7.627,7.7489
2020-04-23,7.93,7.93,7.93,7.93,0,7.627,7.7662
2020-04-24,7.93,7.93,7.93,7.93,0,7.627,7.7818
2020-04-27,7.93,7.93,7.93,7.93,0,7.6775,7.7959
2020-04-28,7.93,7.93,7.93,7.93,0,7.728,7.8087
2020-04-29,7.93,7.93,7.93,7.93,0,7.7785,7.8202
2020-05-04,7.93,7.93,7.93,7.93,0,7.829,7.8307
2020-05-05,7.93,7.93,7.93,7.93,0,7.8795,7.8401
2020-05-06,7.93,7.93,7.93,7.93,0,7.93,7.8487
2020-05-07,7.93,7.93,7.93,7.93,0,7.93,7.8564
2020-05-08,7.93,7.93,7.93,7.93,0,7.93,7.8634
2020-05-11,7.93,7.93,7.93,7.93,0,7.93,7.8698
2020-05-12,6.8,6.8,6.8,6.8,3779,7.8735,7.7679
2020-05-13,6.8,6.8,6.8,6.8,0,7.817,7.6757
2020-05-14,6.8,6.8,6.8,6.8,0,7.7605,7.5923
2020-05-15,6.8,6.8,6.8,6.8,0,7.704,7.5169
2020-05-18,6.8,6.8,6.8,6.8,0,7.6475,7.4486
2020-05-19,6.8,6.8,6.8,6.8,0,7.591,7.3868
2020-05-20,6.8,6.8,6.8,6.8,0,7.5345,7.3309
2020-05-21,6.8,6.8,6.8,6.8,0,7.478,7.2804
2020-05-22,6.8,6.8,6.8,6.8,0,7.4215,7.2346
2020-05-25,6.8,6.8,6.8,6.8,0,7.365,7.1932
2020-05-26,6.8,6.8,6.8,6.8,0,7.3085,7.1558
2020-05-27,6.8,6.8,6.8,6.8,0,7.252,7.1219
2020-05-28,6.8,6.8,6.8,6.8,0,7.1955,7.0912
2020-05-29,6.8,6.8,6.8,6.8,0,7.139,7.0635
2020-06-01,6.8,6.8,6.8,6.8,0,7.0825,7.0384
2020-06-02,6.8,6.8,6.8,6.8,0,7.026,7.0157
2020-06-03,6.8,6.8,6.8,6.8,0,6.9695,6.9952
2020-06-04,6.29,6.29,6.29,6.29,2800,6.8875,6.928
2020-06-05,6.29,6.29,6.29,6.29,0,6.8055,6.8672
2020-06-08,6.29,6.29,6.29,6.29,0,6.7235,6.8123
2020-06-09,6.29,6.29,6.29,6.29,600,6.698,6.7625
2020-06-10,6.29,6.29,6.29,6.29,0,6.6725,6.7175
2020-06-11,6.29,6.29,6.29,6.29,0,6.647,6.6768
2020-06-12,6.29,6.29,6.29,6.29,0,6.6215,6.64
2020-06-15,6.29,6.29,6.29,6.29,0,6.596,6.6066
2020-06-16,6.29,6.29,6.29,6.29,0,6.5705,6.5765
2020-06-17,6.29,6.29,6.29,6.29,0,6.545,6.5492
2020-06-18,6.29,6.29,6.29,6.29,0,6.5195,6.5245
2020-06-19,6.29,6.29,6.29,6.29,0,6.494,6.5022
2020-06-22,6.29,6.29,6.29,6.29,0,6.4685,6.482
2020-06-23,6.29,6.29,6.29,6.29,0,6.443,6.4637
2020-06-24,6.29,6.29,6.29,6.29,0,6.4175,6.4471
2020-06-25,6.29,6.29,6.29,6.29,0,6.392,6.4322
2020-06-26,6.29,6.29,6.29,6.29,0,6.3665,6.4186
2020-06-29,6.29,6.29,6.29,6.29,0,6.341,6.4064
2020-06-30,6.29,6.29,6.29,6.29,0,6.3155,6.3953
2020-07-01,6.29,6.29,6.29,6.29,0,6.29,6.3853
2020-07-02,6.29,6.29,6.29,6.29,0,6.29,6.3762
2020-07-03,6.29,6.29,6.29,6.29,0,6.29,6.368
2020-07-06,6.29,6.29,6.29,6.29,0,6.29,6.3606
2020-07-07,6.29,6.29,6.29,6.29,20,6.29,6.3538
2020-07-08,6.29,6.29,6.29,6.29,0,6.29,6.3478
2020-07-09,6.29,6.29,6.29,6.29,0,6.29,6.3423
2020-07-10,6.29,6.29,6.29,6.29,0,6.29,6.3373
2020-07-13,6.29,6.29,6.29,6.29,0,6.29,6.3328
2020-07-14,6.29,6.29,6.29,6.29,0,6.29,6.3287
2020-07-15,6.29,6.99,6.99,6.99,0,6.325,6.3917
2020-07-16,6.29,6.99,6.99,6.99,0,6.36,6.4487
2020-07-17,6.29,6.99,6.99,6.99,0,6.395,6.5002
2020-07-20,6.29,6.99,6.99,6.99,0,6.43,6.5469
2020-07-21,6.29,6.99,6.99,6.99,0,6.465,6.5891
2020-07-22,6.29,6.99,6.99,6.99,0,6.5,6.6273
2020-07-23,6.29,6.99,6.99,6.99,0,6.535,6.6618
2020-07-24,6.29,6.99,6.99,6.99,0,6.57,6.6931
2020-07-27,8.39,8.39,8.39,8.39,800,6.675,6.8547
2020-07-28,8.39,8.39,8.39,8.39,0,6.78,7.0009
2020-07-29,8.46,8.46,8.46,8.46,1000,6.8885,7.1399
2020-07-30,8.46,8.46,8.46,8.46,0,6.997,7.2656
2020-07-31,8.46,8.46,8.46,8.46,0,7.1055,7.3793
2020-08-03,8.46,8.46,8.46,8.46,0,7.214,7.4823
2020-08-04,8.04,8.04,8.04,8.04,20020,7.3015,7.5354
2020-08-05,8.04,8.04,8.04,8.04,0,7.389,7.5834
2020-08-06,8.04,8.04,8.04,8.04,0,7.4765,7.6269
2020-08-07,7.69,7.69,7.69,7.69,25000,7.5465,7.6329
2020-08-10,7.69,7.69,7.69,7.69,0,7.6165,7.6384
2020-08-11,7.69,7.69,7.69,7.69,0,7.6865,7.6433
2020-08-12,7.69,7.69,7.69,7.69,0,7.7215,7.6477
2020-08-13,7.69,7.69,7.69,7.69,5624,7.7565,7.6518
2020-08-14,7.69,7.69,7.69,7.69,0,7.7915,7.6554
2020-08-17,7.69,7.69,7.69,7.69,0,7.8265,7.6587
2020-08-18,8.39,8.39,8.39,8.39,436,7.8965,7.7283
2020-08-19,8.39,8.39,8.39,8.39,0,7.9665,7.7914
2020-08-20,8.39,8.39,8.39,8.39,0,8.0365,7.8484
2020-08-21,8.39,8.39,8.39,8.39,110,8.1065,7.9
2020-08-24,8.39,8.39,8.39,8.39,0,8.1065,7.9466
2020-08-25,8.39,8.39,8.39,8.39,0,8.1065,7.9889
2020-08-26,8.39,8.39,8.39,8.39,0,8.103,8.0271
2020-08-27,8.39,8.39,8.39,8.39,1,8.0995,8.0616
2020-08-28,8.39,8.39,8.39,8.39,0,8.096,8.0929
2020-08-31,8.46,8.46,8.46,8.46,1800,8.096,8.1279
2020-09-01,8.46,8.46,8.46,8.46,0,8.117,8.1595
2020-09-03,8.46,8.46,8.46,8.46,0,8.138,8.1881
2020-09-04,8.46,8.46,8.46,8.46,0,8.159,8.214
2020-09-07,8.46,8.46,8.46,8.46,0,8.1975,8.2374
2020-09-08,8.46,8.46,8.46,8.46,0,8.236,8.2586
2020-09-09,8.46,8.46,8.46,8.46,0,8.2745,8.2778
2020-09-10,8.46,8.46,8.46,8.46,0,8.313,8.2952
2020-09-11,8.46,8.46,8.46,8.46,30,8.3515,8.3109
2020-09-14,8.46,8.46,8.46,8.46,20,8.39,8.3251
2020-09-15,8.46,8.46,8.46,8.46,0,8.4285,8.3379
2020-09-16,8.46,8.46,8.46,8.46,0,8.432,8.3495
2020-09-17,8.46,8.46,8.46,8.46,0,8.4355,8.3601
2020-09-18,8.46,8.46,8.46,8.46,0,8.439,8.3696
2020-09-21,8.46,8.46,8.46,8.46,0,8.4425,8.3782
2020-09-22,8.46,8.46,8.46,8.46,0,8.446,8.386
2020-09-23,8.46,8.46,8.46,8.46,0,8.4495,8.393
2020-09-24,8.46,8.46,8.46,8.46,0,8.453,8.3994
2020-09-25,8.46,8.46,8.46,8.46,0,8.4565,8.4052
2020-09-28,8.46,8.46,8.46,8.46,0,8.46,8.4104
2020-09-29,8.46,8.46,8.46,8.46,0,8.46,8.4151
2020-09-30,8.46,8.46,8.46,8.46,0,8.46,8.4194
2020-10-01,8.46,8.46,8.46,8.46,0,8.46,8.4233
2020-10-02,8.46,8.46,8.46,8.46,0,8.46,8.4268
2020-10-05,8.39,8.39,8.39,8.39,1300,8.4565,8.4233
2020-10-06,8.39,8.39,8.39,8.39,0,8.453,8.4201
2020-10-07,8.39,8.39,8.39,8.39,0,8.4495,8.4172
2020-10-08,8.39,8.39,8.39,8.39,0,8.446,8.4146
2020-10-09,8.39,8.39,8.39,8.39,0,8.4425,8.4123
2020-10-12,8.39,8.39,8.39,8.39,0,8.439,8.4102
2020-10-13,7.76,7.76,7.76,7.76,400,8.404,8.3482
2020-10-14,7.76,7.76,7.76,7.76,0,8.369,8.2922
2020-10-15,7.76,7.76,7.76,7.76,0,8.334,8.2415
2020-10-16,7.76,7.76,7.76,7.76,0,8.299,8.1957
2020-10-19,7.76,7.76,7.76,7.76,0,8.264,8.1542
2020-10-20,7.76,7.76,7.76,7.76,0,8.229,8.1166
2020-10-21,7.76,7.76,7.76,7.76,0,8.194,8.0827
2020-10-22,7.76,7.76,7.76,7.76,0,8.159,8.0519
2020-10-23,7.76,7.76,7.76,7.76,0,8.124,8.0241
2020-10-26,7.76,7.76,7.76,7.76,0,8.089,7.999
2020-10-27,7.76,7.76,7.76,7.76,0,8.054,7.9762
2020-10-28,7.76,7.76,7.76,7.76,0,8.019,7.9556
