time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.03,11.03,10.85,10.85,1450,,
2020-01-03,10.91,10.91,9.81,9.81,3200,,
2020-01-06,9.19,9.19,9.19,9.19,100,,
2020-01-07,9.19,9.19,9.19,9.19,87,,
2020-01-08,9.25,9.25,9.25,9.25,6100,,
2020-01-09,9.25,9.25,9.25,9.25,2100,,
2020-01-10,9.25,9.5,9.25,9.25,10428,,
2020-01-13,9.25,9.25,9.25,9.25,0,,
2020-01-14,9.25,9.25,9.25,9.25,0,,
2020-01-15,9.25,9.25,9.25,9.25,2200,,
2020-01-16,9.25,9.25,9.25,9.25,55,,
2020-01-17,9.25,9.25,9.25,9.25,0,,
2020-01-20,9.25,9.25,9.25,9.25,51,,
2020-01-21,9.25,9.25,9.25,9.25,0,,
2020-01-22,9.25,9.25,9.25,9.25,0,,
2020-01-30,9.19,9.19,9.19,9.19,220,,
2020-01-31,9.19,9.19,9.19,9.19,0,,
2020-02-03,9.19,9.19,9.19,9.19,1100,,
2020-02-04,9.19,9.19,9.19,9.19,0,,
2020-02-05,9.19,9.19,9.19,9.19,0,9.337,9.4719
2020-02-06,9.19,9.19,9.19,9.19,700,9.254,9.4451
2020-02-07,9.19,9.19,9.19,9.19,1000,9.223,9.4208
2020-02-10,9.19,9.19,9.19,9.19,0,9.223,9.3988
2020-02-11,9.19,9.19,9.19,9.19,0,9.223,9.3789
2020-02-12,9.19,9.19,9.19,9.19,0,9.22,9.3609
2020-02-13,9.19,9.19,9.19,9.19,900,9.217,9.3446
2020-02-14,9.19,9.19,9.19,9.19,0,9.214,9.3299
2020-02-17,9.19,9.19,9.19,9.19,100,9.211,9.3166
2020-02-18,9.19,9.19,9.19,9.19,6403,9.208,9.3045
2020-02-19,9.19,9.19,9.19,9.19,0,9.205,9.2936
2020-02-20,9.19,10.11,9.19,10.11,305100,9.248,9.3714
2020-02-21,9.19,10.05,9.19,10.05,3476,9.288,9.436
2020-02-24,10.05,10.05,10.05,10.05,0,9.328,9.4945
2020-02-25,10.05,10.05,10.05,10.05,0,9.368,9.5474
2020-02-26,10.05,10.05,10.05,10.05,26,9.408,9.5953
2020-02-27,9.5,9.5,9.5,9.5,2124,9.4235,9.5862
2020-02-28,9.5,9.5,9.19,9.5,4500,9.439,9.578
2020-03-02,9.68,9.68,9.68,9.68,500,9.4635,9.5877
2020-03-03,9.81,9.81,9.81,9.81,100,9.4945,9.6089
2020-03-04,9.68,9.68,9.68,9.68,2300,9.519,9.6156
2020-03-05,9.81,9.81,9.81,9.81,7100,9.55,9.6341
2020-03-06,9.25,9.25,9.25,9.25,300,9.553,9.5976
2020-03-09,9.81,10.17,9.19,9.19,35400,9.553,9.5587
2020-03-10,9.19,9.19,9.19,9.19,0,9.553,9.5236
2020-03-11,9.25,9.25,9.19,9.19,3400,9.553,9.4919
2020-03-12,9.19,9.19,9.19,9.19,8200,9.553,9.4631
2020-03-13,9.19,9.5,9.19,9.19,2300,9.553,9.4371
2020-03-16,9.19,9.19,9.19,9.19,7120,9.553,9.4136
2020-03-17,9.19,9.19,9.19,9.19,900,9.553,9.3923
2020-03-18,9.19,9.19,9.19,9.19,69012,9.553,9.373
2020-03-19,9.19,9.19,9.19,9.19,3620,9.507,9.3556
2020-03-20,9.19,9.19,9.19,9.19,4600,9.464,9.3398
2020-03-23,9.25,9.25,9.25,9.25,3800,9.424,9.3313
2020-03-24,9.25,9.25,9.25,9.25,20,9.384,9.3235
2020-03-25,9.25,9.25,9.19,9.25,3903,9.344,9.3165
2020-03-26,9.32,10.17,9.32,10.17,531030,9.3775,9.3978
2020-03-27,10.17,11.15,10.17,11.15,65700,9.46,9.5647
2020-03-30,11.03,11.65,10.24,11.65,10710,9.5585,9.7633
2020-03-31,11.03,12.56,11.03,12.56,38300,9.696,10.0296
2020-04-01,12.56,12.56,12.56,12.56,510,9.84,10.2706
2020-04-03,12.26,12.26,12.26,12.26,2648,9.9625,10.4601
2020-04-06,12.26,13.36,12.26,12.26,3400,10.113,10.6315
2020-04-07,12.26,12.26,12.26,12.26,0,10.2665,10.7866
2020-04-08,12.26,12.26,12.26,12.26,2010,10.42,10.9269
2020-04-09,12.26,12.26,12.26,12.26,111,10.5735,11.0539
2020-04-10,12.26,12.26,12.26,12.26,0,10.727,11.1688
2020-04-13,11.65,11.65,11.65,11.65,500,10.85,11.2146
2020-04-14,11.65,11.65,11.65,11.65,0,10.973,11.2561
2020-04-15,10.73,10.73,10.73,10.73,130,11.05,11.206
2020-04-16,10.73,10.73,10.73,10.73,4,11.127,11.1606
2020-04-17,10.11,11.71,9.68,11.71,3320,11.253,11.2129
2020-04-20,12.81,12.81,12.81,12.81,100,11.434,11.365
2020-04-21,12.81,12.81,12.81,12.81,0,11.612,11.5027
2020-04-22,11.58,11.58,11.58,11.58,255,11.7285,11.51
2020-04-23,10.54,10.54,10.54,10.54,500,11.793,11.4176
2020-04-24,10.54,10.54,10.54,10.54,0,11.8115,11.3341
2020-04-27,10.54,11.52,10.54,11.52,200,11.83,11.3518
2020-04-28,11.65,11.65,11.65,11.65,100,11.83,11.3802
2020-04-29,11.65,11.65,11.65,11.65,0,11.7845,11.4059
2020-05-04,11.52,11.52,11.52,11.52,500,11.7325,11.4167
2020-05-05,11.52,11.52,11.52,11.52,0,11.6955,11.4266
2020-05-06,11.52,11.52,11.52,11.52,0,11.6585,11.4355
2020-05-07,10.73,11.4,10.73,11.4,389,11.6155,11.4321
2020-05-08,10.3,11.4,10.3,11.4,620,11.5725,11.429
2020-05-11,11.4,11.4,11.4,11.4,0,11.5295,11.4263
2020-05-12,11.4,11.4,11.4,11.4,0,11.4865,11.4238
2020-05-13,10.54,11.15,10.54,11.15,2249,11.4615,11.3977
2020-05-14,11.15,11.15,11.15,11.15,10,11.4365,11.3741
2020-05-15,11.15,11.15,11.15,11.15,10,11.4575,11.3528
2020-05-18,11.15,11.15,10.48,10.97,2339,11.4695,11.3163
2020-05-19,10.97,10.97,10.91,10.91,617,11.4295,11.2776
2020-05-20,11.52,11.52,11.52,11.52,120,11.365,11.3007
2020-05-21,11.03,11.28,11.03,11.28,200,11.2885,11.2987
2020-05-22,11.09,11.09,11.09,11.09,125,11.264,11.2788
2020-05-25,11.09,11.09,11.09,11.09,0,11.2915,11.2609
2020-05-26,11.09,11.09,11.09,11.09,0,11.319,11.2446
2020-05-27,11.09,11.09,11.09,11.09,13,11.2975,11.2299
2020-05-28,11.09,11.09,11.09,11.09,63,11.2695,11.2165
2020-05-29,11.09,11.09,11.09,11.09,0,11.2415,11.2045
2020-06-01,11.03,11.03,10.97,10.97,2114,11.214,11.1822
2020-06-02,11.09,11.09,11.09,11.09,1000,11.1925,11.1734
2020-06-03,11.09,11.15,11.09,11.15,300,11.174,11.1712
2020-06-04,11.15,11.15,11.15,11.15,0,11.1615,11.1691
2020-06-05,11.15,11.15,11.15,11.15,0,11.149,11.1673
2020-06-08,10.73,11.15,10.73,11.15,753,11.1365,11.1657
2020-06-09,10.54,10.54,10.54,10.54,200,11.0935,11.1061
2020-06-10,10.73,11.03,10.54,11.03,8425,11.0875,11.0988
2020-06-11,10.66,11.03,10.66,11.03,400,11.0815,11.0923
2020-06-12,11.03,11.03,11.03,11.03,0,11.0755,11.0863
2020-06-15,11.03,11.03,11.03,11.03,800,11.0785,11.081
2020-06-16,11.03,11.34,11.03,11.34,1000,11.1,11.1057
2020-06-17,10.73,11.28,10.73,10.79,5400,11.0635,11.0756
2020-06-18,11.28,11.28,11.28,11.28,2500,11.0635,11.0951
2020-06-19,10.85,11.65,10.85,11.65,8240,11.0915,11.1479
2020-06-22,11.34,11.65,11.28,11.28,7000,11.101,11.1605
2020-06-23,11.34,11.34,11.28,11.34,7370,11.1135,11.1776
2020-06-24,11.28,12.44,11.28,12.44,17550,11.181,11.2978
2020-06-25,11.65,11.65,11.65,11.65,4000,11.209,11.3314
2020-06-26,11.65,11.65,11.65,11.65,72,11.237,11.3617
2020-06-29,11.65,11.65,11.65,11.65,100,11.271,11.3892
2020-06-30,12.26,12.56,12.14,12.56,33000,11.3445,11.5007
2020-07-01,12.56,12.56,12.56,12.56,0,11.415,11.6016
2020-07-02,12.56,12.56,12.56,12.56,9,11.4855,11.6928
2020-07-03,12.56,12.56,12.56,12.56,0,11.556,11.7754
2020-07-06,12.56,12.56,12.56,12.56,0,11.6265,11.8501
2020-07-07,12.56,12.56,12.56,12.56,0,11.7275,11.9178
2020-07-08,13.73,13.73,13.73,13.73,100,11.8625,12.0903
