time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.27,4.54,4.27,4.54,30,,
2020-01-03,4.59,4.59,4.3,4.54,1090,,
2020-01-06,4.54,4.54,4.54,4.54,10,,
2020-01-07,4.23,4.25,4.23,4.23,4960,,
2020-01-08,4.23,4.23,4.2,4.2,7010,,
2020-01-09,3.91,3.91,3.91,3.91,15970,,
2020-01-10,3.64,3.64,3.64,3.64,39800,,
2020-01-13,3.72,3.89,3.72,3.89,510,,
2020-01-14,4.12,4.12,3.8,3.98,2820,,
2020-01-15,4.23,4.23,3.71,3.71,2150,,
2020-01-16,3.46,3.7,3.46,3.7,7880,,
2020-01-17,3.7,3.79,3.7,3.79,170,,
2020-01-20,3.99,3.99,3.53,3.53,2010,,
2020-01-21,3.69,3.77,3.69,3.77,1710,,
2020-01-22,3.77,3.77,3.77,3.77,0,,
2020-01-30,3.94,3.94,3.94,3.94,630,,
2020-01-31,3.68,3.92,3.68,3.92,2910,,
2020-02-03,3.66,3.84,3.66,3.84,2520,,
2020-02-04,3.6,3.93,3.6,3.93,40,,
2020-02-05,3.89,3.89,3.89,3.89,240,3.963,3.9752
2020-02-06,4.0,4.0,3.64,4.0,7160,3.936,3.9776
2020-02-07,4.0,4.0,4.0,4.0,150,3.909,3.9797
2020-02-10,3.72,3.79,3.72,3.79,3380,3.8715,3.9617
2020-02-11,3.7,3.88,3.7,3.88,1010,3.854,3.9539
2020-02-12,3.61,3.88,3.61,3.88,22890,3.838,3.9468
2020-02-13,3.94,3.94,3.94,3.94,350,3.8395,3.9462
2020-02-14,3.94,3.94,3.94,3.94,10,3.8545,3.9456
2020-02-17,3.68,3.68,3.67,3.67,3540,3.8435,3.9194
2020-02-18,3.88,3.88,3.42,3.88,10520,3.8385,3.9156
2020-02-19,3.88,3.88,3.88,3.88,10,3.847,3.9122
2020-02-20,3.88,3.88,3.88,3.88,10,3.856,3.9091
2020-02-21,3.61,3.88,3.61,3.88,770,3.8605,3.9064
2020-02-24,3.88,3.88,3.88,3.88,10,3.878,3.9039
2020-02-25,3.88,3.88,3.88,3.88,10,3.8835,3.9016
2020-02-26,3.88,3.88,3.88,3.88,10,3.889,3.8995
