time,open,high,low,close,volume,SMA_20,EMA_20
2025-08-22,28.0,28.0,28.0,28.0,38300,,
2025-08-25,32.2,32.2,32.2,32.2,23800,,
2025-08-26,32.2,32.2,28.0,28.0,4600,,
2025-08-27,26.1,26.1,26.1,26.1,4500,,
2025-08-28,22.2,22.2,22.2,22.2,8300,,
2025-08-29,22.1,22.1,19.8,19.8,4500,,
2025-09-03,20.4,20.4,20.3,20.3,200,,
2025-09-04,20.2,20.2,17.4,17.4,9800,,
2025-09-05,17.4,17.4,17.4,17.4,300,,
2025-09-08,15.0,19.9,14.8,15.0,13700,,
2025-09-09,15.0,15.0,15.0,15.0,4600,,
2025-09-10,15.0,16.6,15.0,15.0,12500,,
2025-09-11,15.0,15.0,15.0,15.0,200,,
2025-09-12,15.0,15.0,14.5,15.0,600,,
2025-09-15,14.1,14.1,13.0,13.0,3300,,
2025-09-16,14.9,15.0,12.5,13.5,2500,,
2025-09-17,13.6,14.8,13.6,14.8,1100,,
2025-09-18,15.1,15.1,15.0,15.0,2600,,
2025-09-19,15.0,16.5,15.0,16.5,300,,
2025-09-22,13.7,14.2,13.7,14.2,1000,18.67,18.026
2025-09-23,12.2,15.0,12.2,15.0,500,18.02,17.7379
2025-09-24,14.4,14.4,14.3,14.3,1800,17.125,17.4104
2025-09-25,12.6,15.0,12.6,15.0,300,16.475,17.1809
2025-09-26,13.9,13.9,13.9,13.9,100,15.865,16.8684
2025-09-29,14.0,14.0,14.0,14.0,9100,15.455,16.5952
2025-09-30,14.0,14.0,14.0,14.0,100,15.165,16.3481
2025-10-02,14.0,14.0,14.0,14.0,100,14.85,16.1244
2025-10-03,14.7,15.0,14.7,15.0,60100,14.73,16.0173
2025-10-06,15.0,15.0,15.0,15.0,153600,,
