time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,12.0,12.0,12.0,12.0,1300,,
2020-01-03,13.3,13.3,13.3,13.3,1300,,
2020-01-06,14.0,14.0,11.4,11.4,2100,,
2020-01-07,11.9,11.9,11.9,11.9,200,,
2020-01-08,11.8,11.8,10.3,10.3,3400,,
2020-01-09,12.0,12.0,12.0,12.0,3400,,
2020-01-10,11.9,11.9,11.9,11.9,3100,,
2020-01-13,11.9,11.9,11.9,11.9,0,,
2020-01-14,11.9,11.9,11.9,11.9,0,,
2020-01-15,11.9,11.9,11.9,11.9,0,,
2020-01-16,11.9,11.9,11.9,11.9,0,,
2020-01-17,10.2,10.2,10.2,10.2,100,,
2020-01-20,9.7,9.7,9.7,9.7,2200,,
2020-01-21,8.4,9.1,8.3,9.1,4460,,
2020-01-22,8.9,9.1,9.1,9.1,0,,
2020-01-30,8.9,9.1,9.1,9.1,0,,
2020-01-31,8.3,8.3,8.3,8.3,1000,,
2020-02-03,8.3,8.3,8.3,8.3,0,,
2020-02-04,8.7,8.7,8.7,8.7,200,,
2020-02-05,8.7,8.7,8.7,8.7,60,10.58,10.1182
2020-02-06,8.7,8.7,8.7,8.7,0,10.415,9.9832
2020-02-07,8.7,8.7,8.7,8.7,0,10.185,9.8609
2020-02-10,8.7,8.7,8.7,8.7,0,10.05,9.7504
2020-02-11,8.7,8.7,8.7,8.7,0,9.89,9.6503
2020-02-12,7.4,7.5,7.4,7.4,33480,9.745,9.436
2020-02-13,7.4,7.4,7.4,7.4,0,9.515,9.2421
2020-02-14,7.4,7.4,7.4,7.4,51900,9.29,9.0667
2020-02-17,7.4,7.4,7.4,7.4,0,9.065,8.9079
2020-02-18,7.4,7.4,7.4,7.4,3400,8.84,8.7643
2020-02-19,8.4,8.4,8.4,8.4,100,8.665,8.7296
2020-02-20,9.5,9.5,9.5,9.5,100,8.545,8.803
2020-02-21,8.5,8.5,8.2,8.2,700,8.445,8.7456
2020-02-24,8.4,8.2,8.2,8.2,0,8.37,8.6936
2020-02-25,8.4,8.2,8.2,8.2,0,8.325,8.6466
2020-02-26,9.6,9.6,9.6,9.6,100,8.35,8.7374
2020-02-27,8.4,8.4,8.2,8.2,200,8.305,8.6862
2020-02-28,8.3,8.2,8.2,8.2,0,8.3,8.6399
2020-03-02,8.3,8.2,8.2,8.2,0,8.295,8.598
2020-03-03,8.3,8.3,8.3,8.3,512,8.275,8.5696
2020-03-04,7.4,7.4,7.4,7.4,316,8.21,8.4582
2020-03-05,7.4,7.4,7.4,7.4,0,8.145,8.3575
2020-03-06,6.7,6.7,6.7,6.7,100,8.045,8.1996
2020-03-09,6.6,6.6,6.6,6.6,210,7.94,8.0473
2020-03-10,6.6,6.6,6.6,6.6,0,7.835,7.9094
2020-03-11,5.7,5.7,5.7,5.7,100,7.75,7.699
2020-03-12,5.7,5.7,5.7,5.7,8,7.665,7.5086
2020-03-13,5.7,5.7,5.7,5.7,0,7.58,7.3364
2020-03-16,5.7,5.7,5.7,5.7,0,7.495,7.1805
2020-03-17,5.7,5.7,5.7,5.7,0,7.41,7.0395
2020-03-18,5.7,5.7,5.7,5.7,0,7.275,6.912
2020-03-19,6.0,6.0,6.0,6.0,200,7.1,6.8251
2020-03-20,5.1,5.1,5.1,5.1,100,6.945,6.6608
2020-03-23,5.1,5.1,5.1,5.1,0,6.79,6.5122
2020-03-24,5.1,5.1,5.1,5.1,0,6.635,6.3777
2020-03-25,4.4,4.4,4.4,4.4,110,6.375,6.1893
2020-03-26,4.8,4.9,4.4,4.9,2100,6.21,6.0665
2020-03-27,5.3,5.3,4.8,4.8,400,6.04,5.9459
2020-03-30,5.5,5.5,5.5,5.5,100,5.905,5.9034
2020-03-31,6.0,6.0,6.0,6.0,100,5.79,5.9126
2020-04-01,6.0,6.0,6.0,6.0,0,5.72,5.921
2020-04-03,6.4,6.7,6.4,6.7,300,5.685,5.9951
2020-04-06,6.5,6.7,6.7,6.7,0,5.685,6.0623
2020-04-07,6.8,6.8,6.2,6.2,1100,5.665,6.0754
2020-04-08,6.5,6.5,6.5,6.5,100,5.66,6.1158
2020-04-09,6.8,6.8,6.3,6.3,1510,5.69,6.1334
2020-04-10,6.3,6.3,6.3,6.3,0,5.72,6.1492
2020-04-13,6.3,6.3,6.3,6.3,0,5.75,6.1636
2020-04-14,6.3,6.3,6.3,6.3,100,5.78,6.1766
2020-04-15,6.3,6.3,6.3,6.3,0,5.81,6.1883
2020-04-16,6.3,6.3,6.3,6.3,0,5.84,6.199
