time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,0.5,0.5,0.5,0.5,0,,
2020-01-03,0.5,0.5,0.5,0.5,1100,,
2020-01-06,0.5,0.5,0.5,0.5,0,,
2020-01-07,0.5,0.5,0.5,0.5,0,,
2020-01-08,0.5,0.5,0.5,0.5,0,,
2020-01-09,0.5,0.5,0.5,0.5,0,,
2020-01-10,0.5,0.5,0.4,0.4,68000,,
2020-01-13,0.4,0.4,0.4,0.4,0,,
2020-01-14,0.4,0.4,0.4,0.4,0,,
2020-01-15,0.4,0.4,0.4,0.4,0,,
2020-01-16,0.4,0.4,0.4,0.4,0,,
2020-01-17,0.5,0.5,0.5,0.5,7600,,
2020-01-20,0.5,0.5,0.5,0.5,0,,
2020-01-21,0.5,0.5,0.5,0.5,0,,
2020-01-22,0.5,0.5,0.5,0.5,0,,
2020-01-30,0.5,0.5,0.5,0.5,0,,
2020-01-31,0.5,0.5,0.4,0.4,40000,,
2020-02-03,0.4,0.4,0.4,0.4,0,,
2020-02-04,0.4,0.4,0.4,0.4,0,,
2020-02-05,0.4,0.4,0.4,0.4,0,0.455,0.451
2020-02-06,0.4,0.4,0.4,0.4,0,0.45,0.4462
2020-02-07,0.5,0.5,0.3,0.4,130500,0.445,0.4418
2020-02-10,0.4,0.4,0.4,0.4,0,0.44,0.4378
2020-02-11,0.4,0.4,0.4,0.4,0,0.435,0.4342
2020-02-12,0.4,0.4,0.4,0.4,0,0.43,0.4309
2020-02-13,0.4,0.4,0.4,0.4,0,0.425,0.428
2020-02-14,0.4,0.5,0.4,0.5,64500,0.43,0.4348
2020-02-17,0.5,0.5,0.5,0.5,0,0.435,0.441
2020-02-18,0.5,0.5,0.5,0.5,0,0.44,0.4467
2020-02-19,0.5,0.5,0.5,0.5,0,0.445,0.4517
2020-02-20,0.5,0.5,0.5,0.5,0,0.45,0.4563
2020-02-21,0.4,0.4,0.4,0.4,100200,0.445,0.451
2020-02-24,0.4,0.4,0.4,0.4,0,0.44,0.4461
2020-02-25,0.4,0.4,0.4,0.4,0,0.435,0.4417
2020-02-26,0.4,0.4,0.4,0.4,0,0.43,0.4378
2020-02-27,0.4,0.4,0.4,0.4,0,0.425,0.4342
2020-02-28,0.5,0.5,0.3,0.4,114800,0.425,0.4309
2020-03-02,0.4,0.4,0.4,0.4,0,0.425,0.428
2020-03-03,0.4,0.4,0.4,0.4,0,0.425,0.4253
2020-03-04,0.4,0.4,0.4,0.4,0,0.425,0.4229
2020-03-05,0.4,0.4,0.4,0.4,0,0.425,0.4207
2020-03-06,0.5,0.5,0.3,0.5,21900,0.43,0.4283
2020-03-09,0.5,0.5,0.5,0.5,0,0.435,0.4351
2020-03-10,0.5,0.5,0.5,0.5,0,0.44,0.4413
2020-03-11,0.5,0.5,0.5,0.5,0,0.445,0.4469
2020-03-12,0.5,0.5,0.5,0.5,0,0.45,0.4519
2020-03-13,0.4,0.5,0.4,0.4,42664,0.445,0.447
2020-03-16,0.4,0.4,0.4,0.4,0,0.44,0.4425
2020-03-17,0.4,0.4,0.4,0.4,0,0.435,0.4385
2020-03-18,0.4,0.4,0.4,0.4,0,0.43,0.4348
2020-03-19,0.4,0.4,0.4,0.4,0,0.425,0.4315
2020-03-20,0.5,0.5,0.3,0.3,156500,0.42,0.419
2020-03-23,0.3,0.3,0.3,0.3,0,0.415,0.4076
2020-03-24,0.3,0.3,0.3,0.3,0,0.41,0.3974
2020-03-25,0.3,0.3,0.3,0.3,0,0.405,0.3881
2020-03-26,0.3,0.3,0.3,0.3,0,0.4,0.3797
2020-03-27,0.4,0.4,0.4,0.4,100420,0.4,0.3816
2020-03-30,0.4,0.4,0.4,0.4,0,0.4,0.3834
2020-03-31,0.4,0.4,0.4,0.4,0,0.4,0.385
2020-04-01,0.4,0.4,0.4,0.4,0,0.4,0.3864
2020-04-03,0.4,0.4,0.4,0.4,900,0.4,0.3877
2020-04-06,0.4,0.4,0.4,0.4,0,0.395,0.3889
2020-04-07,0.4,0.4,0.4,0.4,0,0.39,0.3899
2020-04-08,0.4,0.4,0.4,0.4,0,0.385,0.3909
2020-04-09,0.4,0.4,0.4,0.4,0,0.38,0.3918
2020-04-10,0.3,0.4,0.3,0.3,8200,0.37,0.383
2020-04-13,0.3,0.3,0.3,0.3,0,0.365,0.3751
2020-04-14,0.3,0.3,0.3,0.3,0,0.36,0.368
2020-04-15,0.3,0.3,0.3,0.3,0,0.355,0.3615
2020-04-16,0.3,0.3,0.3,0.3,0,0.35,0.3556
2020-04-17,0.3,0.4,0.3,0.3,17925,0.345,0.3503
2020-04-20,0.3,0.3,0.3,0.3,0,0.345,0.3455
2020-04-21,0.3,0.3,0.3,0.3,0,0.345,0.3412
2020-04-22,0.3,0.3,0.3,0.3,0,0.345,0.3373
2020-04-23,0.3,0.3,0.3,0.3,0,0.345,0.3337
2020-04-24,0.4,0.4,0.3,0.4,106500,0.35,0.34
2020-04-27,0.4,0.4,0.4,0.4,0,0.35,0.3458
2020-04-28,0.4,0.4,0.4,0.4,0,0.35,0.3509
2020-04-29,0.4,0.4,0.4,0.4,0,0.35,0.3556
2020-05-04,0.4,0.4,0.4,0.4,0,0.35,0.3598
2020-05-05,0.4,0.4,0.4,0.4,0,0.35,0.3636
2020-05-06,0.4,0.4,0.4,0.4,0,0.35,0.3671
2020-05-07,0.4,0.4,0.4,0.4,0,0.35,0.3702
2020-05-08,0.4,0.5,0.3,0.3,29325,0.345,0.3636
2020-05-11,0.3,0.3,0.3,0.3,0,0.34,0.3575
2020-05-12,0.3,0.3,0.3,0.3,0,0.34,0.352
2020-05-13,0.3,0.3,0.3,0.3,0,0.34,0.3471
2020-05-14,0.3,0.3,0.3,0.3,0,0.34,0.3426
2020-05-15,0.3,0.4,0.3,0.3,14200,0.34,0.3385
2020-05-18,0.3,0.3,0.3,0.3,0,0.34,0.3349
2020-05-19,0.3,0.3,0.3,0.3,0,0.34,0.3315
2020-05-20,0.3,0.3,0.3,0.3,0,0.34,0.3285
2020-05-21,0.3,0.3,0.3,0.3,0,0.34,0.3258
2020-05-22,0.3,0.4,0.3,0.3,17040,0.34,0.3234
2020-05-25,0.3,0.3,0.3,0.3,0,0.34,0.3211
2020-05-26,0.3,0.3,0.3,0.3,0,0.335,0.3191
2020-05-27,0.3,0.3,0.3,0.3,0,0.33,0.3173
2020-05-28,0.3,0.3,0.3,0.3,0,0.325,0.3157
2020-05-29,0.3,0.4,0.3,0.3,221800,0.32,0.3142
2020-06-01,0.3,0.3,0.3,0.3,0,0.315,0.3128
2020-06-02,0.3,0.3,0.3,0.3,0,0.31,0.3116
2020-06-03,0.3,0.3,0.3,0.3,0,0.305,0.3105
2020-06-04,0.3,0.3,0.3,0.3,0,0.3,0.3095
