time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,16.27,16.36,16.27,16.36,4900,,
2020-01-03,16.36,16.54,16.27,16.27,54730,,
2020-01-06,16.36,16.9,16.36,16.72,116250,,
2020-01-07,16.54,16.63,16.36,16.54,34010,,
2020-01-08,16.54,16.81,16.09,16.36,149000,,
2020-01-09,16.36,16.36,15.91,15.91,85000,,
2020-01-10,15.91,15.91,15.65,15.82,65000,,
2020-01-13,15.65,15.82,15.56,15.56,34900,,
2020-01-14,15.65,15.65,15.47,15.56,92400,,
2020-01-15,15.56,15.65,15.56,15.65,29640,,
2020-01-16,15.65,16.0,15.65,15.74,62740,,
2020-01-17,15.82,15.82,15.65,15.74,25400,,
2020-01-20,15.82,16.09,15.65,15.74,61040,,
2020-01-21,15.82,16.0,15.74,15.91,52700,,
2020-01-22,15.91,16.09,15.91,16.09,18900,,
2020-01-30,15.82,16.0,15.65,15.91,46000,,
2020-01-31,15.74,15.74,15.29,15.29,50300,,
2020-02-03,15.2,15.2,14.3,14.48,115175,,
2020-02-04,15.02,15.91,14.04,14.57,78200,,
2020-02-05,14.57,14.66,14.48,14.57,92400,15.7395,15.5762
2020-02-06,14.66,14.84,14.57,14.84,59670,15.6635,15.5061
2020-02-07,14.93,14.93,14.84,14.84,75100,15.592,15.4427
2020-02-10,14.75,14.75,14.75,14.75,41155,15.4935,15.3767
2020-02-11,14.84,14.93,14.75,14.75,40330,15.404,15.317
2020-02-12,15.02,16.0,14.66,14.84,46709,15.328,15.2716
2020-02-13,14.84,14.93,14.75,14.84,39800,15.2745,15.2305
2020-02-14,14.84,14.84,14.66,14.75,57800,15.221,15.1847
2020-02-17,14.75,14.75,14.39,14.48,68000,15.167,15.1176
2020-02-18,14.48,14.57,13.86,14.3,96940,15.104,15.0397
2020-02-19,14.75,14.75,14.22,14.22,35510,15.0325,14.9617
2020-02-20,14.22,14.48,14.13,14.13,46800,14.952,14.8825
2020-02-21,14.3,14.3,14.04,14.04,27300,14.867,14.8022
2020-02-24,13.95,13.95,13.5,13.59,118900,14.7595,14.6868
2020-02-25,13.59,14.3,13.32,13.59,109260,14.6435,14.5823
2020-02-26,13.59,13.59,13.32,13.41,12400,14.5095,14.4707
2020-02-27,13.95,14.13,13.14,13.41,52810,14.3845,14.3697
2020-02-28,13.41,13.5,13.23,13.5,76240,14.295,14.2868
2020-03-02,13.5,13.95,13.41,13.59,14200,14.2505,14.2205
2020-03-03,13.86,14.13,13.59,13.68,17500,14.206,14.169
2020-03-04,13.68,13.68,13.5,13.59,12600,14.157,14.1139
2020-03-05,14.04,14.04,13.5,13.5,29040,14.09,14.0554
2020-03-06,13.5,13.59,13.41,13.59,5400,14.0275,14.0111
2020-03-09,12.96,13.23,12.25,12.25,80500,13.9025,13.8433
2020-03-10,11.27,11.71,11.18,11.62,141346,13.746,13.6316
2020-03-11,11.62,11.62,11.0,11.27,105700,13.5675,13.4067
2020-03-12,10.91,10.91,10.19,10.19,109500,13.335,13.1003
2020-03-13,9.48,9.75,9.21,9.3,332600,13.0625,12.7384
2020-03-16,9.3,9.48,9.3,9.48,32200,12.8125,12.4281
2020-03-17,8.94,9.48,8.94,9.48,52900,12.5715,12.1473
2020-03-18,9.48,9.83,9.39,9.57,122240,12.339,11.9018
2020-03-19,9.39,9.48,9.12,9.48,57100,12.1065,11.6712
2020-03-20,9.48,9.75,9.3,9.66,124200,11.8875,11.4797
2020-03-23,9.66,9.66,8.76,8.76,134500,11.646,11.2206
2020-03-24,8.31,8.76,8.23,8.31,55450,11.382,10.9434
2020-03-25,8.85,8.85,8.31,8.58,168600,11.1405,10.7183
2020-03-26,8.58,8.67,8.23,8.23,50000,10.8815,10.4814
2020-03-27,8.49,8.67,8.14,8.31,62700,10.622,10.2746
2020-03-30,8.05,8.05,7.51,7.51,149800,10.318,10.0113
2020-03-31,7.51,7.69,6.79,6.79,519000,9.9735,9.7045
2020-04-01,6.17,7.33,6.17,7.15,142400,9.6515,9.4612
2020-04-03,7.69,7.87,7.51,7.87,147000,9.37,9.3097
2020-04-06,8.31,8.58,8.05,8.58,285700,9.1195,9.2402
2020-04-07,9.12,9.21,8.49,9.03,304530,8.9585,9.2202
2020-04-08,8.94,9.21,8.49,9.12,177600,8.8335,9.2106
2020-04-09,9.12,10.01,9.03,10.01,412100,8.7705,9.2867
2020-04-10,9.75,10.28,9.66,10.28,251010,8.775,9.3813
2020-04-13,10.37,11.27,10.28,11.27,233169,8.8735,9.5612
2020-04-14,11.27,11.44,10.73,11.27,333050,8.963,9.724
2020-04-15,11.0,11.35,10.64,11.18,234600,9.048,9.8626
2020-04-16,10.91,11.18,10.73,10.91,178900,9.115,9.9624
2020-04-17,11.0,11.98,11.0,11.98,89027,9.24,10.1545
2020-04-20,11.98,13.14,11.98,13.14,825600,9.414,10.4389
2020-04-21,14.39,14.39,12.43,13.68,892100,9.66,10.7475
2020-04-22,13.41,13.68,12.79,13.41,203446,9.915,11.0011
2020-04-23,13.41,13.86,12.87,13.23,228520,10.1475,11.2134
2020-04-24,13.41,13.41,12.61,12.61,171930,10.3665,11.3464
2020-04-27,12.61,12.61,11.71,11.89,319110,10.5455,11.3982
2020-04-28,11.71,11.89,11.35,11.53,238600,10.7465,11.4107
2020-04-29,11.8,12.61,11.62,12.52,216900,11.033,11.5164
2020-05-04,12.96,12.96,12.16,12.43,94850,11.297,11.6034
2020-05-05,12.52,12.52,12.07,12.25,45300,11.516,11.665
2020-05-06,12.43,12.7,12.07,12.43,184100,11.7085,11.7378
2020-05-07,12.43,12.52,12.34,12.43,93500,11.8785,11.8037
2020-05-08,12.52,12.7,12.34,12.34,280620,12.0395,11.8548
2020-05-11,12.43,12.96,12.34,12.7,290446,12.174,11.9353
2020-05-12,12.79,12.79,12.61,12.7,114690,12.295,12.0081
2020-05-13,12.7,13.95,12.52,13.23,314020,12.393,12.1245
2020-05-14,12.96,13.23,12.87,12.87,167150,12.473,12.1955
2020-05-15,13.05,13.05,12.7,12.87,105260,12.5575,12.2597
2020-05-18,12.96,13.14,12.87,12.96,108080,12.66,12.3264
2020-05-19,13.05,13.59,12.96,13.05,153500,12.7135,12.3953
2020-05-20,13.05,13.05,12.7,12.96,122200,12.7045,12.4491
2020-05-21,13.14,13.14,12.61,12.7,102523,12.6555,12.473
2020-05-22,12.87,12.87,12.34,12.34,183879,12.602,12.4603
2020-05-25,12.34,12.7,12.16,12.61,143600,12.571,12.4746
2020-05-26,12.7,13.5,12.7,13.23,451720,12.602,12.5465
2020-05-27,13.32,13.32,12.87,12.87,130450,12.651,12.5773
2020-05-28,12.96,13.05,12.7,12.79,220750,12.714,12.5976
2020-05-29,12.79,12.79,12.52,12.52,211600,12.714,12.5902
2020-06-01,13.14,13.14,12.7,12.79,51380,12.732,12.6092
2020-06-02,13.05,13.32,12.87,12.96,176840,12.7675,12.6426
2020-06-03,13.05,13.14,12.87,13.14,119930,12.803,12.69
2020-06-04,13.23,13.23,12.96,13.05,132440,12.834,12.7243
2020-06-05,13.05,13.14,12.87,13.14,133650,12.874,12.7639
2020-06-08,13.41,14.3,13.32,14.22,641490,12.95,12.9026
2020-06-09,13.86,14.75,13.68,14.39,475411,13.0345,13.0442
2020-06-10,14.66,14.75,14.22,14.66,204137,13.106,13.1981
2020-06-11,14.66,14.66,13.32,13.41,452229,13.133,13.2183
2020-06-12,12.96,13.41,12.34,13.41,259533,13.16,13.2365
2020-06-15,13.41,13.41,12.7,12.7,103170,13.147,13.1854
2020-06-16,12.7,13.05,12.7,12.96,85360,13.1425,13.164
2020-06-17,13.14,13.14,12.79,12.96,84500,13.1425,13.1445
2020-06-18,12.96,12.96,12.79,12.87,58010,13.151,13.1184
2020-06-19,12.87,13.95,12.87,13.95,90600,13.2315,13.1976
2020-06-22,13.95,13.95,13.5,13.77,146618,13.2895,13.2521
