time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.41,4.48,4.41,4.48,84100,,
2020-01-03,4.48,4.55,4.48,4.55,179256,,
2020-01-06,4.61,4.75,4.61,4.68,147329,,
2020-01-07,4.68,4.68,4.55,4.55,86000,,
2020-01-08,4.68,4.68,4.48,4.55,105842,,
2020-01-09,4.48,4.61,4.35,4.61,188910,,
2020-01-10,4.61,4.61,4.48,4.55,46200,,
2020-01-13,4.48,4.55,4.41,4.48,95380,,
2020-01-14,4.48,4.48,4.35,4.48,58900,,
2020-01-15,4.41,4.48,4.28,4.48,93670,,
2020-01-16,4.41,4.48,4.35,4.35,45500,,
2020-01-17,4.48,4.48,4.28,4.35,35418,,
2020-01-20,4.35,4.35,4.28,4.28,43900,,
2020-01-21,4.35,4.41,4.28,4.41,19200,,
2020-01-22,4.41,4.41,4.35,4.41,68300,,
2020-01-30,4.28,4.41,4.21,4.35,280400,,
2020-01-31,4.28,4.28,4.08,4.15,135900,,
2020-02-03,4.15,4.15,3.74,3.94,314816,,
2020-02-04,3.88,4.01,3.88,3.94,91900,,
2020-02-05,3.94,4.01,3.88,3.88,49510,4.3735,4.2872
2020-02-06,3.94,4.21,3.94,4.01,106860,4.35,4.2608
2020-02-07,4.01,4.15,4.01,4.08,75240,4.3265,4.2436
2020-02-10,4.08,4.15,4.01,4.08,68720,4.2965,4.228
2020-02-11,4.15,4.28,4.01,4.21,151150,4.2795,4.2263
2020-02-12,4.21,4.35,4.21,4.35,207988,4.2695,4.2381
2020-02-13,4.35,4.41,4.35,4.35,90800,4.2565,4.2487
2020-02-14,4.35,4.35,4.28,4.35,53804,4.2465,4.2584
2020-02-17,4.28,4.35,4.21,4.35,48010,4.24,4.2671
2020-02-18,4.28,4.41,4.28,4.35,113921,4.2335,4.275
2020-02-19,4.28,4.41,4.28,4.28,42604,4.2235,4.2755
2020-02-20,4.28,4.48,4.28,4.35,76800,4.2235,4.2826
2020-02-21,4.35,4.35,4.28,4.35,77800,4.2235,4.289
2020-02-24,4.28,4.28,4.08,4.08,142800,4.2135,4.2691
2020-02-25,4.01,4.21,4.01,4.21,124100,4.2035,4.2635
2020-02-26,4.08,4.21,4.01,4.15,83900,4.1905,4.2527
2020-02-27,4.08,4.21,3.94,4.21,337800,4.1835,4.2486
2020-02-28,4.01,4.08,3.94,4.01,140098,4.1765,4.2259
2020-03-02,3.94,4.08,3.94,4.08,87040,4.1835,4.212
2020-03-03,4.08,4.15,4.01,4.01,46900,4.187,4.1927
2020-03-04,4.01,4.08,4.01,4.08,58900,4.197,4.182
2020-03-05,4.15,4.15,4.08,4.08,68500,4.2005,4.1723
2020-03-06,4.08,4.08,4.01,4.08,40728,4.2005,4.1635
2020-03-09,3.94,3.94,3.74,3.74,213200,4.1835,4.1232
2020-03-10,3.68,3.94,3.68,3.88,108370,4.167,4.1
2020-03-11,3.94,3.94,3.74,3.88,129510,4.1435,4.0791
2020-03-12,3.74,3.74,3.54,3.54,187900,4.103,4.0277
2020-03-13,3.54,3.54,3.21,3.41,133120,4.056,3.9689
2020-03-16,3.48,3.48,3.34,3.41,88425,4.009,3.9157
2020-03-17,3.34,3.41,3.34,3.34,43100,3.9585,3.8608
2020-03-18,3.34,3.34,3.28,3.28,75110,3.9085,3.8055
2020-03-19,3.21,3.28,3.14,3.28,13558,3.855,3.7555
2020-03-20,3.28,3.34,3.08,3.34,137090,3.8045,3.7159
2020-03-23,3.21,3.28,3.01,3.01,112596,3.751,3.6487
2020-03-24,3.08,3.08,3.01,3.08,54130,3.6945,3.5945
2020-03-25,3.14,3.14,3.01,3.08,40605,3.641,3.5455
2020-03-26,3.08,3.08,3.01,3.01,67103,3.581,3.4945
2020-03-27,3.01,3.08,2.94,2.94,41400,3.5275,3.4417
2020-03-30,2.87,2.87,2.67,2.67,144660,3.457,3.3682
2020-03-31,2.67,2.74,2.61,2.67,83691,3.39,3.3017
