time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,10.77,11.88,11.88,11.88,0,,
2020-01-03,10.77,11.88,11.88,11.88,0,,
2020-01-06,10.77,11.88,11.88,11.88,0,,
2020-01-07,10.3,11.01,10.3,11.01,300,,
2020-01-08,10.77,11.01,11.01,11.01,0,,
2020-01-09,10.77,11.01,11.01,11.01,0,,
2020-01-10,10.77,11.01,11.01,11.01,0,,
2020-01-13,11.72,11.72,11.72,11.72,100,,
2020-01-14,11.72,11.72,11.72,11.72,0,,
2020-01-15,13.38,13.38,13.38,13.38,100,,
2020-01-16,13.38,13.38,13.38,13.38,0,,
2020-01-17,13.38,13.38,13.38,13.38,0,,
2020-01-20,13.38,13.38,13.38,13.38,0,,
2020-01-21,13.38,13.38,13.38,13.38,0,,
2020-01-22,13.38,13.38,13.38,13.38,0,,
2020-01-30,13.38,13.38,13.38,13.38,0,,
2020-01-31,13.38,13.38,13.38,13.38,0,,
2020-02-03,13.38,13.38,13.38,13.38,0,,
2020-02-04,13.38,13.38,13.38,13.38,0,,
2020-02-05,13.38,13.38,13.38,13.38,0,12.515,12.7934
2020-02-06,13.38,13.38,13.38,13.38,0,12.59,12.8492
2020-02-07,13.38,13.38,13.38,13.38,0,12.665,12.8998
2020-02-10,13.38,13.38,13.38,13.38,0,12.74,12.9455
2020-02-11,13.38,13.38,13.38,13.38,0,12.8585,12.9869
2020-02-12,13.38,13.38,13.38,13.38,0,12.977,13.0243
2020-02-13,13.38,13.38,13.38,13.38,0,13.0955,13.0582
2020-02-14,13.38,13.38,13.38,13.38,0,13.214,13.0889
2020-02-17,13.38,13.38,13.38,13.38,0,13.297,13.1166
2020-02-18,11.4,11.4,11.4,11.4,2000,13.281,12.9531
2020-02-19,11.4,11.4,11.4,11.4,0,13.182,12.8052
2020-02-20,11.4,11.4,11.4,11.4,0,13.083,12.6714
2020-02-21,9.74,9.74,9.74,9.74,100,12.901,12.3922
2020-02-24,9.74,9.74,9.74,9.74,0,12.719,12.1396
2020-02-25,8.71,10.61,8.71,10.61,1500,12.5805,11.9939
2020-02-26,10.61,10.61,10.61,10.61,200,12.442,11.8621
2020-02-27,10.61,10.61,10.61,10.61,0,12.3035,11.7429
2020-02-28,10.61,10.61,10.61,10.61,0,12.165,11.635
2020-03-02,10.61,10.61,10.61,10.61,0,12.0265,11.5374
2020-03-03,10.53,10.53,10.53,10.53,200,11.884,11.4414
2020-03-04,10.45,10.45,10.45,10.45,100,11.7375,11.347
2020-03-05,10.45,10.45,10.45,10.45,0,11.591,11.2616
2020-03-06,10.45,10.45,10.45,10.45,0,11.4445,11.1843
2020-03-09,10.45,10.45,10.45,10.45,0,11.298,11.1143
2020-03-10,10.3,10.3,9.5,9.5,301,11.104,10.9606
2020-03-11,8.71,8.71,8.71,8.71,300,10.8705,10.7463
2020-03-12,9.82,9.82,9.82,9.82,300,10.6925,10.658
2020-03-13,9.82,9.82,9.82,9.82,0,10.5145,10.5782
2020-03-16,9.82,9.82,9.82,9.82,0,10.3365,10.506
2020-03-17,9.82,9.82,9.82,9.82,0,10.2575,10.4407
2020-03-18,8.71,9.74,8.71,9.74,300,10.1745,10.3739
2020-03-19,9.74,9.74,9.74,9.74,100,10.0915,10.3136
2020-03-20,9.74,9.74,9.74,9.74,0,10.0915,10.2589
2020-03-23,9.74,9.74,9.74,9.74,0,10.0915,10.2095
2020-03-24,9.74,9.74,9.74,9.74,0,10.048,10.1648
2020-03-25,9.74,9.74,9.74,9.74,0,10.0045,10.1243
2020-03-26,9.74,9.74,9.74,9.74,0,9.961,10.0877
2020-03-27,9.74,9.74,9.74,9.74,0,9.9175,10.0546
2020-03-30,9.74,9.74,9.74,9.74,0,9.874,10.0247
2020-03-31,9.74,9.74,9.74,9.74,0,9.8345,9.9976
2020-04-01,9.74,9.74,9.74,9.74,0,9.799,9.973
2020-04-03,9.74,9.74,9.74,9.74,0,9.7635,9.9508
2020-04-06,9.74,9.74,9.74,9.74,0,9.728,9.9308
2020-04-07,9.74,9.74,9.74,9.74,0,9.6925,9.9126
2020-04-08,9.74,9.74,9.74,9.74,0,9.7045,9.8961
2020-04-09,9.74,9.74,9.74,9.74,0,9.756,9.8813
2020-04-10,9.74,9.74,9.74,9.74,0,9.752,9.8678
2020-04-13,9.74,9.74,9.74,9.74,0,9.748,9.8556
2020-04-14,9.74,9.74,9.74,9.74,0,9.744,9.8446
2020-04-15,9.74,9.74,9.74,9.74,0,9.74,9.8347
2020-04-16,9.74,9.74,9.74,9.74,0,9.74,9.8257
2020-04-17,9.74,9.74,9.74,9.74,0,9.74,9.8175
2020-04-20,9.74,9.74,9.74,9.74,0,9.74,9.8101
2020-04-21,9.74,9.74,9.74,9.74,0,9.74,9.8034
2020-04-22,9.74,9.74,9.74,9.74,0,9.74,9.7974
2020-04-23,9.74,9.74,9.74,9.74,0,9.74,9.7919
2020-04-24,9.74,9.74,9.74,9.74,0,9.74,9.787
2020-04-27,9.74,9.74,9.74,9.74,0,9.74,9.7825
2020-04-28,9.11,9.11,9.11,9.11,1000,9.7085,9.7185
2020-04-29,9.11,9.11,9.11,9.11,0,9.677,9.6605
2020-05-04,9.35,9.35,9.35,9.35,100,9.6575,9.6309
2020-05-05,9.35,9.35,9.35,9.35,800,9.638,9.6042
2020-05-06,9.35,9.35,9.35,9.35,0,9.6185,9.58
2020-05-07,9.35,9.35,9.35,9.35,0,9.599,9.5581
2020-05-08,9.35,9.35,9.35,9.35,0,9.5795,9.5383
2020-05-11,8.55,8.55,8.0,8.0,2829,9.4925,9.3918
2020-05-12,9.58,9.58,9.58,9.58,100,9.4845,9.4097
2020-05-13,9.58,9.58,9.58,9.58,0,9.4765,9.4259
2020-05-14,9.58,9.58,9.58,9.58,0,9.4685,9.4406
2020-05-15,8.39,8.39,8.39,8.39,100,9.401,9.3405
2020-05-18,8.39,8.39,8.39,8.39,0,9.3335,9.25
2020-05-19,9.58,9.58,8.0,8.0,200,9.2465,9.131
2020-05-20,8.79,8.0,8.0,8.0,0,9.1595,9.0232
2020-05-21,8.08,8.08,7.6,7.6,2301,9.0525,8.8877
2020-05-22,7.76,7.6,7.6,7.6,0,8.9455,8.7651
2020-05-25,7.76,7.6,7.6,7.6,0,8.8385,8.6541
2020-05-26,7.76,7.76,7.76,7.6,20,8.7315,8.5537
2020-05-27,7.76,7.6,7.6,7.6,0,8.6245,8.4629
2020-05-28,6.73,6.73,6.73,6.73,200,8.5055,8.2978
2020-05-29,6.73,6.73,6.73,6.73,0,8.3865,8.1485
2020-06-01,7.68,7.68,7.68,7.68,511,8.303,8.1039
2020-06-02,7.68,7.68,7.68,7.68,10,8.2195,8.0635
2020-06-03,7.68,7.68,7.68,7.68,0,8.136,8.027
2020-06-04,7.84,7.84,7.84,7.84,100,8.0605,8.0092
2020-06-05,7.92,7.92,7.92,7.92,3000,7.989,8.0007
2020-06-08,8.0,8.0,8.0,8.0,900,7.989,8.0006
2020-06-09,8.0,8.0,8.0,8.0,0,7.91,8.0006
2020-06-10,6.81,8.0,6.81,8.0,1200,7.831,8.0005
2020-06-11,8.39,8.39,8.32,8.32,3100,7.768,8.0309
2020-06-12,7.92,7.92,7.92,7.92,1400,7.7445,8.0204
2020-06-15,7.92,7.92,7.92,7.92,0,7.721,8.0108
2020-06-16,6.97,8.0,6.97,7.92,1100,7.717,8.0022
