time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.1,2.0,2.0,2.0,0,,
2020-01-03,2.4,2.4,1.9,1.9,18000,,
2020-01-06,2.0,1.9,1.9,1.9,0,,
2020-01-07,2.0,1.9,1.9,1.9,0,,
2020-01-08,2.0,1.9,1.9,1.9,0,,
2020-01-09,2.0,1.9,1.9,1.9,0,,
2020-01-10,2.0,2.0,1.9,1.9,65300,,
2020-01-13,2.0,1.9,1.9,1.9,0,,
2020-01-14,2.0,1.9,1.9,1.9,0,,
2020-01-15,2.0,1.9,1.9,1.9,0,,
2020-01-16,2.0,1.9,1.9,1.9,0,,
2020-01-17,2.2,2.2,2.0,2.0,65800,,
2020-01-20,2.0,2.0,2.0,2.0,0,,
2020-01-21,2.0,2.0,2.0,2.0,0,,
2020-01-22,2.0,2.0,2.0,2.0,0,,
2020-01-30,2.0,2.0,2.0,2.0,0,,
2020-01-31,2.1,2.1,1.9,1.9,25900,,
2020-02-03,1.9,1.9,1.9,1.9,0,,
2020-02-04,1.9,1.9,1.9,1.9,0,,
2020-02-05,1.9,1.9,1.9,1.9,0,1.93,1.9413
2020-02-06,1.9,1.9,1.9,1.9,0,1.925,1.9374
2020-02-07,1.8,1.8,1.8,1.8,11300,1.92,1.9243
2020-02-10,1.8,1.8,1.8,1.8,0,1.915,1.9125
2020-02-11,1.8,1.8,1.8,1.8,0,1.91,1.9017
2020-02-12,1.8,1.8,1.8,1.8,0,1.905,1.8921
2020-02-13,1.8,1.8,1.8,1.8,0,1.9,1.8833
2020-02-14,2.0,2.0,1.8,1.8,1100,1.895,1.8754
2020-02-17,2.0,1.8,1.8,1.8,0,1.89,1.8682
2020-02-18,2.0,1.8,1.8,1.8,0,1.885,1.8617
2020-02-19,2.0,1.8,1.8,1.8,0,1.88,1.8558
2020-02-20,2.0,1.8,1.8,1.8,0,1.875,1.8505
2020-02-21,2.3,2.3,2.2,2.2,1365,1.885,1.8838
2020-02-24,2.3,2.2,2.2,2.2,0,1.895,1.9139
2020-02-25,2.3,2.2,2.2,2.2,0,1.905,1.9411
2020-02-26,2.3,2.2,2.2,2.2,0,1.915,1.9658
2020-02-27,2.3,2.2,2.2,2.2,0,1.925,1.9881
2020-02-28,2.0,2.0,2.0,2.0,55000,1.93,1.9892
2020-03-02,2.0,2.0,2.0,2.0,0,1.935,1.9903
2020-03-03,2.0,2.0,2.0,2.0,0,1.94,1.9912
2020-03-04,2.0,2.0,2.0,2.0,0,1.945,1.992
2020-03-05,2.0,2.0,2.0,2.0,0,1.95,1.9928
2020-03-06,1.7,2.0,1.7,2.0,6800,1.96,1.9935
2020-03-09,2.0,2.0,2.0,2.0,0,1.97,1.9941
2020-03-10,2.0,2.0,2.0,2.0,0,1.98,1.9947
2020-03-11,2.0,2.0,2.0,2.0,0,1.99,1.9952
2020-03-12,2.0,2.0,2.0,2.0,0,2.0,1.9956
2020-03-13,2.3,2.3,1.7,2.0,115500,2.01,1.996
2020-03-16,1.7,2.0,2.0,2.0,0,2.02,1.9964
2020-03-17,1.7,2.0,2.0,2.0,0,2.03,1.9968
2020-03-18,1.7,2.0,2.0,2.0,0,2.04,1.9971
2020-03-19,1.7,2.0,2.0,2.0,0,2.05,1.9973
