time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.98,4.0,3.94,3.99,67950,,
2020-01-03,3.99,3.99,3.92,3.93,162270,,
2020-01-06,3.93,3.93,3.85,3.85,92130,,
2020-01-07,3.85,3.85,3.59,3.69,282930,,
2020-01-08,3.74,3.74,3.6,3.61,99990,,
2020-01-09,3.77,3.77,3.53,3.68,35730,,
2020-01-10,3.69,3.7,3.61,3.69,74330,,
2020-01-13,3.71,3.71,3.63,3.65,86190,,
2020-01-14,3.65,3.71,3.55,3.7,51890,,
2020-01-15,3.72,3.95,3.65,3.89,40860,,
2020-01-16,3.88,3.99,3.75,3.75,72870,,
2020-01-17,3.85,3.85,3.7,3.7,53400,,
2020-01-20,3.74,3.74,3.65,3.7,6770,,
2020-01-21,3.7,3.74,3.68,3.72,47920,,
2020-01-22,3.75,3.8,3.75,3.8,37210,,
2020-01-30,3.8,3.8,3.69,3.78,52550,,
2020-01-31,3.78,3.78,3.69,3.7,157380,,
2020-02-03,3.7,3.7,3.45,3.58,111640,,
2020-02-04,3.58,3.58,3.45,3.5,31630,,
2020-02-05,3.73,3.73,3.5,3.57,24580,3.724,3.7268
2020-02-06,3.57,3.69,3.55,3.66,129030,3.7075,3.7204
2020-02-07,3.67,3.67,3.55,3.55,145040,3.6885,3.7042
2020-02-10,3.51,3.6,3.51,3.52,14410,3.672,3.6867
2020-02-11,3.74,3.74,3.52,3.6,10350,3.6675,3.6784
2020-02-12,3.58,3.65,3.55,3.63,25660,3.6685,3.6738
2020-02-13,3.63,3.65,3.57,3.6,35450,3.6645,3.6668
2020-02-14,3.64,3.7,3.59,3.64,30160,3.662,3.6642
2020-02-17,3.54,3.7,3.54,3.6,66890,3.6595,3.6581
2020-02-18,3.64,3.68,3.6,3.63,68130,3.656,3.6554
2020-02-19,3.68,3.75,3.65,3.75,65010,3.649,3.6644
2020-02-20,3.79,3.79,3.71,3.75,23330,3.649,3.6726
2020-02-21,3.84,3.84,3.6,3.74,55250,3.651,3.679
2020-02-24,3.73,3.73,3.56,3.57,106840,3.6445,3.6686
2020-02-25,3.67,3.74,3.57,3.7,140290,3.6435,3.6716
2020-02-26,3.61,3.81,3.61,3.74,36560,3.6405,3.6781
