time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,13.4,13.4,13.4,13.4,100,,
2020-01-03,13.08,13.08,13.08,13.08,100,,
2020-01-06,13.48,13.48,13.48,13.48,1710,,
2020-01-07,12.13,12.13,12.13,12.13,100,,
2020-01-08,12.13,12.13,12.13,12.13,0,,
2020-01-09,12.69,12.69,11.1,11.1,510,,
2020-01-10,11.1,11.1,11.1,11.1,0,,
2020-01-13,11.1,11.1,11.1,11.1,0,,
2020-01-14,11.1,11.1,11.1,11.1,0,,
2020-01-15,11.1,11.1,11.1,11.1,0,,
2020-01-16,12.21,12.21,10.71,10.71,400,,
2020-01-17,10.71,10.71,10.71,10.71,0,,
2020-01-20,11.74,11.74,10.71,10.71,3510,,
2020-01-21,11.74,11.74,11.66,11.66,1501,,
2020-01-22,11.66,11.66,11.66,11.66,33,,
2020-01-30,11.74,11.74,11.66,11.66,1200,,
2020-01-31,11.66,11.66,11.66,11.66,0,,
2020-02-03,11.66,11.66,11.66,11.66,2810,,
2020-02-04,11.66,11.66,11.66,11.66,1300,,
2020-02-05,11.66,11.66,11.66,11.66,100,11.6735,11.7894
2020-02-06,11.66,11.66,11.66,11.66,0,11.5865,11.7771
2020-02-07,11.66,11.66,11.26,11.26,700,11.4955,11.7279
2020-02-10,11.58,11.66,11.26,11.26,7000,11.3845,11.6833
2020-02-11,11.5,11.58,11.5,11.58,1900,11.357,11.6735
2020-02-12,11.58,11.58,11.58,11.58,100,11.3295,11.6646
2020-02-13,11.58,11.58,11.58,11.58,900,11.3535,11.6565
2020-02-14,11.58,11.58,11.58,11.58,200,11.3775,11.6492
2020-02-17,11.5,11.5,11.5,11.5,100,11.3975,11.635
2020-02-18,11.58,11.58,11.58,11.58,1500,11.4215,11.6298
2020-02-19,11.58,11.58,11.58,11.58,0,11.4455,11.625
2020-02-20,11.58,11.58,11.58,11.58,0,11.489,11.6207
2020-02-21,11.58,11.58,11.58,11.58,0,11.5325,11.6169
2020-02-24,11.1,11.1,11.1,11.1,100,11.552,11.5676
2020-02-25,11.58,11.58,11.1,11.1,800,11.524,11.5231
2020-02-26,11.1,11.1,11.1,11.1,0,11.496,11.4828
2020-02-27,11.58,11.58,11.1,11.58,2060,11.492,11.4921
2020-02-28,11.58,11.58,11.58,11.58,0,11.488,11.5004
2020-03-02,11.58,11.58,11.5,11.5,2728,11.48,11.5004
2020-03-03,11.5,11.5,11.42,11.42,600,11.468,11.4927
2020-03-04,11.42,11.42,11.42,11.42,0,11.456,11.4858
2020-03-05,11.42,11.42,11.42,11.42,800,11.444,11.4795
2020-03-06,11.42,11.42,11.42,11.42,0,11.452,11.4739
2020-03-09,11.42,11.42,11.42,11.42,66,11.46,11.4687
2020-03-10,11.42,11.42,11.1,11.1,600,11.436,11.4336
2020-03-11,11.1,11.1,11.1,11.1,24000,11.412,11.4019
2020-03-12,11.1,11.1,11.1,11.1,2,11.388,11.3731
2020-03-13,11.1,11.1,11.1,11.1,11,11.364,11.3471
2020-03-16,11.1,11.1,11.1,11.1,0,11.344,11.3236
2020-03-17,11.1,11.1,11.1,11.1,10,11.32,11.3023
2020-03-18,11.1,11.1,11.1,11.1,20,11.296,11.283
2020-03-19,11.43,11.43,11.43,11.43,0,11.2885,11.297
2020-03-20,11.84,11.84,11.84,11.84,100,11.3015,11.3487
2020-03-23,11.84,11.84,11.84,11.84,0,11.3385,11.3955
2020-03-24,11.84,11.84,11.84,11.84,0,11.3755,11.4378
2020-03-25,11.84,11.84,11.84,11.84,0,11.4125,11.4761
2020-03-26,11.84,11.84,11.84,11.84,0,11.4255,11.5108
2020-03-27,11.84,11.84,11.84,11.84,0,11.4385,11.5421
2020-03-30,11.27,11.27,11.27,11.27,1020,11.427,11.5162
2020-03-31,11.27,11.27,11.27,11.27,147,11.4195,11.4928
2020-04-01,11.75,11.75,11.75,11.75,100,11.436,11.5173
2020-04-03,11.75,11.75,11.75,11.75,0,11.4525,11.5394
2020-04-06,11.75,11.75,11.75,11.75,100,11.469,11.5595
2020-04-07,11.75,11.75,11.75,11.75,0,11.4855,11.5776
2020-04-08,11.75,11.75,11.75,11.75,0,11.518,11.5941
2020-04-09,11.43,11.43,11.43,11.43,100,11.5345,11.5784
2020-04-10,11.43,11.43,11.43,11.43,0,11.551,11.5643
2020-04-13,11.43,11.43,11.43,11.43,0,11.5675,11.5515
2020-04-14,11.27,11.27,11.27,11.27,1900,11.576,11.5247
2020-04-15,11.27,11.27,11.27,11.27,3000,11.5845,11.5004
2020-04-16,11.18,11.18,11.18,11.18,2000,11.5885,11.4699
2020-04-17,11.18,11.18,11.18,11.18,0,11.576,11.4423
2020-04-20,11.35,11.35,11.35,11.35,1101,11.5515,11.4335
2020-04-21,11.35,11.35,11.35,11.35,10,11.527,11.4256
2020-04-22,11.43,11.43,11.35,11.35,1600,11.5025,11.4184
2020-04-23,11.35,11.35,11.35,11.35,2900,11.478,11.4119
2020-04-24,11.18,11.35,11.18,11.35,8400,11.4535,11.406
2020-04-27,11.35,11.35,11.35,11.35,13700,11.429,11.4006
2020-04-28,11.02,11.35,11.02,11.35,18300,11.433,11.3958
2020-04-29,11.27,11.27,11.27,11.27,1700,11.433,11.3838
2020-05-04,11.18,11.18,11.18,11.18,100,11.4045,11.3644
2020-05-05,11.27,11.27,11.27,11.27,543,11.3805,11.3554
2020-05-06,11.27,11.27,11.27,11.27,10,11.3565,11.3473
2020-05-07,11.1,11.18,11.02,11.02,2200,11.32,11.3161
2020-05-08,11.02,11.27,11.02,11.02,16000,11.2835,11.2879
2020-05-11,11.02,11.02,11.02,11.02,700,11.263,11.2624
2020-05-12,11.02,11.02,11.02,11.02,21000,11.2425,11.2393
2020-05-13,11.02,11.02,11.02,11.02,0,11.222,11.2184
2020-05-14,11.02,11.02,10.94,10.94,22043,11.2055,11.1919
2020-05-15,10.86,10.94,10.86,10.94,700,11.189,11.1679
2020-05-18,10.94,10.94,10.2,10.94,10236,11.177,11.1462
2020-05-19,10.94,10.94,10.94,10.94,0,11.165,11.1266
2020-05-20,10.94,10.94,10.94,10.94,43,11.1445,11.1088
2020-05-21,10.78,10.78,10.61,10.61,6936,11.1075,11.0613
2020-05-22,10.61,10.94,10.61,10.94,7000,11.087,11.0497
2020-05-25,10.94,10.94,10.94,10.94,0,11.0665,11.0393
2020-05-26,10.94,11.02,10.94,11.02,11000,11.05,11.0375
2020-05-27,10.94,12.08,10.94,12.0,38800,11.0825,11.1291
2020-05-28,10.86,10.86,10.86,10.86,2050,11.058,11.1035
2020-05-29,10.86,10.86,10.86,10.86,0,11.0375,11.0803
2020-06-01,11.92,11.92,11.92,11.92,100,11.0745,11.1603
2020-06-02,11.92,11.92,11.92,11.92,0,11.107,11.2326
2020-06-03,11.92,12.98,11.92,12.98,300,11.1925,11.399
2020-06-04,12.98,12.98,12.98,12.98,0,11.2905,11.5496
2020-06-05,13.8,13.8,13.8,13.8,100,11.4295,11.7639
2020-06-08,15.1,15.1,15.1,15.1,200,11.6335,12.0817
2020-06-09,15.1,15.1,15.1,15.1,0,11.8375,12.3691
2020-06-10,15.1,15.1,15.1,15.1,0,12.0415,12.6292
2020-06-11,15.1,15.1,15.1,15.1,0,12.2495,12.8645
2020-06-12,15.1,15.1,15.1,15.1,0,12.4575,13.0774
2020-06-15,15.1,15.1,15.1,15.1,0,12.6655,13.27
2020-06-16,15.1,15.1,15.1,15.1,0,12.8735,13.4443
2020-06-17,15.1,15.1,15.1,15.1,0,13.0815,13.602
2020-06-18,16.57,16.57,16.57,16.57,100,13.3795,13.8847
