time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,7.06,7.06,7.06,7.06,0,,
2020-01-03,6.45,6.52,6.45,6.52,1500,,
2020-01-06,6.52,6.52,6.52,6.52,0,,
2020-01-07,6.52,6.52,6.52,6.52,0,,
2020-01-08,6.52,6.52,6.52,6.52,0,,
2020-01-09,6.52,6.52,6.52,6.52,0,,
2020-01-10,6.52,6.52,6.52,6.52,0,,
2020-01-13,6.52,6.52,6.52,6.52,0,,
2020-01-14,6.52,6.52,6.52,6.52,0,,
2020-01-15,6.52,6.52,6.52,6.52,0,,
2020-01-16,6.52,6.52,6.52,6.52,0,,
2020-01-17,6.52,6.52,6.52,6.52,0,,
2020-01-20,6.52,6.52,6.52,6.52,0,,
2020-01-21,6.11,6.11,6.11,6.11,200,,
2020-01-22,6.11,6.11,6.11,6.11,0,,
2020-01-30,6.11,6.11,6.11,6.11,0,,
2020-01-31,6.11,6.11,6.11,6.11,0,,
2020-02-03,6.11,6.11,6.11,6.11,0,,
2020-02-04,6.11,6.11,6.11,6.11,0,,
2020-02-05,6.11,6.11,6.11,6.11,0,6.4035,6.3941
2020-02-06,6.11,6.11,6.11,6.11,0,6.356,6.3671
2020-02-07,6.11,6.11,6.11,6.11,0,6.3355,6.3426
2020-02-10,6.11,6.11,6.11,6.11,0,6.315,6.3204
2020-02-11,6.11,6.11,6.11,6.11,0,6.2945,6.3004
2020-02-12,6.11,6.11,6.11,6.11,0,6.274,6.2823
2020-02-13,6.11,6.11,6.11,6.11,0,6.2535,6.2659
2020-02-14,6.11,6.11,6.11,6.11,0,6.233,6.251
2020-02-17,6.11,6.11,6.11,6.11,0,6.2125,6.2376
2020-02-18,6.11,6.11,6.11,6.11,0,6.192,6.2254
2020-02-19,6.11,6.11,6.11,6.11,0,6.1715,6.2144
2020-02-20,6.11,6.11,6.11,6.11,0,6.151,6.2045
2020-02-21,6.11,6.11,6.11,6.11,0,6.1305,6.1955
2020-02-24,6.11,6.11,6.11,6.11,0,6.11,6.1873
2020-02-25,6.11,6.11,6.11,6.11,0,6.11,6.18
2020-02-26,6.11,6.11,6.11,6.11,0,6.11,6.1733
2020-02-27,6.11,6.11,6.11,6.11,0,6.11,6.1673
2020-02-28,6.11,6.11,6.11,6.11,0,6.11,6.1618
2020-03-02,6.11,6.11,6.11,6.11,0,6.11,6.1569
2020-03-03,5.84,5.84,5.84,5.84,900,6.0965,6.1267
2020-03-04,5.84,5.84,5.84,5.84,0,6.083,6.0994
2020-03-05,5.84,5.84,5.84,5.84,0,6.0695,6.0747
2020-03-06,5.84,5.84,5.84,5.84,0,6.056,6.0523
2020-03-09,5.84,5.84,5.84,5.84,0,6.0425,6.0321
2020-03-10,5.84,5.84,5.84,5.84,0,6.029,6.0138
2020-03-11,5.84,5.84,5.84,5.84,0,6.0155,5.9973
2020-03-12,5.84,5.84,5.84,5.84,0,6.002,5.9823
2020-03-13,5.84,5.84,5.84,5.84,0,5.9885,5.9687
2020-03-16,5.84,5.84,5.84,5.84,0,5.975,5.9565
2020-03-17,5.84,5.84,5.84,5.84,0,5.9615,5.9454
2020-03-18,5.84,5.84,5.84,5.84,0,5.948,5.9354
2020-03-19,5.84,5.84,5.84,5.84,0,5.9345,5.9263
2020-03-20,5.84,5.84,5.84,5.84,0,5.921,5.9181
2020-03-23,5.84,5.84,5.84,5.84,0,5.9075,5.9106
2020-03-24,5.84,5.84,5.84,5.84,0,5.894,5.9039
2020-03-25,5.84,5.84,5.84,5.84,0,5.8805,5.8978
2020-03-26,5.84,5.84,5.84,5.84,0,5.867,5.8923
2020-03-27,5.84,5.84,5.84,5.84,0,5.8535,5.8873
2020-03-30,5.84,5.84,5.84,5.84,0,5.84,5.8828
2020-03-31,5.84,5.84,5.84,5.84,6,5.84,5.8787
2020-04-01,5.84,5.84,5.84,5.84,0,5.84,5.875
2020-04-03,5.84,5.84,5.84,5.84,0,5.84,5.8717
2020-04-06,5.09,5.09,5.09,5.09,3300,5.8025,5.7973
2020-04-07,5.16,5.16,5.16,5.16,1900,5.7685,5.7366
2020-04-08,5.16,5.16,5.16,5.16,0,5.7345,5.6817
2020-04-09,5.16,5.16,5.16,5.16,0,5.7005,5.632
2020-04-10,5.16,5.16,5.16,5.16,0,5.6665,5.587
2020-04-13,5.16,5.16,5.16,5.16,0,5.6325,5.5464
2020-04-14,5.16,5.16,5.16,5.16,0,5.5985,5.5096
2020-04-15,5.16,5.16,5.16,5.16,0,5.5645,5.4763
2020-04-16,5.16,5.16,5.16,5.16,0,5.5305,5.4461
2020-04-17,5.16,5.16,5.16,5.16,0,5.4965,5.4189
2020-04-20,5.16,5.16,5.16,5.16,0,5.4625,5.3942
2020-04-21,5.16,5.16,5.16,5.16,0,5.4285,5.3719
2020-04-22,5.16,5.16,5.16,5.16,0,5.3945,5.3517
2020-04-23,5.16,5.16,5.16,5.16,0,5.3605,5.3335
2020-04-24,5.16,5.16,5.16,5.16,0,5.3265,5.317
2020-04-27,5.16,5.16,5.16,5.16,0,5.2925,5.302
2020-04-28,5.23,5.23,5.23,5.23,100,5.262,5.2952
2020-04-29,5.23,5.23,5.23,5.23,0,5.2315,5.289
2020-05-04,5.23,5.23,5.23,5.23,0,5.201,5.2833
2020-05-05,5.23,5.23,5.23,5.23,0,5.1705,5.2783
2020-05-06,5.23,5.23,5.23,5.23,0,5.1775,5.2737
2020-05-07,5.29,5.29,5.29,5.29,100,5.184,5.2752
2020-05-08,5.29,5.29,5.29,5.29,0,5.1905,5.2766
2020-05-11,5.29,5.29,5.29,5.29,0,5.197,5.2779
2020-05-12,5.36,5.36,5.36,5.36,100,5.207,5.2857
2020-05-13,5.36,5.36,5.36,5.36,0,5.217,5.2928
2020-05-14,5.36,5.36,5.36,5.36,0,5.227,5.2992
2020-05-15,6.04,6.11,6.04,6.11,5500,5.2745,5.3764
2020-05-18,6.11,6.11,6.11,6.11,0,5.322,5.4463
2020-05-19,6.79,6.99,6.79,6.99,3000,5.4135,5.5933
2020-05-20,7.81,7.81,7.81,7.81,22800,5.546,5.8044
2020-05-21,8.62,8.62,8.49,8.62,9400,5.719,6.0726
2020-05-22,8.62,8.62,7.47,8.62,9500,5.892,6.3152
2020-05-25,8.42,8.62,8.62,8.62,0,6.065,6.5347
2020-05-26,7.47,8.15,7.47,8.15,2400,6.2145,6.6885
2020-05-27,7.53,8.15,8.15,8.15,0,6.364,6.8277
2020-05-28,7.53,8.15,8.15,8.15,0,6.51,6.9536
2020-05-29,7.53,8.15,8.15,8.15,0,6.656,7.0676
2020-06-01,7.47,7.47,7.47,7.47,3700,6.768,7.1059
2020-06-02,7.47,7.47,7.47,7.47,0,6.88,7.1406
2020-06-03,7.47,7.47,7.47,7.47,0,6.992,7.172
2020-06-04,7.47,7.47,7.47,7.47,0,7.101,7.2003
2020-06-05,7.47,7.47,7.47,7.47,0,7.21,7.226
2020-06-08,7.94,7.94,7.87,7.87,3000,7.339,7.2874
2020-06-09,7.94,7.94,7.94,7.94,1000,7.468,7.3495
2020-06-10,7.94,7.94,7.94,7.94,1000,7.597,7.4057
2020-06-11,7.94,7.94,7.94,7.94,500,7.726,7.4566
2020-06-12,7.94,7.94,7.94,7.94,0,7.8175,7.5027
2020-06-15,7.94,7.94,7.94,7.94,0,7.909,7.5443
2020-06-16,7.94,7.94,7.94,7.94,0,7.9565,7.582
2020-06-17,7.94,7.94,7.94,7.94,0,7.963,7.6161
2020-06-18,7.94,7.94,7.94,7.94,0,7.929,7.6469
2020-06-19,7.94,7.94,7.94,7.94,700,7.895,7.6749
2020-06-22,7.94,7.94,7.94,7.94,0,7.861,7.7001
