time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,20.04,20.04,20.04,20.04,0,,
2020-01-03,20.82,20.82,20.82,20.82,4035,,
2020-01-06,20.82,20.82,20.82,20.82,0,,
2020-01-07,21.17,21.17,21.17,21.17,200,,
2020-01-08,21.17,21.17,21.17,21.17,0,,
2020-01-09,21.17,21.17,21.17,21.17,0,,
2020-01-10,21.17,21.17,21.17,21.17,0,,
2020-01-13,20.82,20.82,20.82,20.82,900,,
2020-01-14,20.82,20.82,20.82,20.82,2000,,
2020-01-15,20.82,20.82,20.82,20.82,1700,,
2020-01-16,20.82,20.82,20.82,20.82,0,,
2020-01-17,20.82,20.82,20.82,20.82,0,,
2020-01-20,20.82,20.82,20.82,20.82,0,,
2020-01-21,20.82,20.82,20.82,20.82,0,,
2020-01-22,19.61,20.82,19.35,20.82,2100,,
2020-01-30,20.82,20.82,20.82,20.82,0,,
2020-01-31,20.82,20.82,20.3,20.3,4300,,
2020-02-03,19.95,20.74,19.95,20.74,2200,,
2020-02-04,20.74,20.74,20.74,20.74,0,,
2020-02-05,20.74,20.74,20.74,20.74,0,20.813,20.6775
2020-02-06,20.39,20.39,20.3,20.39,23000,20.8305,20.6501
2020-02-07,20.39,20.39,20.39,20.39,27800,20.809,20.6254
2020-02-10,20.39,21.6,20.39,21.6,14900,20.848,20.7182
2020-02-11,20.39,21.17,20.39,21.17,34000,20.848,20.7612
2020-02-12,20.65,21.08,20.65,21.08,31800,20.8435,20.7916
2020-02-13,20.82,21.52,20.82,21.52,13000,20.861,20.861
2020-02-14,21.0,21.6,20.65,21.6,18100,20.8825,20.9313
2020-02-17,20.39,20.74,20.39,20.74,5400,20.8785,20.9131
2020-02-18,20.39,21.08,20.39,21.08,3600,20.8915,20.929
2020-02-19,20.21,20.21,20.21,20.21,200,20.861,20.8605
2020-02-20,20.13,20.13,20.13,20.13,4027,20.8265,20.791
2020-02-21,20.65,20.82,20.13,20.13,14300,20.792,20.728
