time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.43,6.43,6.43,6.43,0,,
2020-01-03,6.35,6.35,6.35,6.35,5000,,
2020-01-06,6.35,6.35,6.35,6.35,0,,
2020-01-07,6.43,6.43,6.35,6.35,6133,,
2020-01-08,6.35,6.35,6.35,6.35,0,,
2020-01-09,6.35,6.35,6.35,6.35,0,,
2020-01-10,6.35,6.35,6.35,6.35,0,,
2020-01-13,6.35,6.35,6.35,6.35,0,,
2020-01-14,6.35,6.35,6.35,6.35,70,,
2020-01-15,6.35,6.35,6.35,6.35,0,,
2020-01-16,6.51,6.51,6.51,6.51,100,,
2020-01-17,6.27,6.27,6.27,6.27,100,,
2020-01-20,6.27,6.27,6.27,6.27,0,,
2020-01-21,6.27,6.27,6.27,6.27,0,,
2020-01-22,6.27,6.27,6.27,6.27,0,,
2020-01-30,6.27,6.27,6.27,6.27,0,,
2020-01-31,6.27,6.27,6.27,6.27,0,,
2020-02-03,6.27,6.27,6.27,6.27,0,,
2020-02-04,6.68,6.68,6.59,6.59,3800,,
2020-02-05,6.59,6.59,6.59,6.59,0,6.358,6.3787
2020-02-06,6.59,6.59,6.59,6.59,0,6.366,6.3988
2020-02-07,6.59,6.59,6.59,6.59,0,6.378,6.417
2020-02-10,6.59,6.59,6.59,6.59,0,6.39,6.4335
2020-02-11,5.79,6.43,5.79,6.43,3500,6.394,6.4332
2020-02-12,6.43,6.43,6.43,6.43,0,6.398,6.4329
2020-02-13,6.43,6.43,6.43,6.43,0,6.402,6.4326
2020-02-14,6.43,6.43,6.43,6.43,0,6.406,6.4323
2020-02-17,6.43,6.43,6.43,6.43,0,6.41,6.4321
2020-02-18,6.35,6.35,6.35,6.35,2000,6.41,6.4243
2020-02-19,6.35,6.35,6.35,6.35,0,6.41,6.4172
2020-02-20,6.35,6.35,6.35,6.35,3200,6.402,6.4108
2020-02-21,6.35,6.35,6.35,6.35,0,6.406,6.405
2020-02-24,6.35,6.35,6.35,6.35,0,6.41,6.3998
2020-02-25,6.35,6.35,6.35,6.35,0,6.414,6.395
2020-02-26,6.27,6.27,6.27,6.27,3400,6.414,6.3831
2020-02-27,6.43,6.43,6.43,6.43,100,6.422,6.3876
2020-02-28,6.43,6.43,6.43,6.43,0,6.43,6.3916
2020-03-02,6.43,6.43,6.43,6.43,0,6.438,6.3953
2020-03-03,6.43,6.43,6.43,6.43,0,6.43,6.3986
2020-03-04,6.51,6.51,6.51,6.51,100,6.426,6.4092
2020-03-05,6.51,6.51,6.51,6.51,0,6.422,6.4188
2020-03-06,6.51,6.51,6.51,6.51,0,6.418,6.4275
2020-03-09,6.51,6.51,6.51,6.51,0,6.414,6.4353
2020-03-10,6.19,6.19,6.19,6.19,200,6.402,6.412
2020-03-11,6.51,6.51,6.03,6.03,3100,6.382,6.3756
2020-03-12,5.95,6.51,5.95,6.51,200,6.386,6.3884
2020-03-13,6.27,6.51,6.51,6.51,0,6.39,6.4
2020-03-16,6.27,6.51,6.51,6.51,0,6.394,6.4105
2020-03-17,6.27,6.51,6.51,6.51,0,6.402,6.4199
2020-03-18,6.27,6.51,6.51,6.51,0,6.41,6.4285
2020-03-19,6.27,6.51,6.51,6.51,0,6.418,6.4363
2020-03-20,6.27,6.51,6.51,6.51,0,6.426,6.4433
2020-03-23,6.27,6.51,6.51,6.51,0,6.434,6.4497
2020-03-24,6.27,6.51,6.51,6.51,0,6.442,6.4554
2020-03-25,6.51,6.51,6.51,6.51,100,6.454,6.4606
2020-03-26,6.51,6.51,6.51,6.51,0,6.458,6.4653
2020-03-27,6.51,6.51,6.51,6.51,0,6.462,6.4696
2020-03-30,6.51,6.51,6.51,6.51,0,6.466,6.4734
2020-03-31,6.51,6.51,6.51,6.51,0,6.47,6.4769
