time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,17.86,17.86,17.86,17.86,0,,
2020-01-03,18.86,18.86,18.86,18.86,10,,
2020-01-06,18.86,18.86,18.86,18.86,10,,
2020-01-07,18.86,18.86,18.86,18.86,0,,
2020-01-08,19.9,19.9,19.9,19.9,10,,
2020-01-09,19.9,19.9,19.9,19.9,0,,
2020-01-10,21.09,21.09,21.09,21.09,10,,
2020-01-13,21.09,21.09,21.09,21.09,0,,
2020-01-14,21.09,21.09,21.09,21.09,0,,
2020-01-15,19.62,19.62,19.62,19.62,10,,
2020-01-16,18.25,18.25,18.25,18.25,10,,
2020-01-17,17.07,17.07,17.07,17.07,10,,
2020-01-20,15.89,15.89,15.89,15.89,140,,
2020-01-21,15.89,15.89,15.89,15.89,10,,
2020-01-22,15.06,16.5,15.06,16.5,1010,,
2020-01-30,15.35,17.5,15.35,15.35,1070,,
2020-01-31,16.1,16.1,16.1,16.1,10,,
2020-02-03,16.07,16.07,15.1,15.1,710,,
2020-02-04,14.06,14.06,14.06,14.06,10,,
2020-02-05,13.27,13.27,13.27,13.27,50,17.7305,16.7863
2020-02-06,14.13,14.13,13.13,13.13,40,17.494,16.4381
2020-02-07,13.99,13.99,13.13,13.13,160,17.2075,16.1231
2020-02-10,13.13,13.13,13.13,13.13,10,16.921,15.838
2020-02-11,12.77,12.77,12.77,12.77,10,16.6165,15.5458
2020-02-12,13.63,13.63,13.27,13.27,2030,16.285,15.3291
2020-02-13,13.27,13.27,13.27,13.27,20,15.9535,15.133
2020-02-14,13.27,13.27,13.27,13.27,10,15.5625,14.9555
2020-02-17,12.98,12.98,12.98,12.98,10,15.157,14.7674
2020-02-18,12.98,12.98,12.98,12.98,0,14.7515,14.5972
2020-02-19,13.88,13.88,13.23,13.23,3700,14.432,14.467
2020-02-20,13.99,13.99,13.99,13.99,90,14.219,14.4215
2020-02-21,14.96,14.96,14.2,14.2,30,14.0755,14.4004
2020-02-24,14.99,14.99,14.2,14.2,60,13.991,14.3813
