time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.3,5.3,4.9,5.14,21600,,
2020-01-03,5.18,5.22,4.86,4.86,35000,,
2020-01-06,4.86,4.86,4.41,4.73,73320,,
2020-01-07,4.73,4.94,4.53,4.82,43929,,
2020-01-08,4.57,5.1,4.49,4.9,92900,,
2020-01-09,4.9,5.02,4.53,4.86,135591,,
2020-01-10,4.57,4.86,4.49,4.69,69430,,
2020-01-13,4.69,4.69,4.49,4.65,48000,,
2020-01-14,4.65,4.65,4.28,4.57,50200,,
2020-01-15,4.65,4.65,4.41,4.53,25400,,
2020-01-16,4.53,4.53,4.08,4.45,193880,,
2020-01-17,4.41,4.77,4.08,4.37,95430,,
2020-01-20,4.49,4.57,4.28,4.45,21630,,
2020-01-21,4.24,4.45,4.08,4.45,83900,,
2020-01-22,4.12,4.41,4.12,4.33,88300,,
2020-01-30,4.33,4.41,4.04,4.08,43800,,
2020-01-31,3.92,4.08,3.67,3.67,158200,,
2020-02-03,3.47,3.47,3.31,3.39,137547,,
2020-02-04,3.39,3.67,3.31,3.67,68700,,
2020-02-05,3.67,3.71,3.47,3.71,28300,4.416,4.2999
2020-02-06,3.63,3.67,3.63,3.63,16230,4.3405,4.2361
2020-02-07,3.55,3.55,3.43,3.47,22200,4.271,4.1631
2020-02-10,3.47,3.47,3.35,3.47,23200,4.208,4.0971
2020-02-11,3.47,3.47,3.39,3.39,45416,4.1365,4.0298
2020-02-12,3.39,3.39,3.31,3.39,126500,4.061,3.9688
2020-02-13,3.39,3.67,3.39,3.67,81404,4.0015,3.9404
2020-02-14,3.67,3.88,3.55,3.55,40300,3.9445,3.9032
2020-02-17,3.55,3.67,3.55,3.67,2200,3.8955,3.881
2020-02-18,3.55,3.59,3.51,3.59,5100,3.8465,3.8533
2020-02-19,3.55,3.55,3.51,3.51,6600,3.7955,3.8206
2020-02-20,3.51,3.55,3.47,3.47,15310,3.7465,3.7872
2020-02-21,3.43,3.67,3.43,3.55,21400,3.7055,3.7646
2020-02-24,3.51,3.51,3.35,3.35,39975,3.6505,3.7251
2020-02-25,3.35,3.47,3.35,3.47,11319,3.6015,3.7008
2020-02-26,3.51,3.51,3.39,3.39,8914,3.5545,3.6712
2020-02-27,3.39,3.47,3.39,3.47,3300,3.524,3.6521
2020-02-28,3.39,3.43,3.26,3.43,22600,3.512,3.6309
2020-03-02,3.39,3.43,3.39,3.43,10500,3.514,3.6118
2020-03-03,3.43,3.43,3.31,3.43,21400,3.502,3.5945
2020-03-04,3.39,3.43,3.35,3.39,24458,3.486,3.575
2020-03-05,3.35,3.43,3.35,3.39,12512,3.474,3.5574
2020-03-06,3.39,3.39,3.39,3.39,2100,3.47,3.5414
2020-03-09,3.39,3.39,3.06,3.06,48037,3.4495,3.4956
2020-03-10,2.86,3.18,2.86,3.18,3350,3.439,3.4655
2020-03-11,3.06,3.14,2.94,3.14,2801,3.4265,3.4345
2020-03-12,2.9,2.94,2.86,2.86,85500,3.386,3.3798
2020-03-13,2.61,2.94,2.61,2.94,6472,3.3555,3.3379
2020-03-16,2.86,2.94,2.73,2.73,38600,3.3085,3.28
2020-03-17,2.65,2.86,2.49,2.82,5800,3.27,3.2362
2020-03-18,2.86,2.94,2.82,2.82,9000,3.2355,3.1966
2020-03-19,2.77,2.82,2.61,2.82,8600,3.203,3.1607
2020-03-20,2.82,2.82,2.82,2.82,300,3.1665,3.1283
2020-03-23,2.77,2.77,2.57,2.57,67800,3.1275,3.0751
2020-03-24,2.45,2.61,2.45,2.57,21200,3.0825,3.027
2020-03-25,2.65,2.82,2.65,2.82,106300,3.054,3.0073
2020-03-26,2.65,2.69,2.57,2.61,32300,3.011,2.9694
2020-03-27,2.61,2.86,2.61,2.73,95500,2.976,2.9466
2020-03-30,2.53,2.86,2.53,2.77,48900,2.943,2.9298
2020-03-31,2.69,2.82,2.65,2.77,12210,2.91,2.9146
2020-04-01,2.77,2.77,2.73,2.77,33619,2.879,2.9008
2020-04-03,2.77,2.82,2.77,2.77,30300,2.848,2.8884
2020-04-06,2.77,2.82,2.73,2.77,23500,2.817,2.8771
2020-04-07,2.73,2.77,2.69,2.77,21800,2.8025,2.8669
2020-04-08,2.73,2.82,2.73,2.82,5300,2.7845,2.8624
2020-04-09,2.77,2.9,2.73,2.9,65900,2.7725,2.866
2020-04-10,2.82,2.9,2.77,2.9,7800,2.7745,2.8692
2020-04-13,2.9,2.9,2.82,2.82,11610,2.7685,2.8646
2020-04-14,2.86,2.86,2.86,2.86,300,2.775,2.8641
2020-04-15,2.86,2.94,2.86,2.86,9200,2.777,2.8637
2020-04-16,2.86,2.86,2.82,2.82,6100,2.777,2.8596
