time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.4,2.4,2.4,2.4,100,,
2020-01-03,2.4,2.4,2.4,2.4,0,,
2020-01-06,2.4,2.4,2.4,2.4,0,,
2020-01-07,2.4,2.4,2.4,2.4,0,,
2020-01-08,2.1,2.1,2.1,2.1,700,,
2020-01-09,2.1,2.1,2.1,2.1,0,,
2020-01-10,2.1,2.1,2.1,2.1,0,,
2020-01-13,2.4,2.4,2.4,2.4,100,,
2020-01-14,2.4,2.4,2.4,2.4,0,,
2020-01-15,2.4,2.4,2.4,2.4,0,,
2020-01-16,2.4,2.4,2.4,2.4,0,,
2020-01-17,2.4,2.4,2.4,2.4,0,,
2020-01-20,2.4,2.4,2.4,2.4,0,,
2020-01-21,2.4,2.4,2.4,2.4,0,,
2020-01-22,2.4,2.4,2.4,2.4,0,,
2020-01-30,2.4,2.4,2.4,2.4,10,,
2020-01-31,2.1,2.1,2.1,2.1,100,,
2020-02-03,2.4,2.4,2.4,2.4,100,,
2020-02-04,2.4,2.4,2.4,2.4,0,,
2020-02-05,2.4,2.4,2.4,2.4,2000,2.34,2.3577
2020-02-06,2.2,2.2,2.1,2.1,3300,2.325,2.3331
2020-02-07,2.1,2.1,2.1,2.1,10,2.31,2.3109
2020-02-10,2.1,2.1,2.1,2.1,0,2.295,2.2908
2020-02-11,1.8,1.8,1.8,1.8,110,2.265,2.2441
2020-02-12,1.8,1.8,1.8,1.8,100,2.25,2.2018
2020-02-13,1.8,1.8,1.8,1.8,500,2.235,2.1635
2020-02-14,2.0,2.0,2.0,2.0,142,2.23,2.148
2020-02-17,2.0,2.0,2.0,2.0,500,2.21,2.1339
2020-02-18,2.0,2.0,2.0,2.0,0,2.19,2.1211
2020-02-19,1.8,1.8,1.8,1.8,1000,2.16,2.0905
2020-02-20,1.8,1.8,1.8,1.8,600,2.13,2.0629
2020-02-21,2.0,2.0,2.0,2.0,100,2.11,2.0569
2020-02-24,2.2,2.2,2.2,2.2,100,2.1,2.0705
2020-02-25,2.2,2.2,2.2,2.2,0,2.09,2.0828
2020-02-26,2.2,2.2,2.2,2.2,0,2.08,2.094
2020-02-27,2.2,2.2,2.2,2.2,0,2.07,2.1041
2020-02-28,1.9,1.9,1.9,1.9,500,2.06,2.0847
2020-03-02,1.8,1.8,1.7,1.7,19800,2.025,2.048
2020-03-03,1.6,1.7,1.6,1.7,4900,1.99,2.0149
2020-03-04,1.7,1.7,1.7,1.7,1000,1.955,1.9849
2020-03-05,1.7,1.7,1.7,1.7,0,1.935,1.9578
2020-03-06,1.8,1.8,1.8,1.8,100,1.92,1.9427
2020-03-09,1.8,1.8,1.8,1.8,0,1.905,1.9291
2020-03-10,1.8,1.8,1.8,1.8,0,1.905,1.9168
2020-03-11,1.8,1.8,1.8,1.8,0,1.905,1.9057
2020-03-12,1.8,1.8,1.8,1.8,0,1.905,1.8956
2020-03-13,1.8,1.8,1.8,1.8,0,1.895,1.8865
2020-03-16,1.8,1.8,1.8,1.8,0,1.885,1.8783
2020-03-17,1.8,1.8,1.8,1.8,0,1.875,1.8708
2020-03-18,1.6,1.6,1.6,1.6,100,1.865,1.845
2020-03-19,1.4,1.4,1.4,1.4,100,1.845,1.8027
2020-03-20,1.4,1.4,1.4,1.4,50,1.815,1.7643
2020-03-23,1.3,1.3,1.2,1.3,25800,1.77,1.7201
2020-03-24,1.3,1.3,1.3,1.3,100,1.725,1.6801
2020-03-25,1.4,1.4,1.4,1.4,700,1.685,1.6534
2020-03-26,1.6,1.6,1.6,1.6,100,1.655,1.6483
2020-03-27,1.8,1.8,1.8,1.8,7100,1.65,1.6628
2020-03-30,1.8,1.8,1.8,1.8,0,1.655,1.6758
2020-03-31,2.0,2.0,2.0,2.0,100,1.67,1.7067
2020-04-01,2.0,2.0,2.0,2.0,0,1.685,1.7346
2020-04-03,2.1,2.1,2.1,2.1,100,1.705,1.7694
2020-04-06,2.0,2.0,2.0,2.0,100,1.715,1.7914
2020-04-07,2.0,2.0,2.0,2.0,0,1.725,1.8113
2020-04-08,2.3,2.3,1.7,1.7,700,1.72,1.8007
2020-04-09,1.8,1.7,1.7,1.7,0,1.715,1.7911
2020-04-10,1.8,1.7,1.7,1.7,0,1.71,1.7824
2020-04-13,1.8,1.7,1.7,1.7,0,1.705,1.7746
2020-04-14,1.8,1.7,1.7,1.7,0,1.7,1.7675
2020-04-15,1.8,1.7,1.7,1.7,0,1.695,1.761
