time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.3,3.3,3.3,3.3,0,,
2020-01-03,3.4,3.4,3.4,3.4,100,,
2020-01-06,3.4,3.4,3.4,3.4,0,,
2020-01-07,3.7,3.7,3.7,3.7,100,,
2020-01-08,3.7,3.7,3.7,3.7,0,,
2020-01-09,3.7,3.7,3.7,3.7,0,,
2020-01-10,3.7,3.7,3.7,3.7,0,,
2020-01-13,3.7,3.7,3.7,3.7,0,,
2020-01-14,3.7,3.7,3.7,3.7,0,,
2020-01-15,3.7,3.7,3.7,3.7,0,,
2020-01-16,3.7,3.7,3.7,3.7,0,,
2020-01-17,3.7,3.7,3.7,3.7,0,,
2020-01-20,3.7,3.7,3.7,3.7,0,,
2020-01-21,3.7,3.7,3.7,3.7,0,,
2020-01-22,3.7,3.7,3.7,3.7,100,,
2020-01-30,3.8,3.8,3.8,3.8,100,,
2020-01-31,3.5,3.5,3.5,3.5,200,,
2020-02-03,3.5,3.5,3.5,3.5,0,,
2020-02-04,3.5,3.5,3.5,3.5,100,,
2020-02-05,3.5,3.5,3.5,3.5,0,3.615,3.5707
2020-02-06,3.5,3.5,3.5,3.5,0,3.625,3.564
2020-02-07,3.5,3.5,3.5,3.5,0,3.63,3.5579
2020-02-10,3.5,3.5,3.5,3.5,0,3.635,3.5524
2020-02-11,3.5,3.5,3.5,3.5,0,3.625,3.5474
2020-02-12,3.5,3.5,3.5,3.5,0,3.615,3.5429
2020-02-13,3.5,3.5,3.5,3.5,0,3.605,3.5388
2020-02-14,3.5,3.5,3.5,3.5,100,3.595,3.5351
2020-02-17,3.5,3.5,3.5,3.5,0,3.585,3.5318
2020-02-18,3.5,3.5,3.5,3.5,100,3.575,3.5287
2020-02-19,3.6,3.6,3.6,3.6,100,3.57,3.5355
2020-02-20,3.6,3.6,3.6,3.6,0,3.565,3.5417
2020-02-21,3.6,3.6,3.6,3.6,0,3.56,3.5472
2020-02-24,3.6,3.6,3.6,3.6,0,3.555,3.5522
2020-02-25,3.6,3.6,3.6,3.6,0,3.55,3.5568
2020-02-26,3.6,3.6,3.6,3.6,100,3.545,3.5609
2020-02-27,3.3,3.3,3.3,3.3,200,3.52,3.5361
2020-02-28,3.0,3.0,3.0,3.0,2000,3.495,3.485
2020-03-02,2.7,2.7,2.7,2.7,4400,3.455,3.4102
2020-03-03,2.5,2.6,2.5,2.6,12100,3.41,3.3331
2020-03-04,2.4,2.4,2.4,2.4,1500,3.355,3.2442
2020-03-05,2.2,2.2,2.2,2.2,2200,3.29,3.1448
2020-03-06,2.2,2.2,2.1,2.2,5153,3.225,3.0548
2020-03-09,2.1,2.1,2.0,2.0,29800,3.15,2.9543
2020-03-10,1.8,2.1,1.8,1.9,29601,3.07,2.8539
2020-03-11,1.9,1.9,1.8,1.8,4560,2.985,2.7535
2020-03-12,1.7,1.9,1.7,1.9,12000,2.905,2.6723
2020-03-13,1.8,2.0,1.8,2.0,3230,2.83,2.6082
2020-03-16,2.0,2.2,2.0,2.2,200,2.765,2.5694
2020-03-17,2.4,2.4,2.0,2.4,4945,2.71,2.5532
2020-03-18,2.2,2.4,2.2,2.4,13400,2.65,2.5386
2020-03-19,2.2,2.4,2.2,2.2,3700,2.58,2.5064
2020-03-20,2.0,2.1,2.0,2.1,112100,2.505,2.4677
