time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.7,2.7,2.7,2.7,0,,
2020-01-03,2.7,2.7,2.7,2.7,0,,
2020-01-06,2.7,2.7,2.7,2.7,0,,
2020-01-07,2.7,2.7,2.7,2.7,0,,
2020-01-08,2.7,2.7,2.7,2.7,0,,
2020-01-09,2.7,2.7,2.7,2.7,0,,
2020-01-10,2.7,2.7,2.7,2.7,0,,
2020-01-13,2.7,2.7,2.7,2.7,0,,
2020-01-14,2.7,2.7,2.7,2.7,0,,
2020-01-15,2.7,2.7,2.7,2.7,0,,
2020-01-16,2.7,2.7,2.7,2.7,0,,
2020-01-17,2.7,2.7,2.7,2.7,0,,
2020-01-20,2.7,2.7,2.7,2.7,0,,
2020-01-21,2.7,2.7,2.7,2.7,0,,
2020-01-22,2.7,2.7,2.7,2.7,0,,
2020-01-30,2.7,2.7,2.7,2.7,0,,
2020-01-31,2.7,2.7,2.7,2.7,0,,
2020-02-03,2.7,2.7,2.7,2.7,0,,
2020-02-04,2.7,2.7,2.7,2.7,0,,
2020-02-05,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-06,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-07,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-10,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-11,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-12,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-13,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-14,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-17,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-18,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-19,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-20,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-21,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-24,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-25,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-26,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-27,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-02-28,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-02,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-03,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-04,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-05,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-06,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-09,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-10,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-11,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-12,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-13,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-16,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-17,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-18,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-19,2.7,2.7,2.7,2.7,0,2.7,2.7
2020-03-20,3.0,3.0,3.0,3.0,100,2.715,2.7286
2020-03-23,3.0,3.0,3.0,3.0,0,2.73,2.7544
2020-03-24,3.0,3.0,3.0,3.0,0,2.745,2.7778
2020-03-25,3.0,3.0,3.0,3.0,0,2.76,2.799
2020-03-26,3.0,3.0,3.0,3.0,0,2.775,2.8181
2020-03-27,3.0,3.0,3.0,3.0,0,2.79,2.8354
2020-03-30,3.0,3.0,3.0,3.0,0,2.805,2.8511
2020-03-31,3.0,3.0,3.0,3.0,0,2.82,2.8653
2020-04-01,3.0,3.0,3.0,3.0,0,2.835,2.8781
2020-04-03,3.0,3.0,3.0,3.0,0,2.85,2.8897
2020-04-06,3.0,3.0,3.0,3.0,0,2.865,2.9002
2020-04-07,3.0,3.0,3.0,3.0,0,2.88,2.9097
2020-04-08,3.0,3.0,3.0,3.0,0,2.895,2.9183
2020-04-09,3.0,3.0,3.0,3.0,0,2.91,2.9261
2020-04-10,3.0,3.0,3.0,3.0,0,2.925,2.9331
2020-04-13,3.0,3.0,3.0,3.0,0,2.94,2.9395
2020-04-14,3.0,3.0,3.0,3.0,0,2.955,2.9453
2020-04-15,3.0,3.0,3.0,3.0,0,2.97,2.9505
2020-04-16,3.0,3.0,3.0,3.0,0,2.985,2.9552
2020-04-17,3.4,3.4,3.4,3.4,100,3.02,2.9976
2020-04-20,3.4,3.4,3.4,3.4,0,3.04,3.0359
2020-04-21,3.4,3.4,3.4,3.4,0,3.06,3.0706
2020-04-22,3.4,3.4,3.4,3.4,0,3.08,3.1019
2020-04-23,3.4,3.4,3.4,3.4,0,3.1,3.1303
2020-04-24,3.4,3.4,3.4,3.4,0,3.12,3.156
2020-04-27,3.4,3.4,3.4,3.4,0,3.14,3.1792
2020-04-28,3.4,3.4,3.4,3.4,0,3.16,3.2003
2020-04-29,3.4,3.4,3.4,3.4,0,3.18,3.2193
2020-05-04,3.4,3.4,3.4,3.4,0,3.2,3.2365
2020-05-05,3.4,3.4,3.4,3.4,0,3.22,3.2521
2020-05-06,3.4,3.4,3.4,3.4,0,3.24,3.2662
2020-05-07,3.4,3.4,3.4,3.4,0,3.26,3.2789
2020-05-08,3.4,3.4,3.4,3.4,0,3.28,3.2904
2020-05-11,3.4,3.4,3.4,3.4,0,3.3,3.3009
2020-05-12,3.4,3.4,3.4,3.4,0,3.32,3.3103
2020-05-13,3.4,3.4,3.4,3.4,0,3.34,3.3189
2020-05-14,3.4,3.4,3.4,3.4,0,3.36,3.3266
2020-05-15,3.4,3.4,3.4,3.4,0,3.38,3.3336
2020-05-18,3.4,3.4,3.4,3.4,0,3.4,3.3399
2020-05-19,3.4,3.4,3.4,3.4,0,3.4,3.3456
2020-05-20,3.4,3.4,3.4,3.4,0,3.4,3.3508
2020-05-21,3.4,3.4,3.4,3.4,0,3.4,3.3555
2020-05-22,3.4,3.4,3.4,3.4,0,3.4,3.3597
2020-05-25,3.4,3.4,3.4,3.4,0,3.4,3.3636
2020-05-26,3.4,3.4,3.4,3.4,0,3.4,3.367
2020-05-27,3.4,3.4,3.4,3.4,0,3.4,3.3702
2020-05-28,3.4,3.4,3.4,3.4,0,3.4,3.373
2020-05-29,3.4,3.4,3.4,3.4,0,3.4,3.3756
2020-06-01,3.4,3.4,3.4,3.4,0,3.4,3.3779
2020-06-02,3.4,3.4,3.4,3.4,0,3.4,3.38
2020-06-03,3.4,3.4,3.4,3.4,0,3.4,3.3819
2020-06-04,3.4,3.4,3.4,3.4,0,3.4,3.3836
2020-06-05,3.4,3.4,3.4,3.4,0,3.4,3.3852
2020-06-08,3.4,3.4,3.4,3.4,0,3.4,3.3866
2020-06-09,3.4,3.4,3.4,3.4,0,3.4,3.3879
2020-06-10,3.4,3.4,3.4,3.4,0,3.4,3.389
2020-06-11,3.4,3.4,3.4,3.4,0,3.4,3.3901
