time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,2.8,2.8,2.8,2.8,0,,
2020-01-03,2.7,3.0,2.7,3.0,8900,,
2020-01-06,2.9,3.0,3.0,3.0,0,,
2020-01-07,2.9,3.0,3.0,3.0,0,,
2020-01-08,2.9,3.0,3.0,3.0,0,,
2020-01-09,2.9,3.0,3.0,3.0,0,,
2020-01-10,2.8,3.2,2.8,3.2,4711,,
2020-01-13,3.0,3.2,3.2,3.2,0,,
2020-01-14,3.0,3.2,3.2,3.2,0,,
2020-01-15,3.0,3.2,3.2,3.2,0,,
2020-01-16,3.0,3.2,3.2,3.2,0,,
2020-01-17,2.9,2.9,2.9,2.9,100,,
2020-01-20,2.9,2.9,2.9,2.9,0,,
2020-01-21,2.9,2.9,2.9,2.9,0,,
2020-01-22,2.9,2.9,2.9,2.9,0,,
2020-01-30,2.9,2.9,2.9,2.9,0,,
2020-01-31,3.2,3.2,2.7,3.1,1100,,
2020-02-03,3.0,3.1,3.1,3.1,0,,
2020-02-04,3.0,3.1,3.1,3.1,0,,
2020-02-05,3.0,3.1,3.1,3.1,0,3.035,3.0087
2020-02-06,3.0,3.1,3.1,3.1,0,3.05,3.0174
2020-02-07,3.2,3.4,3.0,3.4,94200,3.07,3.0539
2020-02-10,3.4,3.4,3.4,3.4,0,3.09,3.0868
2020-02-11,3.4,3.4,3.4,3.4,0,3.11,3.1167
2020-02-12,3.4,3.4,3.4,3.4,0,3.13,3.1436
2020-02-13,3.4,3.4,3.4,3.4,0,3.15,3.1681
2020-02-14,3.7,3.7,2.9,2.9,1510,3.135,3.1425
2020-02-17,3.0,2.9,2.9,2.9,0,3.12,3.1194
2020-02-18,3.0,2.9,2.9,2.9,0,3.105,3.0985
2020-02-19,3.0,2.9,2.9,2.9,0,3.09,3.0796
2020-02-20,3.0,2.9,2.9,2.9,0,3.075,3.0625
2020-02-21,2.7,2.7,2.7,2.7,1009,3.065,3.028
2020-02-24,2.7,2.7,2.7,2.7,0,3.055,2.9968
2020-02-25,2.7,2.7,2.7,2.7,0,3.045,2.9685
2020-02-26,2.7,2.7,2.7,2.7,0,3.035,2.9429
2020-02-27,2.7,2.7,2.7,2.7,0,3.025,2.9198
2020-02-28,2.4,2.9,2.4,2.4,3000,2.99,2.8703
2020-03-02,2.5,2.4,2.4,2.4,0,2.955,2.8255
2020-03-03,2.5,2.4,2.4,2.4,0,2.92,2.785
2020-03-04,2.5,2.4,2.4,2.4,0,2.885,2.7483
2020-03-05,2.5,2.4,2.4,2.4,0,2.85,2.7151
2020-03-06,2.4,2.6,2.4,2.6,11500,2.81,2.7042
2020-03-09,2.4,2.6,2.6,2.6,0,2.77,2.6942
2020-03-10,2.4,2.6,2.6,2.6,0,2.73,2.6853
2020-03-11,2.4,2.6,2.6,2.6,0,2.69,2.6772
2020-03-12,2.4,2.6,2.6,2.6,0,2.65,2.6698
2020-03-13,2.1,2.6,2.1,2.5,4040,2.63,2.6536
2020-03-16,2.4,2.5,2.5,2.5,0,2.61,2.639
2020-03-17,2.4,2.5,2.5,2.5,0,2.59,2.6258
2020-03-18,2.4,2.5,2.5,2.5,0,2.57,2.6138
2020-03-19,2.4,2.5,2.5,2.5,0,2.55,2.6029
2020-03-20,2.5,2.6,2.3,2.4,11316,2.535,2.5836
2020-03-23,2.4,2.4,2.4,2.4,0,2.52,2.5661
2020-03-24,2.4,2.4,2.4,2.4,0,2.505,2.5503
2020-03-25,2.4,2.4,2.4,2.4,0,2.49,2.536
2020-03-26,2.4,2.4,2.4,2.4,0,2.475,2.523
2020-03-27,2.5,2.6,2.4,2.4,18406,2.475,2.5113
2020-03-30,2.5,2.4,2.4,2.4,0,2.475,2.5007
2020-03-31,2.5,2.4,2.4,2.4,0,2.475,2.4911
2020-04-01,2.5,2.4,2.4,2.4,0,2.475,2.4825
2020-04-03,2.2,2.8,2.2,2.5,18130,2.48,2.4841
2020-04-06,2.5,2.5,2.5,2.5,0,2.475,2.4856
