time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,1.5,1.6,1.4,1.4,4800,,
2020-01-03,1.4,1.5,1.4,1.4,23000,,
2020-01-06,1.4,1.4,1.4,1.4,14069,,
2020-01-07,1.5,1.5,1.4,1.4,19310,,
2020-01-08,1.5,1.5,1.4,1.4,9100,,
2020-01-09,1.5,1.6,1.4,1.5,36250,,
2020-01-10,1.5,1.5,1.4,1.5,39200,,
2020-01-13,1.4,1.4,1.4,1.4,3300,,
2020-01-14,1.3,1.4,1.3,1.4,15480,,
2020-01-15,1.4,1.4,1.4,1.4,1600,,
2020-01-16,1.4,1.5,1.4,1.4,43500,,
2020-01-17,1.5,1.5,1.4,1.4,6100,,
2020-01-20,1.5,1.5,1.5,1.5,20100,,
2020-01-21,1.6,1.6,1.5,1.5,28600,,
2020-01-22,1.6,1.7,1.6,1.7,70500,,
2020-01-30,1.8,1.8,1.7,1.7,33500,,
2020-01-31,1.8,1.8,1.6,1.6,42000,,
2020-02-03,1.6,1.7,1.6,1.7,2700,,
2020-02-04,1.7,1.7,1.7,1.7,200,,
2020-02-05,1.7,1.7,1.6,1.6,28611,1.5,1.5338
2020-02-06,1.6,1.6,1.6,1.6,0,1.51,1.5401
2020-02-07,1.6,1.6,1.6,1.6,30,1.52,1.5458
2020-02-10,1.7,1.7,1.7,1.7,160,1.535,1.5605
2020-02-11,1.5,1.7,1.5,1.7,1200,1.55,1.5737
2020-02-12,1.6,1.6,1.6,1.6,100,1.56,1.5762
2020-02-13,1.6,1.6,1.6,1.6,0,1.565,1.5785
2020-02-14,1.5,1.5,1.5,1.5,12000,1.565,1.571
2020-02-17,1.4,1.6,1.3,1.6,7000,1.575,1.5738
2020-02-18,1.4,1.4,1.4,1.4,22500,1.575,1.5572
2020-02-19,1.4,1.5,1.4,1.5,7800,1.58,1.5518
2020-02-20,1.6,1.6,1.5,1.6,25150,1.59,1.5564
2020-02-21,1.6,1.6,1.6,1.6,17000,1.6,1.5605
2020-02-24,1.6,1.6,1.6,1.6,0,1.605,1.5643
2020-02-25,1.6,1.6,1.6,1.6,0,1.61,1.5677
2020-02-26,1.5,1.5,1.5,1.5,500,1.6,1.5612
2020-02-27,1.5,1.5,1.5,1.5,600,1.59,1.5554
2020-02-28,1.4,1.4,1.4,1.4,10000,1.58,1.5406
2020-03-02,1.4,1.4,1.4,1.4,13,1.565,1.5272
2020-03-03,1.5,1.5,1.5,1.5,200,1.555,1.5246
2020-03-04,1.4,1.4,1.4,1.4,400,1.545,1.5128
2020-03-05,1.5,1.6,1.5,1.5,17300,1.54,1.5115
2020-03-06,1.5,1.5,1.5,1.5,200,1.535,1.5104
2020-03-09,1.3,1.5,1.3,1.5,152300,1.525,1.5094
2020-03-10,1.3,1.4,1.3,1.4,3800,1.51,1.499
2020-03-11,1.4,1.4,1.4,1.4,4100,1.5,1.4896
2020-03-12,1.5,1.5,1.4,1.5,3800,1.495,1.4906
2020-03-13,1.3,1.3,1.3,1.3,300,1.485,1.4724
2020-03-16,1.4,1.4,1.4,1.4,600,1.475,1.4655
2020-03-17,1.3,1.3,1.3,1.3,16700,1.47,1.4498
2020-03-18,1.3,1.3,1.3,1.3,0,1.46,1.4355
2020-03-19,1.2,1.2,1.2,1.2,32000,1.44,1.4131
2020-03-20,1.3,1.3,1.1,1.1,200,1.415,1.3833
2020-03-23,1.3,1.3,1.1,1.1,3100,1.39,1.3563
2020-03-24,1.0,1.0,1.0,1.0,19400,1.36,1.3224
2020-03-25,1.1,1.1,1.0,1.0,900,1.335,1.2917
2020-03-26,1.1,1.1,1.1,1.1,100,1.315,1.2734
