time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,14.53,14.53,14.53,14.53,100,,
2020-01-03,12.39,12.39,12.39,12.39,1500,,
2020-01-06,11.81,11.81,11.81,11.81,100,,
2020-01-07,11.81,11.81,11.81,11.81,0,,
2020-01-08,12.06,12.06,11.81,11.81,2500,,
2020-01-09,11.35,12.32,11.35,12.32,4200,,
2020-01-10,12.32,12.32,11.68,12.32,400,,
2020-01-13,12.32,12.32,12.06,12.06,300,,
2020-01-14,12.19,12.06,12.06,12.06,0,,
2020-01-15,12.13,12.32,12.13,12.32,1400,,
2020-01-16,12.65,12.65,12.0,12.0,3500,,
2020-01-17,12.58,12.58,12.0,12.32,3000,,
2020-01-20,12.32,12.32,12.32,12.32,100,,
2020-01-21,12.65,12.65,12.58,12.58,1700,,
2020-01-22,14.14,14.14,14.14,14.14,100,,
2020-01-30,16.22,16.22,12.06,12.32,800,,
2020-01-31,12.65,12.32,12.32,12.32,0,,
2020-02-03,12.65,12.32,12.32,12.32,0,,
2020-02-04,12.97,12.97,12.97,12.97,100,,
2020-02-05,12.97,12.97,12.97,12.97,0,12.4845,12.8302
2020-02-06,12.97,12.97,12.97,12.97,0,12.4065,12.8435
2020-02-07,11.09,12.65,11.09,12.65,400,12.4195,12.8251
2020-02-10,12.97,12.97,12.97,12.97,100,12.4775,12.8389
2020-02-11,12.97,12.97,12.97,12.97,0,12.5355,12.8513
2020-02-12,12.97,12.97,12.97,12.97,0,12.5935,12.8626
2020-02-13,12.97,12.97,12.97,12.97,100,12.626,12.8729
2020-02-14,14.92,14.92,12.26,12.97,58800,12.6585,12.8821
2020-02-17,13.3,14.72,12.39,12.97,9500,12.704,12.8905
2020-02-18,13.62,13.62,12.39,12.97,6400,12.7495,12.8981
2020-02-19,13.62,13.62,12.26,12.32,6900,12.7495,12.843
2020-02-20,12.97,12.97,12.32,12.91,1200,12.795,12.8494
2020-02-21,12.91,12.91,12.32,12.84,800,12.821,12.8485
2020-02-24,12.84,12.84,12.13,12.65,1100,12.8375,12.8296
2020-02-25,12.71,12.78,12.19,12.78,300,12.8475,12.8249
2020-02-26,12.71,12.97,12.71,12.97,200,12.789,12.8387
2020-02-27,12.97,12.97,12.39,12.39,200,12.7925,12.796
2020-02-28,12.97,12.97,12.65,12.65,600,12.809,12.7821
2020-03-02,12.97,12.97,12.97,12.97,100,12.8415,12.8
2020-03-03,12.97,12.97,12.97,12.97,100,12.8415,12.8162
2020-03-04,12.91,12.97,12.91,12.97,200,12.8415,12.8308
2020-03-05,14.92,14.92,12.97,12.97,5000,12.8415,12.8441
