time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.87,9.16,8.85,9.16,2780,,
2020-01-03,8.85,9.12,8.73,8.73,1020,,
2020-01-06,8.73,8.93,8.57,8.93,42530,,
2020-01-07,9.12,9.12,8.85,8.85,5800,,
2020-01-08,9.02,9.02,8.69,8.73,6190,,
2020-01-09,8.69,8.79,8.69,8.79,17010,,
2020-01-10,8.95,8.95,8.69,8.69,20,,
2020-01-13,8.97,8.99,8.71,8.71,570,,
2020-01-14,8.95,8.95,8.67,8.67,11570,,
2020-01-15,8.97,8.97,8.93,8.93,540,,
2020-01-16,8.93,8.93,8.93,8.93,0,,
2020-01-17,8.79,8.93,8.79,8.85,1050,,
2020-01-20,8.85,8.85,8.45,8.45,280,,
2020-01-21,8.93,8.93,8.53,8.53,30,,
2020-01-22,8.93,8.93,8.53,8.85,1590,,
2020-01-30,8.85,9.01,8.55,9.01,1430,,
2020-01-31,9.01,9.01,8.91,9.01,3330,,
2020-02-03,8.42,8.85,8.42,8.85,340,,
2020-02-04,8.45,8.85,8.3,8.85,1250,,
2020-02-05,8.85,9.28,8.85,9.28,330,8.84,8.9107
2020-02-06,9.28,9.28,9.28,9.28,820,8.846,8.9459
2020-02-07,9.28,9.28,9.28,9.28,100,8.8735,8.9777
2020-02-10,8.75,8.75,8.75,8.75,400,8.8645,8.956
2020-02-11,9.01,9.01,8.97,8.97,980,8.8705,8.9573
2020-02-12,9.04,9.04,9.01,9.01,1060,8.8845,8.9624
2020-02-13,9.01,9.01,9.01,9.01,1080,8.8955,8.9669
2020-02-14,9.01,9.01,9.01,9.01,200,8.9115,8.971
2020-02-17,9.01,9.01,9.01,9.01,370,8.9265,8.9747
2020-02-18,9.04,9.04,8.77,8.77,1360,8.9315,8.9552
2020-02-19,8.85,8.85,8.51,8.85,100,8.9275,8.9452
2020-02-20,8.95,8.95,8.95,8.95,10,8.9285,8.9457
2020-02-21,8.95,8.95,8.95,8.95,210,8.9335,8.9461
2020-02-24,8.65,8.89,8.65,8.89,2250,8.9555,8.9407
2020-02-25,8.65,8.65,8.49,8.49,1890,8.9535,8.8978
2020-02-26,8.95,8.95,8.95,8.95,650,8.9585,8.9028
2020-02-27,8.95,8.95,8.95,8.95,520,8.9555,8.9073
2020-02-28,8.99,9.02,8.99,9.02,2120,8.956,8.918
2020-03-02,8.57,9.02,8.49,8.97,410,8.962,8.923
2020-03-03,8.97,8.97,8.97,8.97,350,8.968,8.9274
2020-03-04,8.97,8.97,8.97,8.97,300,8.9525,8.9315
2020-03-05,8.97,8.97,8.97,8.97,410,8.937,8.9352
2020-03-06,8.93,8.93,8.93,8.93,380,8.9195,8.9347
2020-03-09,8.45,8.83,8.32,8.83,5220,8.9235,8.9247
2020-03-10,8.34,8.97,8.34,8.65,2400,8.9075,8.8985
2020-03-11,8.65,8.65,8.65,8.65,350,8.8895,8.8749
2020-03-12,8.26,8.42,8.06,8.06,44590,8.842,8.7973
2020-03-13,7.53,8.04,7.51,8.04,3880,8.7935,8.7251
2020-03-16,8.45,8.45,8.04,8.42,740,8.764,8.6961
2020-03-17,8.53,8.53,7.86,7.86,460,8.7185,8.6165
2020-03-18,7.57,8.4,7.57,7.59,920,8.6555,8.5187
2020-03-19,7.06,7.92,7.06,7.92,540,8.604,8.4617
2020-03-20,7.92,8.26,7.67,7.67,1070,8.54,8.3863
2020-03-23,7.14,7.86,7.14,7.85,330,8.488,8.3352
2020-03-24,7.47,7.47,7.47,7.47,2290,8.437,8.2528
2020-03-25,7.86,7.92,7.86,7.92,810,8.3855,8.2211
2020-03-26,7.39,7.98,7.39,7.39,590,8.3075,8.142
2020-03-27,7.86,7.86,6.96,7.12,540,8.2125,8.0446
2020-03-30,7.61,7.61,6.63,7.61,560,8.1445,8.0032
2020-03-31,8.04,8.04,7.08,7.96,1990,8.094,7.9991
2020-04-01,7.96,7.96,7.41,7.41,500,8.016,7.943
2020-04-03,7.41,7.86,7.41,7.86,590,7.9605,7.9351
2020-04-06,8.38,8.38,7.51,7.51,750,7.8895,7.8946
2020-04-07,7.85,7.85,7.85,7.85,310,7.8405,7.8904
2020-04-08,7.33,7.83,7.33,7.83,330,7.7995,7.8846
2020-04-09,7.85,7.85,7.29,7.29,60,7.7315,7.828
2020-04-10,7.75,7.77,6.82,7.77,1640,7.717,7.8225
2020-04-13,7.77,7.77,7.77,7.77,310,7.7035,7.8175
2020-04-14,7.27,7.77,7.27,7.77,1760,7.671,7.8129
2020-04-15,7.27,7.83,7.27,7.47,680,7.6515,7.7803
2020-04-16,7.47,7.79,7.47,7.79,440,7.6615,7.7812
2020-04-17,7.55,8.18,7.55,8.18,480,7.6745,7.8192
2020-04-20,7.61,8.16,7.61,7.63,1280,7.6725,7.8012
2020-04-21,8.08,8.08,7.27,7.27,390,7.6435,7.7506
2020-04-22,7.27,7.65,6.8,7.65,340,7.6525,7.741
2020-04-23,7.65,7.65,7.59,7.59,50,7.636,7.7266
2020-04-24,7.59,7.59,7.47,7.47,510,7.64,7.7022
2020-04-27,7.27,7.51,7.27,7.51,70,7.6595,7.6839
2020-04-28,7.51,7.51,7.51,7.51,10,7.6545,7.6673
2020-04-29,7.83,7.83,7.12,7.12,1790,7.6125,7.6152
2020-05-04,7.59,7.59,7.04,7.04,5290,7.594,7.5604
2020-05-05,7.53,7.53,7.12,7.12,730,7.557,7.5185
2020-05-06,7.47,7.47,6.96,7.35,130,7.549,7.5024
2020-05-07,7.43,7.43,7.08,7.37,660,7.525,7.4898
2020-05-08,7.77,7.77,7.43,7.43,1140,7.505,7.4841
2020-05-11,7.77,7.77,7.02,7.16,1350,7.4985,7.4532
2020-05-12,7.51,7.51,7.16,7.18,3000,7.469,7.4272
