time,open,high,low,close,volume,SMA_20,EMA_20
2021-09-14,38.08,38.08,22.67,27.02,296900,,
2021-09-15,29.01,29.01,25.39,25.39,58039,,
2021-09-16,25.57,25.57,21.94,22.67,2700,,
2021-09-17,22.67,22.67,20.58,21.03,106100,,
2021-09-20,21.31,24.48,20.94,24.48,65400,,
2021-09-21,23.75,23.75,23.39,23.39,5400,,
2021-09-22,21.4,23.39,21.4,21.94,10300,,
2021-09-23,21.76,23.57,21.76,22.12,15922,,
2021-09-24,24.03,24.03,22.21,23.03,15003,,
2021-09-27,23.21,23.21,21.31,21.31,15405,,
2021-09-28,21.76,22.3,21.31,22.3,34600,,
2021-09-29,21.4,21.4,21.4,21.4,11400,,
2021-09-30,21.4,21.76,20.49,21.67,29100,,
2021-10-01,20.76,22.12,20.76,21.67,2600,,
2021-10-04,23.57,23.57,20.85,21.67,18310,,
2021-10-05,20.94,21.03,20.85,20.85,11500,,
2021-10-06,20.67,20.76,20.49,20.49,5800,,
2021-10-07,20.76,20.76,20.67,20.76,11500,,
2021-10-08,20.67,21.76,20.67,21.76,21600,,
2021-10-11,22.67,22.67,21.31,21.76,1300,22.3355,22.5055
2021-10-12,22.21,22.21,21.03,21.31,6000,22.05,22.3916
2021-10-13,21.31,21.76,21.31,21.76,7300,21.8685,22.3315
2021-10-14,22.39,22.58,21.76,22.21,6540,21.8455,22.3199
2021-10-15,22.21,22.21,22.12,22.12,1500,21.9,22.3009
2021-10-18,22.58,25.3,22.12,22.12,8700,21.782,22.2836
2021-10-19,22.21,22.58,22.03,22.12,5601,21.7185,22.2681
2021-10-20,21.85,22.03,21.76,21.94,7400,21.7185,22.2368
2021-10-21,21.94,22.49,21.94,22.49,5100,21.737,22.2609
2021-10-22,22.67,23.03,21.76,22.94,9200,21.7325,22.3256
2021-10-25,22.3,22.67,22.3,22.49,2700,21.7915,22.3413
2021-10-26,22.21,22.58,22.21,22.21,9700,21.787,22.3288
2021-10-27,22.3,22.3,22.21,22.21,7500,21.8275,22.3174
2021-10-28,22.49,25.48,22.3,25.48,232837,22.018,22.6186
2021-10-29,25.84,27.2,25.84,26.02,200740,22.2355,22.9426
2021-11-01,26.84,26.93,25.39,26.2,71200,22.462,23.2528
2021-11-02,26.2,26.2,25.21,25.39,27700,22.689,23.4564
2021-11-03,25.39,25.48,24.48,25.21,40500,22.925,23.6234
2021-11-04,24.57,24.57,24.12,24.48,60200,23.111,23.705
2021-11-05,24.48,25.39,24.03,25.39,74333,23.2925,23.8654
2021-11-08,24.57,25.39,24.57,25.21,15300,23.465,23.9935
2021-11-09,25.21,25.3,24.57,25.11,19000,23.655,24.0998
2021-11-10,24.93,25.3,24.57,24.93,20000,23.8135,24.1789
2021-11-11,24.84,25.75,24.66,24.93,61100,23.9495,24.2504
2021-11-12,25.11,26.66,25.11,25.84,42000,24.1355,24.4018
2021-11-15,25.84,27.2,25.84,26.84,177232,24.3715,24.634
2021-11-16,26.93,26.93,26.2,26.29,50400,24.58,24.7917
2021-11-17,26.47,26.84,26.11,26.47,77700,24.8065,24.9516
2021-11-18,27.11,29.83,27.11,28.74,485900,25.119,25.3124
2021-11-19,29.47,30.65,28.56,29.74,285065,25.459,25.734
2021-11-22,29.47,30.37,28.11,28.56,69100,25.7625,26.0032
2021-11-23,28.47,28.47,27.2,28.11,71300,26.0575,26.2038
2021-11-24,27.65,29.38,27.65,28.38,71838,26.366,26.4111
2021-11-25,28.47,28.47,27.65,27.83,87600,26.4835,26.5462
2021-11-26,27.65,27.65,26.29,26.84,174700,26.5245,26.5742
2021-11-29,26.84,26.84,24.93,25.66,77300,26.4975,26.4871
2021-11-30,25.93,26.29,25.39,25.57,65100,26.5065,26.3998
2021-12-01,25.48,26.02,25.39,25.66,34200,26.529,26.3293
2021-12-02,25.66,25.93,25.48,25.66,53500,26.588,26.2656
2021-12-03,25.66,25.66,24.93,25.02,42400,26.5695,26.147
2021-12-06,25.11,25.11,24.03,24.3,124400,26.524,25.9711
2021-12-07,24.57,25.11,24.39,24.39,42400,26.488,25.8205
2021-12-08,24.48,24.66,24.48,24.66,60100,26.4745,25.71
2021-12-09,24.57,25.75,24.57,25.02,13700,26.479,25.6442
2021-12-10,25.75,25.75,24.57,25.3,48000,26.452,25.6115
2021-12-13,25.21,25.75,25.11,25.39,113300,26.3795,25.5904
2021-12-14,25.3,25.39,24.84,24.93,82005,26.3115,25.5275
2021-12-15,24.93,25.3,24.57,25.21,66113,26.2485,25.4972
2021-12-16,25.02,25.57,25.02,25.39,50022,26.081,25.487
2021-12-17,25.66,26.29,25.66,26.11,57700,25.8995,25.5464
2021-12-20,25.93,26.02,25.48,25.57,30400,25.75,25.5486
2021-12-21,25.57,25.66,25.3,25.39,79600,25.614,25.5335
2021-12-22,25.48,25.84,25.3,25.84,148000,25.487,25.5627
2021-12-23,25.75,25.84,25.3,25.39,107000,25.365,25.5462
2021-12-24,25.48,25.57,25.39,25.48,62500,25.297,25.5399
2021-12-27,25.39,25.84,25.39,25.48,54000,25.288,25.5342
2021-12-28,25.48,25.66,25.39,25.39,48200,25.279,25.5205
2021-12-29,25.48,25.75,25.21,25.48,93600,25.27,25.5166
2021-12-30,25.48,27.2,25.39,27.11,187813,25.3425,25.6684
2021-12-31,27.11,27.65,26.11,27.65,522000,25.474,25.8571
2022-01-04,27.65,27.65,26.29,26.66,70200,25.592,25.9336
2022-01-05,26.57,26.57,22.67,25.66,61052,25.6555,25.9075
2022-01-06,25.48,25.84,25.39,25.48,23702,25.6965,25.8668
2022-01-07,25.57,25.57,25.21,25.39,70000,25.715,25.8214
2022-01-10,25.39,25.39,25.02,25.11,56700,25.7055,25.7536
2022-01-11,25.11,25.39,25.02,25.02,48100,25.687,25.6838
2022-01-12,24.93,25.21,24.75,25.21,36600,25.701,25.6387
2022-01-13,25.39,25.39,24.75,24.75,39600,25.678,25.554
2022-01-14,24.48,24.93,24.12,24.66,29600,25.6415,25.4689
2022-01-17,24.75,24.75,23.57,24.03,104200,25.5375,25.3318
2022-01-18,24.12,24.48,23.57,24.48,87900,25.483,25.2507
2022-01-19,24.39,24.84,24.39,24.66,9500,25.4465,25.1945
2022-01-20,24.57,25.02,24.57,25.02,19800,25.4055,25.1778
2022-01-21,25.3,25.3,24.75,24.75,17000,25.3735,25.1371
2022-01-24,24.84,24.84,24.66,24.66,54200,25.3325,25.0917
2022-01-25,24.75,24.93,24.48,24.84,54400,25.3005,25.0677
2022-01-26,24.75,24.93,24.75,24.93,33900,25.2775,25.0546
2022-01-27,24.75,24.75,24.3,24.57,21300,25.232,25.0084
2022-01-28,24.93,25.3,24.93,24.93,20900,25.123,25.001
2022-02-07,28.11,28.11,25.21,25.21,800,25.001,25.0209
2022-02-08,25.84,25.84,25.21,25.39,23400,24.9375,25.056
2022-02-09,25.39,25.39,24.57,25.39,48300,24.924,25.0878
2022-02-10,25.39,25.39,24.75,25.39,9500,24.9195,25.1166
2022-02-11,25.39,25.39,24.93,25.39,12700,24.9195,25.1426
2022-02-14,24.93,25.02,24.66,24.66,20900,24.897,25.0967
2022-02-15,25.02,25.21,24.75,25.11,12814,24.9015,25.0979
2022-02-16,25.11,25.39,24.84,25.3,17800,24.906,25.1172
2022-02-17,25.39,25.84,25.39,25.39,54200,24.938,25.1432
2022-02-18,25.39,25.48,25.39,25.39,14203,24.9745,25.1667
2022-02-21,25.39,25.57,25.11,25.57,55500,25.0515,25.2051
2022-02-22,25.57,25.57,24.75,24.93,39300,25.074,25.1789
2022-02-23,25.48,25.48,25.39,25.48,14900,25.115,25.2076
2022-02-24,25.39,25.39,25.11,25.11,47400,25.1195,25.1983
2022-02-25,25.21,25.39,25.02,25.39,96100,25.1515,25.2165
2022-02-28,25.39,25.48,25.02,25.48,71500,25.1925,25.2416
