time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,5.87,5.87,5.87,5.87,0,,
2020-01-03,5.42,6.68,5.42,6.68,600,,
2020-01-06,5.6,6.68,6.68,6.68,0,,
2020-01-07,5.6,6.68,6.68,6.68,0,,
2020-01-08,5.6,6.68,6.68,6.68,0,,
2020-01-09,5.42,5.42,5.42,5.42,559,,
2020-01-10,5.42,5.42,5.42,5.42,0,,
2020-01-13,5.42,5.42,5.42,5.42,0,,
2020-01-14,5.87,5.87,5.87,5.87,2000,,
2020-01-15,5.87,5.87,5.87,5.87,0,,
2020-01-16,5.87,5.87,5.87,5.87,0,,
2020-01-17,5.87,5.87,5.87,5.87,0,,
2020-01-20,5.42,5.42,5.42,5.42,500,,
2020-01-21,5.42,5.42,5.42,5.42,0,,
2020-01-22,5.6,5.6,5.6,5.6,300,,
2020-01-30,5.6,5.6,5.6,5.6,0,,
2020-01-31,5.6,5.6,5.6,5.6,0,,
2020-02-03,5.6,5.6,5.6,5.6,0,,
2020-02-04,5.6,5.6,5.6,5.6,0,,
2020-02-05,5.6,5.6,5.6,5.6,0,5.8385,5.7278
2020-02-06,5.6,5.6,5.6,5.6,0,5.825,5.7156
2020-02-07,5.6,5.6,5.6,5.6,0,5.771,5.7046
2020-02-10,4.87,4.87,4.87,4.87,500,5.6805,5.6251
2020-02-11,4.87,4.87,4.87,4.87,0,5.59,5.5532
2020-02-12,4.87,4.87,4.87,4.87,0,5.4995,5.4881
2020-02-13,4.15,4.15,4.15,4.15,300,5.436,5.3607
2020-02-14,4.15,4.15,4.15,4.15,0,5.3725,5.2454
2020-02-17,4.69,4.69,3.7,3.7,300,5.2865,5.0982
2020-02-18,4.6,4.6,3.52,3.52,300,5.169,4.9479
2020-02-19,4.42,4.42,4.42,4.42,2000,5.0965,4.8976
2020-02-20,5.06,5.06,5.06,5.06,100,5.056,4.9131
2020-02-21,5.78,5.78,5.78,5.78,700,5.0515,4.9956
2020-02-24,5.42,5.78,5.42,5.78,2000,5.0695,5.0703
2020-02-25,5.78,5.78,5.78,5.78,0,5.0875,5.1379
2020-02-26,5.78,5.78,5.78,5.78,0,5.0965,5.1991
2020-02-27,5.78,5.78,5.78,5.78,0,5.1055,5.2544
2020-02-28,4.96,4.96,4.96,4.96,100,5.0735,5.2264
2020-03-02,4.96,4.96,4.96,4.96,0,5.0415,5.201
2020-03-03,4.96,4.96,4.96,4.96,20,5.0095,5.178
2020-03-04,4.96,5.69,4.96,5.69,1900,5.014,5.2268
2020-03-05,5.33,5.69,5.69,5.69,0,5.0185,5.2709
2020-03-06,4.6,4.6,4.6,4.6,180,4.9685,5.207
2020-03-09,4.6,4.6,4.6,4.6,0,4.955,5.1492
2020-03-10,4.6,4.6,4.6,4.6,0,4.9415,5.0969
2020-03-11,4.15,4.15,4.15,4.15,200,4.9055,5.0067
2020-03-12,4.69,4.69,4.69,4.69,3200,4.9325,4.9766
2020-03-13,4.69,4.69,4.69,4.69,0,4.9595,4.9493
2020-03-16,4.69,4.69,4.69,4.69,0,5.009,4.9246
2020-03-17,4.15,4.15,4.15,4.15,300,5.0405,4.8508
2020-03-18,4.69,4.69,4.69,4.69,200,5.054,4.8355
2020-03-19,5.33,5.33,5.33,5.33,800,5.0675,4.8826
2020-03-20,5.69,5.69,5.69,5.69,2610,5.063,4.9595
2020-03-23,5.69,5.69,5.42,5.42,3200,5.045,5.0033
2020-03-24,4.69,4.69,4.69,4.69,100,4.9905,4.9735
2020-03-25,4.69,4.69,4.69,4.69,0,4.936,4.9465
2020-03-26,4.69,4.69,4.69,4.69,0,4.8815,4.9221
2020-03-27,4.42,4.42,4.06,4.06,2000,4.8365,4.84
2020-03-30,4.51,4.51,4.51,4.51,100,4.814,4.8085
2020-03-31,5.15,5.15,5.15,5.15,3781,4.8235,4.8411
2020-04-01,5.69,5.87,5.69,5.87,1900,4.8325,4.9391
2020-04-03,5.78,5.87,5.87,5.87,0,4.8415,5.0277
2020-04-06,5.78,5.87,5.87,5.87,0,4.905,5.1079
2020-04-07,5.78,5.87,5.87,5.87,0,4.9685,5.1805
2020-04-08,5.78,5.87,5.87,5.87,0,5.032,5.2462
2020-04-09,5.78,5.78,5.78,5.78,100,5.1135,5.297
2020-04-10,4.96,4.96,4.96,4.96,100,5.127,5.2649
2020-04-13,4.96,5.69,4.96,5.69,2244,5.177,5.3054
2020-04-14,5.6,5.69,5.69,5.69,0,5.227,5.342
2020-04-15,4.87,4.87,4.87,4.87,100,5.263,5.2971
2020-04-16,4.87,4.87,4.87,4.87,0,5.272,5.2564
2020-04-17,4.87,4.87,4.87,4.87,0,5.249,5.2196
2020-04-20,4.24,4.24,4.24,4.24,100,5.1765,5.1263
2020-04-21,4.24,4.24,4.24,4.24,0,5.1175,5.0419
2020-04-22,4.24,4.24,4.24,4.24,0,5.095,4.9655
2020-04-23,4.24,4.24,4.24,4.24,0,5.0725,4.8964
2020-04-24,3.79,3.79,3.79,3.79,160,5.0275,4.7911
2020-04-27,4.33,4.33,4.33,4.33,400,5.041,4.7471
2020-04-28,4.33,4.33,4.33,4.33,110,5.032,4.7074
2020-04-29,4.33,4.33,4.33,4.33,0,4.991,4.6715
2020-05-04,3.97,3.97,3.97,3.97,400,4.896,4.6047
2020-05-05,4.51,4.51,4.06,4.06,249,4.8055,4.5528
2020-05-06,4.96,4.96,4.96,4.96,1000,4.76,4.5916
2020-05-07,4.33,4.33,4.33,4.33,200,4.683,4.5667
2020-05-08,4.78,4.96,4.78,4.87,4239,4.633,4.5956
2020-05-11,5.6,5.6,5.6,5.6,2200,4.624,4.6912
2020-05-12,5.6,5.87,5.6,5.87,870,4.6695,4.8035
2020-05-13,6.41,6.41,5.69,5.69,200,4.6695,4.8879
2020-05-14,5.69,5.69,5.69,5.69,1500,4.6695,4.9643
2020-05-15,5.69,5.69,5.69,5.69,0,4.7105,5.0334
2020-05-18,5.69,5.69,5.69,5.69,0,4.7515,5.0959
2020-05-19,5.69,5.69,5.69,5.69,1100,4.7925,5.1525
2020-05-20,6.41,6.41,6.41,6.41,100,4.901,5.2723
2020-05-21,5.87,5.87,5.87,5.87,900,4.9825,5.3292
2020-05-22,5.06,5.06,5.06,5.06,500,5.0235,5.3036
2020-05-25,5.06,5.06,5.06,5.06,0,5.0645,5.2804
2020-05-26,5.69,5.69,5.69,5.69,100,5.1595,5.3194
2020-05-27,4.96,4.96,4.96,4.96,400,5.191,5.2852
2020-05-28,5.69,5.69,5.69,5.69,100,5.259,5.3237
2020-05-29,5.69,5.69,5.69,5.69,0,5.327,5.3586
2020-06-01,6.23,6.23,5.33,5.42,1200,5.3995,5.3644
