time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,8.5,8.5,8.5,8.5,0,,
2020-01-03,8.5,8.5,8.5,8.5,0,,
2020-01-06,8.5,8.5,8.5,8.5,0,,
2020-01-07,8.69,8.69,8.69,8.69,200,,
2020-01-08,8.69,8.69,8.69,8.69,0,,
2020-01-09,8.69,8.69,8.69,8.69,0,,
2020-01-10,8.69,8.69,8.69,8.69,0,,
2020-01-13,8.69,8.69,8.69,8.69,0,,
2020-01-14,8.69,8.69,8.69,8.69,0,,
2020-01-15,8.59,8.59,8.59,8.59,400,,
2020-01-16,9.44,9.44,9.26,9.26,400,,
2020-01-17,9.82,9.82,9.82,9.82,302,,
2020-01-20,10.77,10.77,10.77,10.77,1000,,
2020-01-21,11.24,11.24,11.24,11.24,200,,
2020-01-22,10.2,11.05,10.2,11.05,300,,
2020-01-30,11.8,11.8,11.8,11.8,800,,
2020-01-31,11.8,11.8,11.8,11.8,0,,
2020-02-03,11.8,11.8,11.8,11.8,0,,
2020-02-04,11.8,11.8,11.8,11.8,0,,
2020-02-05,11.8,11.8,11.8,11.8,0,9.8685,10.3145
2020-02-06,11.8,11.8,11.8,11.8,0,10.0335,10.456
2020-02-07,11.8,11.8,11.8,11.8,0,10.1985,10.584
2020-02-10,11.8,11.8,11.8,11.8,0,10.3635,10.6998
2020-02-11,11.8,11.8,11.8,11.8,0,10.519,10.8046
2020-02-12,12.84,12.84,12.84,12.84,700,10.7265,10.9984
2020-02-13,12.84,12.84,12.84,12.84,0,10.934,11.1738
2020-02-14,12.84,12.84,12.84,12.84,0,11.1415,11.3325
2020-02-17,12.84,12.84,12.84,12.84,0,11.349,11.4761
2020-02-18,12.84,12.84,12.84,12.84,2,11.5565,11.606
2020-02-19,12.84,12.84,12.84,12.84,0,11.769,11.7235
2020-02-20,12.84,12.84,12.84,12.84,0,11.948,11.8298
2020-02-21,12.84,12.84,12.84,12.84,10,12.099,11.926
2020-02-24,12.84,12.84,12.84,12.84,0,12.2025,12.0131
2020-02-25,12.84,12.84,12.84,12.84,1,12.2825,12.0918
2020-02-26,12.84,12.84,12.84,12.84,0,12.372,12.1631
2020-02-27,12.84,12.84,12.84,12.84,0,12.424,12.2276
2020-02-28,12.84,12.84,12.84,12.84,0,12.476,12.2859
2020-03-02,12.84,12.84,12.84,12.84,0,12.528,12.3387
2020-03-03,12.84,12.84,12.84,12.84,0,12.58,12.3864
2020-03-04,12.84,12.84,12.84,12.84,0,12.632,12.4296
2020-03-05,12.84,12.84,12.84,12.84,0,12.684,12.4687
2020-03-06,12.84,12.84,12.84,12.84,0,12.736,12.5041
2020-03-09,12.84,12.84,12.84,12.84,0,12.788,12.536
2020-03-10,12.84,12.84,12.84,12.84,0,12.84,12.565
2020-03-11,12.84,12.84,12.84,12.84,0,12.84,12.5912
2020-03-12,12.84,12.84,12.84,12.84,0,12.84,12.6149
2020-03-13,12.84,12.84,12.84,12.84,0,12.84,12.6363
2020-03-16,12.84,12.84,12.84,12.84,0,12.84,12.6557
2020-03-17,12.84,12.84,12.84,12.84,0,12.84,12.6733
2020-03-18,12.84,12.84,12.84,12.84,0,12.84,12.6891
2020-03-19,12.84,12.84,12.84,12.84,0,12.84,12.7035
2020-03-20,12.84,12.84,12.84,12.84,0,12.84,12.7165
2020-03-23,12.84,12.84,12.84,12.84,0,12.84,12.7283
2020-03-24,12.84,12.84,12.84,12.84,0,12.84,12.7389
2020-03-25,12.84,12.84,12.84,12.84,0,12.84,12.7485
2020-03-26,12.84,12.84,12.84,12.84,0,12.84,12.7573
2020-03-27,11.62,11.8,11.62,11.8,2000,12.788,12.6661
2020-03-30,11.8,11.8,11.8,11.8,0,12.736,12.5836
2020-03-31,11.8,11.8,11.8,11.8,0,12.684,12.509
2020-04-01,10.67,10.67,10.67,10.67,7000,12.5755,12.3338
2020-04-03,9.63,9.63,9.63,9.63,1100,12.415,12.0763
2020-04-06,8.69,8.69,8.69,8.69,24500,12.2075,11.7538
2020-04-07,8.69,8.69,8.69,8.69,7000,12.0,11.462
2020-04-08,7.84,8.69,7.84,8.69,5300,11.7925,11.198
2020-04-09,8.5,8.69,8.5,8.69,13500,11.585,10.9592
2020-04-10,8.88,8.88,8.5,8.69,4130,11.3775,10.7431
2020-04-13,8.69,8.69,8.5,8.69,9500,11.17,10.5475
2020-04-14,9.54,9.54,8.5,8.5,700,10.953,10.3525
2020-04-15,8.5,8.5,8.5,8.5,1500,10.736,10.1761
2020-04-16,8.5,8.5,8.31,8.31,3000,10.5095,9.9984
2020-04-17,8.31,8.31,8.31,8.31,2000,10.283,9.8376
2020-04-20,8.12,8.12,8.12,8.12,1000,10.047,9.674
2020-04-21,8.03,8.03,8.03,8.03,900,9.8065,9.5174
2020-04-22,8.03,8.03,8.03,8.03,0,9.566,9.3758
2020-04-23,8.5,8.5,8.31,8.5,11100,9.349,9.2924
2020-04-24,8.31,8.5,8.31,8.5,1000,9.132,9.2169
2020-04-27,8.5,8.5,8.5,8.5,5050,8.967,9.1486
2020-04-28,7.65,8.5,7.65,8.5,3220,8.802,9.0868
2020-04-29,7.65,8.5,7.65,8.5,3030,8.637,9.031
2020-05-04,8.5,8.5,8.41,8.5,3210,8.5285,8.9804
2020-05-05,8.31,8.5,8.31,8.5,400,8.472,8.9346
2020-05-06,8.5,8.5,8.5,8.5,5150,8.4625,8.8932
2020-05-07,8.0,8.0,8.0,8.0,120,8.428,8.8082
2020-05-08,8.1,8.7,8.1,8.7,620,8.4285,8.7979
2020-05-11,8.0,8.7,8.0,8.7,3400,8.429,8.7885
2020-05-12,8.6,8.6,8.6,8.6,100,8.4245,8.7706
2020-05-13,7.9,8.9,7.9,8.9,1000,8.435,8.7829
2020-05-14,8.2,8.2,8.2,8.2,300,8.42,8.7274
2020-05-15,7.8,8.7,7.8,8.7,500,8.43,8.7248
2020-05-18,8.1,8.7,8.1,8.7,7600,8.4495,8.7224
2020-05-19,8.7,8.7,8.7,8.7,0,8.469,8.7203
2020-05-20,8.7,8.9,8.7,8.9,2170,8.508,8.7374
2020-05-21,8.9,8.9,8.9,8.9,0,8.5515,8.7529
2020-05-22,8.7,8.7,8.7,8.7,8310,8.585,8.7479
2020-05-25,8.7,8.7,8.7,8.7,3814,8.595,8.7433
2020-05-26,8.1,8.3,8.1,8.3,1110,8.585,8.7011
2020-05-27,8.1,8.6,7.7,8.6,1500,8.59,8.6915
2020-05-28,8.6,8.8,8.6,8.8,20900,8.605,8.7018
2020-05-29,8.1,8.2,8.1,8.2,200,8.59,8.654
2020-06-01,8.0,8.1,8.0,8.1,2800,8.57,8.6012
2020-06-02,8.1,8.1,8.0,8.0,5500,8.545,8.544
2020-06-03,8.0,8.0,8.0,8.0,0,8.52,8.4922
2020-06-04,8.0,8.0,8.0,8.0,0,8.52,8.4453
2020-06-05,8.0,8.0,8.0,8.0,0,8.485,8.4029
2020-06-08,7.9,8.2,7.9,8.2,1500,8.46,8.3836
2020-06-09,8.2,8.2,8.1,8.1,7100,8.435,8.3566
2020-06-10,8.1,8.1,8.1,8.1,2000,8.395,8.3321
2020-06-11,8.1,8.1,7.5,8.1,10140,8.39,8.31
2020-06-12,8.1,8.1,8.1,8.1,12600,8.36,8.29
2020-06-15,8.1,8.1,8.1,8.1,800,8.33,8.2719
2020-06-16,8.0,8.1,8.0,8.0,9370,8.295,8.246
2020-06-17,8.0,8.0,8.0,8.0,730,8.25,8.2226
2020-06-18,8.0,8.0,8.0,8.0,2600,8.205,8.2014
2020-06-19,8.0,8.0,8.0,8.0,0,8.17,8.1822
2020-06-22,8.0,8.2,8.0,8.2,2600,8.145,8.1839
2020-06-23,8.1,8.1,8.1,8.1,1500,8.135,8.1759
2020-06-24,8.1,8.3,8.1,8.2,5700,8.115,8.1782
2020-06-25,8.2,8.2,8.2,8.2,0,8.085,8.1803
2020-06-26,8.2,8.2,8.2,8.2,0,8.085,8.1822
2020-06-29,8.2,8.2,8.2,8.2,0,8.09,8.1839
2020-06-30,8.1,8.2,8.1,8.2,120000,8.1,8.1854
2020-07-01,7.7,8.1,7.7,8.1,120002,8.105,8.1773
