time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.41,11.41,9.93,11.11,2400,,
2020-01-03,10.33,11.11,11.11,11.11,0,,
2020-01-06,11.11,11.11,11.11,11.11,100,,
2020-01-07,10.23,10.23,10.23,10.23,100,,
2020-01-08,10.72,10.72,10.72,10.72,800,,
2020-01-09,11.51,11.51,11.51,11.51,100,,
2020-01-10,11.51,11.51,11.51,11.51,0,,
2020-01-13,11.51,11.51,11.51,11.51,0,,
2020-01-14,11.51,11.51,11.51,11.51,0,,
2020-01-15,11.51,11.51,11.51,11.51,0,,
2020-01-16,11.51,11.51,11.51,11.51,0,,
2020-01-17,11.51,11.51,11.51,11.51,0,,
2020-01-20,9.93,10.72,9.93,10.72,1200,,
2020-01-21,10.72,10.72,10.72,10.72,500,,
2020-01-22,11.51,11.51,11.51,11.51,100,,
2020-01-30,11.31,11.31,10.72,10.72,1300,,
2020-01-31,10.72,10.72,10.72,10.72,0,,
2020-02-03,10.72,10.72,10.72,10.72,0,,
2020-02-04,10.72,10.72,10.72,10.72,1000,,
2020-02-05,10.72,10.72,10.72,10.72,12,11.07,11.006
2020-02-06,10.72,10.72,10.72,10.72,0,11.0505,10.9788
2020-02-07,10.72,10.72,10.72,10.72,0,11.031,10.9541
2020-02-10,9.54,10.72,9.54,10.72,200,11.0115,10.9318
2020-02-11,10.72,10.72,10.72,10.72,200,11.036,10.9117
2020-02-12,10.72,10.72,10.72,10.72,0,11.036,10.8934
2020-02-13,9.84,9.84,9.84,9.84,621,10.9525,10.7931
2020-02-14,9.84,9.84,9.84,9.84,0,10.869,10.7023
2020-02-17,9.93,9.93,9.93,9.93,100,10.79,10.6288
2020-02-18,9.84,9.84,9.84,9.84,1300,10.7065,10.5536
2020-02-19,9.84,9.84,9.84,9.84,0,10.623,10.4857
2020-02-20,9.84,9.84,9.84,9.84,0,10.5395,10.4242
2020-02-21,9.93,9.93,9.93,9.93,500,10.4605,10.3771
2020-02-24,10.23,10.23,10.23,10.23,200,10.436,10.3631
2020-02-25,9.44,9.44,9.44,9.44,1000,10.372,10.2752
2020-02-26,9.44,9.44,9.44,9.44,0,10.2685,10.1957
2020-02-27,10.03,10.62,10.03,10.62,1800,10.2635,10.2361
2020-02-28,11.31,11.31,10.82,11.31,700,10.293,10.3383
2020-03-02,11.21,11.21,11.21,11.21,300,10.3175,10.4214
2020-03-03,11.21,11.21,11.21,11.21,5,10.342,10.4965
2020-03-04,11.21,11.21,11.21,11.21,200,10.3665,10.5644
2020-03-05,11.21,11.21,11.21,11.21,0,10.391,10.6259
2020-03-06,9.93,9.93,9.84,9.84,400,10.347,10.5511
2020-03-09,10.82,10.92,10.72,10.92,1701,10.357,10.5862
2020-03-10,11.02,11.31,10.72,11.31,1100,10.3865,10.6551
2020-03-11,10.43,10.43,10.13,10.13,800,10.357,10.6051
2020-03-12,10.43,10.43,10.13,10.13,300,10.3715,10.5599
2020-03-13,10.33,10.13,10.13,10.13,0,10.386,10.5189
2020-03-16,10.33,10.33,10.33,10.33,100,10.406,10.5009
2020-03-17,10.82,10.82,10.33,10.33,400,10.4305,10.4847
2020-03-18,10.52,10.33,10.33,10.33,0,10.455,10.4699
2020-03-19,10.52,10.33,10.33,10.33,0,10.4795,10.4566
2020-03-20,10.52,10.33,10.33,10.33,0,10.4995,10.4445
2020-03-23,10.52,10.33,10.33,10.33,0,10.5045,10.4336
2020-03-24,10.52,10.33,10.33,10.33,0,10.549,10.4238
2020-03-25,10.52,10.33,10.33,10.33,0,10.5935,10.4148
2020-03-26,10.52,10.33,10.33,10.33,0,10.579,10.4068
2020-03-27,10.33,10.33,10.33,10.33,100,10.53,10.3994
2020-03-30,10.33,10.33,10.33,10.33,0,10.486,10.3928
2020-03-31,9.05,9.05,9.05,9.05,100,10.378,10.2649
2020-04-01,9.05,9.05,9.05,9.05,0,10.27,10.1492
2020-04-03,9.05,9.05,9.05,9.05,0,10.162,10.0445
2020-04-06,9.84,10.23,9.84,10.23,4200,10.1815,10.0622
2020-04-07,9.84,9.84,9.84,9.84,600,10.1275,10.041
2020-04-08,9.84,9.84,9.84,9.84,0,10.054,10.0219
2020-04-09,9.84,9.84,9.84,9.84,0,10.0395,10.0046
2020-04-10,9.84,9.84,9.84,9.84,0,10.025,9.9889
2020-04-13,11.11,11.31,11.11,11.11,1800,10.074,10.0957
2020-04-14,11.21,12.49,11.21,12.49,3210,10.182,10.3237
2020-04-15,11.8,12.0,11.8,11.8,3200,10.2555,10.4643
2020-04-16,11.9,11.8,11.8,11.8,0,10.329,10.5915
2020-04-17,11.9,11.8,11.8,11.8,0,10.4025,10.7066
2020-04-20,11.9,11.9,11.9,11.9,100,10.481,10.8203
2020-04-21,11.9,11.9,11.9,11.9,0,10.5595,10.9231
2020-04-22,11.9,11.9,11.9,11.9,0,10.638,11.0161
2020-04-23,11.9,11.9,11.9,11.9,0,10.7165,11.1003
2020-04-24,11.9,11.9,11.9,11.9,0,10.795,11.1765
2020-04-27,11.8,11.9,11.8,11.9,200,10.8735,11.2454
2020-04-28,11.9,11.9,11.9,11.9,0,10.952,11.3077
2020-04-29,11.9,11.9,11.9,11.9,1700,11.0945,11.3641
2020-05-04,11.9,11.9,11.9,11.9,0,11.237,11.4152
2020-05-05,11.9,11.9,11.9,11.9,0,11.3795,11.4613
2020-05-06,10.33,10.33,10.33,10.33,1000,11.3845,11.3536
2020-05-07,9.93,10.23,9.84,10.23,1900,11.404,11.2466
2020-05-08,10.43,11.41,10.13,11.02,1210,11.463,11.225
2020-05-11,10.52,10.52,10.52,10.52,300,11.497,11.1579
2020-05-12,10.72,10.72,10.03,10.03,1500,11.5065,11.0504
2020-05-13,10.13,10.13,10.13,10.13,200,11.4575,10.9628
2020-05-14,10.23,10.23,10.13,10.13,9900,11.3395,10.8835
2020-05-15,9.93,9.93,9.93,9.93,800,11.246,10.7927
2020-05-18,10.52,10.62,10.52,10.62,800,11.187,10.7762
2020-05-19,10.33,10.33,10.33,10.33,200,11.1135,10.7337
2020-05-20,11.21,11.21,11.21,11.21,100,11.079,10.7791
2020-05-21,10.82,10.82,10.82,10.82,200,11.025,10.783
2020-05-22,10.82,10.82,10.82,10.82,6,10.971,10.7865
2020-05-25,10.23,10.23,10.23,10.23,700,10.8875,10.7335
2020-05-26,10.23,10.23,10.23,10.23,2700,10.804,10.6856
2020-05-27,10.23,10.23,10.23,10.23,5800,10.7205,10.6422
2020-05-28,10.23,10.72,10.23,10.72,310,10.6615,10.6496
2020-05-29,10.52,10.72,10.72,10.72,0,10.6025,10.6563
2020-06-01,10.52,10.72,10.72,10.72,0,10.5435,10.6624
2020-06-02,10.52,10.52,10.52,10.52,100,10.4745,10.6488
2020-06-03,10.03,10.82,10.03,10.82,6200,10.499,10.6651
2020-06-04,10.62,10.62,10.62,10.62,100,10.5185,10.6608
2020-06-05,10.62,10.62,10.62,10.62,0,10.4985,10.6569
2020-06-08,10.62,10.62,10.62,10.62,0,10.5035,10.6534
2020-06-09,10.52,10.52,10.52,10.52,1100,10.528,10.6407
2020-06-10,10.52,10.62,10.52,10.52,3200,10.5475,10.6292
2020-06-11,10.52,10.52,10.43,10.43,500,10.5625,10.6102
2020-06-12,9.84,10.33,9.84,10.33,900,10.5825,10.5835
2020-06-15,10.33,10.33,10.23,10.23,1100,10.563,10.5499
2020-06-16,10.33,10.33,10.23,10.23,300,10.558,10.5194
2020-06-17,10.33,10.23,10.23,10.23,0,10.509,10.4918
2020-06-18,9.93,10.03,9.84,10.03,1600,10.4695,10.4479
2020-06-19,9.84,9.84,9.84,9.84,300,10.4205,10.39
2020-06-22,9.84,9.84,9.84,9.84,0,10.401,10.3376
2020-06-23,9.05,9.84,9.05,9.84,2100,10.3815,10.2902
2020-06-24,9.34,9.84,9.34,9.84,800,10.362,10.2473
2020-06-25,9.64,9.84,9.84,9.84,0,10.318,10.2085
2020-06-26,10.43,10.43,10.43,10.43,100,10.3035,10.2296
2020-06-29,10.43,10.43,10.43,10.43,0,10.289,10.2487
2020-06-30,9.84,9.84,9.05,9.05,1400,10.2155,10.1345
2020-07-01,8.85,9.34,8.46,9.34,2300,10.1415,10.0589
2020-07-02,8.95,8.95,8.85,8.85,900,10.053,9.9437
2020-07-03,8.95,8.85,8.85,8.85,0,9.9645,9.8396
2020-07-06,8.95,8.85,8.85,8.85,0,9.876,9.7453
2020-07-07,8.95,8.85,8.85,8.85,0,9.7925,9.6601
2020-07-08,9.44,9.44,9.44,9.44,100,9.7385,9.6391
2020-07-09,9.34,9.64,9.34,9.64,610,9.699,9.6392
2020-07-10,9.54,9.54,9.44,9.44,1600,9.6545,9.6202
2020-07-13,9.25,9.25,8.66,8.66,1100,9.576,9.5288
2020-07-14,8.95,8.95,8.95,8.95,101,9.512,9.4736
2020-07-15,8.95,8.95,8.95,8.95,1,9.448,9.4238
2020-07-16,8.36,8.75,8.07,8.66,1700,9.3795,9.351
2020-07-17,8.36,8.36,8.36,8.66,8,9.3205,9.2852
2020-07-20,8.36,8.66,8.66,8.66,0,9.2615,9.2257
2020-07-21,9.15,9.15,9.15,9.15,100,9.227,9.2185
2020-07-22,9.15,9.15,9.15,9.15,0,9.1925,9.2119
2020-07-23,8.75,8.75,8.75,8.75,600,9.138,9.168
2020-07-24,8.75,8.75,8.75,8.75,100,9.054,9.1281
2020-07-27,7.67,7.67,7.57,7.57,300,8.911,8.9798
2020-07-28,7.77,7.97,7.77,7.97,300,8.857,8.8836
2020-07-29,7.97,7.97,7.97,7.97,100,8.7885,8.7966
2020-07-30,9.05,9.15,8.36,8.46,2200,8.769,8.7645
2020-07-31,8.85,8.46,8.46,8.46,0,8.7495,8.7355
2020-08-03,9.05,10.13,9.05,10.13,2200,8.8135,8.8683
2020-08-04,9.74,10.82,9.74,10.82,600,8.912,9.0542
2020-08-05,10.62,10.62,9.64,9.64,200,8.922,9.11
2020-08-06,10.52,10.52,9.64,10.13,1100,8.9465,9.2071
2020-08-07,10.43,10.43,10.43,10.43,600,8.996,9.3236
2020-08-10,10.62,10.62,10.62,10.62,500,9.094,9.4471
2020-08-11,10.62,10.62,10.62,10.62,0,9.1775,9.5588
2020-08-12,9.84,9.84,9.84,9.84,100,9.222,9.5856
2020-08-13,10.23,10.23,10.23,10.23,200,9.3005,9.6469
2020-08-14,9.84,9.84,9.84,9.84,100,9.3595,9.6653
2020-08-17,9.54,9.54,9.44,9.44,500,9.3985,9.6439
2020-08-18,9.44,9.44,9.34,9.34,1000,9.408,9.6149
2020-08-19,10.72,10.72,8.85,8.85,300,9.393,9.5421
2020-08-20,9.84,9.84,9.84,9.84,200,9.4475,9.5704
2020-08-21,9.84,9.84,9.84,9.84,0,9.502,9.5961
2020-08-24,9.84,9.84,9.84,9.84,1300,9.6155,9.6193
2020-08-25,9.84,9.84,9.84,9.84,0,9.709,9.6404
2020-08-26,10.33,10.62,9.34,10.62,11701,9.8415,9.7337
2020-08-27,10.62,10.62,9.64,9.74,6500,9.9055,9.7343
2020-08-28,9.84,9.84,9.84,9.84,8600,9.9745,9.7443
2020-08-31,9.84,9.84,9.84,9.84,0,9.96,9.7534
2020-09-01,9.84,9.84,9.74,9.84,3500,9.911,9.7617
2020-09-03,9.64,9.64,9.64,9.64,100,9.911,9.7501
2020-09-04,9.64,9.64,9.64,9.64,0,9.8865,9.7396
2020-09-07,10.62,10.82,9.93,9.93,7300,9.8615,9.7577
2020-09-08,9.64,9.64,9.64,9.64,3000,9.8125,9.7465
2020-09-09,9.64,9.64,9.64,9.64,0,9.7635,9.7364
2020-09-10,9.64,9.64,9.64,9.64,0,9.7535,9.7272
2020-09-11,10.03,10.03,10.03,10.03,100,9.7435,9.756
2020-09-14,9.64,9.64,9.64,9.64,7400,9.7335,9.745
2020-09-15,10.23,10.23,9.74,9.74,900,9.7485,9.7445
2020-09-16,10.03,10.03,10.03,10.03,100,9.783,9.7717
2020-09-17,10.03,10.03,10.03,10.03,0,9.842,9.7963
2020-09-18,10.03,10.03,9.64,9.93,2007,9.8465,9.809
2020-09-21,9.93,9.93,9.74,9.84,1100,9.8465,9.812
2020-09-22,9.74,9.74,9.64,9.64,1600,9.8365,9.7956
2020-09-23,9.64,9.64,9.64,9.64,0,9.8265,9.7808
2020-09-24,9.64,9.64,9.64,9.64,2100,9.7775,9.7674
2020-09-25,9.64,9.93,9.64,9.93,1600,9.787,9.7829
