time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.94,9.96,9.85,9.91,17510,,
2020-01-03,9.94,9.94,9.85,9.91,13630,,
2020-01-06,9.91,9.99,9.88,9.88,7570,,
2020-01-07,9.96,9.96,9.85,9.88,23630,,
2020-01-08,9.85,9.85,9.68,9.74,33350,,
2020-01-09,9.68,9.74,9.54,9.74,21720,,
2020-01-10,9.74,9.74,9.63,9.74,10230,,
2020-01-13,9.91,9.91,9.74,9.74,7990,,
2020-01-14,9.77,9.8,9.74,9.74,10980,,
2020-01-15,9.74,9.74,9.71,9.74,5210,,
2020-01-16,9.8,9.8,9.68,9.8,12060,,
2020-01-17,9.65,9.8,9.65,9.8,5830,,
2020-01-20,9.91,9.91,9.74,9.74,22210,,
2020-01-21,9.74,10.08,9.74,10.08,54950,,
2020-01-22,10.08,10.13,10.08,10.08,6380,,
2020-01-30,9.91,10.02,9.88,9.88,18980,,
2020-01-31,9.88,9.96,9.85,9.88,5550,,
2020-02-03,9.85,9.85,9.57,9.71,33040,,
2020-02-04,9.85,9.85,9.71,9.77,7120,,
2020-02-05,9.77,9.8,9.71,9.8,35820,9.828,9.8402
2020-02-06,9.88,9.91,9.8,9.91,9940,9.828,9.8469
2020-02-07,9.91,9.91,9.74,9.91,13300,9.828,9.8529
2020-02-10,9.91,9.96,9.82,9.96,71180,9.832,9.8631
2020-02-11,9.91,9.94,9.85,9.94,65060,9.835,9.8704
2020-02-12,9.94,9.94,9.88,9.91,16140,9.8435,9.8742
2020-02-13,9.91,9.91,9.8,9.82,21620,9.8475,9.869
2020-02-14,9.82,9.82,9.8,9.82,36690,9.8515,9.8644
2020-02-17,9.82,9.96,9.82,9.82,2440,9.8555,9.8601
2020-02-18,9.82,9.82,9.8,9.8,26320,9.8585,9.8544
2020-02-19,9.8,9.91,9.8,9.82,14640,9.8625,9.8511
2020-02-20,9.82,9.96,9.82,9.85,26000,9.865,9.851
2020-02-21,9.85,9.85,9.82,9.82,3140,9.866,9.8481
2020-02-24,9.85,9.85,9.65,9.65,93510,9.8615,9.8292
2020-02-25,9.74,9.74,9.63,9.74,33160,9.8445,9.8207
2020-02-26,9.74,9.74,9.57,9.74,22160,9.8275,9.813
2020-02-27,9.77,9.77,9.71,9.74,7930,9.8205,9.8061
2020-02-28,9.74,9.74,9.57,9.57,45120,9.805,9.7836
2020-03-02,9.57,9.94,9.57,9.6,20440,9.7995,9.7661
2020-03-03,9.63,9.68,9.63,9.68,8110,9.795,9.7579
2020-03-04,9.77,9.77,9.63,9.65,32720,9.7875,9.7476
2020-03-05,9.68,9.74,9.63,9.63,12890,9.7735,9.7364
2020-03-06,9.63,9.63,9.54,9.57,20460,9.7565,9.7206
2020-03-09,9.46,9.46,9.0,9.0,131420,9.7085,9.6519
2020-03-10,9.0,9.37,9.0,9.37,54850,9.68,9.6251
2020-03-11,9.37,9.63,9.17,9.34,22050,9.6515,9.5979
2020-03-12,9.12,9.12,8.92,9.0,95580,9.6105,9.541
2020-03-13,8.83,9.06,8.78,9.0,57840,9.5695,9.4895
2020-03-16,9.0,9.23,8.61,9.23,11680,9.54,9.4648
2020-03-17,8.78,9.23,8.78,9.23,18830,9.5115,9.4424
2020-03-18,9.17,9.63,9.14,9.23,14680,9.482,9.4222
2020-03-19,9.23,9.23,9.12,9.23,7150,9.451,9.4039
2020-03-20,9.23,9.29,9.0,9.0,47830,9.41,9.3654
2020-03-23,8.95,8.95,8.78,8.78,46950,9.3665,9.3097
2020-03-24,8.78,9.06,8.78,8.89,94440,9.324,9.2697
2020-03-25,9.06,9.17,9.03,9.14,32320,9.294,9.2573
2020-03-26,9.12,9.17,9.12,9.14,33670,9.264,9.2462
2020-03-27,9.17,9.17,9.12,9.12,19880,9.2415,9.2341
2020-03-30,9.06,9.06,8.83,8.89,29830,9.206,9.2014
2020-03-31,8.89,9.06,8.83,8.89,17130,9.1665,9.1717
2020-04-01,8.89,9.0,8.89,8.95,31340,9.1315,9.1506
2020-04-03,9.06,9.23,9.06,9.12,25800,9.106,9.1477
2020-04-06,9.23,9.29,9.12,9.26,29250,9.0905,9.1584
2020-04-07,9.31,9.31,9.0,9.17,30660,9.099,9.1595
2020-04-08,9.2,9.26,9.14,9.2,77120,9.0905,9.1633
2020-04-09,9.23,9.26,9.17,9.2,54460,9.0835,9.1668
2020-04-10,9.23,9.23,9.2,9.23,27010,9.095,9.1729
2020-04-13,9.23,9.26,9.2,9.23,25570,9.1065,9.1783
2020-04-14,9.23,9.34,9.23,9.34,52920,9.112,9.1937
2020-04-15,9.34,9.63,9.34,9.51,84120,9.126,9.2238
2020-04-16,9.51,9.57,9.4,9.57,23780,9.143,9.2568
2020-04-17,9.57,9.63,9.51,9.63,56500,9.163,9.2923
2020-04-20,9.68,9.68,9.48,9.51,38400,9.1885,9.3131
2020-04-21,9.51,9.51,9.29,9.29,65200,9.214,9.3109
2020-04-22,9.34,9.34,9.29,9.34,29020,9.2365,9.3136
2020-04-23,9.4,9.51,9.26,9.31,52350,9.245,9.3133
2020-04-24,9.4,9.4,9.34,9.4,18390,9.258,9.3216
2020-04-27,9.46,9.51,9.34,9.4,42570,9.272,9.329
2020-04-28,9.4,9.4,9.4,9.4,16540,9.2975,9.3358
2020-04-29,9.51,9.51,9.4,9.51,9010,9.3285,9.3524
2020-05-04,9.51,9.51,9.46,9.51,25950,9.3565,9.3674
2020-05-05,9.51,9.51,9.46,9.51,12180,9.376,9.381
2020-05-06,9.63,9.63,9.51,9.51,12550,9.3885,9.3933
2020-05-07,9.51,9.54,9.46,9.51,27840,9.4055,9.4044
2020-05-08,9.63,9.63,9.4,9.6,56920,9.4255,9.423
2020-05-11,9.57,9.63,9.46,9.57,35490,9.444,9.437
2020-05-12,9.57,9.57,9.48,9.57,47310,9.461,9.4497
2020-05-13,9.57,9.57,9.46,9.46,55350,9.4725,9.4507
2020-05-14,9.46,9.51,9.46,9.51,21770,9.481,9.4563
2020-05-15,9.51,9.6,9.51,9.51,29930,9.481,9.4614
2020-05-18,9.51,9.63,9.51,9.51,33880,9.478,9.466
2020-05-19,9.6,9.63,9.51,9.63,37770,9.478,9.4817
2020-05-20,9.51,9.74,9.51,9.63,13730,9.484,9.4958
2020-05-21,9.63,9.63,9.54,9.63,12550,9.501,9.5086
2020-05-22,9.51,9.63,9.48,9.63,31020,9.5155,9.5201
2020-05-25,9.63,9.74,9.63,9.68,24540,9.534,9.5354
2020-05-26,9.68,9.74,9.68,9.74,53700,9.551,9.5549
2020-05-27,9.74,9.85,9.68,9.85,31990,9.5735,9.583
