time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,11.32,11.32,11.32,11.32,10,,
2020-01-03,11.45,11.45,11.45,11.45,60,,
2020-01-06,11.45,11.45,11.45,11.45,50,,
2020-01-07,10.78,10.78,10.78,10.78,2080,,
2020-01-08,11.14,11.14,11.14,11.14,10,,
2020-01-09,11.14,11.14,11.14,11.14,70,,
2020-01-10,11.45,11.45,11.45,11.45,70,,
2020-01-13,11.41,11.41,11.41,11.41,20,,
2020-01-14,11.41,11.41,11.41,11.41,0,,
2020-01-15,11.41,11.41,11.41,11.41,0,,
2020-01-16,11.41,11.41,11.41,11.41,30,,
2020-01-17,11.41,11.41,11.41,11.41,190,,
2020-01-20,11.41,11.41,11.41,11.41,50,,
2020-01-21,10.64,11.23,10.64,11.23,110,,
2020-01-22,11.63,11.63,11.63,11.63,70,,
2020-01-30,11.63,11.63,11.63,11.63,0,,
2020-01-31,11.63,11.63,11.63,11.63,10,,
2020-02-03,10.82,11.45,10.82,11.45,60,,
2020-02-04,10.69,10.87,10.69,10.87,100,,
2020-02-05,10.15,11.14,10.15,11.14,2290,11.3385,11.3385
2020-02-06,11.32,11.41,11.32,11.41,20,11.343,11.3453
2020-02-07,11.63,11.63,11.59,11.59,60,11.35,11.3686
2020-02-10,10.78,11.5,10.78,11.5,30,11.3525,11.3811
2020-02-11,10.73,11.41,10.73,11.41,120,11.384,11.3839
2020-02-12,10.64,11.23,10.64,11.23,1210,11.3885,11.3692
2020-02-13,11.45,11.45,11.18,11.23,50,11.393,11.356
2020-02-14,11.36,11.36,11.36,11.36,40,11.3885,11.3563
2020-02-17,11.18,11.18,11.18,11.18,10,11.377,11.3395
2020-02-18,10.42,11.14,10.42,11.14,30,11.3635,11.3205
2020-02-19,10.42,11.14,10.42,10.69,150,11.3275,11.2605
2020-02-20,10.33,11.41,10.33,11.41,6710,11.3275,11.2747
2020-02-21,10.69,11.14,10.64,11.14,710,11.314,11.2619
2020-02-24,11.9,11.9,11.9,11.9,3000,11.3385,11.3227
2020-02-25,11.9,11.9,11.9,11.9,0,11.372,11.3777
2020-02-26,11.99,11.99,11.14,11.63,220,11.372,11.4017
2020-02-27,11.63,11.63,11.63,11.63,0,11.372,11.4234
2020-02-28,11.63,11.63,11.63,11.63,0,11.372,11.4431
2020-03-02,11.63,11.63,11.63,11.63,0,11.381,11.4609
2020-03-03,10.82,10.82,10.82,10.82,530,11.3785,11.3999
2020-03-04,10.24,10.73,10.24,10.73,210,11.358,11.3361
2020-03-05,10.19,10.73,10.19,10.64,160,11.3195,11.2698
2020-03-06,10.73,10.73,9.97,10.33,1770,11.2565,11.1803
2020-03-09,9.88,10.73,9.61,10.73,2370,11.218,11.1374
