time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,38.35,42.38,38.35,38.35,280,,
2020-01-03,40.95,40.95,36.02,36.02,20,,
2020-01-06,38.07,38.07,38.07,38.07,10,,
2020-01-07,38.62,38.62,38.62,38.62,10,,
2020-01-08,38.55,38.55,36.91,36.91,30,,
2020-01-09,37.6,37.6,37.6,37.6,10,,
2020-01-10,37.6,37.6,37.6,37.6,0,,
2020-01-13,38.55,38.55,38.55,38.55,10,,
2020-01-14,38.55,38.55,38.55,38.55,0,,
2020-01-15,38.55,38.55,38.55,38.55,0,,
2020-01-16,35.89,35.89,35.89,35.89,30,,
2020-01-17,34.18,34.18,33.39,33.39,60,,
2020-01-20,35.48,35.48,35.48,35.48,10,,
2020-01-21,35.48,35.48,35.48,35.48,0,,
2020-01-22,37.25,37.25,33.15,33.15,20,,
2020-01-30,34.59,34.59,30.97,30.97,570,,
2020-01-31,28.95,33.12,28.95,33.12,500,,
2020-02-03,34.79,34.79,31.0,31.0,270,,
2020-02-04,29.12,33.08,29.12,33.08,270,,
2020-02-05,30.79,32.61,30.79,32.61,470,35.6495,34.9584
2020-02-06,30.35,32.47,30.35,32.47,160,35.3555,34.7214
2020-02-07,30.21,32.06,30.21,32.06,250,35.1575,34.4679
2020-02-10,30.42,30.42,30.42,30.42,30,34.775,34.0824
2020-02-11,30.38,30.38,30.38,30.38,20,34.363,33.7298
2020-02-12,28.33,30.38,28.33,30.38,70,34.0365,33.4108
2020-02-13,30.35,30.35,30.35,30.35,50,33.674,33.1193
2020-02-14,30.35,30.9,30.28,30.9,910,33.339,32.9079
2020-02-17,30.9,30.9,30.9,30.9,20,32.9565,32.7167
2020-02-18,28.85,31.38,28.85,31.38,30,32.598,32.5894
2020-02-19,29.43,29.43,29.43,29.43,10,32.142,32.2885
2020-02-20,30.76,30.76,30.76,30.76,10,31.8855,32.1429
2020-02-21,30.76,30.76,30.76,30.76,0,31.754,32.0112
2020-02-24,30.76,30.76,30.76,30.76,120,31.518,31.892
2020-02-25,30.76,30.76,30.76,30.76,0,31.282,31.7842
2020-02-26,28.61,31.99,28.61,31.99,210,31.224,31.8038
2020-02-27,31.99,31.99,31.99,31.99,0,31.275,31.8216
2020-02-28,33.15,33.15,29.77,32.81,130,31.2595,31.9157
2020-03-02,30.52,33.49,30.52,30.52,680,31.2355,31.7828
2020-03-03,32.61,32.61,32.61,32.61,10,31.212,31.8616
2020-03-04,30.42,30.42,30.42,30.42,30,31.1025,31.7243
2020-03-05,28.4,32.4,28.4,30.28,30,30.993,31.5867
2020-03-06,30.28,30.28,30.28,30.28,20,30.904,31.4623
2020-03-09,30.28,30.28,30.28,30.28,0,30.897,31.3497
2020-03-10,28.16,30.18,28.16,28.3,200,30.793,31.0592
