time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.52,6.63,6.51,6.63,991450,,
2020-01-03,6.67,6.7,6.54,6.58,703890,,
2020-01-06,6.54,6.6,6.51,6.56,1348120,,
2020-01-07,6.56,6.6,6.54,6.58,643090,,
2020-01-08,6.51,6.52,6.33,6.4,2622960,,
2020-01-09,6.47,6.51,6.43,6.47,1149130,,
2020-01-10,6.49,6.61,6.45,6.6,2067400,,
2020-01-13,6.56,6.67,6.56,6.6,1125380,,
2020-01-14,6.6,6.65,6.58,6.63,1066740,,
2020-01-15,6.65,6.65,6.6,6.63,830260,,
2020-01-16,6.63,6.89,6.63,6.89,2384770,,
2020-01-17,6.92,7.03,6.85,6.94,2832740,,
2020-01-20,6.94,6.94,6.85,6.94,1288010,,
2020-01-21,6.89,7.01,6.87,6.94,1541100,,
2020-01-22,6.94,6.99,6.9,6.96,1729500,,
2020-01-30,6.83,6.83,6.52,6.67,2412920,,
2020-01-31,6.52,6.6,6.22,6.38,4457280,,
2020-02-03,6.06,6.16,5.95,6.15,3144570,,
2020-02-04,6.16,6.22,6.06,6.13,1782240,,
2020-02-05,6.16,6.22,6.09,6.11,2164080,6.5895,6.5449
2020-02-06,6.13,6.38,6.09,6.38,2870780,6.577,6.5292
2020-02-07,6.38,6.47,6.31,6.38,2561750,6.567,6.515
2020-02-10,6.2,6.34,6.06,6.33,775620,6.5555,6.4973
2020-02-11,6.33,6.34,6.27,6.29,1521880,6.541,6.4776
2020-02-12,6.31,6.42,6.31,6.42,2789960,6.542,6.4721
2020-02-13,6.34,6.38,6.33,6.34,1264660,6.5355,6.4595
2020-02-14,6.34,6.43,6.31,6.42,1102790,6.5265,6.4558
2020-02-17,6.42,6.47,6.36,6.36,1955060,6.5145,6.4466
2020-02-18,6.38,6.38,6.27,6.33,1478110,6.4995,6.4355
2020-02-19,6.34,6.36,6.29,6.34,1668460,6.485,6.4264
2020-02-20,6.38,6.43,6.31,6.34,1664520,6.4575,6.4182
2020-02-21,6.34,6.36,6.29,6.29,1197860,6.425,6.406
2020-02-24,6.15,6.18,5.86,5.86,3482920,6.371,6.354
2020-02-25,5.71,5.93,5.71,5.91,1693240,6.3195,6.3117
2020-02-26,5.77,6.02,5.73,5.8,1038320,6.2615,6.263
2020-02-27,5.77,5.95,5.75,5.95,1490420,6.2255,6.2332
2020-02-28,5.82,5.84,5.7,5.73,1987700,6.193,6.1852
2020-03-02,5.79,5.8,5.68,5.7,2114140,6.1705,6.139
2020-03-03,5.8,5.86,5.75,5.75,2088500,6.1515,6.102
2020-03-04,5.77,5.93,5.73,5.86,2852970,6.139,6.0789
2020-03-05,5.97,6.11,5.93,6.06,3298460,6.123,6.0771
2020-03-06,6.04,6.04,5.93,6.02,1362870,6.105,6.0717
2020-03-09,5.61,5.7,5.61,5.61,3576610,6.069,6.0277
2020-03-10,5.37,5.64,5.37,5.61,3374030,6.035,5.9879
2020-03-11,5.7,5.71,5.23,5.23,3614130,5.9755,5.9158
2020-03-12,4.97,5.05,4.87,4.88,4606030,5.9025,5.8171
2020-03-13,4.58,4.96,4.58,4.79,4484960,5.821,5.7193
2020-03-16,4.87,4.9,4.76,4.79,2897920,5.7425,5.6308
2020-03-17,4.72,5.12,4.61,5.12,4834780,5.682,5.5821
2020-03-18,5.19,5.19,4.9,4.94,3190370,5.612,5.521
2020-03-19,4.83,5.01,4.79,4.94,2568540,5.542,5.4657
2020-03-20,5.05,5.06,4.9,4.99,2868770,5.477,5.4204
2020-03-23,4.76,4.83,4.65,4.65,3296350,5.4165,5.347
2020-03-24,4.67,4.69,4.4,4.51,3009990,5.3465,5.2673
2020-03-25,4.69,4.81,4.6,4.81,2376040,5.297,5.2237
2020-03-26,4.76,4.78,4.65,4.67,1256940,5.233,5.171
2020-03-27,4.69,4.7,4.45,4.45,2469460,5.169,5.1023
2020-03-30,4.29,4.29,4.15,4.15,2427550,5.0915,5.0116
2020-03-31,4.22,4.31,4.0,4.18,1680730,5.013,4.9324
2020-04-01,4.18,4.47,4.18,4.47,3715270,4.9435,4.8884
2020-04-03,4.65,4.78,4.61,4.78,4544530,4.8795,4.8781
2020-04-06,5.03,5.1,4.97,5.1,5473010,4.8335,4.8992
2020-04-07,5.23,5.24,5.05,5.1,6377610,4.808,4.9183
2020-04-08,5.01,5.23,4.9,5.17,4091610,4.786,4.9423
2020-04-09,5.44,5.52,5.41,5.52,5507100,4.8005,4.9973
2020-04-10,5.56,5.69,5.44,5.56,3233820,4.8345,5.0509
2020-04-13,5.5,5.6,5.44,5.5,3573400,4.87,5.0937
2020-04-14,5.46,5.52,5.33,5.52,3902110,4.9065,5.1343
2020-04-15,5.56,5.62,5.52,5.58,3075990,4.9295,5.1767
2020-04-16,5.52,5.67,5.48,5.58,2603060,4.9615,5.2151
2020-04-17,5.64,5.77,5.62,5.69,3936040,4.999,5.2604
2020-04-20,5.71,5.77,5.62,5.73,3326260,5.036,5.3051
2020-04-21,5.56,5.62,5.33,5.37,4437860,5.072,5.3113
2020-04-22,5.23,5.62,5.23,5.56,3435210,5.1245,5.335
2020-04-23,5.64,5.77,5.56,5.56,2594810,5.162,5.3564
2020-04-24,5.54,5.58,5.46,5.54,1507530,5.2055,5.3739
2020-04-27,5.58,5.58,5.46,5.48,2112890,5.257,5.384
2020-04-28,5.48,5.48,5.35,5.41,2587110,5.32,5.3865
2020-04-29,5.44,5.48,5.39,5.44,1454150,5.383,5.3916
