time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,19.56,19.63,19.28,19.28,207800,,
2020-01-03,19.21,19.42,18.94,18.94,140600,,
2020-01-06,18.94,19.01,18.73,18.73,132600,,
2020-01-07,18.66,18.87,18.11,18.73,94900,,
2020-01-08,18.59,19.97,18.46,19.35,217900,,
2020-01-09,19.21,19.83,19.08,19.63,118800,,
2020-01-10,19.56,19.63,18.87,19.63,141300,,
2020-01-13,19.49,19.63,19.35,19.49,120800,,
2020-01-14,19.35,19.42,17.97,17.97,123800,,
2020-01-15,18.04,18.04,17.97,17.97,80800,,
2020-01-16,17.97,18.66,17.77,18.53,397200,,
2020-01-17,18.59,18.87,18.39,18.73,266800,,
2020-01-20,18.59,18.59,18.18,18.18,91700,,
2020-01-21,17.97,18.39,17.97,18.32,196000,,
2020-01-22,18.32,18.46,18.18,18.39,78100,,
2020-01-30,18.25,19.08,18.11,18.59,78200,,
2020-01-31,18.46,18.73,18.32,18.46,112500,,
2020-02-03,18.32,19.15,18.04,18.73,141600,,
2020-02-04,18.59,19.28,18.32,19.01,166900,,
2020-02-05,18.87,19.97,18.73,19.97,175000,18.8315,18.8836
2020-02-06,19.83,21.35,19.7,21.35,184600,18.935,19.1185
2020-02-07,21.21,22.04,21.07,22.04,201800,19.09,19.3967
2020-02-10,22.04,22.24,21.35,22.24,197900,19.2655,19.6675
2020-02-11,22.04,22.31,21.42,21.9,197100,19.424,19.8801
2020-02-12,21.69,22.11,19.97,22.11,196200,19.562,20.0925
2020-02-13,21.97,22.11,21.69,22.11,198800,19.686,20.2846
2020-02-14,21.83,22.38,21.49,21.97,194100,19.803,20.4452
2020-02-17,21.69,21.97,21.49,21.97,233000,19.927,20.5904
2020-02-18,21.69,22.11,21.56,21.76,116500,20.1165,20.7018
2020-02-19,21.56,22.11,21.28,21.62,189100,20.299,20.7892
2020-02-20,21.07,22.31,20.73,21.76,170900,20.4605,20.8817
2020-02-21,21.21,21.9,19.97,21.76,147600,20.612,20.9653
2020-02-24,21.62,22.04,21.35,21.62,225500,20.784,21.0277
2020-02-25,21.14,21.83,20.66,21.62,172700,20.949,21.0841
2020-02-26,21.42,22.24,20.52,21.56,100700,21.1075,21.1294
2020-02-27,21.35,21.83,21.21,21.69,178900,21.2625,21.1828
2020-02-28,21.56,22.93,21.35,22.45,244000,21.462,21.3035
2020-03-02,21.69,23.42,21.01,22.86,196400,21.6685,21.4517
2020-03-03,22.04,23.35,21.01,22.86,225500,21.861,21.5858
2020-03-04,22.45,22.93,21.56,22.38,246000,21.9815,21.6615
2020-03-05,22.38,23.42,22.24,22.59,190000,22.0435,21.7499
2020-03-06,22.31,23.42,21.83,22.11,207400,22.047,21.7842
2020-03-09,21.69,23.0,20.39,22.45,234100,22.0575,21.8476
2020-03-10,22.18,23.07,21.69,22.86,231800,22.1055,21.944
2020-03-11,22.52,23.21,22.38,22.93,221000,22.1465,22.0379
2020-03-12,22.59,23.35,21.9,21.9,223800,22.136,22.0248
2020-03-13,21.49,22.52,20.11,22.11,259100,22.143,22.0329
2020-03-16,21.97,22.66,21.83,22.24,217000,22.1565,22.0526
2020-03-17,21.97,22.45,21.56,22.45,219400,22.191,22.0905
2020-03-18,22.59,23.28,21.9,22.04,229200,22.212,22.0857
2020-03-19,21.9,22.24,20.18,21.97,229500,22.2225,22.0747
2020-03-20,19.83,22.45,19.83,22.24,194200,22.2465,22.0904
2020-03-23,22.38,22.66,21.56,22.52,200200,22.2915,22.1313
2020-03-24,23.14,23.14,21.56,21.69,230600,22.295,22.0893
2020-03-25,21.69,23.07,20.11,22.86,263000,22.36,22.1627
2020-03-26,22.73,23.28,22.24,22.38,234900,22.3945,22.1834
2020-03-27,22.24,23.07,21.83,22.86,231500,22.415,22.2478
2020-03-30,22.73,22.86,21.35,21.35,225800,22.3395,22.1623
2020-03-31,21.01,22.11,20.18,21.83,249200,22.288,22.1307
2020-04-01,21.83,22.59,21.56,22.38,236200,22.288,22.1544
2020-04-03,22.24,24.59,21.56,24.59,323400,22.388,22.3864
2020-04-06,26.17,27.0,24.45,27.0,352800,22.6325,22.8258
2020-04-07,27.0,28.37,24.31,28.37,348200,22.9285,23.3538
2020-04-08,28.24,28.24,25.55,25.83,304210,23.077,23.5896
2020-04-09,25.48,25.48,23.28,23.28,142732,23.0945,23.5601
2020-04-10,21.01,21.01,21.01,21.01,14420,23.05,23.3173
2020-04-13,18.94,21.49,18.94,19.83,303000,22.936,22.9851
2020-04-14,19.42,21.76,19.15,21.76,313310,22.912,22.8685
2020-04-15,21.9,23.9,21.76,23.9,317600,22.9845,22.9667
2020-04-16,23.69,24.59,22.04,24.17,399150,23.091,23.0813
2020-04-17,24.1,24.45,22.18,23.0,319622,23.1425,23.0736
2020-04-20,22.73,23.42,21.01,23.14,326760,23.1875,23.0799
2020-04-21,23.14,23.28,20.87,22.59,373270,23.191,23.0332
2020-04-22,22.18,23.21,20.66,23.21,359820,23.267,23.0501
2020-04-23,23.35,23.55,20.94,21.76,395600,23.212,22.9272
2020-04-24,21.62,21.76,20.32,20.8,289850,23.133,22.7246
2020-04-27,20.94,22.86,20.94,22.86,373826,23.133,22.7375
2020-04-28,22.73,23.07,21.14,22.66,322320,23.1985,22.7301
2020-04-29,22.66,22.66,21.69,22.66,314400,23.24,22.7234
2020-05-04,22.66,22.86,21.28,22.86,318000,23.264,22.7365
2020-05-05,22.73,23.14,21.35,22.86,312500,23.1775,22.7482
2020-05-06,22.86,23.0,21.07,22.86,379220,22.9705,22.7589
2020-05-07,22.86,22.93,21.42,22.38,343200,22.671,22.7228
2020-05-08,22.31,22.73,21.35,22.73,322950,22.516,22.7235
2020-05-11,22.45,23.07,21.42,22.73,331520,22.4885,22.7241
2020-05-12,22.59,23.0,21.21,22.86,599202,22.581,22.737
2020-05-13,22.73,22.93,21.35,22.93,556600,22.736,22.7554
2020-05-14,22.66,22.86,21.35,22.04,485700,22.75,22.6873
2020-05-15,21.42,21.49,19.97,20.66,561488,22.588,22.4942
2020-05-18,20.52,20.52,19.35,19.49,508010,22.354,22.2081
2020-05-19,19.49,20.18,18.66,19.97,743000,22.2025,21.9949
2020-05-20,19.63,20.52,19.28,20.11,656260,22.051,21.8154
2020-05-21,19.77,20.25,19.35,19.97,674400,21.92,21.6397
2020-05-22,19.97,20.04,18.94,19.15,708010,21.717,21.4026
2020-05-25,19.15,19.56,18.46,19.15,759520,21.5865,21.188
2020-05-26,19.15,19.35,18.46,19.01,787340,21.497,20.9806
2020-05-27,19.01,19.08,18.18,18.18,610330,21.263,20.7139
2020-05-28,18.25,18.25,16.67,16.67,306500,20.9635,20.3287
2020-05-29,16.67,16.87,15.15,16.18,291690,20.6395,19.9336
2020-06-01,16.18,16.87,14.74,15.7,597340,20.2815,19.5304
2020-06-02,15.15,17.22,14.19,17.22,1319600,19.9995,19.3104
2020-06-03,17.22,18.25,16.87,17.84,555940,19.7485,19.1703
2020-06-04,17.77,17.84,16.18,17.36,827806,19.4975,18.9979
2020-06-05,17.08,17.63,15.63,16.53,1033170,19.1875,18.7629
2020-06-08,16.53,16.87,15.98,16.74,506260,18.888,18.5702
2020-06-09,16.74,16.87,16.25,16.67,505048,18.5785,18.3893
2020-06-10,16.6,16.6,15.84,16.12,412738,18.238,18.1731
2020-06-11,16.05,16.25,15.08,15.08,478473,17.89,17.8786
2020-06-12,15.08,15.08,14.19,14.32,373355,17.573,17.5396
2020-06-15,14.26,15.29,13.64,14.81,1455085,17.339,17.2797
2020-06-16,14.88,15.63,13.98,15.63,906969,17.122,17.1226
2020-06-17,15.63,15.7,14.81,15.63,1054799,16.898,16.9804
2020-06-18,15.15,15.36,14.46,14.94,786613,16.6465,16.7861
2020-06-19,15.15,15.29,14.39,15.29,1391546,16.4535,16.6436
2020-06-22,15.15,15.22,14.53,15.22,745932,16.257,16.508
2020-06-23,15.08,15.15,14.46,15.01,998930,16.057,16.3654
2020-06-24,14.81,14.88,14.12,14.67,1108662,15.8815,16.2039
2020-06-25,14.46,14.6,13.77,14.26,792090,15.761,16.0188
2020-06-26,14.26,14.39,13.7,13.91,539830,15.6475,15.8179
2020-06-29,13.98,14.32,13.09,13.91,777340,15.558,15.6362
2020-06-30,13.7,14.12,12.88,13.77,629075,15.3855,15.4585
2020-07-01,13.64,13.7,13.29,13.43,387463,15.165,15.2653
2020-07-02,13.43,13.7,13.29,13.5,408780,14.972,15.0972
2020-07-03,13.5,14.6,13.43,14.12,809519,14.8515,15.0041
2020-07-06,14.32,14.88,14.32,14.81,687220,14.755,14.9856
2020-07-07,14.94,15.15,14.46,14.6,513304,14.6515,14.9489
2020-07-08,14.46,14.46,14.05,14.32,572363,14.5615,14.889
2020-07-09,14.26,14.39,13.98,14.26,651942,14.5205,14.8291
2020-07-10,14.19,14.26,13.77,13.91,805965,14.5,14.7416
2020-07-13,13.91,14.26,13.84,13.98,552565,14.4585,14.669
2020-07-14,13.91,14.12,13.77,14.12,598391,14.383,14.6167
2020-07-15,14.19,14.6,14.12,14.46,696908,14.3245,14.6018
2020-07-16,14.32,14.81,13.77,14.6,734135,14.3075,14.6016
2020-07-17,14.67,14.88,14.26,14.67,708459,14.2765,14.6082
2020-07-20,14.46,14.81,14.12,14.6,700769,14.2455,14.6074
2020-07-21,14.6,14.74,14.12,14.39,551383,14.2145,14.5867
2020-07-22,14.26,14.39,13.98,14.19,493536,14.1905,14.5489
2020-07-23,14.19,14.32,13.7,13.77,582163,14.166,14.4747
2020-07-24,13.77,13.77,12.53,12.67,847804,14.104,14.3028
2020-07-27,12.4,12.4,11.43,11.57,705070,13.987,14.0426
2020-07-28,11.43,12.67,11.02,12.67,449600,13.932,13.9118
2020-07-29,12.6,12.67,11.5,12.33,500244,13.877,13.7612
2020-07-30,12.33,12.47,11.98,12.12,353812,13.808,13.6049
2020-07-31,12.05,12.12,11.71,11.91,332179,13.6975,13.4435
2020-08-03,11.98,12.19,11.02,12.12,410450,13.563,13.3174
2020-08-04,11.91,12.33,11.57,12.19,406150,13.4425,13.2101
2020-08-05,11.98,12.33,11.98,12.26,390850,13.3395,13.1196
2020-08-06,12.26,12.26,11.98,12.05,414236,13.229,13.0177
2020-08-07,12.05,12.19,11.91,12.19,482377,13.143,12.9389
2020-08-10,11.91,13.29,11.36,12.88,523310,13.088,12.9333
2020-08-11,12.88,13.09,12.67,12.81,382600,13.0225,12.9215
2020-08-12,12.81,13.36,12.67,13.15,590479,12.957,12.9433
2020-08-13,12.95,13.29,12.88,12.95,347044,12.8745,12.9439
2020-08-14,12.95,13.02,12.67,12.67,425180,12.7745,12.9178
2020-08-17,12.74,13.02,12.33,13.02,470775,12.6955,12.9276
2020-08-18,13.02,13.22,12.74,13.09,331288,12.6305,12.943
2020-08-19,13.09,13.09,12.88,12.88,333580,12.565,12.937
2020-08-20,12.74,12.95,12.74,12.95,386794,12.524,12.9383
2020-08-21,12.95,13.02,12.81,12.95,400491,12.538,12.9394
2020-08-24,12.95,14.19,12.6,14.19,1312454,12.669,13.0585
2020-08-25,15.08,15.5,14.46,14.88,1183282,12.7795,13.232
2020-08-26,15.08,15.29,14.67,15.15,1160094,12.9205,13.4146
2020-08-27,15.15,15.5,14.88,15.08,1043800,13.0685,13.5732
2020-08-28,15.08,15.43,14.94,15.15,1222924,13.2305,13.7234
2020-08-31,15.04,16.61,15.04,16.61,1118056,13.455,13.9983
2020-09-01,17.03,17.44,16.61,17.44,1302872,13.7175,14.3261
2020-09-03,17.36,17.85,16.86,17.11,930212,13.96,14.5912
2020-09-04,17.03,17.03,16.28,16.69,1081521,14.192,14.7911
2020-09-07,16.69,18.35,16.53,17.93,1873760,14.479,15.0901
2020-09-08,17.93,18.51,17.77,18.18,727181,14.744,15.3843
2020-09-09,18.18,18.35,17.6,18.26,828599,15.0165,15.6582
2020-09-10,18.26,18.6,18.02,18.1,930724,15.264,15.8908
2020-09-11,18.1,18.18,17.85,18.1,885125,15.5215,16.1012
2020-09-14,18.1,18.51,18.1,18.26,546114,15.801,16.3068
2020-09-15,18.35,18.51,18.26,18.26,636875,16.063,16.4928
2020-09-16,18.43,18.51,18.1,18.1,401115,16.3135,16.6459
2020-09-17,18.1,18.18,17.85,18.02,548379,16.5705,16.7767
2020-09-18,17.93,18.02,17.52,17.6,744188,16.803,16.8551
2020-09-21,17.52,17.69,17.03,17.36,812773,17.0235,16.9032
2020-09-22,17.36,18.02,17.11,17.85,481128,17.2065,16.9934
2020-09-23,17.85,18.35,17.85,17.93,737120,17.359,17.0826
2020-09-24,17.93,18.02,17.77,17.77,322783,17.49,17.1481
2020-09-25,17.85,17.93,17.69,17.85,310880,17.6285,17.2149
2020-09-28,17.93,18.1,17.69,17.77,368931,17.7595,17.2678
2020-09-29,17.77,18.02,17.27,17.36,569085,17.797,17.2766
2020-09-30,17.36,17.6,17.03,17.52,393321,17.801,17.2997
2020-10-01,17.6,17.93,17.44,17.93,629292,17.842,17.3598
2020-10-02,17.93,19.01,17.77,18.76,2091981,17.9455,17.4931
2020-10-05,18.76,19.42,18.76,18.93,537800,17.9955,17.63
2020-10-06,18.93,19.17,18.43,18.68,515600,18.0205,17.73
2020-10-07,18.6,18.68,18.26,18.35,631600,18.025,17.789
2020-10-08,18.35,18.51,18.02,18.26,747200,18.033,17.8339
2020-10-09,18.35,18.51,18.18,18.18,316100,18.037,17.8668
2020-10-12,18.35,18.76,17.77,17.93,702700,18.0205,17.8729
2020-10-13,18.18,18.35,17.52,17.52,471800,17.9835,17.8393
2020-10-14,17.6,17.77,17.44,17.69,323500,17.963,17.825
2020-10-15,17.69,17.69,17.52,17.52,209200,17.938,17.796
