time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.2,4.2,4.2,4.2,100,,
2020-01-03,4.02,4.11,4.02,4.11,9264,,
2020-01-06,4.11,4.11,4.11,4.11,0,,
2020-01-07,4.02,4.11,4.02,4.11,12597,,
2020-01-08,4.11,4.11,4.11,4.11,2000,,
2020-01-09,4.11,4.11,4.11,4.11,100,,
2020-01-10,4.11,4.29,4.11,4.29,1400,,
2020-01-13,4.29,4.29,4.2,4.2,2900,,
2020-01-14,4.2,4.2,4.2,4.2,15000,,
2020-01-15,4.2,4.2,4.2,4.2,5118,,
2020-01-16,4.2,4.2,4.2,4.2,2000,,
2020-01-17,4.2,4.2,4.2,4.2,5000,,
2020-01-20,4.29,4.29,4.2,4.29,5400,,
2020-01-21,4.11,4.11,4.11,4.11,16500,,
2020-01-22,4.2,4.2,4.02,4.2,38700,,
2020-01-30,4.29,4.29,4.2,4.2,2500,,
2020-01-31,4.02,4.02,4.02,4.02,20493,,
2020-02-03,4.02,4.02,4.02,4.02,0,,
2020-02-04,4.11,4.11,4.11,4.11,100,,
2020-02-05,4.11,4.11,4.11,4.11,0,4.155,4.1501
2020-02-06,3.93,4.11,3.93,4.11,1400,4.1505,4.1463
2020-02-07,4.02,4.02,4.02,4.02,900,4.146,4.1343
2020-02-10,4.02,4.02,4.02,4.02,0,4.1415,4.1234
2020-02-11,4.02,4.02,4.02,4.02,0,4.137,4.1135
2020-02-12,4.02,4.11,4.02,4.11,15800,4.137,4.1132
2020-02-13,4.11,4.11,4.11,4.11,0,4.137,4.1129
2020-02-14,4.11,4.11,4.11,4.11,0,4.128,4.1126
2020-02-17,4.11,4.11,4.11,4.11,0,4.1235,4.1124
2020-02-18,3.93,4.11,3.93,4.11,3215,4.119,4.1121
2020-02-19,4.11,4.11,4.11,4.11,2800,4.1145,4.1119
2020-02-20,4.11,4.11,4.11,4.11,4000,4.11,4.1118
2020-02-21,4.11,4.11,4.11,4.11,4100,4.1055,4.1116
2020-02-24,4.02,4.02,4.02,4.02,1000,4.092,4.1029
2020-02-25,4.02,4.02,4.02,4.02,3050,4.0875,4.095
2020-02-26,4.02,4.02,4.02,4.02,0,4.0785,4.0878
2020-02-27,4.02,4.02,4.02,4.02,14900,4.0695,4.0814
2020-02-28,3.93,4.11,3.93,4.11,1600,4.074,4.0841
2020-03-02,4.11,4.11,4.11,4.11,0,4.0785,4.0866
2020-03-03,4.11,4.11,4.11,4.11,0,4.0785,4.0888
2020-03-04,4.02,4.02,4.02,4.02,1500,4.074,4.0822
2020-03-05,4.02,4.02,4.02,4.02,3,4.0695,4.0763
2020-03-06,4.02,4.02,4.02,4.02,0,4.0695,4.071
2020-03-09,3.93,3.93,3.93,3.93,4500,4.065,4.0575
2020-03-10,3.85,3.93,3.76,3.85,24100,4.0565,4.0378
2020-03-11,3.76,3.85,3.76,3.85,20632,4.0435,4.0199
2020-03-12,3.76,3.76,3.58,3.58,13252,4.017,3.978
2020-03-13,3.58,3.76,3.49,3.58,11000,3.9905,3.9401
2020-03-16,3.58,3.58,3.58,3.58,0,3.964,3.9058
2020-03-17,3.93,3.93,3.76,3.76,4100,3.9465,3.8919
2020-03-18,3.58,3.58,3.58,3.58,14627,3.92,3.8622
2020-03-19,3.58,3.58,3.58,3.58,8100,3.8935,3.8353
2020-03-20,3.58,3.58,3.58,3.58,0,3.867,3.811
2020-03-23,3.49,3.93,3.22,3.93,7700,3.8625,3.8223
2020-03-24,3.93,3.93,3.93,3.93,0,3.858,3.8326
2020-03-25,3.67,3.67,3.58,3.67,10300,3.8405,3.8171
2020-03-26,3.67,3.67,3.67,3.67,0,3.823,3.8031
2020-03-27,3.49,3.49,3.49,3.49,1500,3.792,3.7733
2020-03-30,3.49,3.49,3.49,3.49,3500,3.761,3.7463
2020-03-31,3.4,3.67,3.31,3.67,9100,3.739,3.739
2020-04-01,3.67,3.67,3.67,3.67,0,3.7215,3.7325
2020-04-03,3.67,3.67,3.67,3.67,0,3.704,3.7265
2020-04-06,3.58,3.58,3.49,3.49,3900,3.6775,3.704
2020-04-07,3.49,3.49,3.49,3.49,12700,3.6555,3.6836
2020-04-08,3.49,3.49,3.4,3.49,17600,3.6375,3.6652
2020-04-09,3.49,3.49,3.49,3.49,10720,3.6195,3.6485
2020-04-10,3.49,3.49,3.49,3.49,0,3.615,3.6334
2020-04-13,3.49,3.49,3.49,3.49,7765,3.6105,3.6197
2020-04-14,3.49,3.49,3.4,3.4,9100,3.6015,3.5988
2020-04-15,3.49,3.49,3.31,3.31,36100,3.579,3.5713
2020-04-16,3.4,3.4,3.31,3.31,400,3.5655,3.5464
2020-04-17,3.4,3.4,3.4,3.4,7000,3.5565,3.5325
2020-04-20,3.31,3.31,3.31,3.31,100,3.543,3.5113
2020-04-21,3.4,3.49,3.4,3.49,12702,3.521,3.5093
2020-04-22,3.76,3.76,3.4,3.58,7300,3.5035,3.516
2020-04-23,3.58,3.58,3.49,3.49,300,3.4945,3.5135
2020-04-24,3.4,3.58,3.4,3.58,12100,3.49,3.5199
2020-04-27,3.4,3.67,3.4,3.4,3800,3.4855,3.5084
2020-04-28,3.4,3.4,3.4,3.4,22000,3.481,3.4981
2020-04-29,3.58,3.58,3.4,3.4,2100,3.4675,3.4888
2020-05-04,3.4,3.4,3.4,3.4,8347,3.454,3.4803
2020-05-05,3.4,3.58,3.4,3.49,42800,3.445,3.4812
2020-05-06,3.49,3.49,3.49,3.49,5000,3.445,3.4821
2020-05-07,3.58,3.58,3.49,3.49,12900,3.445,3.4828
2020-05-08,3.58,3.58,3.49,3.49,200,3.445,3.4835
2020-05-11,3.49,3.67,3.49,3.49,1200,3.445,3.4841
2020-05-12,3.58,3.58,3.58,3.58,29000,3.4495,3.4933
2020-05-13,3.76,3.93,3.76,3.85,62500,3.4675,3.5272
2020-05-14,3.85,3.85,3.76,3.76,7300,3.4855,3.5494
2020-05-15,3.67,3.93,3.67,3.76,31800,3.508,3.5695
2020-05-18,3.76,3.76,3.76,3.76,200,3.5305,3.5876
2020-05-19,3.76,3.85,3.76,3.85,5100,3.553,3.6126
2020-05-20,3.76,3.85,3.76,3.76,10500,3.5755,3.6266
2020-05-21,3.76,3.76,3.76,3.76,33200,3.589,3.6393
2020-05-22,3.67,3.76,3.67,3.76,18716,3.598,3.6508
2020-05-25,3.76,3.76,3.67,3.67,2100,3.607,3.6527
2020-05-26,3.76,3.85,3.76,3.85,64600,3.6205,3.6714
2020-05-27,3.76,3.76,3.67,3.67,2100,3.634,3.6713
2020-05-28,3.76,3.76,3.76,3.76,14800,3.652,3.6798
2020-05-29,3.76,3.76,3.76,3.76,13400,3.67,3.6874
2020-06-01,3.67,3.67,3.67,3.67,100,3.6835,3.6857
2020-06-02,3.76,3.76,3.76,3.76,5700,3.697,3.6928
2020-06-03,3.67,3.76,3.67,3.76,13400,3.7105,3.6992
2020-06-04,3.76,3.76,3.76,3.76,6500,3.724,3.705
2020-06-05,3.67,3.67,3.67,3.67,100,3.733,3.7017
2020-06-08,3.76,3.76,3.76,3.76,7618,3.7465,3.7072
2020-06-09,3.76,3.76,3.76,3.76,28400,3.7555,3.7123
2020-06-10,3.76,3.76,3.76,3.76,18200,3.751,3.7168
2020-06-11,3.76,3.76,3.76,3.76,39950,3.751,3.7209
2020-06-12,3.76,3.76,3.76,3.76,1810,3.751,3.7246
2020-06-15,3.67,3.67,3.58,3.67,23500,3.7465,3.7194
2020-06-16,3.67,3.76,3.58,3.58,27117,3.733,3.7062
2020-06-17,3.58,3.67,3.58,3.67,3800,3.7285,3.7027
2020-06-18,3.67,3.67,3.67,3.67,2600,3.724,3.6996
2020-06-19,3.67,3.67,3.58,3.58,16700,3.715,3.6882
2020-06-22,3.76,3.76,3.58,3.58,3000,3.7105,3.6779
2020-06-23,3.58,3.58,3.58,3.58,0,3.697,3.6686
2020-06-24,3.85,3.85,3.85,3.85,1000,3.706,3.6859
2020-06-25,3.85,3.85,3.85,3.85,0,3.7105,3.7015
2020-06-26,3.85,3.85,3.85,3.85,0,3.715,3.7156
2020-06-29,3.85,3.85,3.85,3.85,0,3.724,3.7284
2020-06-30,3.76,3.76,3.76,3.76,2000,3.724,3.7314
2020-07-01,3.58,3.76,3.58,3.76,9400,3.724,3.7342
2020-07-02,3.76,3.76,3.76,3.76,16800,3.724,3.7366
2020-07-03,3.58,3.76,3.58,3.76,200,3.7285,3.7388
2020-07-06,3.76,3.76,3.76,3.76,0,3.7285,3.7409
2020-07-07,3.76,3.76,3.76,3.76,10000,3.7285,3.7427
2020-07-08,3.76,3.76,3.76,3.76,3600,3.7285,3.7443
2020-07-09,3.76,3.76,3.76,3.76,9100,3.7285,3.7458
2020-07-10,3.76,3.76,3.76,3.76,10000,3.7285,3.7472
2020-07-13,3.76,3.76,3.76,3.76,0,3.733,3.7484
2020-07-14,3.58,3.58,3.58,3.58,175,3.733,3.7324
2020-07-15,3.67,3.67,3.67,3.67,100,3.733,3.7264
2020-07-16,3.67,3.67,3.67,3.67,0,3.733,3.721
2020-07-17,3.67,3.67,3.67,3.67,100,3.7375,3.7162
2020-07-20,3.67,3.67,3.67,3.67,0,3.742,3.7118
2020-07-21,3.67,3.85,3.67,3.67,3200,3.7465,3.7078
2020-07-22,3.67,3.85,3.58,3.85,14480,3.7465,3.7213
2020-07-23,3.85,4.02,3.85,4.02,35327,3.755,3.7498
2020-07-24,4.02,4.02,4.02,4.02,0,3.7635,3.7755
2020-07-27,3.85,3.85,3.76,3.76,9000,3.759,3.774
2020-07-28,3.76,3.85,3.76,3.76,5800,3.759,3.7727
2020-07-29,3.76,3.85,3.76,3.85,8500,3.7635,3.7801
2020-07-30,3.85,3.85,3.85,3.85,10,3.768,3.7867
2020-07-31,4.02,4.02,3.85,3.85,3810,3.7725,3.7928
2020-08-03,3.93,3.93,3.93,3.93,1500,3.781,3.8058
2020-08-04,4.02,4.02,3.93,3.93,8200,3.7895,3.8177
2020-08-05,3.93,4.02,3.93,4.02,30200,3.8025,3.8369
2020-08-06,4.11,4.11,4.02,4.02,4200,3.8155,3.8544
2020-08-07,3.93,3.93,3.85,3.93,3532,3.824,3.8616
2020-08-10,3.93,3.93,3.93,3.93,0,3.8325,3.8681
2020-08-11,3.93,4.02,3.93,3.93,11000,3.85,3.874
2020-08-12,4.02,4.02,4.02,4.02,1000,3.8675,3.8879
2020-08-13,4.02,4.02,4.02,4.02,0,3.885,3.9005
