time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,9.34,9.39,9.22,9.34,150540,,
2020-01-03,9.39,9.63,9.34,9.48,393500,,
2020-01-06,9.41,9.63,9.41,9.53,252190,,
2020-01-07,9.56,10.19,9.56,10.19,936940,,
2020-01-08,10.02,10.19,9.92,10.04,393900,,
2020-01-09,10.12,10.41,10.12,10.19,512240,,
2020-01-10,10.07,10.55,10.07,10.31,580680,,
2020-01-13,10.36,10.53,10.26,10.41,283810,,
2020-01-14,10.43,10.43,10.24,10.36,128950,,
2020-01-15,10.31,10.36,10.12,10.16,283050,,
2020-01-16,10.12,10.53,10.04,10.29,817310,,
2020-01-17,10.31,10.38,10.12,10.16,260590,,
2020-01-20,10.14,10.26,10.02,10.02,210350,,
2020-01-21,10.02,10.16,9.87,10.07,563770,,
2020-01-22,10.48,10.75,10.36,10.75,1011480,,
2020-01-30,10.7,11.23,10.46,10.8,862500,,
2020-01-31,10.75,10.89,10.04,10.04,652680,,
2020-02-03,9.39,10.04,9.36,9.73,817540,,
2020-02-04,9.73,9.73,9.05,9.07,912900,,
2020-02-05,9.22,9.34,9.09,9.14,491210,10.004,9.8676
2020-02-06,9.29,9.63,9.24,9.6,705970,10.017,9.8421
2020-02-07,9.63,9.68,9.46,9.53,557060,10.0195,9.8124
2020-02-10,9.36,9.53,9.19,9.36,228950,10.011,9.7693
2020-02-11,9.48,9.58,9.36,9.56,497170,9.9795,9.7494
2020-02-12,9.73,10.21,9.73,10.21,1308060,9.988,9.7932
2020-02-13,10.55,10.65,10.19,10.36,1072140,9.9965,9.8472
2020-02-14,10.26,10.31,10.09,10.14,449890,9.988,9.8751
2020-02-17,10.04,10.07,9.77,9.82,853290,9.9585,9.8699
2020-02-18,9.82,10.16,9.68,9.99,603320,9.94,9.8813
2020-02-19,9.92,9.97,9.77,9.82,234090,9.923,9.8755
2020-02-20,10.07,10.07,9.85,9.99,431100,9.908,9.8864
2020-02-21,9.9,10.09,9.85,9.87,484700,9.8935,9.8848
2020-02-24,9.63,9.63,9.19,9.19,1168410,9.852,9.8186
2020-02-25,8.95,9.41,8.95,9.41,554870,9.819,9.7797
2020-02-26,9.11,9.46,9.11,9.11,324950,9.737,9.7159
2020-02-27,9.43,9.43,9.09,9.31,231470,9.6625,9.6773
2020-02-28,8.84,9.19,8.74,8.89,575010,9.605,9.6023
2020-03-02,8.89,8.94,8.69,8.79,200560,9.558,9.5249
2020-03-03,9.09,9.14,8.84,8.84,331690,9.5465,9.4597
2020-03-04,8.74,9.09,8.69,9.04,326740,9.5415,9.4197
2020-03-05,9.14,9.19,9.01,9.04,303950,9.5135,9.3836
2020-03-06,8.94,8.99,8.89,8.99,176840,9.4865,9.3461
2020-03-09,8.39,8.59,8.36,8.36,762630,9.4365,9.2522
2020-03-10,8.04,8.49,7.94,8.26,554030,9.3715,9.1577
2020-03-11,8.39,8.44,7.69,7.74,692040,9.248,9.0227
2020-03-12,7.29,7.29,7.21,7.21,976830,9.0905,8.85
2020-03-13,6.74,7.19,6.71,6.91,620040,8.929,8.6653
2020-03-16,6.76,7.14,6.69,6.74,684010,8.775,8.4819
2020-03-17,6.49,7.04,6.49,6.99,599000,8.625,8.3398
2020-03-18,6.99,7.09,6.89,6.89,614830,8.4785,8.2017
2020-03-19,6.76,6.84,6.69,6.74,433150,8.316,8.0625
2020-03-20,6.79,6.79,6.29,6.31,1878250,8.138,7.8956
2020-03-23,5.94,5.99,5.89,5.89,1350590,7.973,7.7046
2020-03-24,5.72,6.17,5.62,6.07,523090,7.806,7.5489
2020-03-25,6.29,6.49,6.17,6.44,609310,7.6725,7.4433
2020-03-26,6.44,6.49,6.21,6.24,567340,7.519,7.3287
2020-03-27,6.34,6.34,6.09,6.14,252780,7.3815,7.2155
2020-03-30,5.74,5.89,5.72,5.77,457120,7.2305,7.0778
2020-03-31,5.77,5.99,5.54,5.69,256760,7.073,6.9457
2020-04-01,5.87,5.94,5.69,5.89,336430,6.9155,6.8451
2020-04-03,6.04,6.29,5.99,6.29,327070,6.778,6.7923
2020-04-06,6.64,6.71,6.59,6.71,492640,6.664,6.7844
2020-04-07,7.14,7.14,6.74,6.89,880940,6.5905,6.7945
2020-04-08,6.89,7.21,6.61,7.19,677780,6.537,6.8321
2020-04-09,7.49,7.69,7.29,7.64,883780,6.532,6.9091
2020-04-10,7.49,7.74,7.29,7.49,522910,6.546,6.9644
2020-04-13,7.49,7.49,7.24,7.26,512300,6.5635,6.9926
2020-04-14,7.59,7.76,7.54,7.76,1205630,6.6145,7.0657
2020-04-15,7.99,8.29,7.74,7.91,1162510,6.6605,7.1461
2020-04-16,7.81,7.96,7.61,7.64,498680,6.698,7.1931
2020-04-17,7.64,7.84,7.59,7.61,1125080,6.7415,7.2328
2020-04-20,7.74,7.76,7.39,7.49,998960,6.8005,7.2573
2020-04-21,7.31,7.44,6.96,6.99,731380,6.8555,7.2318
2020-04-22,6.79,7.39,6.79,7.34,460860,6.919,7.2421
