time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,6.0,6.0,6.0,6.0,10,,
2020-01-03,6.0,6.0,6.0,6.0,10,,
2020-01-06,6.0,6.0,6.0,6.0,10,,
2020-01-07,6.39,6.39,5.59,5.59,60,,
2020-01-08,5.88,5.88,5.88,5.88,50,,
2020-01-09,5.88,5.88,5.88,5.88,0,,
2020-01-10,6.26,6.26,6.26,6.26,10,,
2020-01-13,6.26,6.26,6.26,6.26,0,,
2020-01-14,6.26,6.26,6.26,6.26,0,,
2020-01-15,6.26,6.26,6.26,6.26,0,,
2020-01-16,6.7,6.7,6.29,6.7,20,,
2020-01-17,6.7,6.7,6.7,6.7,0,,
2020-01-20,6.7,6.7,6.7,6.7,0,,
2020-01-21,6.7,6.7,6.7,6.7,0,,
2020-01-22,6.7,6.7,6.7,6.7,0,,
2020-01-30,6.7,6.7,6.7,6.7,0,,
2020-01-31,7.16,7.16,6.24,6.24,310,,
2020-02-03,6.24,6.24,6.24,6.24,0,,
2020-02-04,6.24,6.24,6.24,6.24,0,,
2020-02-05,6.24,6.24,6.24,6.24,0,6.2775,6.3092
2020-02-06,6.24,6.24,6.24,6.24,0,6.2895,6.3026
2020-02-07,6.65,6.65,5.82,5.82,30,6.2805,6.2567
2020-02-10,5.82,5.82,5.82,5.82,0,6.2715,6.2151
2020-02-11,6.21,6.21,5.44,5.44,30,6.264,6.1413
2020-02-12,5.44,5.8,5.44,5.8,280,6.26,6.1088
2020-02-13,6.18,6.18,5.41,6.18,340,6.275,6.1156
2020-02-14,6.18,6.18,6.18,6.18,0,6.271,6.1217
2020-02-17,5.77,5.77,5.77,5.77,10,6.2465,6.0882
2020-02-18,6.16,6.16,5.39,6.11,360,6.239,6.0903
2020-02-19,6.42,6.42,5.7,5.7,150,6.211,6.0531
2020-02-20,5.7,6.08,5.31,5.31,30,6.1415,5.9823
2020-02-21,5.67,5.67,4.94,4.94,270,6.0535,5.8831
2020-02-24,4.6,5.26,4.6,5.26,340,5.9815,5.8237
2020-02-25,5.62,5.62,5.62,5.62,20,5.9275,5.8043
