time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,20.63,20.63,20.63,20.58,4,,
2020-01-03,20.58,20.58,20.58,20.58,5000,,
2020-01-06,20.58,20.58,20.58,20.58,0,,
2020-01-07,20.29,20.58,20.29,20.58,3221,,
2020-01-08,20.58,21.16,20.58,21.16,1292,,
2020-01-09,21.16,21.16,21.16,21.16,2900,,
2020-01-10,21.16,21.16,21.16,21.16,0,,
2020-01-13,21.16,21.16,21.16,21.16,0,,
2020-01-14,21.16,21.16,21.16,21.16,0,,
2020-01-15,21.16,21.16,21.16,21.16,0,,
2020-01-16,24.29,24.29,20.58,20.58,463,,
2020-01-17,21.16,21.16,21.16,21.16,1500,,
2020-01-20,21.16,21.16,21.16,21.16,1400,,
2020-01-21,21.16,21.16,21.16,21.16,100,,
2020-01-22,21.16,21.16,21.16,21.16,0,,
2020-01-30,21.16,21.16,21.16,21.16,0,,
2020-01-31,21.16,21.16,21.16,21.16,0,,
2020-02-03,21.16,21.16,21.16,21.16,0,,
2020-02-04,21.16,21.16,21.16,21.16,0,,
2020-02-05,21.16,21.16,21.16,21.16,0,21.015,21.0206
2020-02-06,21.16,21.16,21.16,21.16,0,21.044,21.0339
2020-02-07,21.16,21.16,21.16,21.16,0,21.073,21.0459
2020-02-10,21.16,21.16,21.16,21.16,0,21.102,21.0568
2020-02-11,21.16,21.16,21.16,21.16,0,21.131,21.0666
2020-02-12,22.32,22.32,22.32,22.32,1000,21.189,21.186
2020-02-13,22.32,22.32,22.32,22.32,1000,21.247,21.294
2020-02-14,22.32,22.32,22.32,22.32,0,21.305,21.3917
2020-02-17,19.13,20.29,19.13,20.29,1010,21.2615,21.2868
2020-02-18,20.0,21.16,20.0,21.16,524,21.2615,21.2747
2020-02-19,20.69,21.16,21.16,21.16,0,21.2615,21.2638
2020-02-20,20.69,20.69,20.69,21.16,80,21.2905,21.2539
2020-02-21,20.69,21.16,21.16,21.16,0,21.2905,21.2449
