time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,3.69,3.69,3.69,3.69,400,,
2020-01-03,4.01,4.01,4.01,4.01,1000,,
2020-01-06,4.33,4.33,4.25,4.25,1600,,
2020-01-07,3.85,3.85,3.85,3.85,2000,,
2020-01-08,3.85,3.85,3.85,3.85,0,,
2020-01-09,4.09,4.17,4.09,4.17,6500,,
2020-01-10,4.17,4.17,3.77,3.77,4300,,
2020-01-13,4.01,4.09,4.01,4.09,3000,,
2020-01-14,4.25,4.33,4.25,4.25,5100,,
2020-01-15,4.41,4.41,4.41,4.41,1500,,
2020-01-16,4.41,4.73,4.41,4.73,2200,,
2020-01-17,5.05,5.13,5.05,5.05,5400,,
2020-01-20,5.05,5.05,5.05,5.05,0,,
2020-01-21,5.37,5.45,4.81,5.21,2802,,
2020-01-22,4.73,4.73,4.73,4.73,200,,
2020-01-30,4.73,4.73,4.73,4.73,0,,
2020-01-31,4.73,4.73,4.73,4.73,300,,
2020-02-03,4.73,4.73,4.73,4.73,0,,
2020-02-04,5.05,5.05,5.05,5.05,200,,
2020-02-05,5.05,5.05,5.05,5.05,50,4.47,4.5486
2020-02-06,5.05,5.05,5.05,5.05,0,4.538,4.5964
2020-02-07,5.05,5.05,5.05,5.05,0,4.59,4.6396
2020-02-10,5.05,5.05,5.05,5.05,0,4.63,4.6787
2020-02-11,5.05,5.05,5.05,5.05,0,4.69,4.714
2020-02-12,5.05,5.05,5.05,5.05,0,4.75,4.746
2020-02-13,5.05,5.05,5.05,5.05,40,4.794,4.775
2020-02-14,5.05,5.05,5.05,5.05,0,4.858,4.8012
2020-02-17,5.05,5.05,5.05,5.05,2000,4.906,4.8249
2020-02-18,5.05,5.05,5.05,5.05,0,4.946,4.8463
2020-02-19,5.05,5.05,5.05,5.05,0,4.978,4.8657
2020-02-20,5.05,5.21,5.05,5.21,700,5.002,4.8985
2020-02-21,5.21,5.21,5.21,5.21,0,5.01,4.9282
2020-02-24,5.21,5.21,5.21,5.21,0,5.018,4.955
2020-02-25,5.21,5.21,5.21,5.21,0,5.018,4.9793
2020-02-26,5.21,5.21,5.21,5.21,500,5.042,5.0013
2020-02-27,5.21,5.21,5.21,5.21,0,5.066,5.0211
2020-02-28,5.21,5.21,5.21,5.21,0,5.09,5.0391
2020-03-02,4.81,4.81,4.81,4.81,2000,5.094,5.0173
2020-03-03,4.81,4.81,4.81,4.81,0,5.082,4.9976
2020-03-04,4.33,4.33,4.33,4.33,800,5.046,4.934
2020-03-05,4.33,4.33,4.33,4.33,0,5.01,4.8765
2020-03-06,4.33,4.33,4.33,4.33,0,4.974,4.8244
2020-03-09,4.33,4.33,4.33,4.33,0,4.938,4.7773
2020-03-10,3.93,4.73,3.93,4.73,500,4.922,4.7728
2020-03-11,4.81,4.81,4.73,4.73,2000,4.906,4.7687
2020-03-12,4.73,4.73,4.73,4.73,0,4.89,4.7651
2020-03-13,4.33,5.05,4.33,5.05,300,4.89,4.7922
2020-03-16,5.05,5.05,5.05,5.05,0,4.89,4.8167
2020-03-17,5.05,5.13,5.05,5.13,1000,4.894,4.8466
2020-03-18,5.13,5.13,5.13,5.13,0,4.898,4.8736
2020-03-19,4.73,5.13,4.65,4.65,1800,4.87,4.8523
2020-03-20,4.25,4.25,4.25,4.25,9700,4.822,4.7949
2020-03-23,3.85,4.57,3.85,4.57,17000,4.79,4.7735
2020-03-24,4.57,4.57,4.57,4.57,0,4.758,4.7541
2020-03-25,4.57,4.57,4.57,4.57,0,4.726,4.7366
2020-03-26,4.57,4.57,4.57,4.57,0,4.694,4.7207
2020-03-27,4.57,4.57,4.57,4.57,0,4.662,4.7064
2020-03-30,4.57,4.57,4.57,4.57,0,4.65,4.6934
