time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,4.63,4.63,4.63,4.63,0,,
2020-01-03,4.15,4.15,4.15,4.15,5000,,
2020-01-06,4.15,4.15,4.15,4.15,0,,
2020-01-07,4.15,4.15,4.15,4.15,0,,
2020-01-08,4.15,4.15,4.15,4.15,0,,
2020-01-09,4.15,4.15,4.15,4.15,0,,
2020-01-10,4.15,4.15,4.15,4.15,0,,
2020-01-13,4.15,4.15,4.15,4.15,0,,
2020-01-14,4.15,4.15,4.15,4.15,0,,
2020-01-15,4.71,4.71,4.71,4.71,100,,
2020-01-16,4.71,4.71,4.71,4.71,0,,
2020-01-17,4.71,4.71,4.71,4.71,0,,
2020-01-20,4.71,4.71,4.71,4.71,0,,
2020-01-21,4.71,4.71,4.71,4.71,0,,
2020-01-22,4.71,4.71,4.71,4.71,0,,
2020-01-30,4.71,4.71,4.71,4.71,0,,
2020-01-31,4.71,4.71,4.71,4.71,0,,
2020-02-03,4.71,4.71,4.71,4.71,0,,
2020-02-04,4.71,4.71,4.71,4.71,0,,
2020-02-05,4.71,4.71,4.71,4.71,0,4.482,4.5954
2020-02-06,4.71,4.71,4.71,4.71,0,4.486,4.6064
2020-02-07,4.71,4.71,4.71,4.71,0,4.514,4.6162
2020-02-10,4.71,4.71,4.71,4.71,0,4.542,4.6252
2020-02-11,4.71,4.71,4.71,4.71,0,4.57,4.6332
2020-02-12,4.71,4.71,4.71,4.71,0,4.598,4.6405
2020-02-13,4.71,4.71,4.71,4.71,0,4.626,4.6472
2020-02-14,4.71,4.71,4.71,4.71,0,4.654,4.6531
2020-02-17,4.71,4.71,4.71,4.71,0,4.682,4.6586
2020-02-18,4.71,4.71,4.71,4.71,0,4.71,4.6635
2020-02-19,4.71,4.71,4.71,4.71,0,4.71,4.6679
2020-02-20,4.71,4.71,4.71,4.71,0,4.71,4.6719
2020-02-21,4.71,4.71,4.71,4.71,0,4.71,4.6755
2020-02-24,4.71,4.71,4.71,4.71,0,4.71,4.6788
2020-02-25,4.71,4.71,4.71,4.71,0,4.71,4.6818
2020-02-26,4.71,4.71,4.71,4.71,0,4.71,4.6845
2020-02-27,4.71,4.71,4.71,4.71,0,4.71,4.6869
2020-02-28,4.71,4.71,4.71,4.71,0,4.71,4.6891
2020-03-02,4.71,4.71,4.71,4.71,0,4.71,4.6911
2020-03-03,4.71,4.71,4.71,4.71,0,4.71,4.6929
2020-03-04,4.71,4.71,4.71,4.71,0,4.71,4.6945
2020-03-05,4.71,4.71,4.71,4.71,0,4.71,4.696
2020-03-06,6.55,6.55,6.55,6.55,100,4.802,4.8726
2020-03-09,6.55,6.55,6.55,6.55,10,4.894,5.0323
2020-03-10,6.55,6.55,6.55,6.55,0,4.986,5.1769
2020-03-11,6.55,6.55,6.55,6.55,0,5.078,5.3076
2020-03-12,6.55,6.55,6.55,6.55,0,5.17,5.426
2020-03-13,6.55,6.55,6.55,6.55,0,5.262,5.533
2020-03-16,6.55,6.55,6.55,6.55,0,5.354,5.6299
2020-03-17,6.55,6.55,6.55,6.55,0,5.446,5.7175
2020-03-18,6.55,6.55,6.55,6.55,0,5.538,5.7968
2020-03-19,6.55,6.55,6.55,6.55,0,5.63,5.8685
2020-03-20,6.55,6.55,6.55,6.55,0,5.722,5.9334
2020-03-23,6.55,6.55,6.55,6.55,0,5.814,5.9921
2020-03-24,6.55,6.55,6.55,6.55,0,5.906,6.0453
2020-03-25,6.55,6.55,6.55,6.55,0,5.998,6.0933
2020-03-26,6.55,6.55,6.55,6.55,0,6.09,6.1368
2020-03-27,6.55,6.55,6.55,6.55,0,6.182,6.1762
2020-03-30,6.55,6.55,6.55,6.55,0,6.274,6.2118
2020-03-31,6.55,6.55,6.55,6.55,0,6.366,6.244
