time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,13.17,13.17,12.9,13.14,580,,
2020-01-03,13.08,13.14,12.66,12.87,1380,,
2020-01-06,12.63,12.87,12.63,12.69,3550,,
2020-01-07,12.75,12.99,12.71,12.75,3590,,
2020-01-08,12.75,12.9,12.72,12.84,11380,,
2020-01-09,12.87,13.32,12.87,13.2,13570,,
2020-01-10,13.29,13.5,13.2,13.44,4720,,
2020-01-13,13.5,13.65,13.38,13.65,5850,,
2020-01-14,13.65,13.71,13.5,13.71,9450,,
2020-01-15,13.77,13.77,13.5,13.71,3080,,
2020-01-16,13.5,13.76,13.46,13.76,6240,,
2020-01-17,13.68,13.68,13.4,13.62,5670,,
2020-01-20,13.62,13.65,13.5,13.62,2450,,
2020-01-21,13.62,13.65,13.44,13.5,3580,,
2020-01-22,13.5,13.62,13.23,13.5,2340,,
2020-01-30,13.83,14.25,13.77,14.25,15220,,
2020-01-31,14.76,14.76,14.25,14.55,30130,,
2020-02-03,13.95,14.25,13.56,13.98,20530,,
2020-02-04,13.95,14.25,13.92,14.25,12150,,
2020-02-05,14.4,14.4,14.13,14.25,1140,13.564,13.7198
2020-02-06,14.15,14.37,14.15,14.25,5160,13.6195,13.7703
2020-02-07,14.25,14.25,13.95,14.19,2410,13.6855,13.8103
2020-02-10,13.8,14.1,13.68,13.71,19130,13.7365,13.8007
2020-02-11,13.8,13.8,13.56,13.71,6920,13.7845,13.7921
2020-02-12,13.71,13.71,13.5,13.65,5790,13.825,13.7786
2020-02-13,13.65,13.71,13.65,13.68,3180,13.849,13.7692
2020-02-14,13.71,13.8,13.5,13.5,7800,13.852,13.7435
2020-02-17,13.5,13.5,13.2,13.35,20500,13.837,13.7061
2020-02-18,12.99,13.35,12.9,13.14,26700,13.8085,13.6522
2020-02-19,13.13,13.35,12.9,13.35,13640,13.7905,13.6234
2020-02-20,13.44,13.5,13.05,13.11,980,13.758,13.5745
2020-02-21,13.2,13.53,13.11,13.35,7790,13.7445,13.5531
2020-02-24,13.26,13.47,13.05,13.35,14560,13.731,13.5338
2020-02-25,13.05,13.5,13.05,13.5,8320,13.731,13.5305
2020-02-26,13.44,13.58,13.44,13.53,3560,13.7325,13.5305
2020-02-27,13.44,13.64,13.44,13.53,3510,13.6965,13.5304
2020-02-28,13.44,13.52,13.2,13.44,10460,13.641,13.5218
2020-03-02,13.5,13.5,13.35,13.44,3190,13.614,13.514
2020-03-03,13.44,13.5,13.35,13.47,10890,13.575,13.5098
2020-03-04,13.59,13.92,13.44,13.92,9760,13.5585,13.5489
2020-03-05,13.92,14.04,12.96,13.92,8250,13.542,13.5842
2020-03-06,13.89,13.92,13.5,13.65,3620,13.515,13.5905
2020-03-09,12.9,13.14,12.87,12.9,21770,13.4745,13.5247
2020-03-10,12.9,13.44,12.9,13.44,2230,13.461,13.5167
2020-03-11,13.37,13.65,12.96,13.43,6420,13.45,13.5084
2020-03-12,12.93,13.2,12.78,12.9,15890,13.411,13.4505
2020-03-13,12.9,12.92,12.6,12.92,9850,13.382,13.4
2020-03-16,13.2,13.2,12.93,13.17,2740,13.373,13.3781
2020-03-17,13.2,13.35,13.05,13.14,2750,13.373,13.3554
2020-03-18,13.14,13.17,13.05,13.14,5040,13.3625,13.3349
2020-03-19,13.11,13.2,12.84,12.9,4930,13.352,13.2935
2020-03-20,12.93,13.05,12.81,13.02,7710,13.3355,13.2674
2020-03-23,12.9,13.02,12.12,12.3,40990,13.283,13.1753
