time,open,high,low,close,volume,SMA_20,EMA_20
2020-01-02,26.17,26.17,26.17,26.17,107,,
2020-01-03,24.7,24.7,24.7,24.7,300,,
2020-01-06,21.06,21.06,21.06,21.06,100,,
2020-01-07,21.67,21.67,18.03,21.06,5600,,
2020-01-08,20.54,20.54,15.77,15.77,5300,,
2020-01-09,16.03,15.77,15.77,15.77,0,,
2020-01-10,18.37,18.37,18.37,18.37,300,,
2020-01-13,21.06,21.06,21.06,21.06,100,,
2020-01-14,21.06,21.06,21.06,21.06,0,,
2020-01-15,21.06,21.06,21.06,21.06,0,,
2020-01-16,21.06,21.06,21.06,21.06,0,,
2020-01-17,21.06,21.06,21.06,21.06,0,,
2020-01-20,21.06,21.06,21.06,21.06,0,,
2020-01-21,21.06,21.06,21.06,21.06,0,,
2020-01-22,24.18,24.18,17.94,21.06,33100,,
2020-01-30,15.77,15.77,15.77,15.77,1200,,
2020-01-31,15.86,16.03,13.43,16.03,5200,,
2020-02-03,13.52,15.51,13.52,15.51,2568,,
2020-02-04,15.6,15.6,15.6,15.6,100,,
2020-02-05,15.6,15.6,15.6,15.6,1300,19.4945,19.4586
2020-02-06,16.29,16.29,16.29,16.29,13500,19.0005,19.1569
2020-02-07,16.29,16.29,16.29,16.29,0,18.58,18.8838
2020-02-10,16.29,16.29,16.29,16.29,12700,18.3415,18.6368
2020-02-11,13.87,16.47,13.87,16.47,3200,18.112,18.4304
2020-02-12,16.64,16.64,16.21,16.21,21548,18.134,18.219
2020-02-13,16.29,16.21,16.21,16.21,0,18.156,18.0276
2020-02-14,16.21,16.21,16.21,16.21,6935,18.048,17.8545
2020-02-17,16.21,16.21,16.21,16.21,9800,17.8055,17.6979
2020-02-18,18.63,18.63,18.63,18.63,100,17.684,17.7867
2020-02-19,16.81,16.81,16.38,16.38,9400,17.45,17.6527
2020-02-20,16.64,16.38,16.38,16.38,0,17.216,17.5315
2020-02-21,16.64,16.64,16.64,16.64,2100,16.995,17.4466
2020-02-24,15.95,15.95,15.95,15.95,2000,16.7395,17.3041
2020-02-25,15.86,15.86,15.86,15.86,15000,16.4795,17.1665
2020-02-26,15.86,15.86,15.86,15.86,0,16.2195,17.0421
2020-02-27,18.2,18.2,16.38,16.38,2403,16.25,16.979
2020-02-28,14.13,16.03,14.13,16.03,3500,16.25,16.8887
2020-03-02,12.13,16.29,12.13,16.29,6904,16.289,16.8316
2020-03-03,14.04,14.04,12.48,14.04,20837,16.211,16.5658
2020-03-04,12.65,14.04,12.65,14.04,9900,16.133,16.3252
2020-03-05,13.0,13.35,13.0,13.35,1769,15.986,16.0419
2020-03-06,15.08,15.08,13.69,13.69,58001,15.856,15.8179
2020-03-09,14.82,14.82,14.82,14.82,1200,15.7825,15.7228
2020-03-10,12.65,14.73,12.65,14.73,14700,15.6955,15.6283
2020-03-11,12.74,14.73,14.73,14.73,0,15.6215,15.5427
2020-03-12,10.83,10.83,10.83,10.83,7300,15.3525,15.0939
2020-03-13,10.83,12.39,10.83,12.39,10800,15.1615,14.8364
2020-03-16,11.01,11.01,11.01,11.01,18271,14.9015,14.472
2020-03-17,12.65,12.65,12.57,12.57,7100,14.5985,14.2908
2020-03-18,12.57,12.91,10.92,12.91,12200,14.425,14.1593
2020-03-19,10.92,12.91,10.92,12.91,8300,14.2515,14.0403
2020-03-20,10.92,10.92,10.92,10.92,8648,13.9655,13.7432
2020-03-23,10.92,10.92,10.92,10.92,33146,13.714,13.4743
2020-03-24,10.92,10.92,10.83,10.92,14451,13.467,13.231
2020-03-25,12.48,12.48,12.48,12.48,100,13.298,13.1595
2020-03-26,13.78,13.78,12.48,12.48,1100,13.103,13.0948
2020-03-27,12.57,12.57,12.57,12.57,10435,12.93,13.0448
2020-03-30,12.57,12.57,12.57,12.57,14201,12.744,12.9996
2020-03-31,10.75,10.75,10.75,10.75,7830,12.5795,12.7853
2020-04-01,10.75,12.31,10.75,12.31,99100,12.493,12.7401
2020-04-03,12.13,13.87,12.13,12.13,22200,12.432,12.682
2020-04-06,10.4,13.35,10.4,13.35,3200,12.415,12.7456
2020-04-07,13.43,13.43,13.43,13.43,100,12.3455,12.8108
2020-04-08,13.61,13.61,13.61,13.61,100,12.2895,12.8869
2020-04-09,13.69,13.69,13.69,13.69,200,12.2375,12.9634
2020-04-10,13.69,13.69,13.69,13.69,0,12.3805,13.0326
2020-04-13,13.69,13.69,13.69,13.69,0,12.4455,13.0952
2020-04-14,13.69,13.69,13.69,13.69,0,12.5795,13.1518
2020-04-15,13.69,13.69,13.69,13.69,0,12.6355,13.2031
2020-04-16,13.69,13.69,13.69,13.69,0,12.6745,13.2495
2020-04-17,13.69,13.69,13.69,13.69,0,12.7135,13.2914
2020-04-20,13.69,13.69,13.69,13.69,0,12.852,13.3294
2020-04-21,12.13,13.43,11.7,13.43,1200,12.9775,13.339
2020-04-22,12.13,13.43,13.43,13.43,0,13.103,13.3476
2020-04-23,12.13,13.43,13.43,13.43,0,13.1505,13.3555
2020-04-24,12.74,12.74,12.74,12.74,1100,13.1635,13.2969
2020-04-27,13.43,13.43,13.43,13.43,100,13.2065,13.3095
2020-04-28,13.43,13.43,13.43,13.43,24679,13.2495,13.321
2020-04-29,12.91,12.91,12.91,12.91,1800,13.3575,13.2819
2020-05-04,12.91,12.91,12.91,12.91,0,13.3875,13.2465
2020-05-05,11.27,13.0,11.27,13.0,1600,13.431,13.223
2020-05-06,11.61,13.0,13.0,13.0,0,13.4135,13.2017
2020-05-07,12.83,12.83,12.57,12.57,900,13.3705,13.1416
2020-05-08,13.09,13.09,13.09,13.09,200,13.3445,13.1367
2020-05-11,13.09,13.09,13.09,13.09,0,13.3145,13.1322
2020-05-12,13.09,13.09,11.18,12.57,4000,13.2585,13.0787
2020-05-13,11.44,12.13,11.44,12.13,2300,13.1805,12.9883
2020-05-14,13.0,13.0,13.0,13.0,100,13.146,12.9894
2020-05-15,13.0,13.0,13.0,13.0,0,13.1115,12.9904
2020-05-18,13.0,13.0,13.0,13.0,0,13.077,12.9914
2020-05-19,13.0,13.0,13.0,13.0,0,13.0425,12.9922
2020-05-20,12.13,13.0,12.05,13.0,16600,13.008,12.9929
2020-05-21,12.31,13.0,13.0,13.0,0,12.9865,12.9936
2020-05-22,12.13,13.43,12.13,13.43,14000,12.9865,13.0352
2020-05-25,13.43,14.3,13.43,14.3,17500,13.03,13.1556
2020-05-26,13.95,14.73,13.95,14.73,81100,13.1295,13.3056
2020-05-27,14.3,14.73,14.04,14.73,33500,13.1945,13.4412
2020-05-28,14.39,15.6,14.39,15.6,3323,13.303,13.6468
